End date,"11/4/2016"
Specimen label,""
Maximum Load,"1.49282",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00006"
"0.00600","0.00000","-0.00015"
"0.01200","0.00000","-0.00025"
"0.01800","0.00012","-0.00027"
"0.02400","0.00018","-0.00018"
"0.03000","0.00030","-0.00010"
"0.03600","0.00048","-0.00001"
"0.04200","0.00066","0.00002"
"0.04800","0.00084","-0.00002"
"0.05400","0.00108","0.00002"
"0.06000","0.00132","0.00008"
"0.06600","0.00161","0.00009"
"0.07200","0.00191","0.00006"
"0.07800","0.00227","0.00003"
"0.08400","0.00257","0.00001"
"0.09000","0.00299","-0.00004"
"0.09600","0.00335","-0.00001"
"0.10200","0.00377","0.00000"
"0.10800","0.00425","-0.00011"
"0.11400","0.00466","-0.00025"
"0.12000","0.00520","-0.00032"
"0.12600","0.00568","-0.00028"
"0.13200","0.00622","-0.00022"
"0.13800","0.00682","-0.00018"
"0.14400","0.00735","-0.00005"
"0.15000","0.00795","0.00010"
"0.15600","0.00855","0.00023"
"0.16200","0.00921","0.00038"
"0.16800","0.00981","0.00042"
"0.17400","0.01046","0.00043"
"0.18000","0.01112","0.00045"
"0.18600","0.01178","0.00042"
"0.19200","0.01244","0.00040"
"0.19800","0.01315","0.00035"
"0.20400","0.01381","0.00037"
"0.21000","0.01453","0.00041"
"0.21600","0.01519","0.00047"
"0.22200","0.01584","0.00053"
"0.22800","0.01650","0.00054"
"0.23400","0.01716","0.00055"
"0.24000","0.01788","0.00063"
"0.24600","0.01853","0.00067"
"0.25200","0.01919","0.00067"
"0.25800","0.01979","0.00065"
"0.26400","0.02045","0.00069"
"0.27000","0.02111","0.00077"
"0.27600","0.02176","0.00079"
"0.28200","0.02236","0.00076"
"0.28800","0.02296","0.00072"
"0.29400","0.02356","0.00078"
"0.30000","0.02415","0.00078"
"0.30600","0.02481","0.00069"
"0.31200","0.02541","0.00058"
"0.31800","0.02595","0.00048"
"0.32400","0.02655","0.00045"
"0.33000","0.02714","0.00041"
"0.33600","0.02768","0.00041"
"0.34200","0.02828","0.00041"
"0.34800","0.02882","0.00051"
"0.35400","0.02936","0.00063"
"0.36000","0.02989","0.00081"
"0.36600","0.03043","0.00083"
"0.37200","0.03097","0.00074"
"0.37800","0.03151","0.00059"
"0.38400","0.03205","0.00056"
"0.39000","0.03265","0.00066"
"0.39600","0.03312","0.00077"
"0.40200","0.03366","0.00079"
"0.40800","0.03420","0.00078"
"0.41400","0.03474","0.00073"
"0.42000","0.03522","0.00074"
"0.42600","0.03575","0.00070"
"0.43200","0.03629","0.00060"
"0.43800","0.03677","0.00053"
"0.44400","0.03731","0.00049"
"0.45000","0.03779","0.00039"
"0.45600","0.03833","0.00045"
"0.46200","0.03880","0.00042"
"0.46800","0.03934","0.00021"
"0.47400","0.03982","0.00012"
"0.48000","0.04030","0.00026"
"0.48600","0.04084","0.00036"
"0.49200","0.04131","0.00046"
"0.49800","0.04179","0.00048"
"0.50400","0.04227","0.00048"
"0.51000","0.04281","0.00048"
"0.51600","0.04329","0.00050"
"0.52200","0.04377","0.00056"
"0.52800","0.04424","0.00062"
"0.53400","0.04478","0.00061"
"0.54000","0.04526","0.00076"
"0.54600","0.04574","0.00081"
"0.55200","0.04622","0.00080"
"0.55800","0.04670","0.00088"
"0.56400","0.04723","0.00093"
"0.57000","0.04771","0.00091"
"0.57600","0.04819","0.00088"
"0.58200","0.04867","0.00089"
"0.58800","0.04921","0.00092"
"0.59400","0.04969","0.00097"
"0.60000","0.05022","0.00095"
"0.60600","0.05070","0.00085"
"0.61200","0.05124","0.00071"
"0.61800","0.05172","0.00064"
"0.62400","0.05220","0.00064"
"0.63000","0.05273","0.00072"
"0.63600","0.05321","0.00079"
"0.64200","0.05369","0.00086"
"0.64800","0.05417","0.00082"
"0.65400","0.05465","0.00077"
"0.66000","0.05513","0.00070"
"0.66600","0.05560","0.00063"
"0.67200","0.05608","0.00056"
"0.67800","0.05662","0.00053"
"0.68400","0.05710","0.00055"
"0.69000","0.05758","0.00063"
"0.69600","0.05812","0.00065"
"0.70200","0.05859","0.00074"
"0.70800","0.05907","0.00088"
"0.71400","0.05961","0.00103"
"0.72000","0.06009","0.00113"
"0.72600","0.06063","0.00120"
"0.73200","0.06110","0.00120"
"0.73800","0.06164","0.00124"
"0.74400","0.06212","0.00126"
"0.75000","0.06266","0.00121"
"0.75600","0.06314","0.00113"
"0.76200","0.06362","0.00102"
"0.76800","0.06415","0.00086"
"0.77400","0.06463","0.00079"
"0.78000","0.06511","0.00080"
"0.78600","0.06565","0.00079"
"0.79200","0.06613","0.00075"
"0.79800","0.06661","0.00067"
"0.80400","0.06708","0.00058"
"0.81000","0.06762","0.00050"
"0.81600","0.06810","0.00043"
"0.82200","0.06864","0.00045"
"0.82800","0.06912","0.00049"
"0.83400","0.06960","0.00048"
"0.84000","0.07013","0.00048"
"0.84600","0.07061","0.00055"
"0.85200","0.07115","0.00057"
"0.85800","0.07163","0.00053"
