End date,"11/4/2016"
Specimen label,"63G_21"
Maximum Load,"-0.00015",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.56860","-0.00761"
"0.00600","-0.56860","-0.00766"
"0.01200","-0.56860","-0.00769"
"0.01800","-0.56854","-0.00771"
"0.02400","-0.56842","-0.00771"
"0.03000","-0.56830","-0.00768"
"0.03600","-0.56818","-0.00760"
"0.04200","-0.56800","-0.00755"
"0.04800","-0.56776","-0.00752"
"0.05400","-0.56758","-0.00750"
"0.06000","-0.56728","-0.00746"
"0.06600","-0.56704","-0.00745"
"0.07200","-0.56680","-0.00743"
"0.07800","-0.56645","-0.00740"
"0.08400","-0.56609","-0.00736"
"0.09000","-0.56573","-0.00735"
"0.09600","-0.56531","-0.00735"
"0.10200","-0.56489","-0.00739"
"0.10800","-0.56441","-0.00742"
"0.11400","-0.56393","-0.00742"
"0.12000","-0.56340","-0.00737"
"0.12600","-0.56292","-0.00734"
"0.13200","-0.56232","-0.00733"
"0.13800","-0.56178","-0.00733"
"0.14400","-0.56118","-0.00732"
"0.15000","-0.56053","-0.00731"
"0.15600","-0.55987","-0.00730"
"0.16200","-0.55921","-0.00730"
"0.16800","-0.55855","-0.00727"
"0.17400","-0.55790","-0.00723"
"0.18000","-0.55724","-0.00716"
"0.18600","-0.55658","-0.00709"
"0.19200","-0.55592","-0.00704"
"0.19800","-0.55527","-0.00700"
"0.20400","-0.55461","-0.00696"
"0.21000","-0.55389","-0.00693"
"0.21600","-0.55323","-0.00689"
"0.22200","-0.55257","-0.00685"
"0.22800","-0.55186","-0.00681"
"0.23400","-0.55120","-0.00681"
"0.24000","-0.55054","-0.00683"
"0.24600","-0.54988","-0.00686"
"0.25200","-0.54923","-0.00680"
"0.25800","-0.54857","-0.00675"
"0.26400","-0.54797","-0.00667"
"0.27000","-0.54731","-0.00661"
"0.27600","-0.54666","-0.00658"
"0.28200","-0.54606","-0.00657"
"0.28800","-0.54540","-0.00651"
"0.29400","-0.54480","-0.00649"
"0.30000","-0.54426","-0.00656"
"0.30600","-0.54367","-0.00663"
"0.31200","-0.54307","-0.00664"
"0.31800","-0.54247","-0.00664"
"0.32400","-0.54193","-0.00660"
"0.33000","-0.54133","-0.00654"
"0.33600","-0.54080","-0.00645"
"0.34200","-0.54020","-0.00643"
"0.34800","-0.53966","-0.00640"
"0.35400","-0.53912","-0.00640"
"0.36000","-0.53852","-0.00643"
"0.36600","-0.53799","-0.00646"
"0.37200","-0.53751","-0.00649"
"0.37800","-0.53697","-0.00646"
"0.38400","-0.53643","-0.00640"
"0.39000","-0.53589","-0.00635"
"0.39600","-0.53536","-0.00634"
"0.40200","-0.53488","-0.00639"
"0.40800","-0.53434","-0.00641"
"0.41400","-0.53386","-0.00639"
"0.42000","-0.53332","-0.00639"
"0.42600","-0.53278","-0.00641"
"0.43200","-0.53231","-0.00638"
"0.43800","-0.53177","-0.00636"
"0.44400","-0.53129","-0.00636"
"0.45000","-0.53081","-0.00635"
"0.45600","-0.53027","-0.00625"
"0.46200","-0.52980","-0.00617"
"0.46800","-0.52926","-0.00615"
"0.47400","-0.52878","-0.00616"
"0.48000","-0.52830","-0.00618"
"0.48600","-0.52776","-0.00623"
"0.49200","-0.52728","-0.00628"
"0.49800","-0.52681","-0.00626"
"0.50400","-0.52633","-0.00620"
"0.51000","-0.52579","-0.00621"
"0.51600","-0.52531","-0.00627"
"0.52200","-0.52483","-0.00633"
"0.52800","-0.52429","-0.00639"
"0.53400","-0.52382","-0.00638"
"0.54000","-0.52334","-0.00635"
"0.54600","-0.52286","-0.00623"
"0.55200","-0.52232","-0.00608"
"0.55800","-0.52184","-0.00601"
"0.56400","-0.52136","-0.00598"
"0.57000","-0.52089","-0.00598"
"0.57600","-0.52035","-0.00602"
"0.58200","-0.51987","-0.00605"
"0.58800","-0.51939","-0.00607"
"0.59400","-0.51885","-0.00613"
"0.60000","-0.51838","-0.00613"
"0.60600","-0.51790","-0.00608"
"0.61200","-0.51736","-0.00604"
"0.61800","-0.51688","-0.00601"
"0.62400","-0.51634","-0.00599"
"0.63000","-0.51586","-0.00596"
"0.63600","-0.51539","-0.00594"
"0.64200","-0.51485","-0.00594"
"0.64800","-0.51437","-0.00592"
"0.65400","-0.51389","-0.00597"
"0.66000","-0.51335","-0.00601"
"0.66600","-0.51287","-0.00604"
"0.67200","-0.51234","-0.00603"
"0.67800","-0.51186","-0.00595"
"0.68400","-0.51138","-0.00589"
"0.69000","-0.51090","-0.00584"
"0.69600","-0.51036","-0.00585"
"0.70200","-0.50989","-0.00588"
"0.70800","-0.50941","-0.00589"
"0.71400","-0.50887","-0.00583"
"0.72000","-0.50839","-0.00580"
"0.72600","-0.50785","-0.00577"
"0.73200","-0.50737","-0.00575"
"0.73800","-0.50684","-0.00577"
"0.74400","-0.50636","-0.00579"
"0.75000","-0.50582","-0.00580"
"0.75600","-0.50534","-0.00585"
"0.76200","-0.50486","-0.00591"
"0.76800","-0.50432","-0.00594"
"0.77400","-0.50385","-0.00593"
"0.78000","-0.50331","-0.00591"
"0.78600","-0.50283","-0.00585"
"0.79200","-0.50235","-0.00579"
"0.79800","-0.50181","-0.00575"
"0.80400","-0.50134","-0.00563"
"0.81000","-0.50086","-0.00549"
"0.81600","-0.50038","-0.00534"
"0.82200","-0.49984","-0.00522"
"0.82800","-0.49936","-0.00513"
"0.83400","-0.49888","-0.00507"
"0.84000","-0.49841","-0.00508"
"0.84600","-0.49787","-0.00513"
"0.85200","-0.49739","-0.00517"
"0.85800","-0.49685","-0.00523"
"0.86400","-0.49637","-0.00531"
"0.87000","-0.49589","-0.00537"
"0.87600","-0.49536","-0.00542"
"0.88200","-0.49488","-0.00545"
"0.88800","-0.49434","-0.00548"
"0.89400","-0.49386","-0.00553"
"0.90000","-0.49332","-0.00555"
"0.90600","-0.49285","-0.00557"
"0.91200","-0.49237","-0.00560"
"0.91800","-0.49183","-0.00565"
"0.92400","-0.49135","-0.00564"
"0.93000","-0.49087","-0.00564"
"0.93600","-0.49033","-0.00561"
"0.94200","-0.48986","-0.00554"
"0.94800","-0.48938","-0.00542"
"0.95400","-0.48890","-0.00538"
"0.96000","-0.48836","-0.00542"
"0.96600","-0.48788","-0.00545"
"0.97200","-0.48740","-0.00545"
"0.97800","-0.48687","-0.00543"
"0.98400","-0.48639","-0.00541"
"0.99000","-0.48591","-0.00545"
"0.99600","-0.48543","-0.00548"
"1.00200","-0.48489","-0.00545"
"1.00800","-0.48441","-0.00548"
"1.01400","-0.48394","-0.00554"
"1.02000","-0.48340","-0.00559"
"1.02600","-0.48292","-0.00558"
"1.03200","-0.48244","-0.00562"
"1.03800","-0.48190","-0.00573"
"1.04400","-0.48143","-0.00580"
"1.05000","-0.48095","-0.00582"
"1.05600","-0.48041","-0.00576"
"1.06200","-0.47993","-0.00565"
"1.06800","-0.47945","-0.00556"
"1.07400","-0.47891","-0.00549"
"1.08000","-0.47844","-0.00540"
"1.08600","-0.47796","-0.00531"
"1.09200","-0.47742","-0.00524"
"1.09800","-0.47694","-0.00521"
"1.10400","-0.47646","-0.00520"
"1.11000","-0.47592","-0.00523"
"1.11600","-0.47545","-0.00526"
"1.12200","-0.47491","-0.00527"
"1.12800","-0.47443","-0.00527"
"1.13400","-0.47395","-0.00530"
"1.14000","-0.47341","-0.00531"
"1.14600","-0.47294","-0.00526"
"1.15200","-0.47240","-0.00522"
"1.15800","-0.47192","-0.00519"
"1.16400","-0.47144","-0.00517"
"1.17000","-0.47090","-0.00516"
"1.17600","-0.47042","-0.00520"
"1.18200","-0.46989","-0.00522"
"1.18800","-0.46941","-0.00523"
"1.19400","-0.46887","-0.00525"
"1.20000","-0.46839","-0.00525"
"1.20600","-0.46791","-0.00517"
"1.21200","-0.46737","-0.00516"
"1.21800","-0.46690","-0.00522"
"1.22400","-0.46636","-0.00526"
"1.23000","-0.46588","-0.00525"
"1.23600","-0.46534","-0.00529"
"1.24200","-0.46486","-0.00529"
"1.24800","-0.46439","-0.00521"
"1.25400","-0.46385","-0.00519"
"1.26000","-0.46337","-0.00521"
"1.26600","-0.46283","-0.00520"
"1.27200","-0.46235","-0.00518"
"1.27800","-0.46187","-0.00517"
"1.28400","-0.46134","-0.00518"
"1.29000","-0.46086","-0.00514"
"1.29600","-0.46038","-0.00515"
"1.30200","-0.45984","-0.00508"
"1.30800","-0.45936","-0.00501"
"1.31400","-0.45888","-0.00494"
"1.32000","-0.45835","-0.00490"
"1.32600","-0.45787","-0.00493"
"1.33200","-0.45739","-0.00491"
"1.33800","-0.45685","-0.00487"
"1.34400","-0.45637","-0.00487"
"1.35000","-0.45590","-0.00491"
"1.35600","-0.45542","-0.00499"
