End date,"11/4/2016"
Specimen label,"63G21"
Maximum Load,"0.01685",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","52.35877","0.00947"
"0.00600","52.35877","0.00954"
"0.01200","52.35877","0.00962"
"0.01800","52.35883","0.00977"
"0.02400","52.35889","0.00970"
"0.03000","52.35901","0.00946"
"0.03600","52.35918","0.00937"
"0.04200","52.35931","0.00939"
"0.04800","52.35955","0.00943"
"0.05400","52.35973","0.00948"
"0.06000","52.35997","0.00941"
"0.06600","52.36020","0.00932"
"0.07200","52.36045","0.00933"
"0.07800","52.36074","0.00938"
"0.08400","52.36110","0.00935"
"0.09000","52.36140","0.00927"
"0.09600","52.36182","0.00918"
"0.10200","52.36224","0.00912"
"0.10800","52.36266","0.00909"
"0.11400","52.36314","0.00908"
"0.12000","52.36367","0.00895"
"0.12600","52.36415","0.00891"
"0.13200","52.36475","0.00909"
"0.13800","52.36529","0.00939"
"0.14400","52.36588","0.00964"
"0.15000","52.36654","0.00979"
"0.15600","52.36714","0.00987"
"0.16200","52.36780","0.00991"
"0.16800","52.36845","0.00981"
"0.17400","52.36912","0.00968"
"0.18000","52.36977","0.00963"
"0.18600","52.37043","0.00967"
"0.19200","52.37114","0.00973"
"0.19800","52.37181","0.00993"
"0.20400","52.37252","0.01001"
"0.21000","52.37318","0.01018"
"0.21600","52.37390","0.01044"
"0.22200","52.37461","0.01063"
"0.22800","52.37527","0.01072"
"0.23400","52.37593","0.01056"
"0.24000","52.37659","0.01054"
"0.24600","52.37730","0.01061"
"0.25200","52.37796","0.01062"
"0.25800","52.37862","0.01051"
"0.26400","52.37922","0.01040"
"0.27000","52.37988","0.01043"
"0.27600","52.38053","0.01029"
"0.28200","52.38113","0.01015"
"0.28800","52.38179","0.01000"
"0.29400","52.38239","0.00988"
"0.30000","52.38298","0.00977"
"0.30600","52.38358","0.00985"
"0.31200","52.38418","0.00998"
"0.31800","52.38478","0.00996"
"0.32400","52.38531","0.00982"
"0.33000","52.38592","0.00971"
"0.33600","52.38645","0.00967"
"0.34200","52.38705","0.00964"
"0.34800","52.38759","0.00977"
"0.35400","52.38818","0.00980"
"0.36000","52.38873","0.00992"
"0.36600","52.38926","0.01006"
"0.37200","52.38980","0.01022"
"0.37800","52.39034","0.01032"
"0.38400","52.39088","0.01032"
"0.39000","52.39142","0.01023"
"0.39600","52.39196","0.01012"
"0.40200","52.39243","0.00995"
"0.40800","52.39297","0.00980"
"0.41400","52.39351","0.00969"
"0.42000","52.39399","0.00966"
"0.42600","52.39453","0.00969"
"0.43200","52.39500","0.00976"
"0.43800","52.39554","0.00980"
"0.44400","52.39602","0.00987"
"0.45000","52.39650","0.00996"
"0.45600","52.39703","0.01009"
"0.46200","52.39751","0.01018"
"0.46800","52.39799","0.01023"
"0.47400","52.39853","0.01015"
"0.48000","52.39901","0.01012"
"0.48600","52.39949","0.00987"
"0.49200","52.40003","0.00970"
"0.49800","52.40057","0.00964"
"0.50400","52.40104","0.00974"
"0.51000","52.40158","0.00985"
"0.51600","52.40206","0.01003"
"0.52200","52.40254","0.01029"
"0.52800","52.40308","0.01051"
"0.53400","52.40355","0.01058"
"0.54000","52.40403","0.01053"
"0.54600","52.40457","0.01047"
"0.55200","52.40504","0.01043"
"0.55800","52.40553","0.01039"
"0.56400","52.40601","0.01032"
"0.57000","52.40655","0.01032"
"0.57600","52.40702","0.01051"
"0.58200","52.40750","0.01071"
"0.58800","52.40798","0.01072"
"0.59400","52.40852","0.01068"
"0.60000","52.40899","0.01051"
"0.60600","52.40947","0.01026"
"0.61200","52.41001","0.01013"
"0.61800","52.41049","0.01023"
"0.62400","52.41096","0.01040"
"0.63000","52.41150","0.01038"
"0.63600","52.41198","0.01029"
"0.64200","52.41253","0.01036"
"0.64800","52.41300","0.01040"
"0.65400","52.41354","0.01034"
"0.66000","52.41402","0.01029"
"0.66600","52.41450","0.01038"
"0.67200","52.41504","0.01051"
"0.67800","52.41551","0.01064"
"0.68400","52.41599","0.01068"
"0.69000","52.41647","0.01064"
"0.69600","52.41694","0.01053"
"0.70200","52.41748","0.01040"
"0.70800","52.41796","0.01035"
"0.71400","52.41845","0.01029"
"0.72000","52.41898","0.01037"
"0.72600","52.41945","0.01053"
"0.73200","52.41994","0.01080"
"0.73800","52.42048","0.01116"
"0.74400","52.42095","0.01139"
"0.75000","52.42143","0.01141"
"0.75600","52.42197","0.01124"
"0.76200","52.42245","0.01112"
"0.76800","52.42292","0.01113"
"0.77400","52.42346","0.01108"
"0.78000","52.42394","0.01100"
"0.78600","52.42448","0.01096"
"0.79200","52.42496","0.01082"
"0.79800","52.42549","0.01064"
"0.80400","52.42597","0.01058"
"0.81000","52.42645","0.01048"
"0.81600","52.42699","0.01026"
"0.82200","52.42747","0.01006"
"0.82800","52.42801","0.00987"
"0.83400","52.42849","0.00969"
"0.84000","52.42896","0.00952"
"0.84600","52.42944","0.00957"
"0.85200","52.42992","0.00970"
"0.85800","52.43046","0.00989"
"0.86400","52.43093","0.01016"
"0.87000","52.43141","0.01030"
"0.87600","52.43190","0.01046"
"0.88200","52.43243","0.01053"
"0.88800","52.43291","0.01045"
"0.89400","52.43344","0.01036"
"0.90000","52.43393","0.01047"
"0.90600","52.43441","0.01041"
"0.91200","52.43494","0.01037"
"0.91800","52.43542","0.01041"
"0.92400","52.43596","0.01039"
"0.93000","52.43644","0.01034"
"0.93600","52.43698","0.01037"
"0.94200","52.43745","0.01041"
"0.94800","52.43799","0.01052"
"0.95400","52.43847","0.01066"
"0.96000","52.43895","0.01074"
"0.96600","52.43949","0.01074"
"0.97200","52.43996","0.01069"
"0.97800","52.44044","0.01062"
"0.98400","52.44098","0.01072"
"0.99000","52.44146","0.01064"
"0.99600","52.44194","0.01053"
"1.00200","52.44242","0.01046"
"1.00800","52.44296","0.01033"
"1.01400","52.44343","0.01019"
"1.02000","52.44391","0.01017"
"1.02600","52.44445","0.01017"
"1.03200","52.44493","0.01018"
"1.03800","52.44540","0.01036"
"1.04400","52.44594","0.01062"
"1.05000","52.44643","0.01075"
"1.05600","52.44696","0.01066"
"1.06200","52.44744","0.01052"
"1.06800","52.44798","0.01055"
"1.07400","52.44846","0.01051"
"1.08000","52.44899","0.01058"
"1.08600","52.44953","0.01076"
"1.09200","52.45001","0.01093"
"1.09800","52.45049","0.01096"
"1.10400","52.45103","0.01095"
"1.11000","52.45151","0.01099"
"1.11600","52.45204","0.01102"
"1.12200","52.45252","0.01102"
"1.12800","52.45300","0.01115"
"1.13400","52.45354","0.01133"
"1.14000","52.45402","0.01151"
"1.14600","52.45449","0.01172"
"1.15200","52.45498","0.01178"
"1.15800","52.45551","0.01174"
"1.16400","52.45599","0.01160"
"1.17000","52.45646","0.01142"
"1.17600","52.45695","0.01126"
"1.18200","52.45749","0.01127"
"1.18800","52.45796","0.01136"
"1.19400","52.45844","0.01152"
"1.20000","52.45892","0.01158"
"1.20600","52.45946","0.01160"
"1.21200","52.45993","0.01142"
"1.21800","52.46047","0.01118"
"1.22400","52.46095","0.01099"
"1.23000","52.46149","0.01094"
"1.23600","52.46197","0.01087"
"1.24200","52.46250","0.01076"
"1.24800","52.46298","0.01078"
"1.25400","52.46346","0.01084"
"1.26000","52.46400","0.01083"
"1.26600","52.46448","0.01081"
"1.27200","52.46496","0.01070"
"1.27800","52.46550","0.01063"
"1.28400","52.46598","0.01058"
"1.29000","52.46645","0.01066"
"1.29600","52.46699","0.01073"
"1.30200","52.46747","0.01073"
"1.30800","52.46795","0.01065"
"1.31400","52.46848","0.01062"
"1.32000","52.46896","0.01067"
"1.32600","52.46944","0.01068"
"1.33200","52.46992","0.01067"
"1.33800","52.47046","0.01065"
"1.34400","52.47094","0.01061"
"1.35000","52.47142","0.01055"
"1.35600","52.47195","0.01044"
"1.36200","52.47243","0.01036"
"1.36800","52.47297","0.01039"
"1.37400","52.47351","0.01052"
"1.38000","52.47399","0.01067"
"1.38600","52.47452","0.01067"
"1.39200","52.47500","0.01057"
"1.39800","52.47548","0.01057"
"1.40400","52.47602","0.01069"
"1.41000","52.47649","0.01075"
"1.41600","52.47697","0.01087"
"1.42200","52.47746","0.01094"
"1.42800","52.47793","0.01098"
"1.43400","52.47840","0.01101"
"1.44000","52.47895","0.01102"
"1.44600","52.47943","0.01091"
"1.45200","52.47991","0.01094"
"1.45800","52.48044","0.01093"
"1.46400","52.48092","0.01088"
"1.47000","52.48140","0.01082"
"1.47600","52.48188","0.01083"
"1.48200","52.48241","0.01077"
"1.48800","52.48289","0.01063"
"1.49400","52.48337","0.01069"
"1.50000","52.48391","0.01095"
"1.50600","52.48439","0.01123"
"1.51200","52.48492","0.01135"
"1.51800","52.48540","0.01133"
"1.52400","52.48595","0.01136"
"1.53000","52.48642","0.01137"
"1.53600","52.48696","0.01142"
"1.54200","52.48744","0.01158"
"1.54800","52.48792","0.01178"
"1.55400","52.48845","0.01202"
"1.56000","52.48893","0.01214"
"1.56600","52.48941","0.01212"
"1.57200","52.48995","0.01217"
"1.57800","52.49043","0.01226"
"1.58400","52.49091","0.01228"
"1.59000","52.49139","0.01214"
"1.59600","52.49192","0.01191"
"1.60200","52.49240","0.01170"
"1.60800","52.49294","0.01151"
"1.61400","52.49342","0.01142"
"1.62000","52.49396","0.01134"
"1.62600","52.49444","0.01110"
"1.63200","52.49497","0.01097"
"1.63800","52.49545","0.01105"
"1.64400","52.49599","0.01127"
"1.65000","52.49646","0.01140"
"1.65600","52.49701","0.01150"
"1.66200","52.49748","0.01168"
"1.66800","52.49802","0.01185"
"1.67400","52.49850","0.01182"
"1.68000","52.49903","0.01163"
"1.68600","52.49952","0.01148"
"1.69200","52.50005","0.01131"
"1.69800","52.50053","0.01129"
"1.70400","52.50101","0.01140"
"1.71000","52.50149","0.01142"
"1.71600","52.50203","0.01143"
"1.72200","52.50251","0.01158"
"1.72800","52.50298","0.01179"
"1.73400","52.50346","0.01197"
"1.74000","52.50394","0.01188"
"1.74600","52.50448","0.01172"
"1.75200","52.50495","0.01175"
"1.75800","52.50543","0.01183"
"1.76400","52.50591","0.01168"
"1.77000","52.50645","0.01149"
"1.77600","52.50693","0.01131"
"1.78200","52.50747","0.01132"
"1.78800","52.50795","0.01141"
"1.79400","52.50848","0.01141"
"1.80000","52.50896","0.01137"
"1.80600","52.50950","0.01146"
"1.81200","52.50998","0.01180"
"1.81800","52.51046","0.01206"
"1.82400","52.51099","0.01198"
"1.83000","52.51147","0.01178"
"1.83600","52.51195","0.01157"
"1.84200","52.51249","0.01150"
"1.84800","52.51297","0.01144"
"1.85400","52.51344","0.01136"
"1.86000","52.51398","0.01131"
"1.86600","52.51447","0.01146"
"1.87200","52.51494","0.01146"
"1.87800","52.51542","0.01134"
"1.88400","52.51596","0.01123"
"1.89000","52.51644","0.01122"
"1.89600","52.51691","0.01128"
"1.90200","52.51739","0.01129"
"1.90800","52.51787","0.01130"
"1.91400","52.51841","0.01128"
"1.92000","52.51889","0.01139"
"1.92600","52.51942","0.01151"
"1.93200","52.51991","0.01166"
"1.93800","52.52044","0.01179"
"1.94400","52.52092","0.01182"
"1.95000","52.52140","0.01179"
"1.95600","52.52194","0.01182"
"1.96200","52.52242","0.01179"
"1.96800","52.52295","0.01158"
"1.97400","52.52343","0.01144"
"1.98000","52.52391","0.01155"
"1.98600","52.52445","0.01172"
"1.99200","52.52493","0.01204"
"1.99800","52.52540","0.01232"
"2.00400","52.52594","0.01242"
"2.01000","52.52642","0.01249"
"2.01600","52.52696","0.01248"
"2.02200","52.52744","0.01238"
"2.02800","52.52792","0.01236"
"2.03400","52.52846","0.01243"
"2.04000","52.52893","0.01245"
"2.04600","52.52941","0.01236"
"2.05200","52.52989","0.01236"
"2.05800","52.53043","0.01240"
"2.06400","52.53091","0.01247"
"2.07000","52.53138","0.01259"
"2.07600","52.53192","0.01276"
"2.08200","52.53240","0.01284"
"2.08800","52.53294","0.01276"
"2.09400","52.53341","0.01264"
"2.10000","52.53395","0.01249"
"2.10600","52.53444","0.01211"
"2.11200","52.53491","0.01177"
"2.11800","52.53545","0.01166"
"2.12400","52.53593","0.01179"
"2.13000","52.53641","0.01184"
"2.13600","52.53695","0.01184"
"2.14200","52.53742","0.01186"
"2.14800","52.53790","0.01187"
"2.15400","52.53844","0.01174"
"2.16000","52.53892","0.01154"
"2.16600","52.53945","0.01148"
"2.17200","52.53993","0.01143"
"2.17800","52.54041","0.01131"
"2.18400","52.54095","0.01130"
"2.19000","52.54143","0.01130"
"2.19600","52.54197","0.01137"
"2.20200","52.54245","0.01162"
"2.20800","52.54292","0.01173"
"2.21400","52.54346","0.01181"
"2.22000","52.54394","0.01186"
"2.22600","52.54448","0.01190"
"2.23200","52.54496","0.01192"
"2.23800","52.54549","0.01190"
"2.24400","52.54597","0.01185"
"2.25000","52.54651","0.01187"
"2.25600","52.54699","0.01192"
"2.26200","52.54753","0.01202"
"2.26800","52.54801","0.01207"
"2.27400","52.54848","0.01200"
"2.28000","52.54902","0.01179"
"2.28600","52.54950","0.01158"
"2.29200","52.54998","0.01151"
"2.29800","52.55051","0.01158"
"2.30400","52.55099","0.01183"
"2.31000","52.55148","0.01193"
"2.31600","52.55195","0.01203"
"2.32200","52.55249","0.01218"
"2.32800","52.55297","0.01246"
"2.33400","52.55345","0.01264"
"2.34000","52.55398","0.01277"
"2.34600","52.55446","0.01279"
"2.35200","52.55494","0.01269"
"2.35800","52.55548","0.01257"
"2.36400","52.55596","0.01248"
"2.37000","52.55643","0.01246"
"2.37600","52.55697","0.01252"
"2.38200","52.55745","0.01259"
"2.38800","52.55793","0.01265"
"2.39400","52.55847","0.01257"
"2.40000","52.55895","0.01248"
"2.40600","52.55943","0.01249"
"2.41200","52.55996","0.01252"
"2.41800","52.56044","0.01248"
"2.42400","52.56092","0.01237"
"2.43000","52.56139","0.01233"
"2.43600","52.56187","0.01234"
"2.44200","52.56241","0.01222"
"2.44800","52.56289","0.01212"
"2.45400","52.56337","0.01214"
"2.46000","52.56390","0.01233"
"2.46600","52.56438","0.01239"
"2.47200","52.56487","0.01238"
"2.47800","52.56541","0.01233"
"2.48400","52.56588","0.01235"
"2.49000","52.56642","0.01233"
"2.49600","52.56690","0.01238"
"2.50200","52.56744","0.01239"
"2.50800","52.56791","0.01233"
"2.51400","52.56845","0.01235"
"2.52000","52.56893","0.01238"
"2.52600","52.56947","0.01244"
"2.53200","52.56995","0.01241"
"2.53800","52.57042","0.01222"
"2.54400","52.57096","0.01210"
"2.55000","52.57145","0.01207"
"2.55600","52.57192","0.01215"
"2.56200","52.57240","0.01236"
"2.56800","52.57294","0.01249"
"2.57400","52.57342","0.01258"
"2.58000","52.57390","0.01257"
"2.58600","52.57443","0.01237"
"2.59200","52.57491","0.01211"
"2.59800","52.57539","0.01198"
"2.60400","52.57586","0.01190"
"2.61000","52.57640","0.01189"
"2.61600","52.57689","0.01187"
"2.62200","52.57736","0.01185"
"2.62800","52.57790","0.01191"
"2.63400","52.57837","0.01197"
"2.64000","52.57891","0.01196"
"2.64600","52.57940","0.01193"
"2.65200","52.57994","0.01187"
"2.65800","52.58041","0.01195"
"2.66400","52.58094","0.01199"
"2.67000","52.58143","0.01201"
"2.67600","52.58197","0.01191"
"2.68200","52.58244","0.01183"
"2.68800","52.58298","0.01191"
"2.69400","52.58346","0.01193"
"2.70000","52.58394","0.01195"
"2.70600","52.58448","0.01197"
"2.71200","52.58495","0.01187"
"2.71800","52.58543","0.01180"
"2.72400","52.58591","0.01187"
"2.73000","52.58645","0.01213"
"2.73600","52.58693","0.01244"
"2.74200","52.58741","0.01261"
"2.74800","52.58794","0.01264"
"2.75400","52.58842","0.01258"
"2.76000","52.58896","0.01258"
"2.76600","52.58944","0.01250"
"2.77200","52.58992","0.01242"
"2.77800","52.59045","0.01248"
"2.78400","52.59093","0.01254"
"2.79000","52.59141","0.01272"
"2.79600","52.59195","0.01274"
"2.80200","52.59249","0.01277"
"2.80800","52.59296","0.01266"
"2.81400","52.59350","0.01253"
"2.82000","52.59398","0.01239"
"2.82600","52.59452","0.01233"
"2.83200","52.59500","0.01233"
"2.83800","52.59548","0.01230"
"2.84400","52.59601","0.01232"
"2.85000","52.59649","0.01245"
"2.85600","52.59697","0.01259"
"2.86200","52.59745","0.01262"
"2.86800","52.59799","0.01260"
"2.87400","52.59847","0.01266"
"2.88000","52.59894","0.01270"
"2.88600","52.59942","0.01275"
"2.89200","52.59996","0.01280"
"2.89800","52.60044","0.01267"
"2.90400","52.60092","0.01251"
"2.91000","52.60145","0.01249"
"2.91600","52.60194","0.01260"
"2.92200","52.60241","0.01273"
"2.92800","52.60295","0.01293"
"2.93400","52.60343","0.01322"
"2.94000","52.60391","0.01334"
"2.94600","52.60445","0.01328"
"2.95200","52.60492","0.01315"
"2.95800","52.60546","0.01306"
"2.96400","52.60594","0.01314"
"2.97000","52.60648","0.01317"
"2.97600","52.60696","0.01324"
"2.98200","52.60743","0.01316"
"2.98800","52.60792","0.01298"
"2.99400","52.60839","0.01287"
"3.00000","52.60893","0.01278"
"3.00600","52.60941","0.01276"
"3.01200","52.60989","0.01269"
"3.01800","52.61037","0.01266"
"3.02400","52.61090","0.01267"
"3.03000","52.61138","0.01270"
"3.03600","52.61186","0.01273"
"3.04200","52.61234","0.01271"
"3.04800","52.61287","0.01279"
"3.05400","52.61335","0.01285"
"3.06000","52.61390","0.01295"
"3.06600","52.61437","0.01307"
"3.07200","52.61485","0.01314"
"3.07800","52.61539","0.01319"
"3.08400","52.61587","0.01325"
"3.09000","52.61634","0.01322"
"3.09600","52.61688","0.01309"
"3.10200","52.61736","0.01303"
"3.10800","52.61784","0.01314"
"3.11400","52.61838","0.01328"
"3.12000","52.61885","0.01341"
"3.12600","52.61934","0.01343"
"3.13200","52.61987","0.01332"
"3.13800","52.62035","0.01327"
"3.14400","52.62089","0.01319"
"3.15000","52.62136","0.01313"
"3.15600","52.62185","0.01306"
"3.16200","52.62239","0.01303"
"3.16800","52.62286","0.01290"
"3.17400","52.62340","0.01284"
"3.18000","52.62388","0.01272"
"3.18600","52.62442","0.01265"
"3.19200","52.62490","0.01268"
"3.19800","52.62543","0.01271"
"3.20400","52.62591","0.01277"
"3.21000","52.62639","0.01283"
"3.21600","52.62693","0.01291"
"3.22200","52.62740","0.01288"
"3.22800","52.62794","0.01283"
"3.23400","52.62843","0.01291"
"3.24000","52.62890","0.01301"
"3.24600","52.62944","0.01306"
"3.25200","52.62991","0.01301"
"3.25800","52.63046","0.01297"
"3.26400","52.63094","0.01301"
"3.27000","52.63141","0.01313"
"3.27600","52.63195","0.01328"
"3.28200","52.63243","0.01343"
"3.28800","52.63291","0.01351"
"3.29400","52.63344","0.01358"
"3.30000","52.63392","0.01368"
"3.30600","52.63446","0.01368"
"3.31200","52.63494","0.01341"
"3.31800","52.63548","0.01313"
"3.32400","52.63595","0.01285"
"3.33000","52.63643","0.01267"
"3.33600","52.63697","0.01260"
"3.34200","52.63745","0.01253"
"3.34800","52.63793","0.01269"
"3.35400","52.63841","0.01286"
"3.36000","52.63889","0.01296"
"3.36600","52.63942","0.01315"
"3.37200","52.63990","0.01336"
"3.37800","52.64044","0.01336"
"3.38400","52.64092","0.01341"
"3.39000","52.64140","0.01340"
"3.39600","52.64193","0.01333"
"3.40200","52.64241","0.01335"
"3.40800","52.64295","0.01345"
"3.41400","52.64342","0.01343"
"3.42000","52.64397","0.01336"
"3.42600","52.64444","0.01344"
"3.43200","52.64498","0.01347"
"3.43800","52.64546","0.01341"
"3.44400","52.64600","0.01334"
"3.45000","52.64648","0.01337"
"3.45600","52.64701","0.01340"
"3.46200","52.64750","0.01340"
"3.46800","52.64797","0.01347"
"3.47400","52.64851","0.01368"
"3.48000","52.64899","0.01386"
"3.48600","52.64947","0.01391"
"3.49200","52.65001","0.01392"
"3.49800","52.65048","0.01400"
"3.50400","52.65096","0.01407"
"3.51000","52.65144","0.01403"
"3.51600","52.65198","0.01387"
"3.52200","52.65245","0.01373"
"3.52800","52.65294","0.01363"
"3.53400","52.65348","0.01367"
"3.54000","52.65395","0.01379"
"3.54600","52.65443","0.01398"
"3.55200","52.65491","0.01381"
"3.55800","52.65545","0.01356"
"3.56400","52.65593","0.01336"
