End date,"11/14/2016"
Specimen label,"20AG60"
Maximum Load,"1.40394",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","17.40485","0.04586"
"0.00600","17.40485","0.04594"
"0.01200","17.40485","0.04604"
"0.01800","17.40485","0.04607"
"0.02400","17.40503","0.04614"
"0.03000","17.40509","0.04615"
"0.03600","17.40521","0.04609"
"0.04200","17.40533","0.04606"
"0.04800","17.40551","0.04596"
"0.05400","17.40563","0.04591"
"0.06000","17.40587","0.04591"
"0.06600","17.40611","0.04582"
"0.07200","17.40635","0.04578"
"0.07800","17.40665","0.04576"
"0.08400","17.40689","0.04574"
"0.09000","17.40724","0.04581"
"0.09600","17.40760","0.04592"
"0.10200","17.40796","0.04607"
"0.10800","17.40838","0.04629"
"0.11400","17.40874","0.04635"
"0.12000","17.40922","0.04640"
"0.12600","17.40969","0.04646"
"0.13200","17.41017","0.04646"
"0.13800","17.41071","0.04645"
"0.14400","17.41125","0.04641"
"0.15000","17.41185","0.04626"
"0.15600","17.41251","0.04618"
"0.16200","17.41310","0.04614"
"0.16800","17.41376","0.04609"
"0.17400","17.41442","0.04610"
"0.18000","17.41508","0.04614"
"0.18600","17.41579","0.04624"
"0.19200","17.41645","0.04643"
"0.19800","17.41717","0.04658"
"0.20400","17.41789","0.04665"
"0.21000","17.41854","0.04680"
"0.21600","17.41926","0.04688"
"0.22200","17.41998","0.04697"
"0.22800","17.42070","0.04706"
"0.23400","17.42135","0.04708"
"0.24000","17.42207","0.04712"
"0.24600","17.42273","0.04722"
"0.25200","17.42345","0.04726"
"0.25800","17.42416","0.04731"
"0.26400","17.42482","0.04732"
"0.27000","17.42548","0.04734"
"0.27600","17.42620","0.04735"
"0.28200","17.42686","0.04736"
"0.28800","17.42751","0.04741"
"0.29400","17.42811","0.04750"
"0.30000","17.42877","0.04748"
"0.30600","17.42937","0.04743"
"0.31200","17.43003","0.04740"
"0.31800","17.43062","0.04738"
"0.32400","17.43122","0.04743"
"0.33000","17.43182","0.04746"
"0.33600","17.43242","0.04748"
"0.34200","17.43295","0.04758"
"0.34800","17.43355","0.04763"
"0.35400","17.43409","0.04772"
"0.36000","17.43469","0.04782"
"0.36600","17.43522","0.04791"
"0.37200","17.43582","0.04801"
"0.37800","17.43636","0.04804"
"0.38400","17.43696","0.04808"
"0.39000","17.43750","0.04815"
"0.39600","17.43804","0.04817"
"0.40200","17.43857","0.04814"
"0.40800","17.43911","0.04811"
"0.41400","17.43965","0.04808"
"0.42000","17.44019","0.04803"
"0.42600","17.44073","0.04807"
"0.43200","17.44120","0.04805"
"0.43800","17.44174","0.04806"
"0.44400","17.44222","0.04814"
"0.45000","17.44270","0.04813"
"0.45600","17.44324","0.04806"
"0.46200","17.44378","0.04799"
"0.46800","17.44425","0.04793"
"0.47400","17.44473","0.04797"
"0.48000","17.44527","0.04790"
"0.48600","17.44575","0.04779"
"0.49200","17.44629","0.04782"
"0.49800","17.44677","0.04784"
"0.50400","17.44724","0.04784"
"0.51000","17.44778","0.04792"
"0.51600","17.44826","0.04800"
"0.52200","17.44874","0.04805"
"0.52800","17.44928","0.04813"
"0.53400","17.44975","0.04822"
"0.54000","17.45029","0.04832"
"0.54600","17.45077","0.04840"
"0.55200","17.45125","0.04844"
"0.55800","17.45179","0.04854"
"0.56400","17.45227","0.04861"
"0.57000","17.45275","0.04857"
"0.57600","17.45322","0.04849"
"0.58200","17.45370","0.04844"
"0.58800","17.45418","0.04842"
"0.59400","17.45466","0.04841"
"0.60000","17.45514","0.04838"
"0.60600","17.45567","0.04846"
"0.61200","17.45615","0.04855"
"0.61800","17.45663","0.04857"
"0.62400","17.45717","0.04861"
"0.63000","17.45765","0.04861"
"0.63600","17.45812","0.04857"
"0.64200","17.45866","0.04860"
"0.64800","17.45914","0.04860"
"0.65400","17.45968","0.04861"
"0.66000","17.46016","0.04863"
"0.66600","17.46070","0.04863"
"0.67200","17.46118","0.04872"
"0.67800","17.46165","0.04885"
"0.68400","17.46219","0.04889"
"0.69000","17.46267","0.04894"
"0.69600","17.46321","0.04896"
"0.70200","17.46369","0.04894"
"0.70800","17.46416","0.04892"
"0.71400","17.46464","0.04886"
"0.72000","17.46518","0.04884"
"0.72600","17.46566","0.04885"
"0.73200","17.46614","0.04886"
"0.73800","17.46662","0.04893"
"0.74400","17.46715","0.04904"
"0.75000","17.46763","0.04911"
"0.75600","17.46811","0.04920"
"0.76200","17.46859","0.04923"
"0.76800","17.46907","0.04922"
"0.77400","17.46960","0.04929"
"0.78000","17.47008","0.04933"
"0.78600","17.47062","0.04939"
"0.79200","17.47110","0.04942"
"0.79800","17.47158","0.04942"
"0.80400","17.47212","0.04939"
"0.81000","17.47260","0.04935"
"0.81600","17.47313","0.04923"
"0.82200","17.47361","0.04914"
"0.82800","17.47415","0.04909"
"0.83400","17.47463","0.04910"
"0.84000","17.47511","0.04917"
"0.84600","17.47558","0.04922"
"0.85200","17.47612","0.04923"
"0.85800","17.47660","0.04926"
"0.86400","17.47708","0.04929"
"0.87000","17.47756","0.04929"
"0.87600","17.47810","0.04927"
"0.88200","17.47857","0.04925"
"0.88800","17.47905","0.04927"
"0.89400","17.47959","0.04933"
"0.90000","17.48007","0.04933"
"0.90600","17.48055","0.04937"
"0.91200","17.48108","0.04938"
"0.91800","17.48156","0.04932"
"0.92400","17.48210","0.04934"
"0.93000","17.48258","0.04929"
"0.93600","17.48312","0.04915"
"0.94200","17.48366","0.04910"
"0.94800","17.48413","0.04905"
"0.95400","17.48467","0.04909"
"0.96000","17.48515","0.04919"
"0.96600","17.48569","0.04921"
"0.97200","17.48617","0.04919"
"0.97800","17.48670","0.04919"
"0.98400","17.48718","0.04912"
"0.99000","17.48766","0.04916"
"0.99600","17.48820","0.04920"
"1.00200","17.48868","0.04920"
"1.00800","17.48915","0.04928"
"1.01400","17.48969","0.04938"
"1.02000","17.49017","0.04944"
"1.02600","17.49065","0.04947"
"1.03200","17.49113","0.04950"
"1.03800","17.49167","0.04953"
"1.04400","17.49215","0.04959"
"1.05000","17.49262","0.04964"
"1.05600","17.49316","0.04966"
"1.06200","17.49364","0.04963"
"1.06800","17.49418","0.04952"
"1.07400","17.49466","0.04948"
"1.08000","17.49513","0.04951"
"1.08600","17.49567","0.04950"
"1.09200","17.49615","0.04950"
"1.09800","17.49669","0.04951"
"1.10400","17.49717","0.04951"
"1.11000","17.49765","0.04954"
"1.11600","17.49818","0.04955"
"1.12200","17.49866","0.04959"
"1.12800","17.49914","0.04965"
"1.13400","17.49968","0.04970"
"1.14000","17.50016","0.04979"
"1.14600","17.50064","0.04984"
"1.15200","17.50111","0.04986"
"1.15800","17.50159","0.04996"
"1.16400","17.50213","0.05002"
"1.17000","17.50261","0.05007"
"1.17600","17.50309","0.05013"
"1.18200","17.50362","0.05011"
"1.18800","17.50410","0.05005"
"1.19400","17.50464","0.05002"
"1.20000","17.50512","0.04994"
"1.20600","17.50560","0.04993"
"1.21200","17.50614","0.04995"
"1.21800","17.50661","0.04992"
"1.22400","17.50715","0.04994"
"1.23000","17.50763","0.05002"
"1.23600","17.50817","0.05014"
"1.24200","17.50865","0.05025"
"1.24800","17.50918","0.05033"
"1.25400","17.50966","0.05037"
"1.26000","17.51014","0.05036"
"1.26600","17.51068","0.05029"
"1.27200","17.51116","0.05027"
"1.27800","17.51164","0.05026"
"1.28400","17.51217","0.05021"
"1.29000","17.51265","0.05023"
"1.29600","17.51313","0.05020"
"1.30200","17.51361","0.05020"
"1.30800","17.51409","0.05025"
"1.31400","17.51457","0.05025"
"1.32000","17.51510","0.05025"
"1.32600","17.51558","0.05032"
"1.33200","17.51606","0.05038"
"1.33800","17.51660","0.05041"
"1.34400","17.51708","0.05045"
"1.35000","17.51761","0.05050"
"1.35600","17.51809","0.05052"
"1.36200","17.51857","0.05055"
"1.36800","17.51911","0.05054"
"1.37400","17.51959","0.05053"
"1.38000","17.52007","0.05052"
"1.38600","17.52061","0.05047"
"1.39200","17.52108","0.05049"
"1.39800","17.52156","0.05051"
"1.40400","17.52210","0.05052"
"1.41000","17.52258","0.05053"
"1.41600","17.52306","0.05050"
"1.42200","17.52353","0.05045"
"1.42800","17.52401","0.05048"
"1.43400","17.52455","0.05048"
"1.44000","17.52503","0.05053"
"1.44600","17.52551","0.05059"
"1.45200","17.52599","0.05060"
"1.45800","17.52652","0.05058"
"1.46400","17.52700","0.05056"
"1.47000","17.52754","0.05055"
"1.47600","17.52802","0.05056"
"1.48200","17.52856","0.05057"
"1.48800","17.52904","0.05057"
"1.49400","17.52957","0.05059"
"1.50000","17.53005","0.05066"
"1.50600","17.53059","0.05074"
"1.51200","17.53107","0.05078"
"1.51800","17.53160","0.05078"
"1.52400","17.53214","0.05076"
"1.53000","17.53262","0.05070"
"1.53600","17.53310","0.05067"
"1.54200","17.53364","0.05069"
"1.54800","17.53412","0.05068"
"1.55400","17.53466","0.05069"
"1.56000","17.53513","0.05077"
"1.56600","17.53561","0.05082"
"1.57200","17.53615","0.05088"
"1.57800","17.53663","0.05090"
"1.58400","17.53711","0.05091"
"1.59000","17.53765","0.05091"
"1.59600","17.53812","0.05084"
"1.60200","17.53866","0.05078"
"1.60800","17.53914","0.05078"
"1.61400","17.53962","0.05078"
"1.62000","17.54016","0.05083"
"1.62600","17.54063","0.05085"
"1.63200","17.54117","0.05082"
"1.63800","17.54165","0.05083"
"1.64400","17.54213","0.05091"
"1.65000","17.54267","0.05096"
"1.65600","17.54315","0.05104"
"1.66200","17.54362","0.05112"
"1.66800","17.54416","0.05116"
"1.67400","17.54464","0.05122"
"1.68000","17.54518","0.05125"
"1.68600","17.54566","0.05124"
"1.69200","17.54614","0.05124"
"1.69800","17.54667","0.05120"
"1.70400","17.54715","0.05109"
"1.71000","17.54763","0.05101"
"1.71600","17.54817","0.05092"
"1.72200","17.54865","0.05085"
"1.72800","17.54913","0.05081"
"1.73400","17.54966","0.05079"
"1.74000","17.55014","0.05083"
"1.74600","17.55062","0.05085"
"1.75200","17.55116","0.05086"
"1.75800","17.55164","0.05094"
"1.76400","17.55211","0.05100"
"1.77000","17.55259","0.05106"
"1.77600","17.55313","0.05112"
"1.78200","17.55361","0.05118"
"1.78800","17.55409","0.05126"
"1.79400","17.55463","0.05131"
"1.80000","17.55511","0.05133"
"1.80600","17.55564","0.05131"
"1.81200","17.55612","0.05130"
"1.81800","17.55666","0.05121"
"1.82400","17.55714","0.05117"
"1.83000","17.55767","0.05115"
"1.83600","17.55815","0.05113"
"1.84200","17.55863","0.05115"
"1.84800","17.55917","0.05117"
"1.85400","17.55965","0.05122"
"1.86000","17.56013","0.05129"
"1.86600","17.56067","0.05132"
"1.87200","17.56114","0.05135"
"1.87800","17.56162","0.05138"
"1.88400","17.56210","0.05140"
"1.89000","17.56264","0.05141"
"1.89600","17.56312","0.05141"
"1.90200","17.56359","0.05139"
"1.90800","17.56407","0.05140"
"1.91400","17.56461","0.05136"
"1.92000","17.56509","0.05131"
"1.92600","17.56557","0.05128"
"1.93200","17.56610","0.05126"
"1.93800","17.56658","0.05124"
"1.94400","17.56706","0.05125"
"1.95000","17.56760","0.05122"
"1.95600","17.56808","0.05124"
"1.96200","17.56856","0.05130"
"1.96800","17.56910","0.05134"
"1.97400","17.56957","0.05140"
"1.98000","17.57011","0.05144"
"1.98600","17.57059","0.05146"
"1.99200","17.57107","0.05146"
"1.99800","17.57161","0.05141"
"2.00400","17.57208","0.05137"
"2.01000","17.57256","0.05135"
"2.01600","17.57310","0.05131"
"2.02200","17.57358","0.05131"
"2.02800","17.57406","0.05130"
"2.03400","17.57459","0.05130"
"2.04000","17.57507","0.05136"
"2.04600","17.57555","0.05140"
"2.05200","17.57609","0.05142"
"2.05800","17.57657","0.05146"
"2.06400","17.57705","0.05147"
"2.07000","17.57759","0.05151"
"2.07600","17.57806","0.05159"
"2.08200","17.57860","0.05157"
"2.08800","17.57908","0.05155"
"2.09400","17.57962","0.05155"
"2.10000","17.58010","0.05156"
"2.10600","17.58063","0.05159"
"2.11200","17.58117","0.05160"
"2.11800","17.58165","0.05157"
"2.12400","17.58219","0.05157"
"2.13000","17.58267","0.05157"
"2.13600","17.58320","0.05157"
"2.14200","17.58368","0.05155"
"2.14800","17.58416","0.05149"
"2.15400","17.58470","0.05143"
"2.16000","17.58518","0.05138"
"2.16600","17.58566","0.05132"
"2.17200","17.58613","0.05131"
"2.17800","17.58661","0.05131"
"2.18400","17.58715","0.05128"
"2.19000","17.58763","0.05131"
"2.19600","17.58811","0.05142"
"2.20200","17.58858","0.05153"
"2.20800","17.58912","0.05163"
"2.21400","17.58960","0.05166"
"2.22000","17.59014","0.05168"
"2.22600","17.59062","0.05168"
"2.23200","17.59110","0.05166"
"2.23800","17.59163","0.05168"
"2.24400","17.59217","0.05173"
"2.25000","17.59265","0.05172"
"2.25600","17.59313","0.05173"
"2.26200","17.59367","0.05173"
"2.26800","17.59414","0.05171"
