End date,"11/14/2016"
Specimen label,"20BT63.2"
Maximum Load,"0.14899",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00020"
"0.00600","0.00000","-0.00027"
"0.01200","0.00000","-0.00029"
"0.01800","0.00012","-0.00026"
"0.02400","0.00018","-0.00032"
"0.03000","0.00030","-0.00034"
"0.03600","0.00042","-0.00035"
"0.04200","0.00060","-0.00042"
"0.04800","0.00078","-0.00055"
"0.05400","0.00102","-0.00065"
"0.06000","0.00126","-0.00060"
"0.06600","0.00155","-0.00036"
"0.07200","0.00185","-0.00001"
"0.07800","0.00221","0.00039"
"0.08400","0.00257","0.00065"
"0.09000","0.00299","0.00077"
"0.09600","0.00341","0.00077"
"0.10200","0.00389","0.00068"
"0.10800","0.00436","0.00047"
"0.11400","0.00490","0.00043"
"0.12000","0.00544","0.00043"
"0.12600","0.00604","0.00055"
"0.13200","0.00658","0.00059"
"0.13800","0.00723","0.00072"
"0.14400","0.00783","0.00078"
"0.15000","0.00849","0.00076"
"0.15600","0.00915","0.00067"
"0.16200","0.00987","0.00055"
"0.16800","0.01052","0.00037"
"0.17400","0.01118","0.00024"
"0.18000","0.01184","0.00008"
"0.18600","0.01250","0.00008"
"0.19200","0.01315","0.00025"
"0.19800","0.01381","0.00032"
"0.20400","0.01447","0.00034"
"0.21000","0.01519","0.00051"
"0.21600","0.01584","0.00070"
"0.22200","0.01650","0.00076"
"0.22800","0.01716","0.00078"
"0.23400","0.01782","0.00075"
"0.24000","0.01842","0.00066"
"0.24600","0.01907","0.00059"
"0.25200","0.01973","0.00065"
"0.25800","0.02033","0.00072"
"0.26400","0.02099","0.00076"
"0.27000","0.02164","0.00081"
"0.27600","0.02224","0.00077"
"0.28200","0.02284","0.00061"
"0.28800","0.02344","0.00044"
"0.29400","0.02398","0.00028"
"0.30000","0.02457","0.00040"
"0.30600","0.02511","0.00062"
"0.31200","0.02571","0.00075"
"0.31800","0.02625","0.00064"
"0.32400","0.02679","0.00043"
"0.33000","0.02738","0.00034"
"0.33600","0.02792","0.00045"
"0.34200","0.02846","0.00059"
"0.34800","0.02900","0.00055"
"0.35400","0.02954","0.00067"
"0.36000","0.03013","0.00066"
"0.36600","0.03061","0.00057"
"0.37200","0.03115","0.00045"
"0.37800","0.03169","0.00042"
"0.38400","0.03223","0.00045"
"0.39000","0.03270","0.00064"
"0.39600","0.03324","0.00088"
"0.40200","0.03378","0.00105"
"0.40800","0.03432","0.00113"
"0.41400","0.03480","0.00123"
"0.42000","0.03534","0.00117"
"0.42600","0.03581","0.00090"
"0.43200","0.03629","0.00067"
"0.43800","0.03683","0.00055"
"0.44400","0.03731","0.00052"
"0.45000","0.03779","0.00038"
"0.45600","0.03833","0.00039"
"0.46200","0.03880","0.00039"
"0.46800","0.03934","0.00043"
"0.47400","0.03982","0.00043"
"0.48000","0.04030","0.00037"
"0.48600","0.04084","0.00034"
"0.49200","0.04131","0.00016"
"0.49800","0.04179","0.00004"
"0.50400","0.04227","-0.00004"
"0.51000","0.04281","-0.00011"
"0.51600","0.04329","-0.00015"
"0.52200","0.04377","-0.00004"
"0.52800","0.04424","0.00002"
"0.53400","0.04472","-0.00004"
"0.54000","0.04526","0.00008"
"0.54600","0.04574","0.00022"
"0.55200","0.04622","0.00044"
"0.55800","0.04670","0.00063"
"0.56400","0.04723","0.00067"
"0.57000","0.04771","0.00061"
"0.57600","0.04819","0.00073"
"0.58200","0.04873","0.00102"
"0.58800","0.04921","0.00119"
"0.59400","0.04969","0.00117"
"0.60000","0.05022","0.00104"
"0.60600","0.05070","0.00083"
"0.61200","0.05118","0.00066"
"0.61800","0.05166","0.00061"
"0.62400","0.05220","0.00057"
"0.63000","0.05267","0.00046"
"0.63600","0.05315","0.00040"
"0.64200","0.05369","0.00038"
"0.64800","0.05417","0.00037"
"0.65400","0.05465","0.00037"
"0.66000","0.05519","0.00045"
"0.66600","0.05566","0.00039"
"0.67200","0.05614","0.00036"
"0.67800","0.05668","0.00034"
"0.68400","0.05716","0.00040"
"0.69000","0.05770","0.00046"
"0.69600","0.05818","0.00050"
"0.70200","0.05871","0.00072"
