End date,"11/14/2016"
Specimen label,"20BT63.2.r2"
Maximum Load,"0.05861",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","19.54173","0.00819"
"0.00600","19.54173","0.00820"
"0.01200","19.54173","0.00808"
"0.01800","19.54179","0.00794"
"0.02400","19.54191","0.00773"
"0.03000","19.54203","0.00741"
"0.03600","19.54215","0.00701"
"0.04200","19.54233","0.00676"
"0.04800","19.54251","0.00678"
"0.05400","19.54275","0.00685"
"0.06000","19.54299","0.00714"
"0.06600","19.54322","0.00745"
"0.07200","19.54353","0.00763"
"0.07800","19.54382","0.00771"
"0.08400","19.54418","0.00749"
"0.09000","19.54454","0.00726"
"0.09600","19.54490","0.00712"
"0.10200","19.54532","0.00710"
"0.10800","19.54580","0.00713"
"0.11400","19.54627","0.00723"
"0.12000","19.54681","0.00738"
"0.12600","19.54735","0.00731"
"0.13200","19.54789","0.00715"
"0.13800","19.54849","0.00706"
"0.14400","19.54909","0.00710"
"0.15000","19.54974","0.00709"
"0.15600","19.55034","0.00717"
"0.16200","19.55100","0.00726"
"0.16800","19.55165","0.00728"
"0.17400","19.55231","0.00725"
"0.18000","19.55297","0.00715"
"0.18600","19.55369","0.00708"
"0.19200","19.55435","0.00702"
"0.19800","19.55506","0.00702"
"0.20400","19.55572","0.00705"
"0.21000","19.55638","0.00691"
"0.21600","19.55704","0.00669"
"0.22200","19.55769","0.00649"
"0.22800","19.55841","0.00635"
"0.23400","19.55907","0.00628"
"0.24000","19.55973","0.00619"
"0.24600","19.56038","0.00608"
"0.25200","19.56104","0.00604"
"0.25800","19.56170","0.00624"
"0.26400","19.56236","0.00647"
"0.27000","19.56295","0.00651"
"0.27600","19.56355","0.00641"
"0.28200","19.56421","0.00644"
"0.28800","19.56481","0.00651"
"0.29400","19.56541","0.00649"
"0.30000","19.56601","0.00638"
"0.30600","19.56660","0.00632"
"0.31200","19.56720","0.00648"
"0.31800","19.56780","0.00647"
"0.32400","19.56840","0.00628"
"0.33000","19.56893","0.00616"
"0.33600","19.56953","0.00620"
"0.34200","19.57007","0.00619"
"0.34800","19.57067","0.00639"
"0.35400","19.57121","0.00664"
"0.36000","19.57174","0.00671"
"0.36600","19.57228","0.00664"
"0.37200","19.57282","0.00645"
"0.37800","19.57336","0.00624"
"0.38400","19.57390","0.00617"
"0.39000","19.57444","0.00628"
"0.39600","19.57497","0.00659"
"0.40200","19.57551","0.00689"
"0.40800","19.57599","0.00704"
"0.41400","19.57653","0.00709"
"0.42000","19.57701","0.00714"
"0.42600","19.57754","0.00713"
"0.43200","19.57802","0.00726"
"0.43800","19.57850","0.00745"
"0.44400","19.57904","0.00754"
"0.45000","19.57952","0.00738"
"0.45600","19.58000","0.00709"
"0.46200","19.58053","0.00690"
"0.46800","19.58101","0.00695"
"0.47400","19.58149","0.00725"
"0.48000","19.58203","0.00757"
"0.48600","19.58251","0.00782"
"0.49200","19.58298","0.00783"
"0.49800","19.58352","0.00775"
"0.50400","19.58400","0.00769"
"0.51000","19.58448","0.00752"
"0.51600","19.58502","0.00725"
"0.52200","19.58549","0.00707"
"0.52800","19.58597","0.00712"
"0.53400","19.58645","0.00706"
"0.54000","19.58693","0.00686"
"0.54600","19.58747","0.00668"
"0.55200","19.58795","0.00668"
"0.55800","19.58843","0.00661"
"0.56400","19.58890","0.00655"
"0.57000","19.58938","0.00680"
"0.57600","19.58986","0.00721"
"0.58200","19.59040","0.00754"
"0.58800","19.59088","0.00766"
"0.59400","19.59136","0.00771"
"0.60000","19.59184","0.00765"
"0.60600","19.59231","0.00761"
"0.61200","19.59285","0.00766"
"0.61800","19.59333","0.00759"
"0.62400","19.59386","0.00754"
"0.63000","19.59435","0.00761"
"0.63600","19.59488","0.00769"
"0.64200","19.59536","0.00773"
"0.64800","19.59584","0.00786"
"0.65400","19.59638","0.00811"
"0.66000","19.59686","0.00816"
"0.66600","19.59739","0.00827"
"0.67200","19.59787","0.00838"
"0.67800","19.59841","0.00844"
"0.68400","19.59889","0.00834"
"0.69000","19.59937","0.00813"
"0.69600","19.59984","0.00783"
"0.70200","19.60038","0.00778"
"0.70800","19.60086","0.00781"
"0.71400","19.60140","0.00792"
"0.72000","19.60188","0.00790"
"0.72600","19.60236","0.00761"
"0.73200","19.60283","0.00740"
"0.73800","19.60337","0.00699"
"0.74400","19.60385","0.00670"
"0.75000","19.60433","0.00661"
"0.75600","19.60481","0.00668"
"0.76200","19.60535","0.00676"
"0.76800","19.60582","0.00681"
"0.77400","19.60636","0.00684"
"0.78000","19.60684","0.00674"
"0.78600","19.60738","0.00639"
"0.79200","19.60792","0.00607"
"0.79800","19.60839","0.00604"
"0.80400","19.60893","0.00618"
"0.81000","19.60941","0.00642"
"0.81600","19.60989","0.00679"
"0.82200","19.61043","0.00703"
"0.82800","19.61091","0.00691"
"0.83400","19.61138","0.00671"
"0.84000","19.61192","0.00665"
"0.84600","19.61240","0.00677"
"0.85200","19.61288","0.00684"
"0.85800","19.61342","0.00699"
"0.86400","19.61390","0.00713"
"0.87000","19.61437","0.00710"
"0.87600","19.61491","0.00682"
"0.88200","19.61539","0.00663"
"0.88800","19.61587","0.00642"
"0.89400","19.61641","0.00632"
"0.90000","19.61689","0.00638"
"0.90600","19.61736","0.00630"
"0.91200","19.61790","0.00630"
"0.91800","19.61838","0.00643"
"0.92400","19.61886","0.00678"
"0.93000","19.61940","0.00706"
"0.93600","19.61993","0.00698"
"0.94200","19.62041","0.00686"
"0.94800","19.62095","0.00673"
"0.95400","19.62143","0.00671"
"0.96000","19.62197","0.00673"
"0.96600","19.62245","0.00668"
"0.97200","19.62299","0.00650"
"0.97800","19.62346","0.00625"
"0.98400","19.62394","0.00608"
"0.99000","19.62442","0.00605"
"0.99600","19.62496","0.00589"
"1.00200","19.62544","0.00588"
"1.00800","19.62591","0.00596"
"1.01400","19.62639","0.00598"
"1.02000","19.62693","0.00618"
"1.02600","19.62741","0.00643"
"1.03200","19.62789","0.00679"
"1.03800","19.62843","0.00705"
"1.04400","19.62890","0.00717"
"1.05000","19.62938","0.00725"
"1.05600","19.62992","0.00748"
"1.06200","19.63040","0.00780"
"1.06800","19.63087","0.00803"
"1.07400","19.63142","0.00813"
"1.08000","19.63189","0.00820"
"1.08600","19.63243","0.00819"
"1.09200","19.63291","0.00803"
"1.09800","19.63339","0.00784"
"1.10400","19.63393","0.00760"
"1.11000","19.63441","0.00711"
"1.11600","19.63488","0.00677"
"1.12200","19.63542","0.00638"
"1.12800","19.63590","0.00616"
"1.13400","19.63638","0.00624"
"1.14000","19.63685","0.00659"
"1.14600","19.63733","0.00711"
"1.15200","19.63781","0.00747"
"1.15800","19.63829","0.00759"
"1.16400","19.63883","0.00768"
"1.17000","19.63931","0.00780"
"1.17600","19.63979","0.00786"
"1.18200","19.64033","0.00782"
"1.18800","19.64080","0.00785"
"1.19400","19.64128","0.00784"
"1.20000","19.64182","0.00767"
"1.20600","19.64230","0.00752"
"1.21200","19.64283","0.00738"
"1.21800","19.64331","0.00729"
"1.22400","19.64379","0.00728"
"1.23000","19.64433","0.00733"
"1.23600","19.64481","0.00762"
"1.24200","19.64528","0.00791"
"1.24800","19.64582","0.00823"
"1.25400","19.64630","0.00853"
"1.26000","19.64684","0.00872"
"1.26600","19.64732","0.00888"
"1.27200","19.64780","0.00889"
"1.27800","19.64834","0.00883"
"1.28400","19.64881","0.00864"
"1.29000","19.64935","0.00829"
"1.29600","19.64983","0.00786"
"1.30200","19.65031","0.00751"
"1.30800","19.65085","0.00750"
"1.31400","19.65138","0.00754"
"1.32000","19.65186","0.00754"
"1.32600","19.65234","0.00742"
"1.33200","19.65288","0.00736"
"1.33800","19.65336","0.00722"
"1.34400","19.65384","0.00706"
"1.35000","19.65437","0.00697"
"1.35600","19.65485","0.00685"
"1.36200","19.65539","0.00660"
"1.36800","19.65587","0.00651"
"1.37400","19.65640","0.00658"
"1.38000","19.65689","0.00665"
"1.38600","19.65742","0.00678"
"1.39200","19.65790","0.00676"
"1.39800","19.65838","0.00676"
"1.40400","19.65892","0.00684"
"1.41000","19.65940","0.00698"
"1.41600","19.65988","0.00707"
"1.42200","19.66041","0.00715"
"1.42800","19.66089","0.00734"
"1.43400","19.66143","0.00750"
"1.44000","19.66191","0.00742"
"1.44600","19.66245","0.00740"
"1.45200","19.66292","0.00739"
"1.45800","19.66340","0.00741"
"1.46400","19.66394","0.00741"
"1.47000","19.66442","0.00730"
"1.47600","19.66490","0.00712"
"1.48200","19.66537","0.00680"
"1.48800","19.66591","0.00662"
"1.49400","19.66639","0.00670"
"1.50000","19.66687","0.00677"
"1.50600","19.66741","0.00683"
"1.51200","19.66789","0.00684"
"1.51800","19.66836","0.00681"
"1.52400","19.66890","0.00679"
"1.53000","19.66938","0.00684"
"1.53600","19.66986","0.00699"
"1.54200","19.67040","0.00704"
"1.54800","19.67088","0.00700"
"1.55400","19.67141","0.00701"
"1.56000","19.67189","0.00711"
"1.56600","19.67237","0.00722"
"1.57200","19.67291","0.00735"
"1.57800","19.67339","0.00740"
"1.58400","19.67393","0.00741"
"1.59000","19.67440","0.00727"
"1.59600","19.67494","0.00711"
"1.60200","19.67542","0.00694"
"1.60800","19.67590","0.00680"
"1.61400","19.67644","0.00664"
"1.62000","19.67691","0.00660"
"1.62600","19.67739","0.00655"
"1.63200","19.67787","0.00662"
"1.63800","19.67841","0.00696"
"1.64400","19.67889","0.00730"
"1.65000","19.67937","0.00741"
"1.65600","19.67984","0.00740"
"1.66200","19.68038","0.00723"
"1.66800","19.68086","0.00720"
"1.67400","19.68134","0.00710"
"1.68000","19.68188","0.00711"
"1.68600","19.68236","0.00733"
"1.69200","19.68283","0.00761"
"1.69800","19.68337","0.00784"
"1.70400","19.68385","0.00811"
"1.71000","19.68433","0.00826"
"1.71600","19.68486","0.00834"
"1.72200","19.68534","0.00825"
"1.72800","19.68582","0.00798"
"1.73400","19.68636","0.00778"
"1.74000","19.68684","0.00767"
"1.74600","19.68732","0.00755"
"1.75200","19.68785","0.00758"
"1.75800","19.68833","0.00775"
"1.76400","19.68881","0.00797"
"1.77000","19.68935","0.00800"
"1.77600","19.68983","0.00808"
"1.78200","19.69031","0.00809"
"1.78800","19.69084","0.00826"
"1.79400","19.69132","0.00836"
"1.80000","19.69180","0.00835"
"1.80600","19.69228","0.00845"
"1.81200","19.69282","0.00862"
"1.81800","19.69330","0.00862"
"1.82400","19.69378","0.00855"
"1.83000","19.69431","0.00854"
"1.83600","19.69479","0.00822"
"1.84200","19.69533","0.00792"
"1.84800","19.69581","0.00782"
"1.85400","19.69635","0.00788"
"1.86000","19.69682","0.00786"
"1.86600","19.69736","0.00777"
"1.87200","19.69784","0.00766"
"1.87800","19.69838","0.00757"
"1.88400","19.69886","0.00751"
"1.89000","19.69939","0.00745"
"1.89600","19.69987","0.00734"
"1.90200","19.70041","0.00732"
"1.90800","19.70089","0.00739"
"1.91400","19.70137","0.00733"
"1.92000","19.70191","0.00718"
"1.92600","19.70239","0.00719"
"1.93200","19.70286","0.00732"
"1.93800","19.70340","0.00754"
"1.94400","19.70388","0.00760"
"1.95000","19.70436","0.00754"
"1.95600","19.70490","0.00740"
"1.96200","19.70537","0.00713"
"1.96800","19.70585","0.00696"
"1.97400","19.70639","0.00695"
"1.98000","19.70687","0.00690"
"1.98600","19.70741","0.00687"
"1.99200","19.70789","0.00675"
"1.99800","19.70843","0.00670"
"2.00400","19.70890","0.00658"
"2.01000","19.70938","0.00638"
"2.01600","19.70992","0.00632"
"2.02200","19.71040","0.00650"
"2.02800","19.71094","0.00682"
"2.03400","19.71141","0.00699"
"2.04000","19.71189","0.00698"
"2.04600","19.71243","0.00703"
"2.05200","19.71291","0.00707"
"2.05800","19.71339","0.00709"
"2.06400","19.71392","0.00701"
"2.07000","19.71440","0.00693"
"2.07600","19.71488","0.00687"
"2.08200","19.71542","0.00705"
"2.08800","19.71590","0.00731"
"2.09400","19.71638","0.00745"
"2.10000","19.71692","0.00740"
"2.10600","19.71739","0.00725"
"2.11200","19.71793","0.00713"
"2.11800","19.71841","0.00718"
"2.12400","19.71889","0.00739"
"2.13000","19.71943","0.00761"
"2.13600","19.71990","0.00772"
"2.14200","19.72038","0.00773"
"2.14800","19.72086","0.00769"
"2.15400","19.72140","0.00766"
"2.16000","19.72187","0.00750"
"2.16600","19.72235","0.00736"
"2.17200","19.72289","0.00731"
"2.17800","19.72337","0.00723"
"2.18400","19.72385","0.00728"
"2.19000","19.72439","0.00753"
"2.19600","19.72486","0.00773"
"2.20200","19.72535","0.00817"
"2.20800","19.72582","0.00841"
"2.21400","19.72636","0.00844"
"2.22000","19.72684","0.00843"
"2.22600","19.72732","0.00839"
"2.23200","19.72785","0.00826"
"2.23800","19.72833","0.00804"
"2.24400","19.72887","0.00760"
"2.25000","19.72935","0.00714"
"2.25600","19.72983","0.00692"
"2.26200","19.73037","0.00697"
"2.26800","19.73084","0.00732"
"2.27400","19.73132","0.00773"
"2.28000","19.73180","0.00788"
"2.28600","19.73234","0.00781"
"2.29200","19.73282","0.00777"
"2.29800","19.73330","0.00770"
