End date,"11/14/2016"
Specimen label,"20BT60"
Maximum Load,"0.35281",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00027"
"0.00600","0.00000","-0.00045"
"0.01200","0.00000","-0.00065"
"0.01800","0.00012","-0.00066"
"0.02400","0.00018","-0.00053"
"0.03000","0.00030","-0.00044"
"0.03600","0.00042","-0.00039"
"0.04200","0.00060","-0.00036"
"0.04800","0.00078","-0.00031"
"0.05400","0.00096","-0.00024"
"0.06000","0.00120","-0.00014"
"0.06600","0.00155","-0.00022"
"0.07200","0.00185","-0.00026"
"0.07800","0.00221","-0.00027"
"0.08400","0.00257","-0.00024"
"0.09000","0.00305","-0.00020"
"0.09600","0.00347","-0.00022"
"0.10200","0.00395","-0.00019"
"0.10800","0.00448","0.00003"
"0.11400","0.00502","0.00016"
"0.12000","0.00556","0.00018"
"0.12600","0.00616","0.00013"
"0.13200","0.00670","-0.00006"
"0.13800","0.00735","-0.00021"
"0.14400","0.00795","-0.00028"
"0.15000","0.00861","-0.00018"
"0.15600","0.00927","-0.00016"
"0.16200","0.00993","-0.00023"
"0.16800","0.01058","-0.00029"
"0.17400","0.01124","-0.00034"
"0.18000","0.01190","-0.00053"
"0.18600","0.01256","-0.00053"
"0.19200","0.01327","-0.00055"
"0.19800","0.01393","-0.00056"
"0.20400","0.01459","-0.00056"
"0.21000","0.01525","-0.00055"
"0.21600","0.01590","-0.00058"
"0.22200","0.01662","-0.00049"
"0.22800","0.01728","-0.00034"
"0.23400","0.01788","-0.00023"
"0.24000","0.01853","-0.00026"
"0.24600","0.01919","-0.00023"
"0.25200","0.01979","-0.00015"
"0.25800","0.02045","-0.00014"
"0.26400","0.02105","-0.00021"
"0.27000","0.02164","-0.00022"
"0.27600","0.02224","-0.00016"
"0.28200","0.02284","-0.00005"
"0.28800","0.02344","-0.00003"
"0.29400","0.02404","-0.00017"
"0.30000","0.02463","-0.00015"
"0.30600","0.02517","0.00000"
"0.31200","0.02577","0.00008"
"0.31800","0.02631","0.00012"
"0.32400","0.02691","0.00027"
"0.33000","0.02744","0.00028"
"0.33600","0.02804","0.00011"
"0.34200","0.02858","0.00005"
"0.34800","0.02912","0.00001"
"0.35400","0.02960","-0.00004"
"0.36000","0.03013","-0.00008"
"0.36600","0.03067","-0.00016"
"0.37200","0.03121","-0.00035"
"0.37800","0.03175","-0.00049"
"0.38400","0.03223","-0.00063"
"0.39000","0.03276","-0.00063"
"0.39600","0.03324","-0.00053"
"0.40200","0.03378","-0.00024"
"0.40800","0.03426","0.00013"
"0.41400","0.03480","0.00033"
"0.42000","0.03528","0.00034"
"0.42600","0.03575","0.00032"
"0.43200","0.03629","0.00024"
"0.43800","0.03677","0.00012"
"0.44400","0.03731","-0.00005"
"0.45000","0.03779","-0.00003"
"0.45600","0.03827","-0.00002"
"0.46200","0.03880","0.00003"
"0.46800","0.03928","0.00014"
"0.47400","0.03982","0.00015"
"0.48000","0.04030","-0.00005"
"0.48600","0.04078","-0.00012"
"0.49200","0.04131","-0.00010"
"0.49800","0.04179","-0.00006"
"0.50400","0.04227","0.00009"
"0.51000","0.04275","0.00024"
"0.51600","0.04329","0.00033"
"0.52200","0.04377","0.00047"
"0.52800","0.04424","0.00061"
"0.53400","0.04478","0.00074"
"0.54000","0.04526","0.00081"
"0.54600","0.04574","0.00082"
"0.55200","0.04622","0.00083"
"0.55800","0.04676","0.00076"
"0.56400","0.04723","0.00073"
"0.57000","0.04771","0.00062"
"0.57600","0.04819","0.00055"
"0.58200","0.04873","0.00039"
"0.58800","0.04921","0.00028"
"0.59400","0.04974","0.00020"
"0.60000","0.05022","0.00013"
"0.60600","0.05076","0.00014"
"0.61200","0.05124","0.00027"
"0.61800","0.05178","0.00038"
"0.62400","0.05226","0.00039"
"0.63000","0.05273","0.00034"
"0.63600","0.05327","0.00040"
"0.64200","0.05375","0.00035"
"0.64800","0.05423","0.00021"
"0.65400","0.05477","0.00007"
"0.66000","0.05525","0.00000"
"0.66600","0.05572","0.00008"
"0.67200","0.05626","0.00011"
"0.67800","0.05674","0.00027"
"0.68400","0.05722","0.00037"
"0.69000","0.05776","0.00044"
"0.69600","0.05824","0.00042"
"0.70200","0.05871","0.00043"
"0.70800","0.05925","0.00046"
"0.71400","0.05973","0.00054"
"0.72000","0.06027","0.00062"
"0.72600","0.06075","0.00079"
"0.73200","0.06122","0.00087"
"0.73800","0.06176","0.00073"
"0.74400","0.06230","0.00051"
"0.75000","0.06278","0.00044"
"0.75600","0.06332","0.00053"
"0.76200","0.06380","0.00070"
"0.76800","0.06433","0.00085"
"0.77400","0.06481","0.00082"
"0.78000","0.06529","0.00084"
"0.78600","0.06577","0.00098"
"0.79200","0.06631","0.00114"
"0.79800","0.06678","0.00114"
"0.80400","0.06726","0.00099"
"0.81000","0.06780","0.00088"
"0.81600","0.06828","0.00082"
"0.82200","0.06876","0.00070"
"0.82800","0.06930","0.00070"
"0.83400","0.06977","0.00070"
"0.84000","0.07025","0.00071"
"0.84600","0.07079","0.00073"
"0.85200","0.07127","0.00063"
"0.85800","0.07181","0.00046"
"0.86400","0.07229","0.00031"
"0.87000","0.07282","0.00019"
"0.87600","0.07330","0.00026"
"0.88200","0.07378","0.00043"
"0.88800","0.07432","0.00050"
"0.89400","0.07480","0.00054"
"0.90000","0.07528","0.00062"
"0.90600","0.07581","0.00074"
"0.91200","0.07629","0.00096"
"0.91800","0.07677","0.00115"
"0.92400","0.07725","0.00122"
"0.93000","0.07779","0.00107"
"0.93600","0.07826","0.00079"
"0.94200","0.07874","0.00056"
"0.94800","0.07922","0.00045"
"0.95400","0.07976","0.00048"
"0.96000","0.08024","0.00068"
"0.96600","0.08072","0.00096"
"0.97200","0.08119","0.00112"
"0.97800","0.08173","0.00104"
"0.98400","0.08221","0.00100"
"0.99000","0.08269","0.00124"
"0.99600","0.08323","0.00162"
"1.00200","0.08371","0.00167"
"1.00800","0.08418","0.00149"
"1.01400","0.08472","0.00143"
"1.02000","0.08520","0.00124"
"1.02600","0.08574","0.00112"
"1.03200","0.08622","0.00115"
"1.03800","0.08669","0.00130"
"1.04400","0.08723","0.00130"
"1.05000","0.08771","0.00137"
"1.05600","0.08819","0.00147"
"1.06200","0.08873","0.00157"
"1.06800","0.08921","0.00150"
"1.07400","0.08968","0.00149"
"1.08000","0.09016","0.00140"
"1.08600","0.09070","0.00119"
"1.09200","0.09118","0.00111"
"1.09800","0.09166","0.00102"
"1.10400","0.09220","0.00088"
"1.11000","0.09267","0.00084"
"1.11600","0.09315","0.00081"
"1.12200","0.09369","0.00094"
"1.12800","0.09417","0.00104"
"1.13400","0.09465","0.00099"
"1.14000","0.09513","0.00078"
"1.14600","0.09566","0.00080"
"1.15200","0.09614","0.00089"
"1.15800","0.09668","0.00109"
"1.16400","0.09716","0.00130"
"1.17000","0.09770","0.00143"
"1.17600","0.09823","0.00142"
"1.18200","0.09871","0.00123"
"1.18800","0.09925","0.00107"
"1.19400","0.09973","0.00099"
"1.20000","0.10027","0.00105"
"1.20600","0.10075","0.00119"
"1.21200","0.10122","0.00122"
"1.21800","0.10176","0.00112"
"1.22400","0.10224","0.00103"
"1.23000","0.10278","0.00091"
"1.23600","0.10326","0.00090"
"1.24200","0.10373","0.00078"
"1.24800","0.10427","0.00068"
"1.25400","0.10475","0.00048"
"1.26000","0.10529","0.00039"
"1.26600","0.10577","0.00031"
"1.27200","0.10625","0.00020"
"1.27800","0.10678","0.00027"
"1.28400","0.10726","0.00048"
"1.29000","0.10774","0.00073"
"1.29600","0.10828","0.00100"
"1.30200","0.10876","0.00102"
"1.30800","0.10924","0.00097"
"1.31400","0.10977","0.00094"
"1.32000","0.11025","0.00088"
"1.32600","0.11073","0.00071"
"1.33200","0.11127","0.00059"
"1.33800","0.11175","0.00053"
"1.34400","0.11222","0.00050"
"1.35000","0.11276","0.00051"
"1.35600","0.11324","0.00052"
"1.36200","0.11372","0.00079"
"1.36800","0.11426","0.00102"
"1.37400","0.11474","0.00118"
"1.38000","0.11521","0.00120"
"1.38600","0.11575","0.00135"
"1.39200","0.11623","0.00145"
"1.39800","0.11677","0.00157"
"1.40400","0.11725","0.00182"
"1.41000","0.11779","0.00187"
"1.41600","0.11826","0.00180"
"1.42200","0.11874","0.00187"
"1.42800","0.11928","0.00177"
"1.43400","0.11976","0.00160"
"1.44000","0.12024","0.00149"
"1.44600","0.12072","0.00164"
"1.45200","0.12125","0.00174"
"1.45800","0.12173","0.00174"
"1.46400","0.12227","0.00191"
"1.47000","0.12275","0.00222"
"1.47600","0.12329","0.00241"
"1.48200","0.12376","0.00252"
"1.48800","0.12424","0.00239"
"1.49400","0.12478","0.00222"
"1.50000","0.12526","0.00203"
"1.50600","0.12574","0.00189"
"1.51200","0.12628","0.00154"
"1.51800","0.12675","0.00104"
"1.52400","0.12723","0.00082"
"1.53000","0.12777","0.00079"
"1.53600","0.12825","0.00096"
"1.54200","0.12873","0.00110"
"1.54800","0.12926","0.00115"
"1.55400","0.12974","0.00114"
"1.56000","0.13022","0.00128"
"1.56600","0.13076","0.00138"
"1.57200","0.13124","0.00158"
"1.57800","0.13172","0.00160"
"1.58400","0.13219","0.00151"
"1.59000","0.13273","0.00147"
"1.59600","0.13321","0.00149"
"1.60200","0.13369","0.00147"
"1.60800","0.13423","0.00153"
"1.61400","0.13471","0.00154"
"1.62000","0.13518","0.00133"
"1.62600","0.13572","0.00121"
"1.63200","0.13620","0.00115"
"1.63800","0.13668","0.00115"
"1.64400","0.13722","0.00117"
"1.65000","0.13770","0.00136"
"1.65600","0.13817","0.00152"
"1.66200","0.13871","0.00148"
"1.66800","0.13919","0.00136"
"1.67400","0.13967","0.00134"
"1.68000","0.14021","0.00158"
"1.68600","0.14068","0.00185"
"1.69200","0.14122","0.00204"
"1.69800","0.14170","0.00217"
"1.70400","0.14224","0.00220"
"1.71000","0.14272","0.00204"
"1.71600","0.14320","0.00163"
"1.72200","0.14373","0.00124"
"1.72800","0.14421","0.00097"
"1.73400","0.14469","0.00100"
"1.74000","0.14523","0.00115"
"1.74600","0.14571","0.00150"
"1.75200","0.14625","0.00162"
"1.75800","0.14672","0.00151"
"1.76400","0.14726","0.00138"
"1.77000","0.14774","0.00131"
"1.77600","0.14822","0.00120"
"1.78200","0.14876","0.00120"
"1.78800","0.14923","0.00133"
"1.79400","0.14977","0.00145"
"1.80000","0.15025","0.00149"
"1.80600","0.15073","0.00155"
"1.81200","0.15127","0.00154"
"1.81800","0.15175","0.00127"
"1.82400","0.15228","0.00106"
"1.83000","0.15276","0.00113"
"1.83600","0.15330","0.00144"
"1.84200","0.15378","0.00159"
"1.84800","0.15426","0.00152"
"1.85400","0.15474","0.00136"
"1.86000","0.15521","0.00117"
"1.86600","0.15575","0.00096"
"1.87200","0.15623","0.00101"
"1.87800","0.15671","0.00105"
"1.88400","0.15725","0.00105"
"1.89000","0.15772","0.00105"
"1.89600","0.15826","0.00093"
"1.90200","0.15874","0.00089"
"1.90800","0.15928","0.00088"
"1.91400","0.15976","0.00094"
"1.92000","0.16024","0.00108"
"1.92600","0.16077","0.00114"
"1.93200","0.16125","0.00110"
"1.93800","0.16179","0.00117"
"1.94400","0.16227","0.00131"
"1.95000","0.16275","0.00135"
"1.95600","0.16329","0.00128"
"1.96200","0.16376","0.00134"
"1.96800","0.16430","0.00131"
"1.97400","0.16478","0.00120"
"1.98000","0.16526","0.00109"
"1.98600","0.16580","0.00098"
"1.99200","0.16627","0.00108"
"1.99800","0.16675","0.00119"
"2.00400","0.16729","0.00132"
"2.01000","0.16777","0.00150"
"2.01600","0.16825","0.00167"
"2.02200","0.16873","0.00183"
"2.02800","0.16926","0.00175"
"2.03400","0.16974","0.00163"
"2.04000","0.17028","0.00165"
"2.04600","0.17076","0.00179"
"2.05200","0.17124","0.00176"
"2.05800","0.17178","0.00194"
"2.06400","0.17225","0.00226"
"2.07000","0.17273","0.00240"
"2.07600","0.17327","0.00236"
"2.08200","0.17375","0.00223"
"2.08800","0.17423","0.00199"
"2.09400","0.17476","0.00174"
"2.10000","0.17524","0.00149"
"2.10600","0.17572","0.00127"
"2.11200","0.17626","0.00110"
"2.11800","0.17674","0.00110"
"2.12400","0.17722","0.00103"
"2.13000","0.17769","0.00101"
"2.13600","0.17823","0.00122"
"2.14200","0.17871","0.00146"
"2.14800","0.17919","0.00166"
"2.15400","0.17973","0.00183"
"2.16000","0.18021","0.00178"
"2.16600","0.18068","0.00184"
"2.17200","0.18122","0.00196"
"2.17800","0.18170","0.00226"
"2.18400","0.18218","0.00241"
"2.19000","0.18272","0.00247"
"2.19600","0.18320","0.00268"
"2.20200","0.18373","0.00278"
"2.20800","0.18421","0.00259"
"2.21400","0.18475","0.00239"
"2.22000","0.18523","0.00216"
"2.22600","0.18571","0.00185"
"2.23200","0.18624","0.00178"
"2.23800","0.18672","0.00192"
"2.24400","0.18720","0.00214"
"2.25000","0.18768","0.00237"
"2.25600","0.18822","0.00246"
"2.26200","0.18870","0.00255"
"2.26800","0.18917","0.00251"
"2.27400","0.18971","0.00246"
"2.28000","0.19019","0.00231"
"2.28600","0.19073","0.00217"
"2.29200","0.19121","0.00196"
"2.29800","0.19169","0.00176"
"2.30400","0.19222","0.00172"
"2.31000","0.19270","0.00194"
"2.31600","0.19324","0.00206"
"2.32200","0.19372","0.00220"
"2.32800","0.19426","0.00219"
"2.33400","0.19473","0.00211"
"2.34000","0.19527","0.00202"
"2.34600","0.19575","0.00186"
"2.35200","0.19629","0.00175"
"2.35800","0.19677","0.00172"
"2.36400","0.19725","0.00158"
"2.37000","0.19778","0.00160"
"2.37600","0.19826","0.00175"
"2.38200","0.19874","0.00174"
"2.38800","0.19922","0.00185"
"2.39400","0.19976","0.00197"
"2.40000","0.20024","0.00193"
"2.40600","0.20071","0.00178"
"2.41200","0.20125","0.00180"
"2.41800","0.20173","0.00191"
"2.42400","0.20221","0.00204"
"2.43000","0.20275","0.00206"
"2.43600","0.20322","0.00200"
"2.44200","0.20370","0.00189"
"2.44800","0.20424","0.00182"
"2.45400","0.20472","0.00176"
"2.46000","0.20526","0.00172"
"2.46600","0.20580","0.00173"
"2.47200","0.20627","0.00169"
"2.47800","0.20681","0.00162"
"2.48400","0.20729","0.00162"
"2.49000","0.20783","0.00177"
"2.49600","0.20831","0.00184"
"2.50200","0.20879","0.00191"
"2.50800","0.20932","0.00188"
"2.51400","0.20980","0.00188"
"2.52000","0.21028","0.00185"
"2.52600","0.21076","0.00189"
"2.53200","0.21124","0.00195"
"2.53800","0.21171","0.00185"
"2.54400","0.21225","0.00165"
"2.55000","0.21273","0.00148"
"2.55600","0.21321","0.00140"
"2.56200","0.21375","0.00146"
"2.56800","0.21423","0.00160"
