End date,"12/16/2016"
Specimen label,"6DG_Unk"
Maximum Load,"0.12815",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00001"
"0.00600","0.00000","-0.00004"
"0.01200","0.00000","-0.00013"
"0.01800","0.00012","-0.00027"
"0.02400","0.00018","-0.00030"
"0.03000","0.00030","-0.00025"
"0.03600","0.00042","-0.00019"
"0.04200","0.00060","-0.00018"
"0.04800","0.00078","-0.00014"
"0.05400","0.00102","0.00000"
"0.06000","0.00126","0.00013"
"0.06600","0.00155","0.00019"
"0.07200","0.00185","0.00027"
"0.07800","0.00221","0.00022"
"0.08400","0.00257","0.00012"
"0.09000","0.00299","0.00004"
"0.09600","0.00341","-0.00009"
"0.10200","0.00389","-0.00017"
"0.10800","0.00436","-0.00018"
"0.11400","0.00490","-0.00020"
"0.12000","0.00544","-0.00017"
"0.12600","0.00598","-0.00015"
"0.13200","0.00658","-0.00020"
"0.13800","0.00723","-0.00021"
"0.14400","0.00783","-0.00016"
"0.15000","0.00849","-0.00019"
"0.15600","0.00909","-0.00007"
"0.16200","0.00981","0.00003"
"0.16800","0.01046","0.00009"
"0.17400","0.01112","0.00022"
"0.18000","0.01184","0.00038"
"0.18600","0.01250","0.00051"
"0.19200","0.01321","0.00059"
"0.19800","0.01387","0.00053"
"0.20400","0.01453","0.00055"
"0.21000","0.01519","0.00052"
"0.21600","0.01584","0.00052"
"0.22200","0.01650","0.00070"
"0.22800","0.01710","0.00076"
"0.23400","0.01776","0.00073"
"0.24000","0.01842","0.00071"
"0.24600","0.01901","0.00057"
"0.25200","0.01967","0.00037"
"0.25800","0.02033","0.00016"
"0.26400","0.02093","-0.00006"
"0.27000","0.02152","-0.00010"
"0.27600","0.02218","-0.00010"
"0.28200","0.02278","-0.00004"
"0.28800","0.02338","0.00009"
"0.29400","0.02398","0.00017"
"0.30000","0.02451","0.00020"
"0.30600","0.02511","0.00026"
"0.31200","0.02571","0.00025"
"0.31800","0.02625","0.00022"
"0.32400","0.02685","0.00020"
"0.33000","0.02738","0.00016"
"0.33600","0.02792","0.00009"
"0.34200","0.02846","0.00014"
"0.34800","0.02900","0.00021"
"0.35400","0.02948","0.00039"
"0.36000","0.03007","0.00053"
"0.36600","0.03055","0.00048"
"0.37200","0.03109","0.00045"
"0.37800","0.03163","0.00045"
"0.38400","0.03217","0.00039"
"0.39000","0.03265","0.00036"
"0.39600","0.03318","0.00026"
"0.40200","0.03372","0.00028"
"0.40800","0.03420","0.00033"
"0.41400","0.03474","0.00021"
"0.42000","0.03528","0.00016"
"0.42600","0.03575","0.00015"
"0.43200","0.03629","0.00005"
"0.43800","0.03677","0.00004"
"0.44400","0.03731","0.00005"
"0.45000","0.03779","0.00013"
"0.45600","0.03827","0.00039"
"0.46200","0.03874","0.00055"
"0.46800","0.03922","0.00069"
"0.47400","0.03976","0.00085"
"0.48000","0.04024","0.00084"
"0.48600","0.04072","0.00078"
"0.49200","0.04125","0.00069"
"0.49800","0.04173","0.00051"
"0.50400","0.04221","0.00026"
"0.51000","0.04275","-0.00001"
"0.51600","0.04323","-0.00018"
"0.52200","0.04377","-0.00019"
"0.52800","0.04424","-0.00019"
"0.53400","0.04478","-0.00008"
"0.54000","0.04526","0.00005"
"0.54600","0.04574","0.00013"
"0.55200","0.04628","0.00028"
"0.55800","0.04676","0.00041"
"0.56400","0.04729","0.00042"
"0.57000","0.04777","0.00044"
"0.57600","0.04825","0.00049"
"0.58200","0.04879","0.00047"
"0.58800","0.04927","0.00051"
"0.59400","0.04974","0.00059"
"0.60000","0.05022","0.00061"
"0.60600","0.05076","0.00065"
"0.61200","0.05124","0.00062"
"0.61800","0.05172","0.00063"
"0.62400","0.05220","0.00064"
"0.63000","0.05273","0.00058"
"0.63600","0.05321","0.00056"
"0.64200","0.05369","0.00053"
"0.64800","0.05423","0.00039"
"0.65400","0.05471","0.00042"
"0.66000","0.05525","0.00046"
"0.66600","0.05572","0.00038"
"0.67200","0.05620","0.00040"
"0.67800","0.05674","0.00040"
"0.68400","0.05722","0.00035"
"0.69000","0.05776","0.00030"
"0.69600","0.05824","0.00013"
"0.70200","0.05877","0.00002"
"0.70800","0.05925","0.00005"
"0.71400","0.05979","0.00010"
"0.72000","0.06027","0.00020"
"0.72600","0.06081","0.00021"
"0.73200","0.06128","0.00012"
"0.73800","0.06176","0.00017"
"0.74400","0.06224","0.00035"
"0.75000","0.06278","0.00046"
"0.75600","0.06326","0.00061"
"0.76200","0.06374","0.00070"
"0.76800","0.06421","0.00074"
"0.77400","0.06475","0.00085"
"0.78000","0.06523","0.00092"
"0.78600","0.06577","0.00087"
"0.79200","0.06625","0.00079"
"0.79800","0.06673","0.00065"
"0.80400","0.06726","0.00062"
"0.81000","0.06774","0.00058"
"0.81600","0.06828","0.00044"
"0.82200","0.06876","0.00044"
"0.82800","0.06930","0.00033"
"0.83400","0.06977","0.00026"
"0.84000","0.07031","0.00025"
"0.84600","0.07079","0.00016"
"0.85200","0.07127","0.00017"
"0.85800","0.07181","0.00035"
"0.86400","0.07229","0.00043"
"0.87000","0.07276","0.00046"
"0.87600","0.07330","0.00039"
"0.88200","0.07378","0.00030"
"0.88800","0.07426","0.00030"
"0.89400","0.07474","0.00025"
"0.90000","0.07522","0.00016"
"0.90600","0.07575","0.00020"
"0.91200","0.07623","0.00023"
"0.91800","0.07671","0.00033"
"0.92400","0.07725","0.00038"
"0.93000","0.07773","0.00031"
"0.93600","0.07820","0.00028"
"0.94200","0.07868","0.00034"
"0.94800","0.07916","0.00041"
"0.95400","0.07970","0.00057"
"0.96000","0.08018","0.00070"
"0.96600","0.08066","0.00072"
"0.97200","0.08119","0.00069"
"0.97800","0.08167","0.00054"
"0.98400","0.08215","0.00046"
"0.99000","0.08269","0.00052"
"0.99600","0.08317","0.00049"
"1.00200","0.08371","0.00045"
"1.00800","0.08418","0.00036"
"1.01400","0.08466","0.00029"
"1.02000","0.08520","0.00028"
"1.02600","0.08568","0.00030"
"1.03200","0.08616","0.00025"
"1.03800","0.08669","0.00020"
"1.04400","0.08717","0.00013"
"1.05000","0.08765","0.00019"
"1.05600","0.08813","0.00025"
"1.06200","0.08867","0.00027"
"1.06800","0.08915","0.00028"
"1.07400","0.08962","0.00037"
"1.08000","0.09016","0.00045"
"1.08600","0.09064","0.00052"
"1.09200","0.09112","0.00050"
"1.09800","0.09166","0.00042"
"1.10400","0.09214","0.00047"
"1.11000","0.09267","0.00041"
"1.11600","0.09315","0.00042"
"1.12200","0.09363","0.00056"
"1.12800","0.09417","0.00063"
"1.13400","0.09471","0.00058"
"1.14000","0.09518","0.00058"
"1.14600","0.09572","0.00044"
"1.15200","0.09620","0.00023"
"1.15800","0.09674","0.00012"
"1.16400","0.09722","-0.00002"
"1.17000","0.09776","0.00007"
"1.17600","0.09823","0.00025"
"1.18200","0.09877","0.00039"
"1.18800","0.09925","0.00062"
"1.19400","0.09973","0.00076"
"1.20000","0.10021","0.00073"
"1.20600","0.10075","0.00061"
"1.21200","0.10122","0.00040"
"1.21800","0.10170","0.00027"
"1.22400","0.10224","0.00028"
"1.23000","0.10272","0.00030"
"1.23600","0.10326","0.00045"
"1.24200","0.10373","0.00051"
"1.24800","0.10421","0.00052"
"1.25400","0.10475","0.00059"
"1.26000","0.10523","0.00057"
"1.26600","0.10577","0.00054"
"1.27200","0.10625","0.00060"
"1.27800","0.10672","0.00059"
"1.28400","0.10726","0.00056"
"1.29000","0.10774","0.00069"
"1.29600","0.10828","0.00069"
"1.30200","0.10876","0.00068"
"1.30800","0.10924","0.00070"
"1.31400","0.10971","0.00066"
"1.32000","0.11025","0.00063"
"1.32600","0.11073","0.00056"
"1.33200","0.11121","0.00041"
"1.33800","0.11175","0.00032"
"1.34400","0.11222","0.00018"
"1.35000","0.11270","0.00003"
"1.35600","0.11324","0.00003"
"1.36200","0.11372","-0.00002"
"1.36800","0.11420","-0.00007"
"1.37400","0.11474","-0.00002"
"1.38000","0.11521","-0.00006"
"1.38600","0.11569","-0.00006"
"1.39200","0.11623","-0.00005"
"1.39800","0.11671","-0.00004"
"1.40400","0.11725","0.00008"
"1.41000","0.11773","0.00012"
"1.41600","0.11820","0.00008"
"1.42200","0.11874","0.00013"
"1.42800","0.11922","0.00016"
"1.43400","0.11976","0.00011"
"1.44000","0.12024","0.00013"
"1.44600","0.12077","0.00006"
"1.45200","0.12125","-0.00004"
"1.45800","0.12173","-0.00004"
"1.46400","0.12227","-0.00001"
"1.47000","0.12275","0.00010"
"1.47600","0.12323","0.00020"
"1.48200","0.12370","0.00028"
"1.48800","0.12424","0.00036"
"1.49400","0.12472","0.00042"
"1.50000","0.12520","0.00038"
"1.50600","0.12568","0.00039"
"1.51200","0.12616","0.00035"
"1.51800","0.12669","0.00031"
"1.52400","0.12717","0.00040"
"1.53000","0.12765","0.00037"
