End date,"12/16/2016"
Specimen label,"15BT_21"
Maximum Load,"0.00328",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","-5.70912","0.00246"
"0.00600","-5.70912","0.00236"
"0.01200","-5.70900","0.00224"
"0.01800","-5.70900","0.00228"
"0.02400","-5.70889","0.00222"
"0.03000","-5.70877","0.00225"
"0.03600","-5.70865","0.00234"
"0.04200","-5.70853","0.00231"
"0.04800","-5.70829","0.00229"
"0.05400","-5.70805","0.00226"
"0.06000","-5.70787","0.00217"
"0.06600","-5.70757","0.00217"
"0.07200","-5.70721","0.00213"
"0.07800","-5.70685","0.00207"
"0.08400","-5.70643","0.00211"
"0.09000","-5.70607","0.00208"
"0.09600","-5.70560","0.00216"
"0.10200","-5.70518","0.00230"
"0.10800","-5.70464","0.00242"
"0.11400","-5.70416","0.00255"
"0.12000","-5.70362","0.00262"
"0.12600","-5.70308","0.00258"
"0.13200","-5.70249","0.00257"
"0.13800","-5.70189","0.00263"
"0.14400","-5.70129","0.00263"
"0.15000","-5.70069","0.00264"
"0.15600","-5.70004","0.00257"
"0.16200","-5.69938","0.00251"
"0.16800","-5.69872","0.00257"
"0.17400","-5.69806","0.00260"
"0.18000","-5.69741","0.00263"
"0.18600","-5.69675","0.00269"
"0.19200","-5.69609","0.00262"
"0.19800","-5.69543","0.00257"
"0.20400","-5.69478","0.00256"
"0.21000","-5.69412","0.00251"
"0.21600","-5.69346","0.00257"
"0.22200","-5.69274","0.00262"
"0.22800","-5.69208","0.00261"
"0.23400","-5.69143","0.00265"
"0.24000","-5.69083","0.00263"
"0.24600","-5.69017","0.00250"
"0.25200","-5.68951","0.00243"
"0.25800","-5.68892","0.00241"
"0.26400","-5.68826","0.00238"
"0.27000","-5.68766","0.00242"
"0.27600","-5.68706","0.00241"
"0.28200","-5.68640","0.00246"
"0.28800","-5.68581","0.00249"
"0.29400","-5.68521","0.00243"
"0.30000","-5.68461","0.00255"
"0.30600","-5.68401","0.00255"
"0.31200","-5.68347","0.00258"
"0.31800","-5.68288","0.00261"
"0.32400","-5.68228","0.00256"
"0.33000","-5.68174","0.00256"
"0.33600","-5.68120","0.00259"
"0.34200","-5.68060","0.00246"
"0.34800","-5.68007","0.00239"
"0.35400","-5.67953","0.00218"
"0.36000","-5.67899","0.00193"
"0.36600","-5.67845","0.00177"
"0.37200","-5.67791","0.00169"
"0.37800","-5.67738","0.00171"
"0.38400","-5.67690","0.00189"
"0.39000","-5.67636","0.00213"
"0.39600","-5.67582","0.00238"
"0.40200","-5.67534","0.00262"
"0.40800","-5.67481","0.00268"
"0.41400","-5.67427","0.00274"
"0.42000","-5.67379","0.00276"
"0.42600","-5.67325","0.00269"
"0.43200","-5.67277","0.00265"
"0.43800","-5.67223","0.00262"
"0.44400","-5.67176","0.00255"
"0.45000","-5.67122","0.00253"
"0.45600","-5.67074","0.00250"
"0.46200","-5.67020","0.00252"
"0.46800","-5.66972","0.00250"
"0.47400","-5.66919","0.00237"
"0.48000","-5.66871","0.00236"
"0.48600","-5.66823","0.00239"
"0.49200","-5.66769","0.00236"
"0.49800","-5.66721","0.00244"
"0.50400","-5.66673","0.00244"
"0.51000","-5.66625","0.00237"
"0.51600","-5.66578","0.00243"
"0.52200","-5.66524","0.00239"
"0.52800","-5.66476","0.00238"
"0.53400","-5.66428","0.00237"
"0.54000","-5.66380","0.00231"
"0.54600","-5.66333","0.00233"
"0.55200","-5.66285","0.00234"
"0.55800","-5.66231","0.00226"
"0.56400","-5.66183","0.00217"
"0.57000","-5.66135","0.00214"
"0.57600","-5.66087","0.00213"
"0.58200","-5.66034","0.00231"
"0.58800","-5.65986","0.00246"
"0.59400","-5.65938","0.00267"
"0.60000","-5.65884","0.00291"
"0.60600","-5.65836","0.00297"
