End date,"12/16/2016"
Specimen label,"15AG_19"
Maximum Load,"0.22100",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00063"
"0.00600","0.00000","-0.00075"
"0.01200","0.00000","-0.00082"
"0.01800","0.00012","-0.00092"
"0.02400","0.00018","-0.00089"
"0.03000","0.00030","-0.00080"
"0.03600","0.00042","-0.00067"
"0.04200","0.00060","-0.00050"
"0.04800","0.00078","-0.00048"
"0.05400","0.00102","-0.00046"
"0.06000","0.00132","-0.00035"
"0.06600","0.00161","-0.00039"
"0.07200","0.00191","-0.00047"
"0.07800","0.00227","-0.00052"
"0.08400","0.00269","-0.00054"
"0.09000","0.00311","-0.00048"
"0.09600","0.00353","-0.00045"
"0.10200","0.00395","-0.00060"
"0.10800","0.00448","-0.00054"
"0.11400","0.00502","-0.00041"
"0.12000","0.00556","-0.00034"
"0.12600","0.00616","-0.00025"
"0.13200","0.00670","-0.00031"
"0.13800","0.00729","-0.00040"
"0.14400","0.00789","-0.00042"
"0.15000","0.00855","-0.00061"
"0.15600","0.00921","-0.00082"
"0.16200","0.00987","-0.00090"
"0.16800","0.01052","-0.00093"
"0.17400","0.01118","-0.00103"
"0.18000","0.01184","-0.00110"
"0.18600","0.01250","-0.00117"
"0.19200","0.01315","-0.00103"
"0.19800","0.01381","-0.00090"
"0.20400","0.01447","-0.00080"
"0.21000","0.01513","-0.00068"
"0.21600","0.01578","-0.00077"
"0.22200","0.01644","-0.00083"
"0.22800","0.01710","-0.00084"
"0.23400","0.01776","-0.00090"
"0.24000","0.01836","-0.00099"
"0.24600","0.01901","-0.00107"
"0.25200","0.01967","-0.00106"
"0.25800","0.02027","-0.00090"
"0.26400","0.02087","-0.00072"
"0.27000","0.02146","-0.00058"
"0.27600","0.02206","-0.00043"
"0.28200","0.02266","-0.00039"
"0.28800","0.02326","-0.00042"
"0.29400","0.02386","-0.00037"
"0.30000","0.02445","-0.00035"
"0.30600","0.02505","-0.00026"
"0.31200","0.02559","-0.00008"
"0.31800","0.02619","0.00007"
"0.32400","0.02673","0.00014"
"0.33000","0.02732","0.00013"
"0.33600","0.02786","0.00005"
"0.34200","0.02840","0.00003"
"0.34800","0.02894","0.00000"
"0.35400","0.02954","-0.00012"
"0.36000","0.03007","-0.00017"
"0.36600","0.03061","-0.00029"
"0.37200","0.03115","-0.00042"
"0.37800","0.03169","-0.00048"
"0.38400","0.03223","-0.00050"
"0.39000","0.03276","-0.00031"
"0.39600","0.03330","-0.00010"
"0.40200","0.03378","-0.00006"
"0.40800","0.03432","0.00003"
"0.41400","0.03480","-0.00002"
"0.42000","0.03534","-0.00004"
"0.42600","0.03581","0.00007"
"0.43200","0.03629","0.00001"
"0.43800","0.03683","-0.00013"
"0.44400","0.03731","-0.00023"
"0.45000","0.03785","-0.00031"
"0.45600","0.03833","-0.00018"
"0.46200","0.03886","0.00007"
"0.46800","0.03934","0.00020"
"0.47400","0.03982","0.00015"
"0.48000","0.04030","0.00005"
"0.48600","0.04084","-0.00001"
"0.49200","0.04131","-0.00006"
"0.49800","0.04179","-0.00008"
"0.50400","0.04233","0.00004"
"0.51000","0.04281","0.00026"
"0.51600","0.04335","0.00034"
"0.52200","0.04383","0.00035"
"0.52800","0.04436","0.00035"
"0.53400","0.04484","0.00020"
"0.54000","0.04532","0.00003"
"0.54600","0.04580","-0.00002"
"0.55200","0.04628","-0.00014"
"0.55800","0.04682","-0.00022"
"0.56400","0.04729","-0.00032"
"0.57000","0.04777","-0.00041"
"0.57600","0.04825","-0.00031"
"0.58200","0.04873","-0.00025"
"0.58800","0.04921","-0.00021"
"0.59400","0.04974","-0.00014"
"0.60000","0.05022","-0.00019"
"0.60600","0.05070","-0.00017"
"0.61200","0.05124","-0.00016"
"0.61800","0.05172","-0.00014"
"0.62400","0.05220","0.00000"
"0.63000","0.05273","0.00006"
"0.63600","0.05321","-0.00005"
"0.64200","0.05369","0.00000"
"0.64800","0.05423","0.00007"
"0.65400","0.05471","0.00006"
"0.66000","0.05519","0.00009"
"0.66600","0.05572","0.00013"
"0.67200","0.05620","0.00018"
"0.67800","0.05674","0.00027"
"0.68400","0.05722","0.00027"
"0.69000","0.05770","0.00029"
"0.69600","0.05824","0.00035"
"0.70200","0.05871","0.00032"
"0.70800","0.05919","0.00033"
"0.71400","0.05967","0.00032"
"0.72000","0.06021","0.00033"
"0.72600","0.06069","0.00041"
"0.73200","0.06116","0.00039"
"0.73800","0.06170","0.00041"
"0.74400","0.06218","0.00053"
"0.75000","0.06266","0.00062"
"0.75600","0.06320","0.00073"
"0.76200","0.06368","0.00084"
"0.76800","0.06415","0.00077"
"0.77400","0.06463","0.00064"
"0.78000","0.06517","0.00053"
"0.78600","0.06565","0.00037"
"0.79200","0.06613","0.00031"
"0.79800","0.06667","0.00018"
"0.80400","0.06714","0.00015"
"0.81000","0.06768","0.00027"
"0.81600","0.06816","0.00033"
"0.82200","0.06870","0.00036"
"0.82800","0.06918","0.00041"
