End date,"12/17/2016"
Specimen label,"6CT_42"
Maximum Load,"0.30066",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00009"
"0.00600","0.00000","-0.00006"
"0.01200","0.00000","-0.00015"
"0.01800","0.00012","-0.00020"
"0.02400","0.00018","-0.00023"
"0.03000","0.00030","-0.00019"
"0.03600","0.00042","-0.00009"
"0.04200","0.00060","-0.00002"
"0.04800","0.00078","0.00001"
"0.05400","0.00102","0.00004"
"0.06000","0.00126","0.00000"
"0.06600","0.00149","-0.00004"
"0.07200","0.00185","-0.00002"
"0.07800","0.00215","-0.00004"
"0.08400","0.00245","-0.00004"
"0.09000","0.00281","-0.00002"
"0.09600","0.00317","-0.00004"
"0.10200","0.00353","-0.00004"
"0.10800","0.00401","-0.00003"
"0.11400","0.00442","0.00003"
"0.12000","0.00484","0.00008"
"0.12600","0.00538","0.00001"
"0.13200","0.00592","0.00001"
"0.13800","0.00646","0.00000"
"0.14400","0.00700","-0.00004"
"0.15000","0.00759","0.00005"
"0.15600","0.00819","0.00006"
"0.16200","0.00879","0.00002"
"0.16800","0.00945","0.00008"
"0.17400","0.01010","0.00019"
"0.18000","0.01076","0.00034"
"0.18600","0.01142","0.00051"
"0.19200","0.01208","0.00061"
"0.19800","0.01279","0.00067"
"0.20400","0.01345","0.00070"
"0.21000","0.01411","0.00065"
"0.21600","0.01483","0.00062"
"0.22200","0.01549","0.00059"
"0.22800","0.01620","0.00053"
"0.23400","0.01686","0.00048"
"0.24000","0.01758","0.00050"
"0.24600","0.01824","0.00053"
"0.25200","0.01889","0.00062"
"0.25800","0.01961","0.00075"
"0.26400","0.02027","0.00084"
"0.27000","0.02093","0.00089"
"0.27600","0.02152","0.00095"
"0.28200","0.02218","0.00106"
"0.28800","0.02284","0.00112"
"0.29400","0.02344","0.00113"
"0.30000","0.02410","0.00110"
"0.30600","0.02469","0.00110"
"0.31200","0.02529","0.00119"
"0.31800","0.02589","0.00133"
"0.32400","0.02649","0.00141"
"0.33000","0.02708","0.00139"
"0.33600","0.02762","0.00142"
"0.34200","0.02822","0.00148"
"0.34800","0.02882","0.00155"
"0.35400","0.02936","0.00156"
"0.36000","0.02995","0.00156"
"0.36600","0.03049","0.00160"
"0.37200","0.03103","0.00155"
"0.37800","0.03157","0.00151"
"0.38400","0.03211","0.00152"
"0.39000","0.03265","0.00151"
"0.39600","0.03318","0.00152"
"0.40200","0.03372","0.00161"
"0.40800","0.03420","0.00173"
"0.41400","0.03474","0.00187"
"0.42000","0.03522","0.00196"
"0.42600","0.03575","0.00201"
"0.43200","0.03623","0.00207"
"0.43800","0.03677","0.00204"
"0.44400","0.03725","0.00202"
"0.45000","0.03773","0.00207"
"0.45600","0.03827","0.00211"
"0.46200","0.03874","0.00212"
"0.46800","0.03922","0.00214"
"0.47400","0.03976","0.00218"
"0.48000","0.04024","0.00216"
"0.48600","0.04072","0.00210"
"0.49200","0.04125","0.00208"
"0.49800","0.04173","0.00206"
"0.50400","0.04227","0.00203"
"0.51000","0.04275","0.00203"
"0.51600","0.04323","0.00211"
"0.52200","0.04377","0.00221"
"0.52800","0.04424","0.00228"
"0.53400","0.04472","0.00229"
"0.54000","0.04520","0.00229"
"0.54600","0.04568","0.00230"
"0.55200","0.04622","0.00226"
"0.55800","0.04670","0.00217"
"0.56400","0.04717","0.00212"
"0.57000","0.04765","0.00210"
"0.57600","0.04819","0.00217"
"0.58200","0.04867","0.00231"
"0.58800","0.04915","0.00244"
"0.59400","0.04963","0.00253"
"0.60000","0.05016","0.00251"
"0.60600","0.05064","0.00249"
"0.61200","0.05112","0.00248"
"0.61800","0.05166","0.00247"
"0.62400","0.05214","0.00246"
"0.63000","0.05267","0.00245"
"0.63600","0.05321","0.00244"
"0.64200","0.05369","0.00239"
"0.64800","0.05423","0.00235"
"0.65400","0.05471","0.00235"
"0.66000","0.05525","0.00240"
"0.66600","0.05572","0.00248"
"0.67200","0.05626","0.00258"
"0.67800","0.05674","0.00262"
"0.68400","0.05722","0.00260"
"0.69000","0.05776","0.00261"
"0.69600","0.05824","0.00263"
"0.70200","0.05871","0.00268"
"0.70800","0.05925","0.00274"
"0.71400","0.05973","0.00276"
"0.72000","0.06021","0.00275"
"0.72600","0.06075","0.00273"
"0.73200","0.06122","0.00266"
"0.73800","0.06170","0.00264"
"0.74400","0.06218","0.00261"
"0.75000","0.06272","0.00262"
