End date,"12/17/2016"
Specimen label,"15CG_21"
Maximum Load,"0.00672",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00007"
"0.00600","0.00000","-0.00011"
"0.01200","0.00000","-0.00010"
"0.01800","0.00000","-0.00010"
"0.02400","0.00018","-0.00010"
"0.03000","0.00030","-0.00005"
"0.03600","0.00048","-0.00005"
"0.04200","0.00066","-0.00011"
"0.04800","0.00090","-0.00015"
"0.05400","0.00108","-0.00022"
"0.06000","0.00138","-0.00027"
"0.06600","0.00167","-0.00024"
"0.07200","0.00203","-0.00024"
"0.07800","0.00233","-0.00021"
"0.08400","0.00275","-0.00022"
"0.09000","0.00317","-0.00018"
"0.09600","0.00359","-0.00012"
"0.10200","0.00407","-0.00013"
"0.10800","0.00454","-0.00017"
"0.11400","0.00508","-0.00019"
"0.12000","0.00562","-0.00025"
"0.12600","0.00616","-0.00032"
"0.13200","0.00676","-0.00029"
"0.13800","0.00735","-0.00027"
"0.14400","0.00795","-0.00027"
"0.15000","0.00855","-0.00024"
"0.15600","0.00921","-0.00018"
"0.16200","0.00987","-0.00009"
"0.16800","0.01052","-0.00005"
"0.17400","0.01118","-0.00005"
"0.18000","0.01184","-0.00005"
"0.18600","0.01250","-0.00012"
"0.19200","0.01315","-0.00013"
"0.19800","0.01381","-0.00010"
"0.20400","0.01441","-0.00010"
"0.21000","0.01513","-0.00010"
"0.21600","0.01578","-0.00010"
"0.22200","0.01644","-0.00006"
"0.22800","0.01704","-0.00003"
"0.23400","0.01770","-0.00003"
"0.24000","0.01836","-0.00007"
"0.24600","0.01895","-0.00010"
"0.25200","0.01961","-0.00017"
"0.25800","0.02027","-0.00021"
"0.26400","0.02087","-0.00015"
"0.27000","0.02152","-0.00004"
"0.27600","0.02212","0.00000"
"0.28200","0.02272","0.00004"
"0.28800","0.02332","0.00004"
"0.29400","0.02392","0.00008"
"0.30000","0.02451","0.00012"
"0.30600","0.02505","0.00020"
"0.31200","0.02565","0.00025"
"0.31800","0.02619","0.00019"
"0.32400","0.02679","0.00012"
"0.33000","0.02732","0.00010"
"0.33600","0.02786","0.00006"
"0.34200","0.02840","0.00002"
"0.34800","0.02894","0.00003"
"0.35400","0.02948","-0.00001"
"0.36000","0.03001","-0.00003"
"0.36600","0.03055","0.00002"
"0.37200","0.03103","0.00004"
"0.37800","0.03157","0.00006"
"0.38400","0.03211","0.00010"
"0.39000","0.03265","0.00015"
"0.39600","0.03318","0.00022"
"0.40200","0.03372","0.00024"
"0.40800","0.03426","0.00023"
"0.41400","0.03474","0.00024"
"0.42000","0.03528","0.00023"
"0.42600","0.03575","0.00017"
"0.43200","0.03623","0.00019"
"0.43800","0.03671","0.00020"
"0.44400","0.03725","0.00017"
"0.45000","0.03773","0.00018"
"0.45600","0.03821","0.00017"
"0.46200","0.03874","0.00023"
"0.46800","0.03922","0.00029"
"0.47400","0.03970","0.00031"
"0.48000","0.04024","0.00037"
"0.48600","0.04072","0.00037"
"0.49200","0.04125","0.00032"
"0.49800","0.04173","0.00028"
"0.50400","0.04221","0.00028"
"0.51000","0.04269","0.00031"
"0.51600","0.04323","0.00026"
"0.52200","0.04371","0.00014"
"0.52800","0.04424","0.00007"
"0.53400","0.04472","0.00008"
"0.54000","0.04520","0.00013"
"0.54600","0.04574","0.00029"
"0.55200","0.04622","0.00041"
"0.55800","0.04676","0.00047"
"0.56400","0.04723","0.00054"
"0.57000","0.04771","0.00058"
"0.57600","0.04825","0.00063"
"0.58200","0.04873","0.00064"
"0.58800","0.04921","0.00061"
"0.59400","0.04969","0.00064"
"0.60000","0.05022","0.00062"
"0.60600","0.05070","0.00052"
"0.61200","0.05118","0.00046"
"0.61800","0.05172","0.00040"
"0.62400","0.05220","0.00036"
"0.63000","0.05273","0.00036"
"0.63600","0.05321","0.00034"
"0.64200","0.05369","0.00032"
"0.64800","0.05423","0.00032"
"0.65400","0.05471","0.00025"
"0.66000","0.05519","0.00023"
"0.66600","0.05572","0.00026"
"0.67200","0.05620","0.00028"
"0.67800","0.05674","0.00029"
"0.68400","0.05722","0.00026"
"0.69000","0.05776","0.00024"
"0.69600","0.05824","0.00030"
"0.70200","0.05877","0.00035"
"0.70800","0.05931","0.00038"
"0.71400","0.05979","0.00047"
"0.72000","0.06027","0.00057"
"0.72600","0.06081","0.00065"
"0.73200","0.06128","0.00068"
"0.73800","0.06176","0.00072"
"0.74400","0.06224","0.00075"
"0.75000","0.06272","0.00072"
"0.75600","0.06320","0.00068"
"0.76200","0.06374","0.00070"
"0.76800","0.06421","0.00068"
"0.77400","0.06469","0.00061"
"0.78000","0.06523","0.00061"
"0.78600","0.06571","0.00059"
"0.79200","0.06619","0.00055"
"0.79800","0.06673","0.00051"
"0.80400","0.06720","0.00049"
"0.81000","0.06768","0.00045"
"0.81600","0.06822","0.00042"
"0.82200","0.06870","0.00040"
"0.82800","0.06924","0.00046"
"0.83400","0.06971","0.00046"
"0.84000","0.07025","0.00038"
"0.84600","0.07073","0.00040"
"0.85200","0.07121","0.00035"
"0.85800","0.07175","0.00028"
"0.86400","0.07223","0.00026"
"0.87000","0.07270","0.00027"
"0.87600","0.07324","0.00033"
"0.88200","0.07372","0.00042"
"0.88800","0.07420","0.00050"
"0.89400","0.07468","0.00054"
"0.90000","0.07522","0.00052"
"0.90600","0.07569","0.00048"
"0.91200","0.07617","0.00051"
"0.91800","0.07671","0.00055"
"0.92400","0.07719","0.00052"
"0.93000","0.07767","0.00045"
"0.93600","0.07820","0.00044"
"0.94200","0.07868","0.00046"
"0.94800","0.07916","0.00050"
"0.95400","0.07970","0.00054"
"0.96000","0.08018","0.00056"
"0.96600","0.08072","0.00050"
"0.97200","0.08119","0.00040"
"0.97800","0.08173","0.00037"
"0.98400","0.08221","0.00039"
"0.99000","0.08269","0.00038"
"0.99600","0.08317","0.00046"
"1.00200","0.08365","0.00052"
"1.00800","0.08418","0.00053"
"1.01400","0.08466","0.00049"
"1.02000","0.08514","0.00048"
"1.02600","0.08562","0.00049"
"1.03200","0.08616","0.00056"
"1.03800","0.08664","0.00062"
"1.04400","0.08717","0.00066"
"1.05000","0.08765","0.00062"
"1.05600","0.08813","0.00057"
"1.06200","0.08867","0.00060"
"1.06800","0.08915","0.00059"
"1.07400","0.08962","0.00053"
"1.08000","0.09010","0.00052"
"1.08600","0.09064","0.00052"
"1.09200","0.09112","0.00050"
"1.09800","0.09166","0.00052"
"1.10400","0.09214","0.00061"
"1.11000","0.09267","0.00069"
"1.11600","0.09315","0.00066"
"1.12200","0.09369","0.00059"
"1.12800","0.09423","0.00065"
"1.13400","0.09471","0.00069"
"1.14000","0.09518","0.00066"
"1.14600","0.09572","0.00069"
"1.15200","0.09620","0.00062"
"1.15800","0.09668","0.00058"
"1.16400","0.09716","0.00057"
"1.17000","0.09770","0.00052"
"1.17600","0.09817","0.00048"
"1.18200","0.09865","0.00049"
"1.18800","0.09919","0.00045"
"1.19400","0.09967","0.00047"
"1.20000","0.10015","0.00052"
"1.20600","0.10069","0.00052"
"1.21200","0.10116","0.00055"
"1.21800","0.10164","0.00057"
"1.22400","0.10218","0.00060"
"1.23000","0.10266","0.00063"
"1.23600","0.10320","0.00058"
"1.24200","0.10368","0.00060"
"1.24800","0.10421","0.00066"
"1.25400","0.10469","0.00064"
"1.26000","0.10523","0.00061"
"1.26600","0.10571","0.00056"
"1.27200","0.10625","0.00049"
"1.27800","0.10672","0.00049"
"1.28400","0.10720","0.00050"
"1.29000","0.10768","0.00057"
"1.29600","0.10822","0.00067"
"1.30200","0.10870","0.00080"
"1.30800","0.10918","0.00094"
"1.31400","0.10965","0.00104"
"1.32000","0.11019","0.00108"
"1.32600","0.11067","0.00110"
"1.33200","0.11115","0.00105"
"1.33800","0.11169","0.00093"
"1.34400","0.11217","0.00091"
"1.35000","0.11270","0.00093"
"1.35600","0.11318","0.00088"
"1.36200","0.11366","0.00086"
"1.36800","0.11420","0.00086"
"1.37400","0.11468","0.00087"
"1.38000","0.11521","0.00097"
"1.38600","0.11569","0.00104"
"1.39200","0.11623","0.00104"
"1.39800","0.11671","0.00096"
"1.40400","0.11725","0.00092"
"1.41000","0.11773","0.00097"
"1.41600","0.11820","0.00103"
"1.42200","0.11874","0.00102"
"1.42800","0.11922","0.00100"
"1.43400","0.11970","0.00099"
"1.44000","0.12024","0.00093"
"1.44600","0.12072","0.00093"
"1.45200","0.12119","0.00088"
"1.45800","0.12167","0.00081"
"1.46400","0.12221","0.00078"
"1.47000","0.12269","0.00080"
"1.47600","0.12317","0.00082"
"1.48200","0.12364","0.00080"
"1.48800","0.12412","0.00078"
"1.49400","0.12466","0.00080"
"1.50000","0.12514","0.00081"
"1.50600","0.12562","0.00079"
"1.51200","0.12610","0.00081"
"1.51800","0.12663","0.00084"
"1.52400","0.12711","0.00084"
"1.53000","0.12765","0.00080"
"1.53600","0.12813","0.00074"
"1.54200","0.12867","0.00072"
"1.54800","0.12915","0.00070"
"1.55400","0.12968","0.00068"
"1.56000","0.13016","0.00067"
"1.56600","0.13070","0.00071"
"1.57200","0.13118","0.00074"
"1.57800","0.13166","0.00084"
"1.58400","0.13213","0.00089"
"1.59000","0.13267","0.00083"
"1.59600","0.13315","0.00076"
"1.60200","0.13363","0.00078"
"1.60800","0.13417","0.00079"
"1.61400","0.13465","0.00074"
"1.62000","0.13512","0.00075"
"1.62600","0.13560","0.00077"
"1.63200","0.13614","0.00072"
