End date,"12/17/2016"
Specimen label,"15CG_21_run2"
Maximum Load,"0.15933",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00016"
"0.00600","0.00000","-0.00008"
"0.01200","0.00000","-0.00008"
"0.01800","0.00012","-0.00012"
"0.02400","0.00018","-0.00017"
"0.03000","0.00030","-0.00020"
"0.03600","0.00048","-0.00021"
"0.04200","0.00060","-0.00024"
"0.04800","0.00084","-0.00026"
"0.05400","0.00102","-0.00035"
"0.06000","0.00126","-0.00052"
"0.06600","0.00149","-0.00051"
"0.07200","0.00179","-0.00040"
"0.07800","0.00209","-0.00031"
"0.08400","0.00245","-0.00022"
"0.09000","0.00275","-0.00012"
"0.09600","0.00317","-0.00008"
"0.10200","0.00353","-0.00010"
"0.10800","0.00395","-0.00015"
"0.11400","0.00442","-0.00015"
"0.12000","0.00490","-0.00007"
"0.12600","0.00538","-0.00008"
"0.13200","0.00592","-0.00001"
"0.13800","0.00652","0.00002"
"0.14400","0.00711","0.00001"
"0.15000","0.00765","0.00005"
"0.15600","0.00831","0.00016"
"0.16200","0.00891","0.00024"
"0.16800","0.00957","0.00024"
"0.17400","0.01022","0.00018"
"0.18000","0.01088","0.00007"
"0.18600","0.01154","0.00008"
"0.19200","0.01226","0.00010"
"0.19800","0.01291","0.00014"
"0.20400","0.01363","0.00011"
"0.21000","0.01429","-0.00001"
"0.21600","0.01501","-0.00023"
"0.22200","0.01566","-0.00039"
"0.22800","0.01638","-0.00040"
"0.23400","0.01704","-0.00030"
"0.24000","0.01776","-0.00025"
"0.24600","0.01842","-0.00019"
"0.25200","0.01913","-0.00013"
"0.25800","0.01979","-0.00014"
"0.26400","0.02045","-0.00017"
"0.27000","0.02111","-0.00003"
"0.27600","0.02170","0.00018"
"0.28200","0.02236","0.00027"
"0.28800","0.02296","0.00027"
"0.29400","0.02356","0.00027"
"0.30000","0.02415","0.00020"
"0.30600","0.02475","0.00010"
"0.31200","0.02541","0.00010"
"0.31800","0.02595","0.00007"
"0.32400","0.02655","0.00003"
"0.33000","0.02714","-0.00001"
"0.33600","0.02774","0.00004"
"0.34200","0.02828","0.00004"
"0.34800","0.02888","0.00012"
"0.35400","0.02942","0.00025"
"0.36000","0.02995","0.00025"
"0.36600","0.03055","0.00023"
"0.37200","0.03109","0.00015"
"0.37800","0.03163","0.00007"
"0.38400","0.03217","0.00006"
"0.39000","0.03270","0.00006"
"0.39600","0.03318","-0.00005"
"0.40200","0.03372","-0.00013"
"0.40800","0.03426","-0.00014"
"0.41400","0.03474","-0.00010"
"0.42000","0.03528","-0.00004"
"0.42600","0.03575","0.00001"
"0.43200","0.03629","0.00011"
"0.43800","0.03677","0.00017"
"0.44400","0.03731","0.00019"
"0.45000","0.03779","0.00024"
"0.45600","0.03827","0.00031"
"0.46200","0.03880","0.00029"
"0.46800","0.03928","0.00022"
"0.47400","0.03976","0.00015"
"0.48000","0.04030","0.00004"
"0.48600","0.04078","-0.00004"
"0.49200","0.04131","0.00002"
"0.49800","0.04179","0.00015"
"0.50400","0.04227","0.00024"
"0.51000","0.04281","0.00016"
"0.51600","0.04329","0.00013"
"0.52200","0.04377","0.00016"
"0.52800","0.04430","0.00012"
"0.53400","0.04478","0.00007"
"0.54000","0.04526","0.00011"
"0.54600","0.04574","0.00016"
"0.55200","0.04622","0.00019"
"0.55800","0.04676","0.00021"
