End date,"12/17/2016"
Specimen label,"15CG_Unk"
Maximum Load,"0.01489",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","-0.00059"
"0.00600","0.00006","-0.00047"
"0.01200","0.00006","-0.00031"
"0.01800","0.00012","-0.00011"
"0.02400","0.00024","-0.00010"
"0.03000","0.00036","-0.00011"
"0.03600","0.00048","-0.00012"
"0.04200","0.00066","-0.00004"
"0.04800","0.00084","0.00007"
"0.05400","0.00108","0.00021"
"0.06000","0.00132","0.00021"
"0.06600","0.00155","0.00023"
"0.07200","0.00191","0.00022"
"0.07800","0.00227","0.00018"
"0.08400","0.00263","0.00018"
"0.09000","0.00305","0.00018"
"0.09600","0.00347","0.00017"
"0.10200","0.00389","0.00020"
"0.10800","0.00442","0.00013"
"0.11400","0.00490","0.00009"
"0.12000","0.00544","0.00014"
"0.12600","0.00598","0.00015"
"0.13200","0.00658","0.00029"
"0.13800","0.00717","0.00038"
"0.14400","0.00777","0.00032"
"0.15000","0.00843","0.00031"
"0.15600","0.00909","0.00032"
"0.16200","0.00975","0.00027"
"0.16800","0.01034","0.00034"
"0.17400","0.01100","0.00030"
"0.18000","0.01166","0.00025"
"0.18600","0.01238","0.00025"
"0.19200","0.01303","0.00020"
"0.19800","0.01369","0.00029"
"0.20400","0.01435","0.00037"
"0.21000","0.01501","0.00046"
"0.21600","0.01566","0.00060"
"0.22200","0.01638","0.00074"
"0.22800","0.01704","0.00084"
"0.23400","0.01770","0.00094"
"0.24000","0.01836","0.00089"
"0.24600","0.01901","0.00083"
"0.25200","0.01961","0.00077"
"0.25800","0.02027","0.00060"
"0.26400","0.02093","0.00053"
"0.27000","0.02152","0.00057"
"0.27600","0.02212","0.00074"
"0.28200","0.02272","0.00096"
"0.28800","0.02332","0.00105"
"0.29400","0.02392","0.00109"
"0.30000","0.02451","0.00116"
"0.30600","0.02505","0.00117"
"0.31200","0.02565","0.00111"
"0.31800","0.02625","0.00107"
"0.32400","0.02679","0.00109"
"0.33000","0.02738","0.00114"
"0.33600","0.02792","0.00113"
"0.34200","0.02846","0.00107"
"0.34800","0.02900","0.00107"
"0.35400","0.02960","0.00105"
"0.36000","0.03013","0.00103"
"0.36600","0.03067","0.00107"
"0.37200","0.03115","0.00100"
"0.37800","0.03175","0.00087"
"0.38400","0.03223","0.00077"
"0.39000","0.03276","0.00067"
"0.39600","0.03330","0.00062"
"0.40200","0.03384","0.00061"
"0.40800","0.03432","0.00068"
"0.41400","0.03480","0.00089"
"0.42000","0.03534","0.00109"
"0.42600","0.03581","0.00123"
"0.43200","0.03629","0.00136"
"0.43800","0.03683","0.00142"
"0.44400","0.03731","0.00140"
"0.45000","0.03785","0.00145"
"0.45600","0.03833","0.00150"
"0.46200","0.03880","0.00154"
"0.46800","0.03928","0.00157"
"0.47400","0.03982","0.00156"
"0.48000","0.04030","0.00163"
"0.48600","0.04084","0.00161"
"0.49200","0.04131","0.00154"
"0.49800","0.04179","0.00158"
"0.50400","0.04227","0.00164"
"0.51000","0.04281","0.00166"
"0.51600","0.04329","0.00171"
"0.52200","0.04377","0.00169"
"0.52800","0.04430","0.00156"
"0.53400","0.04478","0.00150"
"0.54000","0.04526","0.00152"
"0.54600","0.04574","0.00159"
"0.55200","0.04622","0.00167"
"0.55800","0.04676","0.00171"
"0.56400","0.04723","0.00177"
"0.57000","0.04771","0.00171"
"0.57600","0.04819","0.00158"
"0.58200","0.04867","0.00158"
"0.58800","0.04921","0.00161"
"0.59400","0.04969","0.00159"
"0.60000","0.05022","0.00163"
"0.60600","0.05070","0.00167"
"0.61200","0.05124","0.00168"
"0.61800","0.05172","0.00167"
"0.62400","0.05220","0.00161"
"0.63000","0.05273","0.00161"
"0.63600","0.05321","0.00168"
"0.64200","0.05369","0.00180"
"0.64800","0.05423","0.00196"
"0.65400","0.05471","0.00205"
"0.66000","0.05519","0.00203"
"0.66600","0.05572","0.00203"
"0.67200","0.05620","0.00204"
"0.67800","0.05674","0.00206"
"0.68400","0.05722","0.00208"
"0.69000","0.05770","0.00204"
"0.69600","0.05824","0.00191"
