End date,"12/18/2016"
Specimen label,"16AT_26"
Maximum Load,"0.01147",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.82868","0.01088"
"0.00600","0.82868","0.01084"
"0.01200","0.82868","0.01075"
"0.01800","0.82880","0.01067"
"0.02400","0.82892","0.01061"
"0.03000","0.82898","0.01060"
"0.03600","0.82916","0.01051"
"0.04200","0.82928","0.01044"
"0.04800","0.82952","0.01047"
"0.05400","0.82976","0.01044"
"0.06000","0.83000","0.01042"
"0.06600","0.83030","0.01043"
"0.07200","0.83060","0.01046"
"0.07800","0.83095","0.01043"
"0.08400","0.83131","0.01044"
"0.09000","0.83173","0.01050"
"0.09600","0.83215","0.01061"
"0.10200","0.83263","0.01067"
"0.10800","0.83311","0.01066"
"0.11400","0.83365","0.01068"
"0.12000","0.83412","0.01073"
"0.12600","0.83472","0.01076"
"0.13200","0.83526","0.01085"
"0.13800","0.83592","0.01079"
"0.14400","0.83652","0.01069"
"0.15000","0.83711","0.01066"
"0.15600","0.83777","0.01062"
"0.16200","0.83843","0.01065"
"0.16800","0.83909","0.01059"
"0.17400","0.83980","0.01045"
"0.18000","0.84046","0.01037"
"0.18600","0.84112","0.01033"
"0.19200","0.84178","0.01033"
"0.19800","0.84243","0.01042"
"0.20400","0.84309","0.01045"
"0.21000","0.84375","0.01046"
"0.21600","0.84441","0.01046"
"0.22200","0.84507","0.01041"
"0.22800","0.84572","0.01039"
"0.23400","0.84638","0.01036"
"0.24000","0.84698","0.01032"
"0.24600","0.84764","0.01037"
"0.25200","0.84829","0.01045"
"0.25800","0.84889","0.01047"
"0.26400","0.84949","0.01044"
"0.27000","0.85015","0.01036"
"0.27600","0.85075","0.01041"
"0.28200","0.85134","0.01049"
"0.28800","0.85200","0.01050"
"0.29400","0.85254","0.01045"
"0.30000","0.85320","0.01042"
"0.30600","0.85373","0.01040"
"0.31200","0.85433","0.01045"
"0.31800","0.85487","0.01045"
"0.32400","0.85547","0.01039"
"0.33000","0.85601","0.01039"
"0.33600","0.85654","0.01036"
"0.34200","0.85708","0.01035"
"0.34800","0.85762","0.01045"
"0.35400","0.85822","0.01057"
"0.36000","0.85876","0.01067"
"0.36600","0.85930","0.01086"
"0.37200","0.85983","0.01099"
"0.37800","0.86037","0.01116"
"0.38400","0.86091","0.01126"
"0.39000","0.86139","0.01122"
"0.39600","0.86193","0.01130"
"0.40200","0.86246","0.01141"
"0.40800","0.86300","0.01145"
"0.41400","0.86354","0.01145"
"0.42000","0.86402","0.01139"
"0.42600","0.86456","0.01133"
"0.43200","0.86503","0.01134"
"0.43800","0.86551","0.01122"
"0.44400","0.86605","0.01114"
"0.45000","0.86653","0.01110"
"0.45600","0.86701","0.01093"
"0.46200","0.86755","0.01077"
"0.46800","0.86802","0.01067"
"0.47400","0.86850","0.01057"
"0.48000","0.86904","0.01054"
"0.48600","0.86952","0.01059"
"0.49200","0.87000","0.01069"
"0.49800","0.87048","0.01078"
"0.50400","0.87101","0.01075"
"0.51000","0.87149","0.01069"
"0.51600","0.87197","0.01072"
"0.52200","0.87251","0.01068"
"0.52800","0.87299","0.01064"
"0.53400","0.87353","0.01069"
"0.54000","0.87400","0.01075"
"0.54600","0.87448","0.01087"
"0.55200","0.87502","0.01096"
"0.55800","0.87550","0.01096"
"0.56400","0.87598","0.01097"
"0.57000","0.87651","0.01091"
"0.57600","0.87699","0.01088"
"0.58200","0.87747","0.01089"
"0.58800","0.87795","0.01084"
"0.59400","0.87843","0.01082"
"0.60000","0.87897","0.01092"
"0.60600","0.87944","0.01096"
"0.61200","0.87998","0.01097"
"0.61800","0.88046","0.01094"
"0.62400","0.88094","0.01087"
"0.63000","0.88142","0.01089"
"0.63600","0.88196","0.01092"
"0.64200","0.88243","0.01091"
"0.64800","0.88291","0.01094"
"0.65400","0.88345","0.01089"
"0.66000","0.88393","0.01099"
"0.66600","0.88441","0.01111"
"0.67200","0.88489","0.01112"
"0.67800","0.88542","0.01110"
"0.68400","0.88590","0.01108"
"0.69000","0.88644","0.01097"
"0.69600","0.88692","0.01096"
"0.70200","0.88740","0.01091"
"0.70800","0.88793","0.01088"
"0.71400","0.88841","0.01096"
"0.72000","0.88889","0.01102"
"0.72600","0.88937","0.01110"
"0.73200","0.88991","0.01124"
"0.73800","0.89039","0.01122"
"0.74400","0.89086","0.01116"
"0.75000","0.89134","0.01115"
"0.75600","0.89188","0.01112"
"0.76200","0.89236","0.01118"
"0.76800","0.89284","0.01122"
"0.77400","0.89338","0.01121"
"0.78000","0.89385","0.01120"
"0.78600","0.89439","0.01110"
"0.79200","0.89487","0.01097"
"0.79800","0.89535","0.01094"
"0.80400","0.89583","0.01091"
"0.81000","0.89636","0.01087"
"0.81600","0.89684","0.01084"
"0.82200","0.89732","0.01078"
"0.82800","0.89786","0.01075"
"0.83400","0.89834","0.01070"
"0.84000","0.89888","0.01066"
