End date,"12/18/2016"
Specimen label,"16AT_26_run2"
Maximum Load,"0.19149",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00028"
"0.00600","0.00000","-0.00033"
"0.01200","0.00000","-0.00037"
"0.01800","0.00012","-0.00030"
"0.02400","0.00018","-0.00017"
"0.03000","0.00030","-0.00010"
"0.03600","0.00042","-0.00002"
"0.04200","0.00060","-0.00001"
"0.04800","0.00084","-0.00007"
"0.05400","0.00102","-0.00007"
"0.06000","0.00126","-0.00006"
"0.06600","0.00155","-0.00006"
"0.07200","0.00185","-0.00005"
"0.07800","0.00215","-0.00006"
"0.08400","0.00251","-0.00007"
"0.09000","0.00287","-0.00010"
"0.09600","0.00329","-0.00012"
"0.10200","0.00371","-0.00010"
"0.10800","0.00413","-0.00005"
"0.11400","0.00454","-0.00007"
"0.12000","0.00502","-0.00005"
"0.12600","0.00550","-0.00006"
"0.13200","0.00604","-0.00016"
"0.13800","0.00658","-0.00018"
"0.14400","0.00711","-0.00014"
"0.15000","0.00771","-0.00015"
"0.15600","0.00831","-0.00014"
"0.16200","0.00897","-0.00011"
"0.16800","0.00957","0.00004"
"0.17400","0.01022","0.00010"
"0.18000","0.01088","0.00009"
"0.18600","0.01154","0.00011"
"0.19200","0.01220","0.00014"
"0.19800","0.01285","0.00003"
"0.20400","0.01357","0.00000"
"0.21000","0.01423","0.00003"
"0.21600","0.01495","0.00004"
"0.22200","0.01561","0.00005"
"0.22800","0.01632","0.00006"
"0.23400","0.01704","0.00008"
"0.24000","0.01770","0.00012"
"0.24600","0.01836","0.00010"
"0.25200","0.01907","0.00016"
"0.25800","0.01973","0.00018"
"0.26400","0.02039","0.00005"
"0.27000","0.02099","-0.00007"
"0.27600","0.02164","-0.00006"
"0.28200","0.02230","-0.00005"
"0.28800","0.02290","-0.00001"
"0.29400","0.02356","0.00007"
"0.30000","0.02415","0.00011"
"0.30600","0.02475","0.00012"
"0.31200","0.02535","0.00010"
"0.31800","0.02595","0.00011"
"0.32400","0.02655","0.00019"
"0.33000","0.02714","0.00019"
"0.33600","0.02768","0.00022"
"0.34200","0.02828","0.00018"
"0.34800","0.02888","0.00002"
"0.35400","0.02942","-0.00011"
"0.36000","0.02995","-0.00023"
"0.36600","0.03055","-0.00032"
"0.37200","0.03109","-0.00029"
"0.37800","0.03157","-0.00026"
"0.38400","0.03211","-0.00015"
"0.39000","0.03265","0.00004"
"0.39600","0.03318","0.00015"
"0.40200","0.03372","0.00018"
"0.40800","0.03420","0.00021"
"0.41400","0.03474","0.00019"
"0.42000","0.03528","0.00025"
"0.42600","0.03575","0.00031"
"0.43200","0.03623","0.00026"
"0.43800","0.03677","0.00028"
"0.44400","0.03725","0.00029"
"0.45000","0.03773","0.00028"
"0.45600","0.03827","0.00024"
"0.46200","0.03874","0.00008"
"0.46800","0.03928","-0.00003"
"0.47400","0.03976","-0.00004"
"0.48000","0.04030","-0.00004"
"0.48600","0.04078","0.00000"
"0.49200","0.04125","0.00004"
"0.49800","0.04179","0.00012"
"0.50400","0.04227","0.00020"
"0.51000","0.04275","0.00018"
"0.51600","0.04323","0.00017"
"0.52200","0.04377","0.00021"
"0.52800","0.04424","0.00023"
"0.53400","0.04472","0.00028"
"0.54000","0.04520","0.00040"
"0.54600","0.04574","0.00041"
"0.55200","0.04622","0.00044"
"0.55800","0.04670","0.00051"
"0.56400","0.04723","0.00054"
"0.57000","0.04771","0.00055"
"0.57600","0.04819","0.00049"
"0.58200","0.04867","0.00028"
"0.58800","0.04915","0.00022"
"0.59400","0.04969","0.00026"
"0.60000","0.05016","0.00031"
"0.60600","0.05064","0.00039"
"0.61200","0.05118","0.00034"
"0.61800","0.05166","0.00032"
"0.62400","0.05214","0.00037"
"0.63000","0.05267","0.00035"
"0.63600","0.05315","0.00035"
"0.64200","0.05363","0.00040"
"0.64800","0.05417","0.00042"
"0.65400","0.05465","0.00054"
"0.66000","0.05513","0.00066"
"0.66600","0.05566","0.00067"
"0.67200","0.05614","0.00067"
"0.67800","0.05668","0.00063"
"0.68400","0.05716","0.00056"
"0.69000","0.05764","0.00048"
"0.69600","0.05818","0.00039"
"0.70200","0.05865","0.00038"
"0.70800","0.05919","0.00037"
"0.71400","0.05967","0.00032"
"0.72000","0.06015","0.00031"
"0.72600","0.06069","0.00030"
"0.73200","0.06116","0.00029"
"0.73800","0.06164","0.00028"
"0.74400","0.06218","0.00020"
"0.75000","0.06266","0.00018"
"0.75600","0.06320","0.00028"
"0.76200","0.06368","0.00031"
"0.76800","0.06421","0.00042"
"0.77400","0.06469","0.00054"
"0.78000","0.06523","0.00058"
"0.78600","0.06571","0.00060"
"0.79200","0.06619","0.00054"
"0.79800","0.06673","0.00034"
"0.80400","0.06720","0.00022"
"0.81000","0.06768","0.00019"
"0.81600","0.06822","0.00029"
"0.82200","0.06870","0.00038"
"0.82800","0.06924","0.00043"
"0.83400","0.06971","0.00052"
"0.84000","0.07025","0.00049"
"0.84600","0.07073","0.00036"
"0.85200","0.07127","0.00036"
"0.85800","0.07175","0.00045"
"0.86400","0.07229","0.00052"
"0.87000","0.07276","0.00061"
"0.87600","0.07324","0.00062"
"0.88200","0.07378","0.00049"
"0.88800","0.07426","0.00048"
"0.89400","0.07474","0.00048"
"0.90000","0.07522","0.00049"
"0.90600","0.07569","0.00046"
"0.91200","0.07623","0.00035"
