End date,"12/18/2016"
Specimen label,"16AT_Unk"
Maximum Load,"0.14730",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00013"
"0.00600","0.00000","-0.00027"
"0.01200","0.00006","-0.00035"
"0.01800","0.00012","-0.00032"
"0.02400","0.00018","-0.00028"
"0.03000","0.00030","-0.00013"
"0.03600","0.00048","-0.00006"
"0.04200","0.00060","-0.00008"
"0.04800","0.00084","-0.00006"
"0.05400","0.00108","-0.00013"
"0.06000","0.00132","-0.00018"
"0.06600","0.00155","-0.00014"
"0.07200","0.00191","-0.00020"
"0.07800","0.00227","-0.00026"
"0.08400","0.00269","-0.00023"
"0.09000","0.00311","-0.00024"
"0.09600","0.00359","-0.00024"
"0.10200","0.00407","-0.00016"
"0.10800","0.00454","-0.00007"
"0.11400","0.00508","-0.00002"
"0.12000","0.00568","0.00003"
"0.12600","0.00622","0.00004"
"0.13200","0.00682","0.00014"
"0.13800","0.00741","0.00013"
"0.14400","0.00807","0.00018"
"0.15000","0.00867","0.00020"
"0.15600","0.00927","0.00004"
"0.16200","0.00993","-0.00010"
"0.16800","0.01058","-0.00020"
"0.17400","0.01124","-0.00033"
"0.18000","0.01196","-0.00040"
"0.18600","0.01262","-0.00034"
"0.19200","0.01327","-0.00029"
"0.19800","0.01393","-0.00021"
"0.20400","0.01459","-0.00022"
"0.21000","0.01525","-0.00027"
"0.21600","0.01590","-0.00024"
"0.22200","0.01650","-0.00019"
"0.22800","0.01716","-0.00010"
"0.23400","0.01782","0.00008"
"0.24000","0.01842","0.00024"
"0.24600","0.01907","0.00027"
"0.25200","0.01973","0.00032"
"0.25800","0.02033","0.00031"
"0.26400","0.02099","0.00030"
"0.27000","0.02158","0.00031"
"0.27600","0.02218","0.00031"
"0.28200","0.02278","0.00024"
"0.28800","0.02338","0.00011"
"0.29400","0.02398","-0.00001"
"0.30000","0.02457","-0.00005"
"0.30600","0.02517","-0.00014"
"0.31200","0.02571","-0.00022"
"0.31800","0.02631","-0.00024"
"0.32400","0.02685","-0.00028"
"0.33000","0.02738","-0.00020"
"0.33600","0.02798","-0.00013"
"0.34200","0.02852","-0.00010"
"0.34800","0.02906","-0.00002"
"0.35400","0.02960","0.00003"
"0.36000","0.03013","0.00013"
"0.36600","0.03067","0.00032"
"0.37200","0.03121","0.00035"
"0.37800","0.03169","0.00037"
"0.38400","0.03223","0.00039"
"0.39000","0.03276","0.00030"
"0.39600","0.03330","0.00014"
"0.40200","0.03378","-0.00006"
"0.40800","0.03432","-0.00020"
"0.41400","0.03480","-0.00022"
"0.42000","0.03534","-0.00018"
"0.42600","0.03581","-0.00015"
"0.43200","0.03629","-0.00009"
"0.43800","0.03683","-0.00009"
"0.44400","0.03731","-0.00007"
"0.45000","0.03785","0.00004"
"0.45600","0.03833","0.00006"
"0.46200","0.03880","0.00007"
"0.46800","0.03934","0.00004"
"0.47400","0.03982","-0.00007"
"0.48000","0.04030","-0.00018"
"0.48600","0.04084","-0.00017"
"0.49200","0.04131","0.00000"
"0.49800","0.04185","0.00027"
"0.50400","0.04233","0.00045"
"0.51000","0.04281","0.00046"
"0.51600","0.04335","0.00046"
"0.52200","0.04383","0.00041"
"0.52800","0.04430","0.00034"
"0.53400","0.04478","0.00032"
"0.54000","0.04526","0.00031"
"0.54600","0.04574","0.00038"
"0.55200","0.04628","0.00042"
"0.55800","0.04676","0.00042"
"0.56400","0.04723","0.00039"
"0.57000","0.04777","0.00031"
"0.57600","0.04825","0.00022"
"0.58200","0.04873","0.00010"
"0.58800","0.04921","-0.00008"
"0.59400","0.04969","-0.00020"
"0.60000","0.05022","-0.00011"
"0.60600","0.05070","-0.00006"
"0.61200","0.05118","-0.00002"
"0.61800","0.05172","0.00003"
"0.62400","0.05220","0.00007"
"0.63000","0.05267","0.00014"
"0.63600","0.05321","0.00006"
"0.64200","0.05369","-0.00002"
"0.64800","0.05423","-0.00005"
"0.65400","0.05471","-0.00008"
"0.66000","0.05519","-0.00013"
"0.66600","0.05572","-0.00013"
"0.67200","0.05620","-0.00010"
"0.67800","0.05668","-0.00006"
"0.68400","0.05716","0.00003"
"0.69000","0.05770","0.00012"
"0.69600","0.05818","0.00017"
"0.70200","0.05865","0.00020"
"0.70800","0.05919","0.00018"
"0.71400","0.05967","0.00013"
"0.72000","0.06015","0.00009"
"0.72600","0.06069","0.00001"
"0.73200","0.06116","0.00003"
"0.73800","0.06164","0.00006"
"0.74400","0.06218","0.00007"
"0.75000","0.06266","0.00009"
"0.75600","0.06314","0.00005"
"0.76200","0.06368","0.00003"
"0.76800","0.06415","0.00004"
"0.77400","0.06469","0.00005"
"0.78000","0.06517","0.00010"
"0.78600","0.06571","0.00008"
"0.79200","0.06625","0.00004"
"0.79800","0.06673","0.00011"
"0.80400","0.06726","0.00010"
"0.81000","0.06774","0.00009"
"0.81600","0.06822","0.00010"
"0.82200","0.06876","0.00004"
"0.82800","0.06924","0.00001"
"0.83400","0.06971","0.00012"
"0.84000","0.07019","0.00013"
"0.84600","0.07073","0.00017"
"0.85200","0.07121","0.00013"
"0.85800","0.07169","0.00004"
"0.86400","0.07223","0.00002"
"0.87000","0.07270","0.00006"
"0.87600","0.07324","0.00006"
"0.88200","0.07372","0.00010"
"0.88800","0.07420","0.00013"
"0.89400","0.07474","0.00012"
"0.90000","0.07522","0.00016"
"0.90600","0.07569","0.00012"
"0.91200","0.07623","0.00018"
"0.91800","0.07671","0.00030"
"0.92400","0.07725","0.00039"
"0.93000","0.07773","0.00050"
"0.93600","0.07826","0.00054"
"0.94200","0.07874","0.00047"
"0.94800","0.07922","0.00045"
"0.95400","0.07976","0.00040"
"0.96000","0.08024","0.00031"
"0.96600","0.08072","0.00031"
"0.97200","0.08125","0.00026"
"0.97800","0.08173","0.00029"
"0.98400","0.08221","0.00038"
"0.99000","0.08275","0.00037"
"0.99600","0.08323","0.00026"
"1.00200","0.08371","0.00021"
"1.00800","0.08418","0.00018"
"1.01400","0.08472","0.00015"
"1.02000","0.08520","0.00007"
"1.02600","0.08568","0.00000"
"1.03200","0.08622","0.00007"
"1.03800","0.08669","0.00008"
"1.04400","0.08723","0.00007"
"1.05000","0.08771","0.00011"
"1.05600","0.08825","0.00010"
"1.06200","0.08873","0.00004"
"1.06800","0.08927","0.00000"
"1.07400","0.08974","0.00001"
"1.08000","0.09028","0.00000"
"1.08600","0.09076","-0.00005"
"1.09200","0.09124","-0.00003"
"1.09800","0.09178","0.00004"
"1.10400","0.09226","0.00005"
"1.11000","0.09273","0.00010"
"1.11600","0.09327","0.00019"
"1.12200","0.09375","0.00022"
"1.12800","0.09423","0.00026"
"1.13400","0.09477","0.00027"
"1.14000","0.09524","0.00022"
"1.14600","0.09572","0.00011"
"1.15200","0.09620","0.00006"
"1.15800","0.09668","0.00006"
"1.16400","0.09722","0.00012"
"1.17000","0.09770","0.00014"
"1.17600","0.09817","0.00017"
"1.18200","0.09871","0.00019"
"1.18800","0.09919","0.00014"
"1.19400","0.09973","0.00007"
"1.20000","0.10021","0.00008"
"1.20600","0.10075","0.00004"
"1.21200","0.10122","-0.00003"
"1.21800","0.10176","-0.00013"
"1.22400","0.10224","-0.00017"
"1.23000","0.10272","-0.00009"
"1.23600","0.10326","-0.00015"
"1.24200","0.10373","-0.00025"
"1.24800","0.10421","-0.00025"
"1.25400","0.10475","-0.00020"
"1.26000","0.10523","-0.00025"
"1.26600","0.10571","-0.00027"
"1.27200","0.10625","-0.00027"
"1.27800","0.10672","-0.00020"
"1.28400","0.10720","-0.00012"
"1.29000","0.10774","-0.00011"
"1.29600","0.10822","-0.00010"
"1.30200","0.10870","-0.00007"
"1.30800","0.10918","-0.00008"
"1.31400","0.10971","-0.00004"
"1.32000","0.11019","-0.00003"
"1.32600","0.11067","-0.00002"
"1.33200","0.11121","0.00010"
"1.33800","0.11169","0.00020"
"1.34400","0.11222","0.00025"
"1.35000","0.11270","0.00024"
"1.35600","0.11324","0.00013"
"1.36200","0.11372","0.00003"
"1.36800","0.11426","0.00005"
"1.37400","0.11474","0.00009"
"1.38000","0.11521","0.00003"
"1.38600","0.11575","0.00000"
"1.39200","0.11623","-0.00005"
"1.39800","0.11671","-0.00009"
"1.40400","0.11725","-0.00009"
"1.41000","0.11773","-0.00008"
"1.41600","0.11826","-0.00007"
"1.42200","0.11874","-0.00009"
"1.42800","0.11922","-0.00010"
"1.43400","0.11976","0.00002"
"1.44000","0.12024","0.00002"
"1.44600","0.12077","-0.00002"
"1.45200","0.12125","-0.00008"
"1.45800","0.12173","-0.00016"
"1.46400","0.12227","-0.00018"
"1.47000","0.12275","-0.00020"
"1.47600","0.12323","-0.00022"
"1.48200","0.12376","-0.00008"
"1.48800","0.12424","0.00003"
"1.49400","0.12472","0.00005"
"1.50000","0.12526","0.00013"
"1.50600","0.12574","0.00027"
"1.51200","0.12622","0.00039"
"1.51800","0.12675","0.00049"
"1.52400","0.12723","0.00046"
"1.53000","0.12777","0.00045"
"1.53600","0.12825","0.00041"
"1.54200","0.12873","0.00028"
"1.54800","0.12926","0.00018"
"1.55400","0.12974","0.00010"
"1.56000","0.13028","0.00013"
"1.56600","0.13076","0.00017"
"1.57200","0.13130","0.00022"
"1.57800","0.13178","0.00026"
"1.58400","0.13225","0.00033"
"1.59000","0.13279","0.00027"
"1.59600","0.13327","0.00020"
"1.60200","0.13381","0.00021"
"1.60800","0.13429","0.00020"
"1.61400","0.13477","0.00028"
"1.62000","0.13524","0.00030"
"1.62600","0.13578","0.00021"
"1.63200","0.13626","0.00024"
"1.63800","0.13680","0.00025"
"1.64400","0.13728","0.00024"
"1.65000","0.13776","0.00023"
"1.65600","0.13829","0.00021"
"1.66200","0.13877","0.00022"
"1.66800","0.13925","0.00021"
"1.67400","0.13973","0.00011"
"1.68000","0.14027","0.00000"
"1.68600","0.14074","-0.00012"
"1.69200","0.14122","-0.00009"
"1.69800","0.14176","0.00002"
"1.70400","0.14224","0.00012"
"1.71000","0.14272","0.00015"
"1.71600","0.14326","0.00021"
"1.72200","0.14373","0.00018"
"1.72800","0.14421","0.00008"
"1.73400","0.14475","0.00008"
"1.74000","0.14523","0.00008"
"1.74600","0.14571","0.00013"
"1.75200","0.14619","0.00022"
"1.75800","0.14672","0.00027"
"1.76400","0.14720","0.00033"
"1.77000","0.14768","0.00039"
"1.77600","0.14816","0.00041"
"1.78200","0.14870","0.00039"
"1.78800","0.14917","0.00036"
"1.79400","0.14965","0.00028"
"1.80000","0.15019","0.00027"
"1.80600","0.15067","0.00018"
"1.81200","0.15115","0.00009"
"1.81800","0.15169","0.00006"
"1.82400","0.15216","0.00008"
"1.83000","0.15264","0.00010"
"1.83600","0.15318","0.00009"
"1.84200","0.15366","0.00007"
"1.84800","0.15420","0.00017"
