End date,"12/18/2016"
Specimen label,"16CT_29_run2"
Maximum Load,"0.16028",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","10.26192","0.01566"
"0.00600","10.26192","0.01566"
"0.01200","10.26192","0.01566"
"0.01800","10.26198","0.01564"
"0.02400","10.26204","0.01564"
"0.03000","10.26216","0.01561"
"0.03600","10.26234","0.01568"
"0.04200","10.26245","0.01574"
"0.04800","10.26263","0.01570"
"0.05400","10.26287","0.01572"
"0.06000","10.26311","0.01583"
"0.06600","10.26335","0.01575"
"0.07200","10.26365","0.01562"
"0.07800","10.26395","0.01557"
"0.08400","10.26425","0.01550"
"0.09000","10.26455","0.01548"
"0.09600","10.26497","0.01565"
"0.10200","10.26533","0.01594"
"0.10800","10.26574","0.01633"
"0.11400","10.26616","0.01666"
"0.12000","10.26670","0.01687"
"0.12600","10.26718","0.01704"
"0.13200","10.26772","0.01692"
"0.13800","10.26825","0.01670"
"0.14400","10.26879","0.01651"
"0.15000","10.26939","0.01630"
"0.15600","10.26999","0.01624"
"0.16200","10.27065","0.01623"
"0.16800","10.27130","0.01642"
"0.17400","10.27196","0.01675"
"0.18000","10.27262","0.01694"
"0.18600","10.27334","0.01696"
"0.19200","10.27399","0.01691"
"0.19800","10.27471","0.01696"
"0.20400","10.27537","0.01707"
"0.21000","10.27609","0.01712"
"0.21600","10.27680","0.01719"
"0.22200","10.27752","0.01733"
"0.22800","10.27824","0.01742"
"0.23400","10.27890","0.01761"
"0.24000","10.27961","0.01782"
"0.24600","10.28027","0.01795"
"0.25200","10.28093","0.01797"
"0.25800","10.28159","0.01787"
"0.26400","10.28224","0.01782"
"0.27000","10.28290","0.01791"
"0.27600","10.28350","0.01796"
"0.28200","10.28416","0.01797"
"0.28800","10.28476","0.01801"
"0.29400","10.28541","0.01814"
"0.30000","10.28601","0.01823"
"0.30600","10.28661","0.01831"
"0.31200","10.28721","0.01841"
"0.31800","10.28780","0.01843"
"0.32400","10.28840","0.01852"
"0.33000","10.28900","0.01861"
"0.33600","10.28960","0.01871"
"0.34200","10.29020","0.01872"
"0.34800","10.29073","0.01866"
"0.35400","10.29127","0.01864"
"0.36000","10.29187","0.01860"
"0.36600","10.29235","0.01849"
"0.37200","10.29295","0.01839"
"0.37800","10.29342","0.01846"
"0.38400","10.29396","0.01849"
"0.39000","10.29450","0.01844"
"0.39600","10.29504","0.01853"
"0.40200","10.29558","0.01860"
"0.40800","10.29612","0.01864"
"0.41400","10.29660","0.01871"
"0.42000","10.29713","0.01889"
"0.42600","10.29761","0.01912"
"0.43200","10.29815","0.01923"
"0.43800","10.29863","0.01920"
"0.44400","10.29917","0.01923"
"0.45000","10.29964","0.01935"
"0.45600","10.30018","0.01947"
"0.46200","10.30066","0.01970"
"0.46800","10.30120","0.01990"
"0.47400","10.30168","0.02004"
"0.48000","10.30221","0.02005"
"0.48600","10.30269","0.02003"
"0.49200","10.30317","0.01997"
"0.49800","10.30365","0.01992"
"0.50400","10.30413","0.01992"
"0.51000","10.30467","0.01992"
"0.51600","10.30515","0.01991"
"0.52200","10.30562","0.01992"
"0.52800","10.30610","0.01999"
"0.53400","10.30658","0.02011"
"0.54000","10.30712","0.02012"
"0.54600","10.30760","0.02014"
"0.55200","10.30807","0.02028"
"0.55800","10.30855","0.02034"
"0.56400","10.30909","0.02025"
"0.57000","10.30957","0.02019"
"0.57600","10.31005","0.02027"
"0.58200","10.31059","0.02032"
"0.58800","10.31106","0.02029"
"0.59400","10.31154","0.02019"
"0.60000","10.31208","0.02008"
"0.60600","10.31256","0.02004"
"0.61200","10.31304","0.01997"
"0.61800","10.31357","0.01995"
"0.62400","10.31405","0.02002"
"0.63000","10.31453","0.02010"
"0.63600","10.31507","0.02020"
"0.64200","10.31555","0.02031"
"0.64800","10.31603","0.02043"
"0.65400","10.31656","0.02058"
"0.66000","10.31704","0.02070"
"0.66600","10.31758","0.02082"
"0.67200","10.31806","0.02085"
"0.67800","10.31860","0.02079"
"0.68400","10.31907","0.02072"
"0.69000","10.31961","0.02073"
"0.69600","10.32009","0.02069"
"0.70200","10.32063","0.02059"
