End date,"12/18/2016"
Specimen label,"16DG_31_run2"
Maximum Load,"0.05678",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","39.39938","0.01421"
"0.00600","39.39938","0.01406"
"0.01200","39.39938","0.01398"
"0.01800","39.39945","0.01390"
"0.02400","39.39957","0.01392"
"0.03000","39.39968","0.01407"
"0.03600","39.39981","0.01417"
"0.04200","39.39999","0.01416"
"0.04800","39.40017","0.01417"
"0.05400","39.40041","0.01413"
"0.06000","39.40065","0.01412"
"0.06600","39.40088","0.01410"
"0.07200","39.40118","0.01406"
"0.07800","39.40148","0.01406"
"0.08400","39.40178","0.01409"
"0.09000","39.40214","0.01417"
"0.09600","39.40250","0.01434"
"0.10200","39.40286","0.01441"
"0.10800","39.40327","0.01441"
"0.11400","39.40369","0.01444"
"0.12000","39.40417","0.01442"
"0.12600","39.40465","0.01451"
"0.13200","39.40519","0.01459"
"0.13800","39.40573","0.01457"
"0.14400","39.40633","0.01452"
"0.15000","39.40692","0.01447"
"0.15600","39.40752","0.01448"
"0.16200","39.40812","0.01441"
"0.16800","39.40877","0.01432"
"0.17400","39.40943","0.01428"
"0.18000","39.41009","0.01426"
"0.18600","39.41075","0.01430"
"0.19200","39.41146","0.01443"
"0.19800","39.41212","0.01456"
"0.20400","39.41278","0.01462"
"0.21000","39.41350","0.01461"
"0.21600","39.41415","0.01472"
"0.22200","39.41481","0.01483"
"0.22800","39.41553","0.01497"
"0.23400","39.41619","0.01508"
"0.24000","39.41691","0.01504"
"0.24600","39.41756","0.01500"
"0.25200","39.41822","0.01500"
"0.25800","39.41894","0.01491"
"0.26400","39.41960","0.01485"
"0.27000","39.42025","0.01484"
"0.27600","39.42091","0.01491"
"0.28200","39.42157","0.01509"
"0.28800","39.42223","0.01528"
"0.29400","39.42289","0.01534"
"0.30000","39.42348","0.01525"
"0.30600","39.42408","0.01515"
"0.31200","39.42467","0.01524"
"0.31800","39.42528","0.01540"
"0.32400","39.42587","0.01535"
"0.33000","39.42641","0.01523"
"0.33600","39.42701","0.01509"
"0.34200","39.42761","0.01491"
"0.34800","39.42815","0.01477"
"0.35400","39.42868","0.01482"
"0.36000","39.42928","0.01485"
"0.36600","39.42982","0.01469"
"0.37200","39.43036","0.01453"
"0.37800","39.43090","0.01459"
"0.38400","39.43144","0.01467"
"0.39000","39.43197","0.01467"
"0.39600","39.43251","0.01475"
"0.40200","39.43299","0.01486"
"0.40800","39.43358","0.01495"
"0.41400","39.43406","0.01508"
"0.42000","39.43460","0.01511"
"0.42600","39.43509","0.01514"
"0.43200","39.43556","0.01510"
"0.43800","39.43610","0.01502"
"0.44400","39.43658","0.01513"
"0.45000","39.43711","0.01532"
"0.45600","39.43760","0.01549"
"0.46200","39.43813","0.01565"
"0.46800","39.43861","0.01572"
"0.47400","39.43909","0.01562"
"0.48000","39.43962","0.01552"
"0.48600","39.44010","0.01545"
"0.49200","39.44058","0.01544"
"0.49800","39.44112","0.01543"
"0.50400","39.44160","0.01535"
"0.51000","39.44208","0.01530"
"0.51600","39.44256","0.01532"
"0.52200","39.44304","0.01542"
"0.52800","39.44357","0.01550"
"0.53400","39.44405","0.01559"
"0.54000","39.44459","0.01561"
"0.54600","39.44507","0.01562"
