End date,"12/21/2016"
Specimen label,"23DGG_81"
Maximum Load,"0.23561",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00009"
"0.00600","0.00000","0.00011"
"0.01200","0.00006","0.00009"
"0.01800","0.00012","0.00014"
"0.02400","0.00018","0.00019"
"0.03000","0.00030","0.00016"
"0.03600","0.00042","0.00015"
"0.04200","0.00060","0.00010"
"0.04800","0.00078","-0.00003"
"0.05400","0.00096","-0.00014"
"0.06000","0.00126","-0.00015"
"0.06600","0.00149","-0.00015"
"0.07200","0.00185","-0.00016"
"0.07800","0.00215","-0.00027"
"0.08400","0.00257","-0.00032"
"0.09000","0.00293","-0.00031"
"0.09600","0.00341","-0.00030"
"0.10200","0.00383","-0.00016"
"0.10800","0.00430","-0.00003"
"0.11400","0.00484","-0.00001"
"0.12000","0.00538","0.00005"
"0.12600","0.00592","0.00010"
"0.13200","0.00652","0.00018"
"0.13800","0.00711","0.00025"
"0.14400","0.00771","0.00019"
"0.15000","0.00837","0.00009"
"0.15600","0.00903","0.00008"
"0.16200","0.00969","0.00004"
"0.16800","0.01034","0.00004"
"0.17400","0.01100","0.00002"
"0.18000","0.01166","-0.00008"
"0.18600","0.01232","-0.00008"
"0.19200","0.01297","-0.00005"
"0.19800","0.01363","-0.00008"
"0.20400","0.01435","-0.00005"
"0.21000","0.01501","-0.00003"
"0.21600","0.01566","-0.00001"
"0.22200","0.01632","0.00004"
"0.22800","0.01698","0.00005"
"0.23400","0.01764","0.00008"
"0.24000","0.01830","0.00015"
"0.24600","0.01895","0.00019"
"0.25200","0.01961","0.00019"
"0.25800","0.02027","0.00023"
"0.26400","0.02087","0.00019"
"0.27000","0.02152","0.00016"
"0.27600","0.02212","0.00013"
"0.28200","0.02272","0.00014"
"0.28800","0.02332","0.00021"
"0.29400","0.02392","0.00018"
"0.30000","0.02445","0.00021"
"0.30600","0.02505","0.00027"
"0.31200","0.02565","0.00018"
"0.31800","0.02619","0.00018"
"0.32400","0.02679","0.00022"
"0.33000","0.02732","0.00016"
"0.33600","0.02786","0.00020"
"0.34200","0.02840","0.00020"
"0.34800","0.02894","0.00020"
"0.35400","0.02948","0.00027"
"0.36000","0.03001","0.00026"
"0.36600","0.03055","0.00024"
"0.37200","0.03109","0.00030"
"0.37800","0.03163","0.00030"
"0.38400","0.03217","0.00030"
"0.39000","0.03265","0.00031"
"0.39600","0.03318","0.00029"
"0.40200","0.03366","0.00036"
"0.40800","0.03420","0.00037"
"0.41400","0.03474","0.00038"
"0.42000","0.03522","0.00028"
"0.42600","0.03575","0.00009"
"0.43200","0.03623","-0.00010"
"0.43800","0.03677","-0.00008"
"0.44400","0.03725","-0.00007"
"0.45000","0.03779","-0.00003"
"0.45600","0.03827","0.00007"
"0.46200","0.03880","0.00016"
"0.46800","0.03928","0.00034"
"0.47400","0.03976","0.00046"
"0.48000","0.04030","0.00046"
"0.48600","0.04078","0.00052"
"0.49200","0.04125","0.00051"
"0.49800","0.04179","0.00042"
"0.50400","0.04227","0.00038"
"0.51000","0.04275","0.00027"
"0.51600","0.04329","0.00021"
"0.52200","0.04377","0.00019"
"0.52800","0.04430","0.00021"
"0.53400","0.04478","0.00034"
"0.54000","0.04532","0.00049"
"0.54600","0.04580","0.00042"
"0.55200","0.04634","0.00040"
"0.55800","0.04682","0.00033"
"0.56400","0.04729","0.00028"
"0.57000","0.04783","0.00031"
"0.57600","0.04831","0.00035"
"0.58200","0.04879","0.00043"
"0.58800","0.04933","0.00055"
"0.59400","0.04980","0.00065"
"0.60000","0.05028","0.00067"
"0.60600","0.05082","0.00062"
"0.61200","0.05130","0.00053"
"0.61800","0.05178","0.00050"
"0.62400","0.05226","0.00053"
"0.63000","0.05279","0.00053"
"0.63600","0.05327","0.00055"
"0.64200","0.05375","0.00053"
"0.64800","0.05423","0.00046"
"0.65400","0.05477","0.00047"
"0.66000","0.05525","0.00050"
"0.66600","0.05572","0.00052"
"0.67200","0.05626","0.00056"
"0.67800","0.05674","0.00052"
"0.68400","0.05728","0.00041"
"0.69000","0.05776","0.00026"
"0.69600","0.05824","0.00017"
"0.70200","0.05877","0.00020"
"0.70800","0.05925","0.00030"
"0.71400","0.05973","0.00036"
"0.72000","0.06021","0.00043"
"0.72600","0.06075","0.00047"
"0.73200","0.06122","0.00047"
"0.73800","0.06170","0.00048"
"0.74400","0.06224","0.00054"
"0.75000","0.06272","0.00056"
"0.75600","0.06326","0.00052"
"0.76200","0.06374","0.00034"
"0.76800","0.06421","0.00026"
"0.77400","0.06475","0.00026"
"0.78000","0.06523","0.00031"
"0.78600","0.06571","0.00040"
"0.79200","0.06619","0.00041"
