End date,"12/21/2016"
Specimen label,"24BG_95_run3"
Maximum Load,"0.04333",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","18.84548","0.00640"
"0.00600","18.84548","0.00638"
"0.01200","18.84548","0.00643"
"0.01800","18.84554","0.00653"
"0.02400","18.84566","0.00654"
"0.03000","18.84578","0.00655"
"0.03600","18.84590","0.00644"
"0.04200","18.84608","0.00639"
"0.04800","18.84626","0.00638"
"0.05400","18.84644","0.00632"
"0.06000","18.84668","0.00631"
"0.06600","18.84692","0.00636"
"0.07200","18.84722","0.00639"
"0.07800","18.84751","0.00651"
"0.08400","18.84781","0.00659"
"0.09000","18.84811","0.00665"
"0.09600","18.84853","0.00678"
"0.10200","18.84889","0.00685"
"0.10800","18.84931","0.00689"
"0.11400","18.84973","0.00689"
"0.12000","18.85021","0.00682"
"0.12600","18.85068","0.00685"
"0.13200","18.85122","0.00688"
"0.13800","18.85176","0.00687"
"0.14400","18.85230","0.00683"
"0.15000","18.85290","0.00675"
"0.15600","18.85349","0.00662"
"0.16200","18.85415","0.00660"
"0.16800","18.85475","0.00666"
"0.17400","18.85541","0.00672"
"0.18000","18.85612","0.00675"
"0.18600","18.85678","0.00668"
"0.19200","18.85744","0.00664"
"0.19800","18.85816","0.00663"
"0.20400","18.85881","0.00650"
"0.21000","18.85953","0.00639"
"0.21600","18.86025","0.00635"
"0.22200","18.86097","0.00633"
"0.22800","18.86168","0.00632"
"0.23400","18.86240","0.00638"
"0.24000","18.86306","0.00644"
"0.24600","18.86372","0.00655"
"0.25200","18.86437","0.00663"
"0.25800","18.86503","0.00662"
"0.26400","18.86569","0.00659"
"0.27000","18.86635","0.00647"
"0.27600","18.86701","0.00643"
"0.28200","18.86766","0.00647"
"0.28800","18.86826","0.00647"
"0.29400","18.86892","0.00651"
"0.30000","18.86952","0.00658"
"0.30600","18.87012","0.00661"
"0.31200","18.87077","0.00665"
"0.31800","18.87137","0.00669"
"0.32400","18.87197","0.00676"
"0.33000","18.87257","0.00675"
"0.33600","18.87317","0.00663"
"0.34200","18.87376","0.00655"
"0.34800","18.87436","0.00657"
"0.35400","18.87490","0.00657"
"0.36000","18.87550","0.00660"
"0.36600","18.87604","0.00663"
"0.37200","18.87657","0.00665"
"0.37800","18.87711","0.00673"
"0.38400","18.87765","0.00679"
"0.39000","18.87819","0.00683"
"0.39600","18.87866","0.00675"
"0.40200","18.87920","0.00668"
"0.40800","18.87974","0.00668"
"0.41400","18.88022","0.00677"
"0.42000","18.88076","0.00686"
"0.42600","18.88124","0.00701"
"0.43200","18.88177","0.00708"
"0.43800","18.88225","0.00702"
"0.44400","18.88279","0.00690"
"0.45000","18.88333","0.00684"
"0.45600","18.88381","0.00676"
"0.46200","18.88434","0.00674"
"0.46800","18.88482","0.00673"
"0.47400","18.88530","0.00665"
"0.48000","18.88584","0.00654"
"0.48600","18.88632","0.00653"
"0.49200","18.88680","0.00663"
"0.49800","18.88727","0.00670"
"0.50400","18.88775","0.00671"
"0.51000","18.88829","0.00672"
"0.51600","18.88877","0.00672"
"0.52200","18.88925","0.00671"
"0.52800","18.88972","0.00675"
"0.53400","18.89020","0.00675"
"0.54000","18.89074","0.00669"
"0.54600","18.89122","0.00660"
"0.55200","18.89170","0.00657"
"0.55800","18.89218","0.00660"
"0.56400","18.89265","0.00667"
"0.57000","18.89319","0.00666"
"0.57600","18.89367","0.00671"
"0.58200","18.89421","0.00673"
"0.58800","18.89469","0.00667"
"0.59400","18.89517","0.00670"
"0.60000","18.89570","0.00672"
"0.60600","18.89624","0.00665"
"0.61200","18.89672","0.00656"
"0.61800","18.89726","0.00646"
"0.62400","18.89774","0.00642"
"0.63000","18.89821","0.00650"
"0.63600","18.89875","0.00654"
"0.64200","18.89923","0.00657"
"0.64800","18.89971","0.00657"
"0.65400","18.90025","0.00654"
"0.66000","18.90073","0.00659"
"0.66600","18.90121","0.00667"
"0.67200","18.90174","0.00664"
"0.67800","18.90222","0.00658"
"0.68400","18.90270","0.00655"
"0.69000","18.90324","0.00647"
"0.69600","18.90372","0.00654"
"0.70200","18.90419","0.00666"
"0.70800","18.90467","0.00676"
"0.71400","18.90521","0.00680"
"0.72000","18.90569","0.00680"
"0.72600","18.90617","0.00688"
"0.73200","18.90671","0.00692"
"0.73800","18.90718","0.00685"
"0.74400","18.90772","0.00678"
"0.75000","18.90820","0.00676"
"0.75600","18.90874","0.00666"
"0.76200","18.90922","0.00654"
"0.76800","18.90969","0.00649"
"0.77400","18.91023","0.00640"
"0.78000","18.91071","0.00636"
"0.78600","18.91119","0.00640"
"0.79200","18.91167","0.00648"
"0.79800","18.91221","0.00660"
"0.80400","18.91268","0.00662"
"0.81000","18.91316","0.00668"
"0.81600","18.91370","0.00672"
"0.82200","18.91418","0.00674"
"0.82800","18.91466","0.00674"
"0.83400","18.91514","0.00674"
"0.84000","18.91567","0.00671"
"0.84600","18.91615","0.00668"
"0.85200","18.91669","0.00672"
"0.85800","18.91717","0.00675"
"0.86400","18.91765","0.00671"
"0.87000","18.91819","0.00659"
"0.87600","18.91866","0.00659"
"0.88200","18.91920","0.00671"
"0.88800","18.91968","0.00682"
"0.89400","18.92022","0.00691"
"0.90000","18.92070","0.00700"
"0.90600","18.92124","0.00708"
"0.91200","18.92171","0.00721"
"0.91800","18.92225","0.00723"
"0.92400","18.92273","0.00713"
"0.93000","18.92321","0.00699"
"0.93600","18.92369","0.00678"
"0.94200","18.92422","0.00661"
"0.94800","18.92470","0.00652"
"0.95400","18.92518","0.00640"
"0.96000","18.92566","0.00634"
"0.96600","18.92620","0.00631"
"0.97200","18.92668","0.00625"
"0.97800","18.92715","0.00632"
"0.98400","18.92769","0.00650"
"0.99000","18.92817","0.00668"
"0.99600","18.92865","0.00682"
"1.00200","18.92919","0.00680"
"1.00800","18.92967","0.00679"
"1.01400","18.93014","0.00680"
"1.02000","18.93068","0.00677"
"1.02600","18.93116","0.00675"
"1.03200","18.93170","0.00671"
"1.03800","18.93218","0.00661"
"1.04400","18.93271","0.00668"
"1.05000","18.93319","0.00681"
