End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00011"
"0.00600","0.00006","0.00008"
"0.01200","0.00006","-0.00004"
"0.01800","0.00012","-0.00003"
"0.02400","0.00018","-0.00003"
"0.03000","0.00030","-0.00008"
"0.03600","0.00048","-0.00019"
"0.04200","0.00066","-0.00029"
"0.04800","0.00090","-0.00040"
"0.05400","0.00108","-0.00045"
"0.06000","0.00138","-0.00041"
"0.06600","0.00167","-0.00045"
"0.07200","0.00197","-0.00041"
"0.07800","0.00233","-0.00037"
"0.08400","0.00275","-0.00032"
"0.09000","0.00311","-0.00025"
"0.09600","0.00353","-0.00011"
"0.10200","0.00401","0.00004"
"0.10800","0.00448","0.00017"
"0.11400","0.00502","0.00015"
"0.12000","0.00556","0.00012"
"0.12600","0.00610","0.00017"
"0.13200","0.00670","0.00022"
"0.13800","0.00723","0.00029"
"0.14400","0.00789","0.00032"
"0.15000","0.00849","0.00028"
"0.15600","0.00909","0.00023"
"0.16200","0.00975","0.00015"
"0.16800","0.01040","0.00007"
"0.17400","0.01106","0.00009"
"0.18000","0.01172","0.00012"
"0.18600","0.01238","0.00019"
"0.19200","0.01303","0.00025"
"0.19800","0.01369","0.00024"
"0.20400","0.01435","0.00030"
"0.21000","0.01501","0.00040"
"0.21600","0.01566","0.00046"
"0.22200","0.01632","0.00054"
"0.22800","0.01698","0.00056"
"0.23400","0.01764","0.00053"
"0.24000","0.01830","0.00053"
"0.24600","0.01895","0.00040"
"0.25200","0.01955","0.00019"
"0.25800","0.02021","0.00017"
"0.26400","0.02081","0.00025"
"0.27000","0.02146","0.00037"
"0.27600","0.02206","0.00053"
"0.28200","0.02272","0.00062"
"0.28800","0.02332","0.00068"
"0.29400","0.02392","0.00069"
"0.30000","0.02451","0.00066"
"0.30600","0.02511","0.00059"
"0.31200","0.02565","0.00050"
"0.31800","0.02619","0.00046"
"0.32400","0.02679","0.00053"
"0.33000","0.02732","0.00062"
"0.33600","0.02786","0.00071"
"0.34200","0.02840","0.00071"
"0.34800","0.02900","0.00063"
"0.35400","0.02948","0.00054"
"0.36000","0.03001","0.00044"
"0.36600","0.03055","0.00039"
"0.37200","0.03109","0.00040"
"0.37800","0.03163","0.00041"
"0.38400","0.03211","0.00047"
"0.39000","0.03265","0.00059"
"0.39600","0.03312","0.00062"
"0.40200","0.03366","0.00051"
"0.40800","0.03420","0.00050"
"0.41400","0.03468","0.00051"
"0.42000","0.03522","0.00049"
"0.42600","0.03569","0.00050"
"0.43200","0.03623","0.00038"
