End date,"12/23/2016"
Specimen label,"17BC_36"
Maximum Load,"1.60068",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00063"
"0.00600","0.00000","-0.00069"
"0.01200","0.00000","-0.00068"
"0.01800","0.00012","-0.00062"
"0.02400","0.00018","-0.00059"
"0.03000","0.00030","-0.00056"
"0.03600","0.00048","-0.00058"
"0.04200","0.00060","-0.00052"
"0.04800","0.00084","-0.00039"
"0.05400","0.00102","-0.00026"
"0.06000","0.00120","-0.00014"
"0.06600","0.00155","-0.00014"
"0.07200","0.00185","-0.00027"
"0.07800","0.00227","-0.00033"
"0.08400","0.00263","-0.00037"
"0.09000","0.00305","-0.00029"
"0.09600","0.00353","-0.00023"
"0.10200","0.00401","-0.00024"
"0.10800","0.00448","-0.00014"
"0.11400","0.00496","-0.00004"
"0.12000","0.00556","0.00002"
"0.12600","0.00610","0.00009"
"0.13200","0.00664","0.00006"
"0.13800","0.00723","-0.00010"
"0.14400","0.00789","-0.00020"
"0.15000","0.00849","-0.00024"
"0.15600","0.00915","-0.00015"
"0.16200","0.00975","-0.00006"
"0.16800","0.01040","-0.00004"
"0.17400","0.01106","0.00004"
"0.18000","0.01178","0.00007"
"0.18600","0.01244","0.00009"
"0.19200","0.01309","0.00021"
"0.19800","0.01375","0.00025"
"0.20400","0.01447","0.00019"
"0.21000","0.01513","0.00017"
"0.21600","0.01578","0.00009"
"0.22200","0.01644","0.00000"
"0.22800","0.01710","0.00000"
"0.23400","0.01776","0.00002"
"0.24000","0.01842","0.00008"
"0.24600","0.01901","0.00007"
"0.25200","0.01967","0.00002"
"0.25800","0.02027","0.00008"
"0.26400","0.02093","0.00022"
"0.27000","0.02152","0.00027"
"0.27600","0.02212","0.00030"
"0.28200","0.02278","0.00031"
"0.28800","0.02338","0.00033"
"0.29400","0.02398","0.00046"
"0.30000","0.02457","0.00047"
"0.30600","0.02517","0.00041"
"0.31200","0.02571","0.00036"
"0.31800","0.02631","0.00032"
"0.32400","0.02685","0.00033"
"0.33000","0.02738","0.00047"
"0.33600","0.02798","0.00056"
"0.34200","0.02852","0.00060"
"0.34800","0.02906","0.00064"
"0.35400","0.02960","0.00079"
"0.36000","0.03013","0.00090"
"0.36600","0.03067","0.00084"
"0.37200","0.03121","0.00083"
"0.37800","0.03169","0.00081"
"0.38400","0.03223","0.00085"
"0.39000","0.03276","0.00099"
"0.39600","0.03330","0.00108"
"0.40200","0.03378","0.00109"
"0.40800","0.03432","0.00114"
"0.41400","0.03480","0.00111"
"0.42000","0.03534","0.00100"
"0.42600","0.03581","0.00099"
"0.43200","0.03635","0.00108"
"0.43800","0.03683","0.00112"
"0.44400","0.03731","0.00109"
"0.45000","0.03785","0.00092"
"0.45600","0.03833","0.00076"
"0.46200","0.03880","0.00079"
"0.46800","0.03934","0.00091"
"0.47400","0.03982","0.00099"
"0.48000","0.04030","0.00106"
"0.48600","0.04084","0.00111"
"0.49200","0.04131","0.00120"
"0.49800","0.04179","0.00127"
"0.50400","0.04233","0.00126"
"0.51000","0.04281","0.00128"
"0.51600","0.04329","0.00123"
"0.52200","0.04377","0.00115"
"0.52800","0.04430","0.00116"
"0.53400","0.04478","0.00121"
"0.54000","0.04526","0.00130"
"0.54600","0.04574","0.00134"
"0.55200","0.04628","0.00144"
"0.55800","0.04676","0.00149"
"0.56400","0.04723","0.00153"
"0.57000","0.04771","0.00161"
"0.57600","0.04825","0.00162"
"0.58200","0.04873","0.00148"
"0.58800","0.04921","0.00126"
"0.59400","0.04969","0.00126"
"0.60000","0.05022","0.00136"
"0.60600","0.05070","0.00145"
"0.61200","0.05124","0.00155"
"0.61800","0.05172","0.00152"
"0.62400","0.05220","0.00146"
"0.63000","0.05273","0.00141"
"0.63600","0.05321","0.00141"
"0.64200","0.05369","0.00148"
"0.64800","0.05423","0.00135"
"0.65400","0.05471","0.00122"
"0.66000","0.05519","0.00118"
"0.66600","0.05572","0.00122"
"0.67200","0.05620","0.00140"
"0.67800","0.05674","0.00167"
"0.68400","0.05722","0.00192"
"0.69000","0.05770","0.00194"
"0.69600","0.05824","0.00186"
"0.70200","0.05871","0.00177"
"0.70800","0.05919","0.00178"
