End date,"12/23/2016"
Specimen label,"22DT_77"
Maximum Load,"0.02078",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00038"
"0.00600","0.00000","-0.00035"
"0.01200","0.00000","-0.00038"
"0.01800","0.00012","-0.00041"
"0.02400","0.00018","-0.00038"
"0.03000","0.00030","-0.00044"
"0.03600","0.00042","-0.00042"
"0.04200","0.00060","-0.00043"
"0.04800","0.00084","-0.00044"
"0.05400","0.00108","-0.00047"
"0.06000","0.00132","-0.00051"
"0.06600","0.00161","-0.00047"
"0.07200","0.00191","-0.00031"
"0.07800","0.00227","-0.00031"
"0.08400","0.00269","-0.00036"
"0.09000","0.00311","-0.00042"
"0.09600","0.00353","-0.00057"
"0.10200","0.00401","-0.00060"
"0.10800","0.00448","-0.00058"
"0.11400","0.00502","-0.00055"
"0.12000","0.00556","-0.00039"
"0.12600","0.00610","-0.00034"
"0.13200","0.00670","-0.00040"
"0.13800","0.00729","-0.00039"
"0.14400","0.00789","-0.00038"
"0.15000","0.00855","-0.00046"
"0.15600","0.00915","-0.00045"
"0.16200","0.00981","-0.00037"
"0.16800","0.01046","-0.00027"
"0.17400","0.01112","-0.00024"
"0.18000","0.01178","-0.00023"
"0.18600","0.01244","-0.00013"
"0.19200","0.01309","-0.00003"
"0.19800","0.01375","-0.00005"
"0.20400","0.01447","-0.00005"
"0.21000","0.01513","-0.00019"
"0.21600","0.01584","-0.00022"
"0.22200","0.01644","-0.00004"
"0.22800","0.01710","0.00009"
"0.23400","0.01776","0.00015"
"0.24000","0.01836","0.00017"
"0.24600","0.01901","0.00007"
"0.25200","0.01961","-0.00001"
"0.25800","0.02027","-0.00009"
"0.26400","0.02087","-0.00028"
"0.27000","0.02146","-0.00041"
"0.27600","0.02206","-0.00047"
"0.28200","0.02266","-0.00049"
"0.28800","0.02326","-0.00042"
"0.29400","0.02386","-0.00031"
"0.30000","0.02445","-0.00028"
"0.30600","0.02505","-0.00029"
"0.31200","0.02565","-0.00039"
"0.31800","0.02625","-0.00041"
"0.32400","0.02685","-0.00044"
"0.33000","0.02738","-0.00049"
"0.33600","0.02792","-0.00041"
"0.34200","0.02846","-0.00031"
"0.34800","0.02900","-0.00025"
"0.35400","0.02960","-0.00016"
"0.36000","0.03007","-0.00014"
"0.36600","0.03061","-0.00022"
"0.37200","0.03115","-0.00013"
"0.37800","0.03169","-0.00021"
"0.38400","0.03217","-0.00029"
"0.39000","0.03270","-0.00032"
"0.39600","0.03318","-0.00035"
"0.40200","0.03372","-0.00023"
"0.40800","0.03426","-0.00009"
"0.41400","0.03474","0.00005"
"0.42000","0.03528","0.00018"
"0.42600","0.03575","0.00020"
"0.43200","0.03629","0.00010"
"0.43800","0.03677","0.00006"
"0.44400","0.03731","-0.00008"
"0.45000","0.03779","-0.00016"
"0.45600","0.03833","-0.00011"
"0.46200","0.03880","-0.00010"
"0.46800","0.03934","-0.00004"
"0.47400","0.03982","-0.00003"
"0.48000","0.04030","-0.00007"
"0.48600","0.04084","0.00001"
"0.49200","0.04131","-0.00002"
"0.49800","0.04179","-0.00013"
"0.50400","0.04227","-0.00023"
"0.51000","0.04275","-0.00028"
"0.51600","0.04329","-0.00031"
"0.52200","0.04377","-0.00035"
"0.52800","0.04430","-0.00039"
"0.53400","0.04478","-0.00045"
"0.54000","0.04526","-0.00051"
"0.54600","0.04580","-0.00058"
"0.55200","0.04628","-0.00066"
"0.55800","0.04682","-0.00072"
"0.56400","0.04729","-0.00073"
"0.57000","0.04783","-0.00059"
"0.57600","0.04831","-0.00050"
"0.58200","0.04879","-0.00047"
"0.58800","0.04927","-0.00042"
"0.59400","0.04980","-0.00027"
"0.60000","0.05028","-0.00018"
"0.60600","0.05076","-0.00012"
"0.61200","0.05130","-0.00013"
"0.61800","0.05178","-0.00023"
"0.62400","0.05226","-0.00036"
"0.63000","0.05273","-0.00049"
"0.63600","0.05321","-0.00042"
"0.64200","0.05375","-0.00033"
"0.64800","0.05423","-0.00026"
"0.65400","0.05471","-0.00017"
"0.66000","0.05519","-0.00021"
"0.66600","0.05566","-0.00025"
"0.67200","0.05620","-0.00019"
"0.67800","0.05668","-0.00017"
"0.68400","0.05716","-0.00027"
"0.69000","0.05764","-0.00044"
"0.69600","0.05818","-0.00049"
"0.70200","0.05865","-0.00041"
"0.70800","0.05913","-0.00032"
"0.71400","0.05967","-0.00026"
"0.72000","0.06015","-0.00018"
"0.72600","0.06063","-0.00020"
"0.73200","0.06110","-0.00033"
"0.73800","0.06164","-0.00047"
"0.74400","0.06212","-0.00059"
"0.75000","0.06266","-0.00064"
"0.75600","0.06314","-0.00068"
"0.76200","0.06362","-0.00071"
"0.76800","0.06415","-0.00069"
"0.77400","0.06463","-0.00065"
"0.78000","0.06511","-0.00067"
