End date,"12/23/2016"
Specimen label,"22BG_75"
Maximum Load,"0.92771",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","-0.00051"
"0.00600","0.00006","-0.00051"
"0.01200","0.00006","-0.00051"
"0.01800","0.00012","-0.00050"
"0.02400","0.00024","-0.00041"
"0.03000","0.00036","-0.00031"
"0.03600","0.00048","-0.00029"
"0.04200","0.00066","-0.00021"
"0.04800","0.00084","-0.00011"
"0.05400","0.00108","-0.00012"
"0.06000","0.00132","-0.00021"
"0.06600","0.00161","-0.00021"
"0.07200","0.00191","-0.00020"
"0.07800","0.00227","-0.00023"
"0.08400","0.00269","-0.00021"
"0.09000","0.00305","-0.00019"
"0.09600","0.00347","-0.00013"
"0.10200","0.00395","-0.00006"
"0.10800","0.00442","0.00005"
"0.11400","0.00490","0.00016"
"0.12000","0.00544","0.00016"
"0.12600","0.00592","0.00009"
"0.13200","0.00652","0.00003"
"0.13800","0.00711","-0.00010"
"0.14400","0.00771","-0.00027"
"0.15000","0.00831","-0.00040"
"0.15600","0.00897","-0.00045"
"0.16200","0.00963","-0.00051"
"0.16800","0.01028","-0.00049"
"0.17400","0.01094","-0.00043"
"0.18000","0.01160","-0.00025"
"0.18600","0.01232","-0.00007"
"0.19200","0.01297","0.00009"
"0.19800","0.01363","0.00020"
"0.20400","0.01429","0.00012"
"0.21000","0.01501","0.00004"
"0.21600","0.01566","-0.00005"
"0.22200","0.01632","-0.00009"
"0.22800","0.01698","0.00002"
"0.23400","0.01758","0.00013"
"0.24000","0.01824","0.00023"
"0.24600","0.01889","0.00034"
"0.25200","0.01955","0.00039"
"0.25800","0.02015","0.00037"
"0.26400","0.02075","0.00041"
"0.27000","0.02140","0.00033"
"0.27600","0.02200","0.00021"
"0.28200","0.02260","0.00013"
"0.28800","0.02320","0.00004"
"0.29400","0.02380","-0.00006"
"0.30000","0.02439","-0.00013"
"0.30600","0.02499","-0.00018"
"0.31200","0.02559","-0.00019"
"0.31800","0.02613","-0.00013"
"0.32400","0.02673","-0.00001"
"0.33000","0.02726","0.00010"
"0.33600","0.02786","0.00014"
"0.34200","0.02840","0.00020"
"0.34800","0.02894","0.00031"
"0.35400","0.02948","0.00033"
"0.36000","0.03001","0.00033"
"0.36600","0.03055","0.00033"
"0.37200","0.03103","0.00033"
"0.37800","0.03157","0.00026"
"0.38400","0.03211","0.00016"
"0.39000","0.03265","0.00012"
"0.39600","0.03318","0.00023"
"0.40200","0.03372","0.00026"
"0.40800","0.03420","0.00025"
"0.41400","0.03474","0.00027"
"0.42000","0.03528","0.00021"
"0.42600","0.03575","0.00016"
"0.43200","0.03629","0.00005"
"0.43800","0.03677","-0.00015"
"0.44400","0.03731","-0.00022"
"0.45000","0.03779","-0.00025"
"0.45600","0.03833","-0.00024"
"0.46200","0.03880","-0.00020"
"0.46800","0.03928","-0.00016"
"0.47400","0.03982","-0.00012"
"0.48000","0.04030","-0.00002"
"0.48600","0.04078","-0.00002"
"0.49200","0.04125","-0.00001"
"0.49800","0.04173","0.00006"
"0.50400","0.04221","0.00008"
"0.51000","0.04269","-0.00001"
"0.51600","0.04323","-0.00009"
"0.52200","0.04371","-0.00010"
"0.52800","0.04418","-0.00008"
"0.53400","0.04466","-0.00004"
"0.54000","0.04520","0.00005"
"0.54600","0.04568","0.00012"
"0.55200","0.04622","0.00015"
"0.55800","0.04670","0.00020"
"0.56400","0.04717","0.00023"
"0.57000","0.04771","0.00033"
"0.57600","0.04819","0.00044"
"0.58200","0.04873","0.00056"
"0.58800","0.04921","0.00065"
"0.59400","0.04974","0.00069"
"0.60000","0.05022","0.00062"
"0.60600","0.05070","0.00048"
"0.61200","0.05118","0.00044"
"0.61800","0.05172","0.00034"
"0.62400","0.05220","0.00026"
