End date,"12/23/2016"
Specimen label,"24DG_92"
Maximum Load,"0.21653",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00011"
"0.00600","0.00000","-0.00010"
"0.01200","0.00006","-0.00005"
"0.01800","0.00012","-0.00007"
"0.02400","0.00018","-0.00017"
"0.03000","0.00030","-0.00036"
"0.03600","0.00042","-0.00050"
"0.04200","0.00060","-0.00061"
"0.04800","0.00084","-0.00070"
"0.05400","0.00102","-0.00077"
"0.06000","0.00132","-0.00081"
"0.06600","0.00155","-0.00079"
"0.07200","0.00191","-0.00064"
"0.07800","0.00227","-0.00053"
"0.08400","0.00263","-0.00050"
"0.09000","0.00305","-0.00041"
"0.09600","0.00353","-0.00037"
"0.10200","0.00395","-0.00036"
"0.10800","0.00448","-0.00033"
"0.11400","0.00502","-0.00029"
"0.12000","0.00556","-0.00020"
"0.12600","0.00610","-0.00001"
"0.13200","0.00670","0.00013"
"0.13800","0.00729","0.00017"
"0.14400","0.00789","0.00019"
"0.15000","0.00849","0.00023"
"0.15600","0.00915","0.00025"
"0.16200","0.00975","0.00030"
"0.16800","0.01040","0.00023"
"0.17400","0.01106","0.00024"
"0.18000","0.01178","0.00028"
"0.18600","0.01244","0.00030"
"0.19200","0.01315","0.00025"
"0.19800","0.01375","0.00019"
"0.20400","0.01447","0.00016"
"0.21000","0.01507","0.00013"
"0.21600","0.01572","0.00017"
"0.22200","0.01638","0.00018"
"0.22800","0.01704","0.00020"
"0.23400","0.01770","0.00016"
"0.24000","0.01836","0.00008"
"0.24600","0.01901","0.00006"
"0.25200","0.01961","0.00003"
"0.25800","0.02027","-0.00002"
"0.26400","0.02093","0.00005"
"0.27000","0.02152","0.00010"
"0.27600","0.02212","0.00011"
"0.28200","0.02278","0.00010"
"0.28800","0.02338","0.00011"
"0.29400","0.02398","0.00017"
"0.30000","0.02457","0.00029"
"0.30600","0.02511","0.00034"
"0.31200","0.02571","0.00035"
"0.31800","0.02625","0.00037"
"0.32400","0.02685","0.00039"
"0.33000","0.02738","0.00044"
"0.33600","0.02792","0.00048"
"0.34200","0.02840","0.00045"
"0.34800","0.02900","0.00042"
"0.35400","0.02948","0.00039"
"0.36000","0.03001","0.00038"
"0.36600","0.03055","0.00041"
"0.37200","0.03109","0.00043"
"0.37800","0.03163","0.00047"
"0.38400","0.03217","0.00048"
"0.39000","0.03270","0.00040"
"0.39600","0.03318","0.00040"
"0.40200","0.03372","0.00045"
"0.40800","0.03426","0.00059"
"0.41400","0.03480","0.00076"
"0.42000","0.03528","0.00084"
"0.42600","0.03581","0.00086"
"0.43200","0.03629","0.00082"
"0.43800","0.03683","0.00071"
"0.44400","0.03731","0.00060"
"0.45000","0.03779","0.00061"
"0.45600","0.03827","0.00060"
"0.46200","0.03880","0.00053"
"0.46800","0.03928","0.00048"
"0.47400","0.03976","0.00046"
"0.48000","0.04030","0.00050"
"0.48600","0.04078","0.00062"
"0.49200","0.04125","0.00071"
"0.49800","0.04179","0.00066"
"0.50400","0.04227","0.00056"
"0.51000","0.04275","0.00052"
"0.51600","0.04329","0.00054"
"0.52200","0.04377","0.00061"
"0.52800","0.04424","0.00060"
"0.53400","0.04478","0.00059"
"0.54000","0.04526","0.00066"
"0.54600","0.04580","0.00073"
"0.55200","0.04628","0.00076"
"0.55800","0.04676","0.00080"
"0.56400","0.04723","0.00083"
"0.57000","0.04771","0.00083"
"0.57600","0.04819","0.00089"
"0.58200","0.04873","0.00092"
"0.58800","0.04921","0.00088"
"0.59400","0.04969","0.00085"
"0.60000","0.05016","0.00089"
"0.60600","0.05064","0.00097"
"0.61200","0.05118","0.00099"
"0.61800","0.05166","0.00106"
"0.62400","0.05214","0.00103"
"0.63000","0.05267","0.00101"
"0.63600","0.05315","0.00101"
"0.64200","0.05369","0.00101"
"0.64800","0.05417","0.00096"
"0.65400","0.05465","0.00094"
"0.66000","0.05519","0.00087"
"0.66600","0.05566","0.00082"
"0.67200","0.05614","0.00073"
"0.67800","0.05662","0.00068"
"0.68400","0.05716","0.00078"
"0.69000","0.05764","0.00092"
"0.69600","0.05818","0.00100"
"0.70200","0.05865","0.00100"
"0.70800","0.05919","0.00096"
"0.71400","0.05967","0.00094"
"0.72000","0.06015","0.00091"
"0.72600","0.06069","0.00095"
"0.73200","0.06116","0.00099"
"0.73800","0.06170","0.00098"
"0.74400","0.06218","0.00093"
"0.75000","0.06266","0.00096"
"0.75600","0.06320","0.00100"
"0.76200","0.06368","0.00103"
"0.76800","0.06415","0.00104"
"0.77400","0.06469","0.00101"
"0.78000","0.06517","0.00099"
"0.78600","0.06571","0.00099"
"0.79200","0.06619","0.00100"
"0.79800","0.06673","0.00102"
"0.80400","0.06720","0.00104"
"0.81000","0.06774","0.00112"
"0.81600","0.06822","0.00114"
"0.82200","0.06870","0.00111"
"0.82800","0.06924","0.00108"
"0.83400","0.06971","0.00103"
"0.84000","0.07025","0.00101"
"0.84600","0.07073","0.00107"
"0.85200","0.07127","0.00113"
"0.85800","0.07175","0.00122"
"0.86400","0.07229","0.00133"
"0.87000","0.07276","0.00141"
"0.87600","0.07324","0.00142"
"0.88200","0.07378","0.00138"
"0.88800","0.07426","0.00124"
"0.89400","0.07474","0.00106"
"0.90000","0.07522","0.00097"
"0.90600","0.07575","0.00097"
"0.91200","0.07623","0.00101"
"0.91800","0.07671","0.00093"
"0.92400","0.07719","0.00091"
"0.93000","0.07773","0.00104"
"0.93600","0.07820","0.00106"
"0.94200","0.07868","0.00102"
"0.94800","0.07922","0.00100"
"0.95400","0.07970","0.00094"
"0.96000","0.08024","0.00084"
"0.96600","0.08072","0.00079"
"0.97200","0.08125","0.00070"
"0.97800","0.08173","0.00071"
"0.98400","0.08227","0.00087"
"0.99000","0.08275","0.00103"
"0.99600","0.08323","0.00116"
"1.00200","0.08377","0.00121"
"1.00800","0.08424","0.00126"
"1.01400","0.08478","0.00123"
"1.02000","0.08526","0.00115"
"1.02600","0.08574","0.00105"
"1.03200","0.08622","0.00102"
"1.03800","0.08675","0.00102"
"1.04400","0.08723","0.00106"
"1.05000","0.08771","0.00111"
"1.05600","0.08819","0.00113"
"1.06200","0.08873","0.00121"
"1.06800","0.08921","0.00130"
"1.07400","0.08968","0.00135"
"1.08000","0.09016","0.00142"
"1.08600","0.09070","0.00147"
"1.09200","0.09118","0.00143"
"1.09800","0.09166","0.00131"
"1.10400","0.09220","0.00116"
"1.11000","0.09267","0.00104"
"1.11600","0.09315","0.00102"
"1.12200","0.09369","0.00091"
"1.12800","0.09417","0.00081"
"1.13400","0.09465","0.00084"
"1.14000","0.09518","0.00098"
"1.14600","0.09566","0.00112"
"1.15200","0.09620","0.00122"
"1.15800","0.09668","0.00134"
"1.16400","0.09716","0.00146"
"1.17000","0.09764","0.00150"
"1.17600","0.09817","0.00144"
"1.18200","0.09865","0.00137"
"1.18800","0.09913","0.00130"
"1.19400","0.09967","0.00132"
"1.20000","0.10015","0.00133"
"1.20600","0.10063","0.00132"
"1.21200","0.10116","0.00121"
"1.21800","0.10164","0.00117"
"1.22400","0.10212","0.00126"
"1.23000","0.10266","0.00135"
"1.23600","0.10314","0.00137"
"1.24200","0.10368","0.00141"
"1.24800","0.10415","0.00147"
"1.25400","0.10463","0.00145"
"1.26000","0.10517","0.00140"
"1.26600","0.10565","0.00138"
"1.27200","0.10619","0.00142"
"1.27800","0.10666","0.00147"
"1.28400","0.10720","0.00154"
"1.29000","0.10768","0.00158"
"1.29600","0.10816","0.00153"
"1.30200","0.10870","0.00149"
"1.30800","0.10918","0.00154"
"1.31400","0.10971","0.00161"
"1.32000","0.11019","0.00167"
"1.32600","0.11067","0.00167"
"1.33200","0.11121","0.00162"
"1.33800","0.11169","0.00157"
"1.34400","0.11217","0.00145"
"1.35000","0.11270","0.00133"
"1.35600","0.11318","0.00128"
"1.36200","0.11372","0.00133"
"1.36800","0.11420","0.00134"
"1.37400","0.11474","0.00138"
"1.38000","0.11521","0.00140"
"1.38600","0.11569","0.00138"
"1.39200","0.11623","0.00133"
"1.39800","0.11671","0.00142"
"1.40400","0.11719","0.00149"
"1.41000","0.11773","0.00152"
"1.41600","0.11820","0.00157"
"1.42200","0.11868","0.00145"
"1.42800","0.11922","0.00127"
"1.43400","0.11970","0.00114"
"1.44000","0.12018","0.00113"
"1.44600","0.12072","0.00126"
"1.45200","0.12119","0.00138"
"1.45800","0.12167","0.00139"
"1.46400","0.12215","0.00146"
"1.47000","0.12269","0.00148"
"1.47600","0.12317","0.00146"
"1.48200","0.12370","0.00158"
"1.48800","0.12418","0.00175"
"1.49400","0.12472","0.00185"
"1.50000","0.12520","0.00179"
"1.50600","0.12574","0.00176"
"1.51200","0.12622","0.00173"
"1.51800","0.12669","0.00161"
"1.52400","0.12723","0.00159"
"1.53000","0.12771","0.00164"
"1.53600","0.12825","0.00171"
"1.54200","0.12873","0.00163"
"1.54800","0.12921","0.00159"
"1.55400","0.12968","0.00156"
"1.56000","0.13016","0.00152"
"1.56600","0.13070","0.00157"
"1.57200","0.13118","0.00165"
"1.57800","0.13172","0.00178"
"1.58400","0.13219","0.00187"
"1.59000","0.13267","0.00186"
"1.59600","0.13315","0.00191"
"1.60200","0.13369","0.00194"
"1.60800","0.13417","0.00186"
"1.61400","0.13471","0.00173"
"1.62000","0.13518","0.00167"
"1.62600","0.13572","0.00167"
"1.63200","0.13620","0.00164"
"1.63800","0.13668","0.00158"
"1.64400","0.13722","0.00161"
"1.65000","0.13770","0.00165"
"1.65600","0.13817","0.00159"
"1.66200","0.13871","0.00157"
"1.66800","0.13919","0.00158"
"1.67400","0.13967","0.00150"
"1.68000","0.14021","0.00151"
"1.68600","0.14068","0.00164"
"1.69200","0.14116","0.00182"
"1.69800","0.14170","0.00195"
"1.70400","0.14218","0.00193"
"1.71000","0.14266","0.00180"
"1.71600","0.14314","0.00176"
"1.72200","0.14361","0.00179"
"1.72800","0.14415","0.00180"
"1.73400","0.14463","0.00174"
"1.74000","0.14511","0.00172"
"1.74600","0.14565","0.00175"
"1.75200","0.14613","0.00178"
"1.75800","0.14660","0.00174"
"1.76400","0.14714","0.00170"
"1.77000","0.14762","0.00168"
"1.77600","0.14816","0.00174"
"1.78200","0.14864","0.00190"
"1.78800","0.14917","0.00201"
"1.79400","0.14965","0.00204"
"1.80000","0.15013","0.00205"
"1.80600","0.15067","0.00205"
"1.81200","0.15115","0.00207"
"1.81800","0.15169","0.00207"
"1.82400","0.15216","0.00206"
"1.83000","0.15264","0.00207"
"1.83600","0.15318","0.00203"
"1.84200","0.15366","0.00202"
"1.84800","0.15420","0.00201"
"1.85400","0.15468","0.00193"
"1.86000","0.15521","0.00181"
"1.86600","0.15569","0.00178"
"1.87200","0.15623","0.00172"
"1.87800","0.15671","0.00170"
"1.88400","0.15719","0.00181"
"1.89000","0.15772","0.00195"
"1.89600","0.15820","0.00205"
"1.90200","0.15874","0.00210"
"1.90800","0.15922","0.00212"
"1.91400","0.15970","0.00219"
"1.92000","0.16024","0.00215"
"1.92600","0.16077","0.00203"
"1.93200","0.16125","0.00193"
"1.93800","0.16179","0.00185"
"1.94400","0.16227","0.00182"
"1.95000","0.16275","0.00183"
"1.95600","0.16323","0.00186"
"1.96200","0.16376","0.00193"
"1.96800","0.16424","0.00190"
"1.97400","0.16472","0.00183"
"1.98000","0.16526","0.00182"
"1.98600","0.16574","0.00180"
"1.99200","0.16621","0.00171"
"1.99800","0.16675","0.00167"
"2.00400","0.16723","0.00167"
"2.01000","0.16777","0.00172"
"2.01600","0.16825","0.00183"
"2.02200","0.16873","0.00199"
"2.02800","0.16926","0.00206"
"2.03400","0.16974","0.00202"
"2.04000","0.17022","0.00199"
"2.04600","0.17076","0.00197"
"2.05200","0.17124","0.00196"
"2.05800","0.17172","0.00200"
"2.06400","0.17219","0.00206"
"2.07000","0.17273","0.00199"
"2.07600","0.17321","0.00194"
"2.08200","0.17375","0.00192"
"2.08800","0.17423","0.00191"
"2.09400","0.17471","0.00189"
"2.10000","0.17524","0.00187"
"2.10600","0.17572","0.00187"
"2.11200","0.17620","0.00187"
"2.11800","0.17668","0.00185"
"2.12400","0.17722","0.00180"
"2.13000","0.17769","0.00178"
"2.13600","0.17817","0.00175"
"2.14200","0.17871","0.00172"
"2.14800","0.17919","0.00172"
"2.15400","0.17973","0.00177"
"2.16000","0.18021","0.00181"
"2.16600","0.18074","0.00185"
"2.17200","0.18122","0.00187"
"2.17800","0.18170","0.00187"
"2.18400","0.18218","0.00188"
