End date,"12/23/2016"
Specimen label,"21AT_UNK"
Maximum Load,"0.00834",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00005"
"0.00600","0.00006","-0.00004"
"0.01200","0.00006","-0.00016"
"0.01800","0.00012","-0.00026"
"0.02400","0.00024","-0.00032"
"0.03000","0.00036","-0.00022"
"0.03600","0.00054","-0.00009"
"0.04200","0.00066","-0.00006"
"0.04800","0.00090","0.00006"
"0.05400","0.00114","0.00001"
"0.06000","0.00149","-0.00002"
"0.06600","0.00185","0.00003"
"0.07200","0.00221","-0.00002"
"0.07800","0.00257","-0.00007"
"0.08400","0.00299","-0.00011"
"0.09000","0.00347","-0.00018"
"0.09600","0.00395","-0.00010"
"0.10200","0.00442","-0.00006"
"0.10800","0.00496","-0.00009"
"0.11400","0.00550","-0.00007"
"0.12000","0.00604","-0.00012"
"0.12600","0.00664","-0.00010"
"0.13200","0.00723","0.00004"
"0.13800","0.00783","0.00014"
"0.14400","0.00843","0.00017"
"0.15000","0.00909","0.00007"
"0.15600","0.00975","-0.00009"
"0.16200","0.01040","-0.00016"
"0.16800","0.01106","-0.00009"
"0.17400","0.01172","-0.00003"
"0.18000","0.01232","-0.00003"
"0.18600","0.01297","-0.00014"
"0.19200","0.01363","-0.00029"
"0.19800","0.01429","-0.00028"
"0.20400","0.01489","-0.00017"
"0.21000","0.01555","-0.00010"
"0.21600","0.01614","-0.00019"
"0.22200","0.01680","-0.00032"
"0.22800","0.01740","-0.00030"
"0.23400","0.01806","-0.00023"
"0.24000","0.01865","-0.00019"
"0.24600","0.01931","-0.00011"
"0.25200","0.01991","-0.00013"
"0.25800","0.02051","-0.00019"
"0.26400","0.02111","-0.00020"
"0.27000","0.02170","-0.00022"
"0.27600","0.02230","-0.00018"
"0.28200","0.02290","-0.00008"
"0.28800","0.02344","-0.00010"
"0.29400","0.02404","-0.00017"
"0.30000","0.02457","-0.00025"
"0.30600","0.02511","-0.00036"
"0.31200","0.02571","-0.00021"
"0.31800","0.02625","-0.00004"
"0.32400","0.02679","-0.00004"
"0.33000","0.02732","-0.00003"
"0.33600","0.02780","-0.00003"
"0.34200","0.02840","0.00008"
"0.34800","0.02888","0.00025"
"0.35400","0.02942","0.00026"
"0.36000","0.02995","0.00011"
"0.36600","0.03049","-0.00003"
"0.37200","0.03103","-0.00014"
"0.37800","0.03157","-0.00007"
"0.38400","0.03205","-0.00004"
"0.39000","0.03259","-0.00017"
"0.39600","0.03312","-0.00019"
"0.40200","0.03366","-0.00027"
"0.40800","0.03414","-0.00043"
"0.41400","0.03468","-0.00047"
"0.42000","0.03522","-0.00047"
"0.42600","0.03569","-0.00050"
"0.43200","0.03623","-0.00047"
"0.43800","0.03671","-0.00053"
"0.44400","0.03719","-0.00055"
"0.45000","0.03773","-0.00047"
"0.45600","0.03821","-0.00029"
"0.46200","0.03868","-0.00012"
"0.46800","0.03922","-0.00014"
"0.47400","0.03970","-0.00018"
"0.48000","0.04018","-0.00016"
"0.48600","0.04072","-0.00015"
"0.49200","0.04119","-0.00013"
"0.49800","0.04173","-0.00002"
"0.50400","0.04221","-0.00007"
"0.51000","0.04269","-0.00018"
"0.51600","0.04323","-0.00021"
"0.52200","0.04371","-0.00022"
"0.52800","0.04418","-0.00020"
"0.53400","0.04472","-0.00017"
"0.54000","0.04520","-0.00017"
"0.54600","0.04574","-0.00008"
"0.55200","0.04622","-0.00003"
"0.55800","0.04670","0.00001"
"0.56400","0.04717","0.00005"
"0.57000","0.04771","-0.00002"
"0.57600","0.04819","-0.00018"
"0.58200","0.04867","-0.00035"
"0.58800","0.04921","-0.00048"
"0.59400","0.04969","-0.00050"
"0.60000","0.05016","-0.00042"
"0.60600","0.05064","-0.00041"
"0.61200","0.05118","-0.00045"
"0.61800","0.05166","-0.00046"
"0.62400","0.05214","-0.00044"
"0.63000","0.05267","-0.00032"
"0.63600","0.05315","-0.00033"
"0.64200","0.05363","-0.00037"
"0.64800","0.05417","-0.00032"
"0.65400","0.05465","-0.00034"
"0.66000","0.05513","-0.00031"
"0.66600","0.05566","-0.00021"
"0.67200","0.05614","-0.00022"
"0.67800","0.05662","-0.00030"
"0.68400","0.05716","-0.00043"
"0.69000","0.05764","-0.00054"
"0.69600","0.05812","-0.00048"
"0.70200","0.05865","-0.00036"
"0.70800","0.05913","-0.00032"
"0.71400","0.05967","-0.00020"
"0.72000","0.06015","-0.00023"
"0.72600","0.06063","-0.00027"
"0.73200","0.06116","-0.00023"
"0.73800","0.06164","-0.00015"
"0.74400","0.06218","0.00001"
"0.75000","0.06266","0.00011"
"0.75600","0.06314","0.00002"
"0.76200","0.06362","-0.00006"
"0.76800","0.06415","-0.00018"
"0.77400","0.06463","-0.00025"
"0.78000","0.06511","-0.00029"
"0.78600","0.06559","-0.00035"
"0.79200","0.06613","-0.00042"
"0.79800","0.06661","-0.00038"
"0.80400","0.06708","-0.00037"
"0.81000","0.06762","-0.00027"
"0.81600","0.06810","-0.00009"
"0.82200","0.06864","-0.00006"
"0.82800","0.06912","-0.00003"
"0.83400","0.06960","-0.00002"
"0.84000","0.07013","-0.00004"
"0.84600","0.07061","0.00001"
"0.85200","0.07115","0.00010"
"0.85800","0.07163","0.00011"
"0.86400","0.07217","0.00006"
"0.87000","0.07264","-0.00012"
"0.87600","0.07312","-0.00021"
"0.88200","0.07366","-0.00010"
"0.88800","0.07414","-0.00006"
"0.89400","0.07468","-0.00013"
"0.90000","0.07516","-0.00025"
"0.90600","0.07563","-0.00037"
"0.91200","0.07611","-0.00044"
"0.91800","0.07659","-0.00050"
"0.92400","0.07713","-0.00061"
"0.93000","0.07761","-0.00059"
"0.93600","0.07809","-0.00055"
