End date,"12/23/2016"
Specimen label,"21BG_UNK"
Maximum Load,"0.01081",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","0.00034"
"0.00600","-0.00006","0.00025"
"0.01200","0.00006","0.00020"
"0.01800","0.00006","0.00032"
"0.02400","0.00012","0.00059"
"0.03000","0.00024","0.00074"
"0.03600","0.00036","0.00065"
"0.04200","0.00054","0.00041"
"0.04800","0.00072","0.00027"
"0.05400","0.00090","0.00039"
"0.06000","0.00114","0.00050"
"0.06600","0.00149","0.00053"
"0.07200","0.00179","0.00046"
"0.07800","0.00215","0.00030"
"0.08400","0.00251","0.00037"
"0.09000","0.00293","0.00055"
"0.09600","0.00335","0.00057"
"0.10200","0.00383","0.00051"
"0.10800","0.00430","0.00046"
"0.11400","0.00484","0.00030"
"0.12000","0.00538","0.00025"
"0.12600","0.00592","0.00023"
"0.13200","0.00646","0.00030"
"0.13800","0.00706","0.00045"
"0.14400","0.00771","0.00042"
"0.15000","0.00837","0.00039"
"0.15600","0.00897","0.00054"
"0.16200","0.00963","0.00071"
"0.16800","0.01028","0.00077"
"0.17400","0.01100","0.00064"
"0.18000","0.01166","0.00032"
"0.18600","0.01232","0.00004"
"0.19200","0.01297","-0.00011"
"0.19800","0.01369","-0.00017"
"0.20400","0.01435","-0.00011"
"0.21000","0.01501","-0.00014"
"0.21600","0.01566","-0.00019"
"0.22200","0.01632","-0.00007"
"0.22800","0.01698","0.00007"
"0.23400","0.01764","0.00023"
"0.24000","0.01830","0.00041"
"0.24600","0.01895","0.00044"
"0.25200","0.01961","0.00052"
"0.25800","0.02021","0.00062"
"0.26400","0.02087","0.00068"
"0.27000","0.02146","0.00067"
"0.27600","0.02212","0.00058"
"0.28200","0.02272","0.00049"
"0.28800","0.02332","0.00054"
"0.29400","0.02392","0.00049"
"0.30000","0.02451","0.00038"
"0.30600","0.02511","0.00030"
"0.31200","0.02571","0.00022"
"0.31800","0.02625","0.00014"
"0.32400","0.02679","0.00017"
"0.33000","0.02738","0.00020"
"0.33600","0.02792","0.00026"
"0.34200","0.02846","0.00024"
"0.34800","0.02900","0.00012"
"0.35400","0.02954","0.00021"
"0.36000","0.03007","0.00032"
"0.36600","0.03061","0.00032"
"0.37200","0.03115","0.00027"
"0.37800","0.03169","0.00015"
"0.38400","0.03223","0.00007"
"0.39000","0.03270","0.00009"
"0.39600","0.03324","0.00010"
"0.40200","0.03372","0.00018"
"0.40800","0.03426","0.00025"
"0.41400","0.03474","0.00023"
"0.42000","0.03522","0.00027"
"0.42600","0.03575","0.00032"
"0.43200","0.03623","0.00036"
"0.43800","0.03677","0.00034"
"0.44400","0.03725","0.00022"
"0.45000","0.03779","0.00007"
"0.45600","0.03827","0.00009"
"0.46200","0.03874","0.00022"
"0.46800","0.03928","0.00034"
"0.47400","0.03976","0.00039"
"0.48000","0.04024","0.00040"
"0.48600","0.04078","0.00050"
"0.49200","0.04125","0.00060"
"0.49800","0.04173","0.00068"
"0.50400","0.04221","0.00080"
"0.51000","0.04275","0.00074"
"0.51600","0.04323","0.00057"
"0.52200","0.04371","0.00051"
"0.52800","0.04418","0.00057"
"0.53400","0.04472","0.00066"
"0.54000","0.04520","0.00071"
"0.54600","0.04568","0.00061"
"0.55200","0.04622","0.00049"
"0.55800","0.04670","0.00055"
"0.56400","0.04717","0.00062"
"0.57000","0.04771","0.00069"
"0.57600","0.04819","0.00060"
"0.58200","0.04867","0.00047"
"0.58800","0.04921","0.00051"
"0.59400","0.04969","0.00053"
"0.60000","0.05022","0.00050"
"0.60600","0.05070","0.00045"
"0.61200","0.05118","0.00024"
"0.61800","0.05172","0.00005"
"0.62400","0.05220","-0.00001"
"0.63000","0.05267","-0.00001"
"0.63600","0.05321","0.00006"
"0.64200","0.05369","0.00006"
"0.64800","0.05423","0.00001"
"0.65400","0.05471","0.00008"
"0.66000","0.05519","0.00018"
"0.66600","0.05572","0.00027"
"0.67200","0.05620","0.00038"
"0.67800","0.05668","0.00039"
"0.68400","0.05722","0.00039"
"0.69000","0.05770","0.00038"
"0.69600","0.05818","0.00046"
"0.70200","0.05871","0.00053"
"0.70800","0.05919","0.00045"
"0.71400","0.05973","0.00030"
"0.72000","0.06021","0.00023"
"0.72600","0.06075","0.00024"
"0.73200","0.06122","0.00017"
"0.73800","0.06176","0.00014"
"0.74400","0.06224","0.00005"
"0.75000","0.06278","0.00005"
"0.75600","0.06326","0.00027"
"0.76200","0.06380","0.00046"
"0.76800","0.06427","0.00062"
"0.77400","0.06475","0.00065"
"0.78000","0.06529","0.00060"
"0.78600","0.06577","0.00065"
"0.79200","0.06631","0.00067"
"0.79800","0.06678","0.00066"
"0.80400","0.06732","0.00066"
"0.81000","0.06780","0.00052"
"0.81600","0.06828","0.00034"
"0.82200","0.06876","0.00040"
"0.82800","0.06924","0.00044"
"0.83400","0.06971","0.00049"
"0.84000","0.07025","0.00056"
"0.84600","0.07073","0.00058"
"0.85200","0.07121","0.00060"
"0.85800","0.07175","0.00063"
"0.86400","0.07223","0.00069"
"0.87000","0.07276","0.00076"
"0.87600","0.07324","0.00075"
"0.88200","0.07378","0.00059"
"0.88800","0.07426","0.00059"
"0.89400","0.07474","0.00059"
"0.90000","0.07528","0.00060"
"0.90600","0.07575","0.00054"
"0.91200","0.07623","0.00035"
"0.91800","0.07677","0.00026"
"0.92400","0.07725","0.00035"
"0.93000","0.07773","0.00038"
"0.93600","0.07820","0.00047"
"0.94200","0.07874","0.00050"
"0.94800","0.07922","0.00046"
"0.95400","0.07970","0.00049"
"0.96000","0.08018","0.00052"
"0.96600","0.08072","0.00064"
"0.97200","0.08119","0.00078"
"0.97800","0.08167","0.00083"
"0.98400","0.08215","0.00074"
"0.99000","0.08269","0.00065"
"0.99600","0.08317","0.00058"
"1.00200","0.08371","0.00059"
"1.00800","0.08418","0.00054"
"1.01400","0.08472","0.00047"
"1.02000","0.08520","0.00044"
"1.02600","0.08574","0.00036"
"1.03200","0.08622","0.00038"
"1.03800","0.08675","0.00050"
"1.04400","0.08723","0.00050"
"1.05000","0.08771","0.00054"
"1.05600","0.08819","0.00059"
"1.06200","0.08873","0.00055"
"1.06800","0.08921","0.00058"
"1.07400","0.08968","0.00065"
"1.08000","0.09016","0.00063"
"1.08600","0.09070","0.00057"
"1.09200","0.09118","0.00045"
"1.09800","0.09166","0.00032"
"1.10400","0.09220","0.00043"
"1.11000","0.09267","0.00058"
"1.11600","0.09315","0.00058"
"1.12200","0.09369","0.00056"
"1.12800","0.09417","0.00049"
"1.13400","0.09465","0.00045"
"1.14000","0.09518","0.00041"
"1.14600","0.09566","0.00026"
"1.15200","0.09620","0.00022"
"1.15800","0.09668","0.00024"
"1.16400","0.09722","0.00030"
"1.17000","0.09770","0.00038"
"1.17600","0.09823","0.00036"
"1.18200","0.09871","0.00026"
"1.18800","0.09919","0.00027"
"1.19400","0.09973","0.00025"
"1.20000","0.10021","0.00026"
"1.20600","0.10075","0.00031"
"1.21200","0.10122","0.00032"
"1.21800","0.10170","0.00033"
"1.22400","0.10218","0.00044"
"1.23000","0.10272","0.00054"
"1.23600","0.10320","0.00065"
"1.24200","0.10368","0.00068"
"1.24800","0.10415","0.00059"
"1.25400","0.10469","0.00054"
"1.26000","0.10517","0.00050"
"1.26600","0.10565","0.00044"
"1.27200","0.10619","0.00036"
"1.27800","0.10666","0.00030"
"1.28400","0.10720","0.00026"
"1.29000","0.10768","0.00027"
"1.29600","0.10822","0.00034"
"1.30200","0.10870","0.00044"
"1.30800","0.10924","0.00049"
"1.31400","0.10971","0.00045"
"1.32000","0.11025","0.00044"
"1.32600","0.11073","0.00049"
"1.33200","0.11127","0.00051"
"1.33800","0.11175","0.00052"
"1.34400","0.11222","0.00051"
"1.35000","0.11276","0.00047"
"1.35600","0.11324","0.00037"
"1.36200","0.11372","0.00028"
"1.36800","0.11426","0.00032"
"1.37400","0.11474","0.00037"
"1.38000","0.11521","0.00028"
"1.38600","0.11575","0.00022"
"1.39200","0.11623","0.00028"
"1.39800","0.11671","0.00028"
"1.40400","0.11725","0.00031"
"1.41000","0.11773","0.00031"
"1.41600","0.11820","0.00028"
"1.42200","0.11874","0.00031"
