End date,"12/23/2016"
Specimen label,"21CT_65"
Maximum Load,"0.01464",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00208"
"0.00600","0.00000","0.00194"
"0.01200","0.00006","0.00186"
"0.01800","0.00012","0.00176"
"0.02400","0.00018","0.00169"
"0.03000","0.00030","0.00165"
"0.03600","0.00048","0.00162"
"0.04200","0.00060","0.00159"
"0.04800","0.00084","0.00166"
"0.05400","0.00108","0.00173"
"0.06000","0.00132","0.00181"
"0.06600","0.00161","0.00185"
"0.07200","0.00197","0.00183"
"0.07800","0.00227","0.00181"
"0.08400","0.00269","0.00169"
"0.09000","0.00311","0.00164"
"0.09600","0.00353","0.00178"
"0.10200","0.00401","0.00193"
"0.10800","0.00448","0.00198"
"0.11400","0.00496","0.00201"
"0.12000","0.00550","0.00198"
"0.12600","0.00604","0.00190"
"0.13200","0.00664","0.00192"
"0.13800","0.00723","0.00194"
"0.14400","0.00783","0.00201"
"0.15000","0.00843","0.00214"
"0.15600","0.00909","0.00222"
"0.16200","0.00975","0.00231"
"0.16800","0.01040","0.00236"
"0.17400","0.01106","0.00236"
"0.18000","0.01172","0.00240"
"0.18600","0.01238","0.00235"
"0.19200","0.01309","0.00224"
"0.19800","0.01375","0.00217"
"0.20400","0.01441","0.00208"
"0.21000","0.01507","0.00202"
"0.21600","0.01572","0.00202"
"0.22200","0.01638","0.00198"
"0.22800","0.01704","0.00196"
"0.23400","0.01770","0.00202"
"0.24000","0.01830","0.00208"
"0.24600","0.01895","0.00215"
"0.25200","0.01961","0.00219"
"0.25800","0.02021","0.00213"
"0.26400","0.02081","0.00219"
"0.27000","0.02146","0.00216"
"0.27600","0.02206","0.00222"
"0.28200","0.02272","0.00235"
"0.28800","0.02332","0.00237"
"0.29400","0.02392","0.00237"
"0.30000","0.02451","0.00238"
"0.30600","0.02511","0.00242"
"0.31200","0.02565","0.00254"
"0.31800","0.02625","0.00267"
"0.32400","0.02685","0.00270"
"0.33000","0.02738","0.00276"
"0.33600","0.02792","0.00276"
"0.34200","0.02846","0.00274"
"0.34800","0.02900","0.00279"
"0.35400","0.02954","0.00276"
"0.36000","0.03007","0.00265"
"0.36600","0.03061","0.00260"
"0.37200","0.03115","0.00254"
"0.37800","0.03169","0.00251"
"0.38400","0.03223","0.00247"
"0.39000","0.03276","0.00239"
"0.39600","0.03324","0.00238"
"0.40200","0.03378","0.00238"
"0.40800","0.03426","0.00235"
"0.41400","0.03480","0.00236"
"0.42000","0.03528","0.00235"
"0.42600","0.03581","0.00237"
"0.43200","0.03629","0.00239"
"0.43800","0.03683","0.00240"
"0.44400","0.03731","0.00243"
"0.45000","0.03785","0.00250"
"0.45600","0.03833","0.00254"
"0.46200","0.03886","0.00258"
"0.46800","0.03934","0.00256"
"0.47400","0.03982","0.00262"
"0.48000","0.04030","0.00278"
"0.48600","0.04084","0.00273"
"0.49200","0.04131","0.00259"
"0.49800","0.04179","0.00256"
"0.50400","0.04233","0.00256"
"0.51000","0.04281","0.00246"
"0.51600","0.04329","0.00239"
"0.52200","0.04377","0.00229"
"0.52800","0.04430","0.00226"
"0.53400","0.04478","0.00226"
"0.54000","0.04526","0.00228"
"0.54600","0.04580","0.00235"
"0.55200","0.04628","0.00238"
"0.55800","0.04676","0.00235"
"0.56400","0.04723","0.00237"
"0.57000","0.04777","0.00235"
"0.57600","0.04825","0.00240"
"0.58200","0.04873","0.00247"
"0.58800","0.04927","0.00249"
"0.59400","0.04974","0.00247"
"0.60000","0.05028","0.00255"
"0.60600","0.05076","0.00260"
"0.61200","0.05124","0.00272"
"0.61800","0.05172","0.00276"
"0.62400","0.05226","0.00275"
"0.63000","0.05273","0.00277"
"0.63600","0.05321","0.00275"
"0.64200","0.05375","0.00280"
"0.64800","0.05423","0.00286"
"0.65400","0.05471","0.00279"
"0.66000","0.05525","0.00273"
"0.66600","0.05572","0.00276"
"0.67200","0.05626","0.00277"
"0.67800","0.05674","0.00283"
"0.68400","0.05722","0.00294"
"0.69000","0.05770","0.00292"
"0.69600","0.05824","0.00286"
"0.70200","0.05871","0.00276"
"0.70800","0.05919","0.00263"
"0.71400","0.05967","0.00262"
"0.72000","0.06021","0.00255"
"0.72600","0.06069","0.00246"
"0.73200","0.06116","0.00249"
"0.73800","0.06170","0.00244"
"0.74400","0.06218","0.00254"
"0.75000","0.06266","0.00270"
"0.75600","0.06320","0.00271"
"0.76200","0.06368","0.00264"
"0.76800","0.06415","0.00256"
"0.77400","0.06469","0.00261"
"0.78000","0.06517","0.00267"
"0.78600","0.06571","0.00265"
"0.79200","0.06619","0.00270"
"0.79800","0.06667","0.00278"
"0.80400","0.06720","0.00278"
"0.81000","0.06768","0.00281"
"0.81600","0.06822","0.00289"
"0.82200","0.06870","0.00294"
"0.82800","0.06918","0.00296"
"0.83400","0.06971","0.00295"
"0.84000","0.07019","0.00287"
"0.84600","0.07073","0.00285"
"0.85200","0.07121","0.00285"
"0.85800","0.07169","0.00281"
"0.86400","0.07217","0.00280"
"0.87000","0.07270","0.00270"
"0.87600","0.07318","0.00266"
"0.88200","0.07366","0.00271"
"0.88800","0.07420","0.00273"
"0.89400","0.07468","0.00271"
"0.90000","0.07522","0.00275"
"0.90600","0.07569","0.00273"
"0.91200","0.07623","0.00274"
"0.91800","0.07671","0.00273"
"0.92400","0.07725","0.00272"
"0.93000","0.07773","0.00274"
"0.93600","0.07826","0.00274"
"0.94200","0.07874","0.00290"
"0.94800","0.07922","0.00307"
"0.95400","0.07976","0.00313"
"0.96000","0.08024","0.00313"
"0.96600","0.08078","0.00316"
"0.97200","0.08125","0.00319"
"0.97800","0.08173","0.00322"
"0.98400","0.08227","0.00324"
"0.99000","0.08275","0.00333"
"0.99600","0.08329","0.00336"
"1.00200","0.08377","0.00324"
"1.00800","0.08424","0.00303"
"1.01400","0.08472","0.00284"
"1.02000","0.08520","0.00264"
"1.02600","0.08574","0.00247"
"1.03200","0.08622","0.00247"
"1.03800","0.08669","0.00250"
"1.04400","0.08723","0.00262"
"1.05000","0.08771","0.00274"
"1.05600","0.08819","0.00277"
"1.06200","0.08873","0.00284"
"1.06800","0.08921","0.00290"
"1.07400","0.08974","0.00298"
"1.08000","0.09022","0.00313"
"1.08600","0.09076","0.00318"
"1.09200","0.09124","0.00320"
