End date,"12/26/2016"
Specimen label,"11BG_81_2_run2"
Maximum Load,"0.05442",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","35.15104","0.01063"
"0.00600","35.15104","0.01054"
"0.01200","35.15104","0.01051"
"0.01800","35.15110","0.01048"
"0.02400","35.15123","0.01046"
"0.03000","35.15134","0.01040"
"0.03600","35.15146","0.01037"
"0.04200","35.15164","0.01035"
"0.04800","35.15182","0.01030"
"0.05400","35.15206","0.01030"
"0.06000","35.15230","0.01024"
"0.06600","35.15254","0.01018"
"0.07200","35.15284","0.01021"
"0.07800","35.15314","0.01025"
"0.08400","35.15343","0.01032"
"0.09000","35.15379","0.01033"
"0.09600","35.15421","0.01031"
"0.10200","35.15457","0.01037"
"0.10800","35.15499","0.01046"
"0.11400","35.15547","0.01049"
"0.12000","35.15594","0.01052"
"0.12600","35.15643","0.01051"
"0.13200","35.15696","0.01047"
"0.13800","35.15750","0.01049"
"0.14400","35.15810","0.01054"
"0.15000","35.15870","0.01059"
"0.15600","35.15929","0.01051"
"0.16200","35.15989","0.01042"
"0.16800","35.16055","0.01041"
"0.17400","35.16121","0.01040"
"0.18000","35.16187","0.01033"
"0.18600","35.16253","0.01030"
"0.19200","35.16318","0.01026"
"0.19800","35.16390","0.01021"
"0.20400","35.16456","0.01017"
"0.21000","35.16527","0.01020"
"0.21600","35.16593","0.01024"
"0.22200","35.16665","0.01033"
"0.22800","35.16737","0.01045"
"0.23400","35.16802","0.01057"
"0.24000","35.16874","0.01066"
"0.24600","35.16940","0.01069"
"0.25200","35.17012","0.01069"
"0.25800","35.17078","0.01067"
"0.26400","35.17137","0.01062"
"0.27000","35.17203","0.01058"
"0.27600","35.17269","0.01057"
"0.28200","35.17329","0.01059"
"0.28800","35.17394","0.01054"
"0.29400","35.17454","0.01041"
"0.30000","35.17514","0.01038"
"0.30600","35.17580","0.01038"
"0.31200","35.17639","0.01041"
"0.31800","35.17699","0.01048"
"0.32400","35.17753","0.01053"
"0.33000","35.17813","0.01051"
"0.33600","35.17873","0.01050"
"0.34200","35.17933","0.01052"
"0.34800","35.17986","0.01053"
"0.35400","35.18046","0.01049"
"0.36000","35.18100","0.01043"
"0.36600","35.18160","0.01035"
"0.37200","35.18213","0.01024"
"0.37800","35.18261","0.01018"
"0.38400","35.18315","0.01017"
"0.39000","35.18369","0.01020"
"0.39600","35.18423","0.01024"
