End date,"12/26/2016"
Specimen label,"11BG_81_1"
Maximum Load,"0.25816",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00109"
"0.00600","0.00000","0.00108"
"0.01200","0.00006","0.00098"
"0.01800","0.00012","0.00090"
"0.02400","0.00018","0.00093"
"0.03000","0.00030","0.00093"
"0.03600","0.00042","0.00098"
"0.04200","0.00060","0.00093"
"0.04800","0.00084","0.00078"
"0.05400","0.00108","0.00081"
"0.06000","0.00132","0.00091"
"0.06600","0.00161","0.00091"
"0.07200","0.00191","0.00092"
"0.07800","0.00227","0.00099"
"0.08400","0.00263","0.00103"
"0.09000","0.00305","0.00094"
"0.09600","0.00347","0.00090"
"0.10200","0.00395","0.00087"
"0.10800","0.00442","0.00100"
"0.11400","0.00496","0.00099"
"0.12000","0.00550","0.00083"
"0.12600","0.00604","0.00066"
"0.13200","0.00658","0.00060"
"0.13800","0.00717","0.00077"
"0.14400","0.00777","0.00101"
"0.15000","0.00837","0.00107"
"0.15600","0.00903","0.00100"
"0.16200","0.00969","0.00086"
"0.16800","0.01028","0.00087"
"0.17400","0.01094","0.00102"
"0.18000","0.01166","0.00115"
"0.18600","0.01232","0.00129"
"0.19200","0.01297","0.00133"
"0.19800","0.01369","0.00130"
"0.20400","0.01435","0.00139"
"0.21000","0.01501","0.00150"
"0.21600","0.01566","0.00162"
"0.22200","0.01632","0.00185"
"0.22800","0.01698","0.00181"
"0.23400","0.01764","0.00168"
"0.24000","0.01830","0.00155"
"0.24600","0.01895","0.00147"
"0.25200","0.01955","0.00161"
"0.25800","0.02015","0.00172"
"0.26400","0.02081","0.00168"
"0.27000","0.02140","0.00163"
"0.27600","0.02206","0.00164"
"0.28200","0.02266","0.00159"
"0.28800","0.02326","0.00164"
"0.29400","0.02386","0.00169"
"0.30000","0.02445","0.00173"
"0.30600","0.02505","0.00163"
"0.31200","0.02559","0.00140"
"0.31800","0.02619","0.00128"
"0.32400","0.02673","0.00140"
"0.33000","0.02732","0.00165"
"0.33600","0.02786","0.00188"
"0.34200","0.02840","0.00196"
"0.34800","0.02900","0.00189"
"0.35400","0.02954","0.00187"
"0.36000","0.03007","0.00189"
"0.36600","0.03061","0.00183"
"0.37200","0.03109","0.00176"
"0.37800","0.03163","0.00175"
"0.38400","0.03217","0.00169"
"0.39000","0.03270","0.00163"
"0.39600","0.03324","0.00164"
"0.40200","0.03378","0.00177"
"0.40800","0.03432","0.00183"
"0.41400","0.03480","0.00177"
"0.42000","0.03534","0.00182"
"0.42600","0.03587","0.00188"
"0.43200","0.03635","0.00180"
"0.43800","0.03683","0.00173"
"0.44400","0.03737","0.00165"
"0.45000","0.03785","0.00163"
"0.45600","0.03833","0.00159"
"0.46200","0.03886","0.00151"
"0.46800","0.03934","0.00160"
"0.47400","0.03982","0.00174"
"0.48000","0.04036","0.00168"
"0.48600","0.04084","0.00165"
"0.49200","0.04137","0.00167"
"0.49800","0.04185","0.00160"
"0.50400","0.04239","0.00160"
"0.51000","0.04287","0.00164"
"0.51600","0.04335","0.00169"
"0.52200","0.04389","0.00187"
"0.52800","0.04436","0.00185"
"0.53400","0.04484","0.00176"
"0.54000","0.04532","0.00178"
"0.54600","0.04586","0.00178"
"0.55200","0.04634","0.00177"
"0.55800","0.04682","0.00177"
"0.56400","0.04729","0.00170"
"0.57000","0.04783","0.00176"
"0.57600","0.04831","0.00193"
"0.58200","0.04879","0.00195"
"0.58800","0.04927","0.00208"
"0.59400","0.04974","0.00214"
"0.60000","0.05028","0.00218"
"0.60600","0.05076","0.00227"
"0.61200","0.05124","0.00240"
"0.61800","0.05172","0.00248"
"0.62400","0.05226","0.00249"
"0.63000","0.05273","0.00226"
"0.63600","0.05321","0.00207"
"0.64200","0.05369","0.00197"
"0.64800","0.05423","0.00188"
"0.65400","0.05471","0.00192"
"0.66000","0.05519","0.00194"
"0.66600","0.05566","0.00194"
"0.67200","0.05620","0.00203"
"0.67800","0.05668","0.00211"
"0.68400","0.05722","0.00214"
"0.69000","0.05770","0.00220"
"0.69600","0.05818","0.00222"
"0.70200","0.05871","0.00215"
"0.70800","0.05919","0.00208"
"0.71400","0.05967","0.00191"
"0.72000","0.06015","0.00197"
"0.72600","0.06069","0.00207"
"0.73200","0.06116","0.00198"
"0.73800","0.06164","0.00187"
"0.74400","0.06218","0.00188"
"0.75000","0.06266","0.00193"
"0.75600","0.06314","0.00208"
"0.76200","0.06368","0.00210"
"0.76800","0.06415","0.00213"
"0.77400","0.06463","0.00215"
"0.78000","0.06517","0.00215"
"0.78600","0.06565","0.00219"
"0.79200","0.06619","0.00221"
"0.79800","0.06667","0.00211"
"0.80400","0.06720","0.00209"
"0.81000","0.06768","0.00204"
"0.81600","0.06822","0.00194"
"0.82200","0.06870","0.00194"
"0.82800","0.06924","0.00193"
"0.83400","0.06971","0.00192"
"0.84000","0.07025","0.00196"
"0.84600","0.07073","0.00190"
"0.85200","0.07121","0.00186"
"0.85800","0.07175","0.00179"
"0.86400","0.07223","0.00177"
"0.87000","0.07270","0.00194"
"0.87600","0.07324","0.00206"
"0.88200","0.07372","0.00199"
"0.88800","0.07420","0.00201"
"0.89400","0.07474","0.00195"
"0.90000","0.07522","0.00191"
"0.90600","0.07569","0.00200"
"0.91200","0.07623","0.00200"
"0.91800","0.07671","0.00198"
"0.92400","0.07725","0.00204"
"0.93000","0.07773","0.00215"
"0.93600","0.07820","0.00230"
"0.94200","0.07874","0.00235"
"0.94800","0.07922","0.00222"
"0.95400","0.07970","0.00214"
"0.96000","0.08024","0.00209"
"0.96600","0.08072","0.00201"
"0.97200","0.08125","0.00205"
"0.97800","0.08173","0.00206"
"0.98400","0.08227","0.00210"
"0.99000","0.08275","0.00223"
"0.99600","0.08323","0.00230"
"1.00200","0.08377","0.00245"
"1.00800","0.08424","0.00260"
"1.01400","0.08472","0.00255"
"1.02000","0.08526","0.00247"
"1.02600","0.08574","0.00234"
"1.03200","0.08622","0.00225"
"1.03800","0.08675","0.00227"
"1.04400","0.08723","0.00238"
"1.05000","0.08777","0.00250"
"1.05600","0.08825","0.00260"
"1.06200","0.08873","0.00252"
"1.06800","0.08927","0.00246"
"1.07400","0.08974","0.00243"
"1.08000","0.09028","0.00231"
"1.08600","0.09076","0.00218"
"1.09200","0.09124","0.00213"
"1.09800","0.09178","0.00201"
"1.10400","0.09226","0.00198"
"1.11000","0.09273","0.00201"
"1.11600","0.09327","0.00201"
"1.12200","0.09375","0.00200"
"1.12800","0.09423","0.00200"
"1.13400","0.09477","0.00221"
"1.14000","0.09524","0.00245"
"1.14600","0.09572","0.00261"
"1.15200","0.09620","0.00278"
"1.15800","0.09674","0.00289"
"1.16400","0.09722","0.00278"
"1.17000","0.09770","0.00286"
"1.17600","0.09823","0.00293"
"1.18200","0.09871","0.00280"
"1.18800","0.09919","0.00267"
"1.19400","0.09967","0.00243"
"1.20000","0.10021","0.00221"
"1.20600","0.10069","0.00217"
"1.21200","0.10116","0.00213"
"1.21800","0.10164","0.00211"
"1.22400","0.10218","0.00217"
"1.23000","0.10266","0.00226"
"1.23600","0.10314","0.00236"
"1.24200","0.10368","0.00238"
"1.24800","0.10415","0.00233"
"1.25400","0.10469","0.00242"
"1.26000","0.10517","0.00251"
"1.26600","0.10571","0.00247"
"1.27200","0.10619","0.00257"
"1.27800","0.10672","0.00260"
"1.28400","0.10720","0.00254"
"1.29000","0.10768","0.00244"
"1.29600","0.10822","0.00237"
"1.30200","0.10870","0.00240"
