End date,"1/7/2017"
Specimen label,"18AT_47/49"
Maximum Load,"0.18800",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00070"
"0.00600","0.00000","-0.00064"
"0.01200","0.00000","-0.00058"
"0.01800","0.00018","-0.00059"
"0.02400","0.00024","-0.00066"
"0.03000","0.00030","-0.00068"
"0.03600","0.00048","-0.00070"
"0.04200","0.00060","-0.00073"
"0.04800","0.00078","-0.00084"
"0.05400","0.00102","-0.00091"
"0.06000","0.00126","-0.00098"
"0.06600","0.00161","-0.00114"
"0.07200","0.00191","-0.00133"
"0.07800","0.00227","-0.00144"
"0.08400","0.00263","-0.00139"
"0.09000","0.00305","-0.00117"
"0.09600","0.00353","-0.00092"
"0.10200","0.00401","-0.00066"
"0.10800","0.00448","-0.00047"
"0.11400","0.00496","-0.00036"
"0.12000","0.00556","-0.00031"
"0.12600","0.00610","-0.00042"
"0.13200","0.00670","-0.00053"
"0.13800","0.00729","-0.00063"
"0.14400","0.00789","-0.00076"
"0.15000","0.00855","-0.00088"
"0.15600","0.00921","-0.00098"
"0.16200","0.00981","-0.00108"
"0.16800","0.01046","-0.00117"
"0.17400","0.01112","-0.00125"
"0.18000","0.01178","-0.00132"
"0.18600","0.01244","-0.00130"
"0.19200","0.01309","-0.00130"
"0.19800","0.01375","-0.00132"
"0.20400","0.01441","-0.00126"
"0.21000","0.01507","-0.00113"
"0.21600","0.01572","-0.00100"
"0.22200","0.01638","-0.00079"
"0.22800","0.01704","-0.00054"
"0.23400","0.01770","-0.00037"
"0.24000","0.01836","-0.00044"
"0.24600","0.01901","-0.00069"
"0.25200","0.01961","-0.00081"
"0.25800","0.02027","-0.00085"
"0.26400","0.02087","-0.00089"
"0.27000","0.02152","-0.00090"
"0.27600","0.02212","-0.00074"
"0.28200","0.02272","-0.00059"
"0.28800","0.02332","-0.00056"
"0.29400","0.02392","-0.00056"
"0.30000","0.02445","-0.00055"
"0.30600","0.02505","-0.00045"
"0.31200","0.02565","-0.00039"
"0.31800","0.02619","-0.00041"
"0.32400","0.02673","-0.00061"
"0.33000","0.02732","-0.00080"
"0.33600","0.02786","-0.00093"
"0.34200","0.02840","-0.00105"
"0.34800","0.02900","-0.00114"
"0.35400","0.02954","-0.00111"
"0.36000","0.03007","-0.00102"
"0.36600","0.03061","-0.00092"
"0.37200","0.03115","-0.00084"
"0.37800","0.03169","-0.00077"
"0.38400","0.03217","-0.00071"
"0.39000","0.03270","-0.00061"
"0.39600","0.03324","-0.00038"
"0.40200","0.03372","-0.00018"
"0.40800","0.03426","-0.00011"
"0.41400","0.03474","-0.00021"
"0.42000","0.03528","-0.00042"
"0.42600","0.03575","-0.00058"
"0.43200","0.03623","-0.00069"
"0.43800","0.03677","-0.00070"
"0.44400","0.03725","-0.00065"
"0.45000","0.03779","-0.00058"
"0.45600","0.03827","-0.00054"
"0.46200","0.03880","-0.00056"
"0.46800","0.03928","-0.00065"
"0.47400","0.03982","-0.00076"
"0.48000","0.04030","-0.00079"
"0.48600","0.04084","-0.00077"
"0.49200","0.04131","-0.00074"
"0.49800","0.04179","-0.00061"
"0.50400","0.04233","-0.00042"
"0.51000","0.04281","-0.00030"
"0.51600","0.04329","-0.00027"
"0.52200","0.04377","-0.00027"
"0.52800","0.04430","-0.00026"
"0.53400","0.04478","-0.00029"
"0.54000","0.04526","-0.00029"
"0.54600","0.04574","-0.00033"
"0.55200","0.04628","-0.00038"
"0.55800","0.04676","-0.00043"
"0.56400","0.04723","-0.00056"
"0.57000","0.04771","-0.00070"
"0.57600","0.04825","-0.00075"
"0.58200","0.04873","-0.00077"
"0.58800","0.04921","-0.00076"
"0.59400","0.04974","-0.00068"
"0.60000","0.05022","-0.00057"
"0.60600","0.05076","-0.00048"
"0.61200","0.05124","-0.00056"
"0.61800","0.05178","-0.00060"
"0.62400","0.05226","-0.00066"
"0.63000","0.05273","-0.00076"
"0.63600","0.05327","-0.00081"
"0.64200","0.05375","-0.00081"
"0.64800","0.05423","-0.00085"
"0.65400","0.05477","-0.00078"
"0.66000","0.05525","-0.00064"
"0.66600","0.05572","-0.00054"
"0.67200","0.05626","-0.00041"
"0.67800","0.05674","-0.00025"
"0.68400","0.05722","-0.00015"
"0.69000","0.05776","-0.00017"
"0.69600","0.05824","-0.00021"
"0.70200","0.05871","-0.00027"
"0.70800","0.05925","-0.00030"
"0.71400","0.05973","-0.00047"
"0.72000","0.06021","-0.00066"
"0.72600","0.06069","-0.00078"
"0.73200","0.06122","-0.00081"
"0.73800","0.06170","-0.00076"
"0.74400","0.06218","-0.00069"
"0.75000","0.06272","-0.00062"
"0.75600","0.06320","-0.00058"
"0.76200","0.06374","-0.00055"
"0.76800","0.06421","-0.00056"
"0.77400","0.06469","-0.00058"
"0.78000","0.06517","-0.00059"
"0.78600","0.06571","-0.00058"
"0.79200","0.06619","-0.00052"
"0.79800","0.06667","-0.00049"
"0.80400","0.06714","-0.00041"
"0.81000","0.06762","-0.00039"
"0.81600","0.06816","-0.00048"
"0.82200","0.06864","-0.00061"
"0.82800","0.06912","-0.00067"
"0.83400","0.06965","-0.00070"
"0.84000","0.07013","-0.00067"
"0.84600","0.07061","-0.00062"
"0.85200","0.07115","-0.00051"
"0.85800","0.07163","-0.00042"
"0.86400","0.07217","-0.00041"
"0.87000","0.07264","-0.00049"
"0.87600","0.07312","-0.00061"
"0.88200","0.07366","-0.00073"
"0.88800","0.07420","-0.00077"
"0.89400","0.07468","-0.00070"
"0.90000","0.07516","-0.00071"
"0.90600","0.07569","-0.00070"
"0.91200","0.07617","-0.00074"
"0.91800","0.07665","-0.00084"
"0.92400","0.07719","-0.00086"
"0.93000","0.07767","-0.00085"
"0.93600","0.07820","-0.00077"
"0.94200","0.07868","-0.00066"
"0.94800","0.07922","-0.00062"
"0.95400","0.07970","-0.00064"
"0.96000","0.08024","-0.00063"
"0.96600","0.08072","-0.00057"
"0.97200","0.08125","-0.00056"
"0.97800","0.08173","-0.00062"
"0.98400","0.08227","-0.00069"
"0.99000","0.08275","-0.00075"
"0.99600","0.08323","-0.00090"
"1.00200","0.08377","-0.00093"
"1.00800","0.08424","-0.00083"
"1.01400","0.08472","-0.00067"
"1.02000","0.08526","-0.00048"
"1.02600","0.08574","-0.00029"
"1.03200","0.08628","-0.00031"
"1.03800","0.08675","-0.00039"
"1.04400","0.08729","-0.00051"
"1.05000","0.08777","-0.00054"
"1.05600","0.08825","-0.00066"
"1.06200","0.08873","-0.00082"
"1.06800","0.08921","-0.00071"
"1.07400","0.08974","-0.00056"
"1.08000","0.09022","-0.00044"
"1.08600","0.09070","-0.00031"
"1.09200","0.09124","-0.00024"
"1.09800","0.09172","-0.00031"
"1.10400","0.09220","-0.00031"
"1.11000","0.09273","-0.00039"
"1.11600","0.09321","-0.00056"
"1.12200","0.09375","-0.00073"
"1.12800","0.09423","-0.00077"
"1.13400","0.09477","-0.00068"
"1.14000","0.09524","-0.00065"
"1.14600","0.09572","-0.00067"
"1.15200","0.09626","-0.00070"
"1.15800","0.09674","-0.00075"
"1.16400","0.09722","-0.00079"
"1.17000","0.09776","-0.00073"
"1.17600","0.09823","-0.00062"
"1.18200","0.09871","-0.00057"
"1.18800","0.09925","-0.00053"
"1.19400","0.09973","-0.00051"
"1.20000","0.10021","-0.00048"
"1.20600","0.10069","-0.00034"
"1.21200","0.10122","-0.00021"
"1.21800","0.10170","-0.00007"
"1.22400","0.10224","-0.00002"
"1.23000","0.10272","-0.00007"
"1.23600","0.10320","-0.00015"
"1.24200","0.10373","-0.00021"
"1.24800","0.10421","-0.00027"
"1.25400","0.10475","-0.00030"
"1.26000","0.10523","-0.00024"
"1.26600","0.10577","-0.00022"
"1.27200","0.10625","-0.00027"
"1.27800","0.10672","-0.00038"
"1.28400","0.10720","-0.00042"
"1.29000","0.10774","-0.00040"
"1.29600","0.10822","-0.00044"
"1.30200","0.10870","-0.00052"
"1.30800","0.10918","-0.00055"
"1.31400","0.10965","-0.00061"
"1.32000","0.11013","-0.00069"
