End date,"1/7/2017"
Specimen label,"18CT_NT1"
Maximum Load,"0.01610",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00005"
"0.00600","0.00000","-0.00008"
"0.01200","0.00000","-0.00025"
"0.01800","0.00012","-0.00034"
"0.02400","0.00018","-0.00029"
"0.03000","0.00030","-0.00019"
"0.03600","0.00048","-0.00008"
"0.04200","0.00066","-0.00016"
"0.04800","0.00084","-0.00031"
"0.05400","0.00108","-0.00029"
"0.06000","0.00138","-0.00016"
"0.06600","0.00167","-0.00010"
"0.07200","0.00203","-0.00010"
"0.07800","0.00239","-0.00009"
"0.08400","0.00281","-0.00009"
"0.09000","0.00317","-0.00004"
"0.09600","0.00365","0.00006"
"0.10200","0.00413","0.00005"
"0.10800","0.00454","-0.00010"
"0.11400","0.00508","-0.00021"
"0.12000","0.00562","-0.00017"
"0.12600","0.00616","-0.00019"
"0.13200","0.00670","-0.00022"
"0.13800","0.00729","-0.00015"
"0.14400","0.00789","-0.00002"
"0.15000","0.00855","0.00012"
"0.15600","0.00921","0.00020"
"0.16200","0.00981","0.00021"
"0.16800","0.01046","0.00010"
"0.17400","0.01112","0.00009"
"0.18000","0.01178","0.00004"
"0.18600","0.01244","-0.00009"
"0.19200","0.01309","-0.00017"
"0.19800","0.01375","-0.00022"
"0.20400","0.01435","-0.00016"
"0.21000","0.01501","-0.00004"
"0.21600","0.01566","-0.00003"
"0.22200","0.01632","-0.00008"
"0.22800","0.01698","-0.00023"
"0.23400","0.01764","-0.00034"
"0.24000","0.01830","-0.00048"
"0.24600","0.01889","-0.00062"
"0.25200","0.01955","-0.00063"
"0.25800","0.02021","-0.00051"
"0.26400","0.02081","-0.00043"
"0.27000","0.02140","-0.00032"
"0.27600","0.02206","-0.00022"
"0.28200","0.02266","-0.00014"
"0.28800","0.02326","-0.00008"
"0.29400","0.02386","-0.00005"
"0.30000","0.02445","-0.00004"
"0.30600","0.02499","-0.00005"
"0.31200","0.02553","0.00001"
"0.31800","0.02613","0.00014"
"0.32400","0.02667","0.00021"
"0.33000","0.02720","0.00020"
"0.33600","0.02774","0.00024"
"0.34200","0.02834","0.00023"
"0.34800","0.02888","0.00010"
"0.35400","0.02942","0.00000"
"0.36000","0.02995","-0.00013"
"0.36600","0.03055","-0.00019"
"0.37200","0.03109","-0.00016"
"0.37800","0.03163","-0.00005"
"0.38400","0.03211","-0.00008"
"0.39000","0.03265","-0.00015"
"0.39600","0.03318","-0.00027"
"0.40200","0.03372","-0.00032"
"0.40800","0.03426","-0.00030"
"0.41400","0.03480","-0.00029"
"0.42000","0.03528","-0.00016"
"0.42600","0.03581","-0.00007"
"0.43200","0.03629","-0.00008"
"0.43800","0.03683","0.00008"
"0.44400","0.03731","0.00014"
"0.45000","0.03779","0.00006"
"0.45600","0.03833","0.00004"
"0.46200","0.03880","0.00000"
"0.46800","0.03928","0.00001"
"0.47400","0.03982","-0.00009"
"0.48000","0.04030","-0.00013"
"0.48600","0.04084","-0.00001"
"0.49200","0.04131","0.00004"
"0.49800","0.04185","-0.00007"
"0.50400","0.04233","-0.00002"
"0.51000","0.04287","0.00004"
"0.51600","0.04335","0.00017"
"0.52200","0.04383","0.00025"
"0.52800","0.04430","0.00019"
"0.53400","0.04484","0.00004"
"0.54000","0.04532","-0.00007"
"0.54600","0.04580","-0.00004"
"0.55200","0.04628","0.00008"
"0.55800","0.04682","0.00025"
"0.56400","0.04729","0.00046"
"0.57000","0.04777","0.00058"
"0.57600","0.04825","0.00052"
"0.58200","0.04873","0.00042"
"0.58800","0.04921","0.00026"
"0.59400","0.04974","0.00015"
"0.60000","0.05022","-0.00004"
"0.60600","0.05070","-0.00011"
"0.61200","0.05124","-0.00017"
"0.61800","0.05172","-0.00012"
"0.62400","0.05220","-0.00011"
"0.63000","0.05273","-0.00001"
"0.63600","0.05321","0.00019"
"0.64200","0.05375","0.00024"
"0.64800","0.05423","0.00029"
"0.65400","0.05471","0.00036"
"0.66000","0.05525","0.00049"
"0.66600","0.05572","0.00059"
"0.67200","0.05620","0.00056"
"0.67800","0.05674","0.00040"
"0.68400","0.05722","0.00033"
"0.69000","0.05770","0.00019"
"0.69600","0.05824","0.00013"
"0.70200","0.05871","0.00018"
"0.70800","0.05919","0.00018"
"0.71400","0.05973","0.00016"
"0.72000","0.06021","0.00018"
"0.72600","0.06069","0.00022"
"0.73200","0.06116","0.00019"
"0.73800","0.06170","0.00011"
"0.74400","0.06218","0.00009"
"0.75000","0.06272","0.00014"
"0.75600","0.06320","0.00020"
"0.76200","0.06368","0.00026"
"0.76800","0.06421","0.00037"
"0.77400","0.06469","0.00043"
"0.78000","0.06523","0.00045"
"0.78600","0.06571","0.00049"
"0.79200","0.06619","0.00056"
"0.79800","0.06667","0.00049"
"0.80400","0.06714","0.00048"
"0.81000","0.06768","0.00036"
"0.81600","0.06816","0.00016"
