End date,"1/7/2017"
Specimen label,"18_CTNT2"
Maximum Load,"0.07079",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","-0.00038"
"0.00600","0.00006","-0.00039"
"0.01200","0.00006","-0.00037"
"0.01800","0.00012","-0.00021"
"0.02400","0.00024","0.00000"
"0.03000","0.00036","0.00005"
"0.03600","0.00048","-0.00008"
"0.04200","0.00066","-0.00022"
"0.04800","0.00084","-0.00034"
"0.05400","0.00108","-0.00046"
"0.06000","0.00132","-0.00048"
"0.06600","0.00161","-0.00047"
"0.07200","0.00191","-0.00055"
"0.07800","0.00227","-0.00057"
"0.08400","0.00263","-0.00056"
"0.09000","0.00305","-0.00060"
"0.09600","0.00347","-0.00060"
"0.10200","0.00389","-0.00059"
"0.10800","0.00436","-0.00056"
"0.11400","0.00484","-0.00050"
"0.12000","0.00538","-0.00054"
"0.12600","0.00592","-0.00050"
"0.13200","0.00646","-0.00047"
"0.13800","0.00706","-0.00045"
"0.14400","0.00765","-0.00046"
"0.15000","0.00825","-0.00040"
"0.15600","0.00891","-0.00034"
"0.16200","0.00951","-0.00036"
"0.16800","0.01016","-0.00042"
"0.17400","0.01088","-0.00045"
"0.18000","0.01154","-0.00044"
"0.18600","0.01220","-0.00038"
"0.19200","0.01291","-0.00022"
"0.19800","0.01363","-0.00019"
"0.20400","0.01429","-0.00021"
"0.21000","0.01501","-0.00025"
"0.21600","0.01566","-0.00036"
"0.22200","0.01632","-0.00044"
"0.22800","0.01698","-0.00051"
"0.23400","0.01764","-0.00042"
"0.24000","0.01824","-0.00037"
"0.24600","0.01889","-0.00042"
"0.25200","0.01955","-0.00035"
"0.25800","0.02015","-0.00021"
"0.26400","0.02081","-0.00018"
"0.27000","0.02140","-0.00023"
"0.27600","0.02206","-0.00013"
"0.28200","0.02266","-0.00008"
"0.28800","0.02326","-0.00005"
"0.29400","0.02386","0.00011"
"0.30000","0.02445","0.00027"
"0.30600","0.02499","0.00028"
"0.31200","0.02559","0.00020"
"0.31800","0.02613","0.00016"
"0.32400","0.02673","0.00012"
"0.33000","0.02726","0.00000"
"0.33600","0.02786","-0.00006"
"0.34200","0.02840","-0.00009"
"0.34800","0.02894","-0.00021"
"0.35400","0.02942","-0.00030"
"0.36000","0.02995","-0.00042"
"0.36600","0.03049","-0.00050"
"0.37200","0.03103","-0.00053"
"0.37800","0.03157","-0.00056"
"0.38400","0.03205","-0.00055"
"0.39000","0.03259","-0.00058"
"0.39600","0.03312","-0.00072"
"0.40200","0.03366","-0.00085"
"0.40800","0.03414","-0.00088"
"0.41400","0.03468","-0.00093"
"0.42000","0.03522","-0.00092"
"0.42600","0.03569","-0.00077"
"0.43200","0.03623","-0.00056"
"0.43800","0.03677","-0.00037"
"0.44400","0.03725","-0.00032"
"0.45000","0.03773","-0.00031"
"0.45600","0.03827","-0.00022"
"0.46200","0.03874","-0.00009"
"0.46800","0.03928","-0.00005"
"0.47400","0.03976","0.00000"
"0.48000","0.04024","-0.00002"
"0.48600","0.04072","-0.00010"
"0.49200","0.04125","-0.00010"
"0.49800","0.04173","-0.00015"
"0.50400","0.04221","-0.00018"
"0.51000","0.04269","-0.00025"
"0.51600","0.04323","-0.00039"
"0.52200","0.04371","-0.00057"
"0.52800","0.04418","-0.00062"
"0.53400","0.04472","-0.00069"
"0.54000","0.04520","-0.00068"
"0.54600","0.04574","-0.00063"
"0.55200","0.04622","-0.00052"
"0.55800","0.04670","-0.00030"
"0.56400","0.04723","-0.00011"
"0.57000","0.04771","-0.00001"
"0.57600","0.04825","0.00001"
"0.58200","0.04873","0.00005"
"0.58800","0.04927","0.00000"
"0.59400","0.04974","0.00005"
