End date,"1/7/2017"
Specimen label,"18DT_44"
Maximum Load,"0.20391",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00027"
"0.00600","0.00000","0.00018"
"0.01200","0.00006","0.00002"
"0.01800","0.00012","-0.00002"
"0.02400","0.00018","0.00002"
"0.03000","0.00030","0.00003"
"0.03600","0.00048","-0.00003"
"0.04200","0.00060","-0.00005"
"0.04800","0.00084","-0.00011"
"0.05400","0.00108","-0.00014"
"0.06000","0.00132","-0.00012"
"0.06600","0.00167","-0.00012"
"0.07200","0.00197","-0.00010"
"0.07800","0.00233","-0.00008"
"0.08400","0.00269","0.00001"
"0.09000","0.00311","0.00012"
"0.09600","0.00359","0.00011"
"0.10200","0.00401","0.00017"
"0.10800","0.00448","0.00027"
"0.11400","0.00496","0.00029"
"0.12000","0.00550","0.00020"
"0.12600","0.00604","0.00010"
"0.13200","0.00664","0.00012"
"0.13800","0.00723","0.00014"
"0.14400","0.00783","0.00016"
"0.15000","0.00843","0.00016"
"0.15600","0.00909","0.00009"
"0.16200","0.00975","0.00003"
"0.16800","0.01040","-0.00007"
"0.17400","0.01106","-0.00005"
"0.18000","0.01166","0.00011"
"0.18600","0.01238","0.00022"
"0.19200","0.01303","0.00036"
"0.19800","0.01369","0.00049"
"0.20400","0.01435","0.00062"
"0.21000","0.01501","0.00078"
"0.21600","0.01566","0.00097"
"0.22200","0.01632","0.00107"
"0.22800","0.01698","0.00108"
"0.23400","0.01764","0.00102"
"0.24000","0.01830","0.00081"
"0.24600","0.01895","0.00052"
"0.25200","0.01955","0.00041"
"0.25800","0.02021","0.00041"
"0.26400","0.02081","0.00029"
"0.27000","0.02140","0.00015"
"0.27600","0.02206","0.00004"
"0.28200","0.02266","-0.00002"
"0.28800","0.02326","-0.00011"
"0.29400","0.02386","-0.00014"
"0.30000","0.02445","-0.00002"
"0.30600","0.02499","0.00012"
"0.31200","0.02559","0.00025"
"0.31800","0.02619","0.00029"
"0.32400","0.02673","0.00033"
"0.33000","0.02732","0.00030"
"0.33600","0.02786","0.00024"
"0.34200","0.02840","0.00017"
"0.34800","0.02894","0.00008"
"0.35400","0.02954","0.00005"
"0.36000","0.03007","0.00011"
"0.36600","0.03061","0.00018"
"0.37200","0.03115","0.00021"
"0.37800","0.03169","0.00024"
"0.38400","0.03223","0.00026"
"0.39000","0.03276","0.00029"
"0.39600","0.03324","0.00028"
"0.40200","0.03378","0.00028"
"0.40800","0.03432","0.00036"
"0.41400","0.03480","0.00056"
"0.42000","0.03534","0.00076"
"0.42600","0.03581","0.00086"
"0.43200","0.03635","0.00084"
"0.43800","0.03683","0.00076"
"0.44400","0.03737","0.00077"
"0.45000","0.03785","0.00076"
"0.45600","0.03833","0.00068"
"0.46200","0.03886","0.00064"
"0.46800","0.03934","0.00066"
"0.47400","0.03982","0.00067"
"0.48000","0.04030","0.00065"
"0.48600","0.04084","0.00066"
"0.49200","0.04131","0.00074"
"0.49800","0.04185","0.00083"
"0.50400","0.04233","0.00093"
"0.51000","0.04287","0.00094"
"0.51600","0.04335","0.00091"
"0.52200","0.04383","0.00085"
"0.52800","0.04436","0.00076"
"0.53400","0.04484","0.00076"
"0.54000","0.04532","0.00080"
"0.54600","0.04580","0.00083"
"0.55200","0.04634","0.00082"
"0.55800","0.04682","0.00074"
"0.56400","0.04729","0.00058"
"0.57000","0.04777","0.00044"
"0.57600","0.04831","0.00040"
"0.58200","0.04879","0.00035"
"0.58800","0.04927","0.00028"
"0.59400","0.04980","0.00015"
"0.60000","0.05028","0.00005"
"0.60600","0.05076","0.00007"
"0.61200","0.05130","0.00008"
"0.61800","0.05178","0.00012"
"0.62400","0.05226","0.00032"
"0.63000","0.05279","0.00043"
"0.63600","0.05327","0.00039"
