End date,"1/7/2017"
Specimen label,"DT18_41"
Maximum Load,"0.02543",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00006"
"0.00600","0.00000","-0.00001"
"0.01200","0.00000","0.00000"
"0.01800","0.00012","0.00008"
"0.02400","0.00024","0.00010"
"0.03000","0.00030","0.00002"
"0.03600","0.00042","-0.00009"
"0.04200","0.00060","-0.00003"
"0.04800","0.00084","0.00000"
"0.05400","0.00108","-0.00007"
"0.06000","0.00132","-0.00014"
"0.06600","0.00161","-0.00022"
"0.07200","0.00191","-0.00023"
"0.07800","0.00227","-0.00020"
"0.08400","0.00263","-0.00018"
"0.09000","0.00305","-0.00007"
"0.09600","0.00353","0.00004"
"0.10200","0.00395","0.00014"
"0.10800","0.00448","0.00027"
"0.11400","0.00502","0.00030"
"0.12000","0.00556","0.00027"
"0.12600","0.00610","0.00027"
"0.13200","0.00670","0.00031"
"0.13800","0.00735","0.00016"
"0.14400","0.00795","0.00005"
"0.15000","0.00855","0.00003"
"0.15600","0.00921","0.00006"
"0.16200","0.00981","0.00011"
"0.16800","0.01046","0.00010"
"0.17400","0.01112","0.00019"
"0.18000","0.01178","0.00028"
"0.18600","0.01244","0.00027"
"0.19200","0.01309","0.00024"
"0.19800","0.01375","0.00012"
"0.20400","0.01441","-0.00001"
"0.21000","0.01507","0.00001"
"0.21600","0.01572","0.00003"
"0.22200","0.01638","0.00005"
"0.22800","0.01704","-0.00002"
"0.23400","0.01770","-0.00011"
"0.24000","0.01836","-0.00018"
"0.24600","0.01901","-0.00019"
"0.25200","0.01967","-0.00024"
"0.25800","0.02027","-0.00027"
"0.26400","0.02093","-0.00021"
"0.27000","0.02152","-0.00012"
"0.27600","0.02212","-0.00003"
"0.28200","0.02272","-0.00005"
"0.28800","0.02332","-0.00007"
"0.29400","0.02392","0.00005"
"0.30000","0.02451","0.00012"
"0.30600","0.02505","0.00015"
"0.31200","0.02565","0.00016"
"0.31800","0.02625","0.00013"
"0.32400","0.02679","0.00015"
"0.33000","0.02732","0.00022"
"0.33600","0.02792","0.00036"
"0.34200","0.02846","0.00039"
"0.34800","0.02900","0.00041"
"0.35400","0.02954","0.00034"
"0.36000","0.03007","0.00026"
"0.36600","0.03061","0.00026"
"0.37200","0.03121","0.00024"
"0.37800","0.03169","0.00023"
"0.38400","0.03223","0.00013"
"0.39000","0.03276","0.00000"
"0.39600","0.03324","-0.00007"
"0.40200","0.03378","-0.00015"
"0.40800","0.03426","-0.00004"
"0.41400","0.03480","0.00019"
"0.42000","0.03528","0.00044"
"0.42600","0.03575","0.00061"
"0.43200","0.03629","0.00059"
"0.43800","0.03677","0.00043"
"0.44400","0.03731","0.00031"
"0.45000","0.03779","0.00024"
"0.45600","0.03833","0.00018"
"0.46200","0.03880","0.00017"
"0.46800","0.03934","0.00007"
"0.47400","0.03982","0.00007"
