End date,"1/7/2017"
Specimen label,"3AG_22"
Maximum Load,"0.73679",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00005"
"0.00600","0.00000","0.00014"
"0.01200","0.00000","0.00020"
"0.01800","0.00012","0.00023"
"0.02400","0.00024","0.00029"
"0.03000","0.00030","0.00026"
"0.03600","0.00048","0.00024"
"0.04200","0.00060","0.00023"
"0.04800","0.00084","0.00014"
"0.05400","0.00108","0.00013"
"0.06000","0.00132","0.00008"
"0.06600","0.00161","-0.00005"
"0.07200","0.00191","-0.00012"
"0.07800","0.00227","-0.00015"
"0.08400","0.00263","-0.00007"
"0.09000","0.00311","0.00012"
"0.09600","0.00353","0.00016"
"0.10200","0.00401","0.00012"
"0.10800","0.00454","0.00008"
"0.11400","0.00502","0.00005"
"0.12000","0.00556","0.00013"
"0.12600","0.00616","0.00025"
"0.13200","0.00670","0.00026"
"0.13800","0.00729","0.00030"
"0.14400","0.00789","0.00038"
"0.15000","0.00849","0.00042"
"0.15600","0.00915","0.00046"
"0.16200","0.00981","0.00049"
"0.16800","0.01046","0.00050"
"0.17400","0.01112","0.00046"
"0.18000","0.01178","0.00032"
"0.18600","0.01250","0.00025"
"0.19200","0.01315","0.00027"
"0.19800","0.01381","0.00035"
"0.20400","0.01447","0.00047"
"0.21000","0.01513","0.00061"
"0.21600","0.01578","0.00075"
"0.22200","0.01644","0.00089"
"0.22800","0.01710","0.00098"
"0.23400","0.01776","0.00110"
"0.24000","0.01842","0.00118"
"0.24600","0.01901","0.00119"
"0.25200","0.01967","0.00131"
"0.25800","0.02027","0.00143"
"0.26400","0.02087","0.00155"
"0.27000","0.02146","0.00162"
"0.27600","0.02212","0.00160"
"0.28200","0.02272","0.00153"
"0.28800","0.02332","0.00143"
"0.29400","0.02392","0.00132"
"0.30000","0.02451","0.00129"
"0.30600","0.02505","0.00135"
"0.31200","0.02565","0.00145"
"0.31800","0.02619","0.00160"
"0.32400","0.02679","0.00180"
"0.33000","0.02732","0.00196"
"0.33600","0.02792","0.00205"
"0.34200","0.02846","0.00211"
"0.34800","0.02900","0.00214"
"0.35400","0.02954","0.00210"
"0.36000","0.03001","0.00215"
"0.36600","0.03055","0.00222"
"0.37200","0.03109","0.00225"
"0.37800","0.03163","0.00216"
"0.38400","0.03217","0.00210"
"0.39000","0.03270","0.00212"
"0.39600","0.03318","0.00207"
"0.40200","0.03372","0.00211"
"0.40800","0.03426","0.00216"
"0.41400","0.03474","0.00217"
"0.42000","0.03528","0.00220"
"0.42600","0.03575","0.00231"
"0.43200","0.03623","0.00248"
"0.43800","0.03671","0.00260"
"0.44400","0.03725","0.00264"
"0.45000","0.03773","0.00265"
"0.45600","0.03821","0.00265"
"0.46200","0.03868","0.00263"
"0.46800","0.03922","0.00266"
"0.47400","0.03970","0.00272"
"0.48000","0.04018","0.00285"
"0.48600","0.04072","0.00306"
"0.49200","0.04119","0.00324"
"0.49800","0.04167","0.00333"
"0.50400","0.04221","0.00337"
"0.51000","0.04269","0.00330"
"0.51600","0.04323","0.00324"
"0.52200","0.04371","0.00323"
"0.52800","0.04418","0.00316"
"0.53400","0.04472","0.00305"
"0.54000","0.04520","0.00297"
"0.54600","0.04574","0.00294"
"0.55200","0.04622","0.00306"
"0.55800","0.04676","0.00322"
"0.56400","0.04723","0.00332"
"0.57000","0.04777","0.00330"
"0.57600","0.04825","0.00327"
"0.58200","0.04873","0.00317"
"0.58800","0.04927","0.00317"
"0.59400","0.04974","0.00325"
"0.60000","0.05022","0.00336"
"0.60600","0.05070","0.00345"
"0.61200","0.05124","0.00356"
"0.61800","0.05172","0.00364"
"0.62400","0.05226","0.00375"
"0.63000","0.05273","0.00389"
"0.63600","0.05327","0.00393"
"0.64200","0.05375","0.00390"
"0.64800","0.05429","0.00376"
"0.65400","0.05477","0.00371"
"0.66000","0.05525","0.00371"
"0.66600","0.05578","0.00381"
"0.67200","0.05626","0.00398"
"0.67800","0.05680","0.00406"
"0.68400","0.05728","0.00401"
"0.69000","0.05776","0.00410"
"0.69600","0.05829","0.00424"
"0.70200","0.05877","0.00423"
"0.70800","0.05925","0.00426"
"0.71400","0.05973","0.00426"
"0.72000","0.06021","0.00436"
"0.72600","0.06075","0.00443"
"0.73200","0.06122","0.00446"
"0.73800","0.06170","0.00444"
"0.74400","0.06218","0.00439"
"0.75000","0.06266","0.00440"
"0.75600","0.06320","0.00436"
"0.76200","0.06368","0.00430"
"0.76800","0.06421","0.00429"
"0.77400","0.06469","0.00432"
"0.78000","0.06523","0.00430"
"0.78600","0.06571","0.00430"
"0.79200","0.06625","0.00437"
"0.79800","0.06673","0.00445"
"0.80400","0.06726","0.00460"
"0.81000","0.06774","0.00466"
"0.81600","0.06822","0.00476"
"0.82200","0.06870","0.00484"
"0.82800","0.06924","0.00487"
"0.83400","0.06971","0.00487"
"0.84000","0.07019","0.00493"
"0.84600","0.07073","0.00498"
"0.85200","0.07121","0.00491"
"0.85800","0.07169","0.00488"
"0.86400","0.07223","0.00497"
"0.87000","0.07270","0.00503"
"0.87600","0.07318","0.00507"
"0.88200","0.07372","0.00512"
"0.88800","0.07420","0.00517"
"0.89400","0.07468","0.00515"
"0.90000","0.07516","0.00522"
"0.90600","0.07569","0.00528"
"0.91200","0.07617","0.00513"
"0.91800","0.07665","0.00501"
"0.92400","0.07719","0.00501"
"0.93000","0.07767","0.00506"
"0.93600","0.07820","0.00506"
"0.94200","0.07868","0.00505"
"0.94800","0.07922","0.00502"
"0.95400","0.07970","0.00495"
"0.96000","0.08018","0.00492"
"0.96600","0.08072","0.00493"
"0.97200","0.08119","0.00494"
"0.97800","0.08167","0.00496"
"0.98400","0.08215","0.00508"
"0.99000","0.08269","0.00512"
"0.99600","0.08317","0.00516"
"1.00200","0.08365","0.00514"
"1.00800","0.08418","0.00512"
"1.01400","0.08466","0.00523"
"1.02000","0.08514","0.00532"
"1.02600","0.08568","0.00538"
"1.03200","0.08616","0.00553"
"1.03800","0.08664","0.00559"
"1.04400","0.08717","0.00555"
"1.05000","0.08765","0.00549"
"1.05600","0.08813","0.00545"
"1.06200","0.08867","0.00536"
"1.06800","0.08915","0.00549"
"1.07400","0.08962","0.00571"
"1.08000","0.09016","0.00572"
"1.08600","0.09064","0.00571"
"1.09200","0.09112","0.00577"
"1.09800","0.09166","0.00589"
"1.10400","0.09214","0.00597"
"1.11000","0.09267","0.00599"
"1.11600","0.09315","0.00593"
"1.12200","0.09369","0.00579"
"1.12800","0.09417","0.00569"
"1.13400","0.09471","0.00574"
"1.14000","0.09518","0.00579"
"1.14600","0.09566","0.00601"
