End date,"1/8/2017"
Specimen label,"19AG_UNK"
Maximum Load,"0.01075",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00756"
"0.00600","0.00000","0.00754"
"0.01200","0.00000","0.00758"
"0.01800","0.00000","0.00753"
"0.02400","0.00018","0.00744"
"0.03000","0.00030","0.00741"
"0.03600","0.00042","0.00742"
"0.04200","0.00060","0.00741"
"0.04800","0.00078","0.00743"
"0.05400","0.00102","0.00747"
"0.06000","0.00126","0.00750"
"0.06600","0.00149","0.00750"
"0.07200","0.00179","0.00751"
"0.07800","0.00209","0.00752"
"0.08400","0.00245","0.00753"
"0.09000","0.00281","0.00758"
"0.09600","0.00317","0.00772"
"0.10200","0.00353","0.00785"
"0.10800","0.00395","0.00783"
"0.11400","0.00442","0.00782"
"0.12000","0.00490","0.00783"
"0.12600","0.00538","0.00790"
"0.13200","0.00592","0.00797"
"0.13800","0.00646","0.00793"
"0.14400","0.00700","0.00778"
"0.15000","0.00759","0.00767"
"0.15600","0.00825","0.00760"
"0.16200","0.00885","0.00753"
"0.16800","0.00951","0.00750"
"0.17400","0.01016","0.00746"
"0.18000","0.01082","0.00737"
"0.18600","0.01148","0.00730"
"0.19200","0.01220","0.00723"
"0.19800","0.01285","0.00723"
"0.20400","0.01357","0.00729"
"0.21000","0.01423","0.00738"
"0.21600","0.01495","0.00744"
"0.22200","0.01561","0.00748"
"0.22800","0.01632","0.00749"
"0.23400","0.01698","0.00752"
"0.24000","0.01764","0.00761"
"0.24600","0.01830","0.00772"
"0.25200","0.01901","0.00773"
"0.25800","0.01967","0.00768"
"0.26400","0.02033","0.00766"
"0.27000","0.02099","0.00766"
"0.27600","0.02164","0.00766"
"0.28200","0.02224","0.00777"
"0.28800","0.02290","0.00790"
"0.29400","0.02350","0.00788"
"0.30000","0.02415","0.00779"
"0.30600","0.02475","0.00774"
"0.31200","0.02535","0.00780"
"0.31800","0.02595","0.00789"
"0.32400","0.02655","0.00793"
"0.33000","0.02714","0.00792"
"0.33600","0.02768","0.00795"
"0.34200","0.02828","0.00793"
"0.34800","0.02882","0.00786"
"0.35400","0.02942","0.00776"
"0.36000","0.02995","0.00766"
"0.36600","0.03043","0.00754"
"0.37200","0.03103","0.00749"
"0.37800","0.03151","0.00752"
"0.38400","0.03205","0.00761"
"0.39000","0.03259","0.00772"
"0.39600","0.03312","0.00780"
"0.40200","0.03366","0.00783"
"0.40800","0.03414","0.00779"
"0.41400","0.03468","0.00775"
"0.42000","0.03522","0.00777"
"0.42600","0.03569","0.00784"
"0.43200","0.03623","0.00789"
"0.43800","0.03671","0.00795"
"0.44400","0.03725","0.00796"
"0.45000","0.03773","0.00792"
"0.45600","0.03827","0.00792"
"0.46200","0.03874","0.00793"
"0.46800","0.03928","0.00792"
"0.47400","0.03976","0.00783"
"0.48000","0.04024","0.00776"
"0.48600","0.04078","0.00766"
"0.49200","0.04125","0.00750"
"0.49800","0.04173","0.00744"
"0.50400","0.04221","0.00741"
"0.51000","0.04269","0.00742"
"0.51600","0.04323","0.00748"
"0.52200","0.04371","0.00761"
"0.52800","0.04418","0.00771"
"0.53400","0.04472","0.00775"
"0.54000","0.04520","0.00773"
"0.54600","0.04574","0.00773"
"0.55200","0.04622","0.00774"
"0.55800","0.04676","0.00771"
"0.56400","0.04723","0.00768"
"0.57000","0.04771","0.00766"
"0.57600","0.04825","0.00763"
"0.58200","0.04873","0.00765"
"0.58800","0.04921","0.00768"
