End date,"1/8/2017"
Specimen label,"20DT_UNK"
Maximum Load,"0.19153",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00038"
"0.00600","0.00000","-0.00040"
"0.01200","0.00000","-0.00044"
"0.01800","0.00012","-0.00051"
"0.02400","0.00018","-0.00061"
"0.03000","0.00030","-0.00062"
"0.03600","0.00042","-0.00061"
"0.04200","0.00060","-0.00062"
"0.04800","0.00084","-0.00065"
"0.05400","0.00102","-0.00068"
"0.06000","0.00132","-0.00075"
"0.06600","0.00161","-0.00088"
"0.07200","0.00191","-0.00090"
"0.07800","0.00227","-0.00092"
"0.08400","0.00263","-0.00087"
"0.09000","0.00305","-0.00089"
"0.09600","0.00353","-0.00089"
"0.10200","0.00395","-0.00088"
"0.10800","0.00448","-0.00090"
"0.11400","0.00502","-0.00090"
"0.12000","0.00556","-0.00089"
"0.12600","0.00610","-0.00091"
"0.13200","0.00670","-0.00092"
"0.13800","0.00729","-0.00078"
"0.14400","0.00789","-0.00062"
"0.15000","0.00849","-0.00050"
"0.15600","0.00915","-0.00043"
"0.16200","0.00981","-0.00027"
"0.16800","0.01046","-0.00019"
"0.17400","0.01112","-0.00020"
"0.18000","0.01178","-0.00027"
"0.18600","0.01244","-0.00019"
"0.19200","0.01315","-0.00012"
"0.19800","0.01381","-0.00018"
"0.20400","0.01441","-0.00024"
"0.21000","0.01513","-0.00036"
"0.21600","0.01572","-0.00051"
"0.22200","0.01638","-0.00067"
"0.22800","0.01704","-0.00069"
"0.23400","0.01770","-0.00071"
"0.24000","0.01836","-0.00092"
"0.24600","0.01901","-0.00105"
"0.25200","0.01961","-0.00107"
"0.25800","0.02027","-0.00103"
"0.26400","0.02087","-0.00098"
"0.27000","0.02152","-0.00100"
"0.27600","0.02212","-0.00108"
"0.28200","0.02272","-0.00112"
"0.28800","0.02332","-0.00101"
"0.29400","0.02392","-0.00072"
"0.30000","0.02451","-0.00049"
"0.30600","0.02511","-0.00043"
"0.31200","0.02571","-0.00041"
"0.31800","0.02625","-0.00044"
"0.32400","0.02679","-0.00051"
"0.33000","0.02738","-0.00056"
"0.33600","0.02792","-0.00039"
"0.34200","0.02840","-0.00022"
"0.34800","0.02900","-0.00008"
"0.35400","0.02948","0.00002"
"0.36000","0.03001","0.00004"
"0.36600","0.03055","0.00005"
"0.37200","0.03109","0.00012"
"0.37800","0.03163","0.00016"
"0.38400","0.03217","0.00026"
"0.39000","0.03265","0.00027"
"0.39600","0.03318","0.00010"
"0.40200","0.03366","-0.00003"
"0.40800","0.03420","-0.00007"
"0.41400","0.03468","0.00004"
"0.42000","0.03522","0.00024"
"0.42600","0.03569","0.00028"
"0.43200","0.03623","0.00010"
"0.43800","0.03677","-0.00002"
"0.44400","0.03725","-0.00009"
"0.45000","0.03779","-0.00010"
"0.45600","0.03827","-0.00002"
"0.46200","0.03874","0.00013"
"0.46800","0.03928","0.00022"
"0.47400","0.03976","0.00016"
"0.48000","0.04024","0.00000"
"0.48600","0.04078","-0.00009"
"0.49200","0.04125","-0.00008"
"0.49800","0.04173","0.00003"
"0.50400","0.04227","0.00016"
"0.51000","0.04275","0.00026"
"0.51600","0.04329","0.00034"
"0.52200","0.04377","0.00052"
"0.52800","0.04424","0.00064"
"0.53400","0.04478","0.00063"
"0.54000","0.04526","0.00067"
"0.54600","0.04580","0.00075"
"0.55200","0.04628","0.00070"
"0.55800","0.04682","0.00063"
"0.56400","0.04729","0.00061"
"0.57000","0.04783","0.00075"
"0.57600","0.04831","0.00071"
"0.58200","0.04879","0.00062"
"0.58800","0.04933","0.00057"
"0.59400","0.04980","0.00048"
"0.60000","0.05028","0.00042"
"0.60600","0.05076","0.00042"
"0.61200","0.05124","0.00044"
"0.61800","0.05178","0.00042"
"0.62400","0.05226","0.00041"
"0.63000","0.05273","0.00042"
"0.63600","0.05321","0.00046"
"0.64200","0.05369","0.00058"
"0.64800","0.05423","0.00083"
"0.65400","0.05471","0.00108"
"0.66000","0.05519","0.00119"
"0.66600","0.05566","0.00111"
"0.67200","0.05620","0.00098"
"0.67800","0.05668","0.00089"
"0.68400","0.05716","0.00083"
"0.69000","0.05770","0.00083"
"0.69600","0.05818","0.00089"
"0.70200","0.05871","0.00098"
"0.70800","0.05919","0.00105"
"0.71400","0.05973","0.00102"
"0.72000","0.06021","0.00103"
"0.72600","0.06075","0.00098"
"0.73200","0.06122","0.00082"
"0.73800","0.06170","0.00067"
"0.74400","0.06224","0.00061"
"0.75000","0.06272","0.00050"
"0.75600","0.06326","0.00030"
"0.76200","0.06374","0.00015"
"0.76800","0.06421","0.00021"
"0.77400","0.06469","0.00039"
"0.78000","0.06523","0.00050"
"0.78600","0.06571","0.00065"
"0.79200","0.06619","0.00071"
"0.79800","0.06667","0.00070"
"0.80400","0.06720","0.00070"
"0.81000","0.06768","0.00069"
"0.81600","0.06816","0.00055"
"0.82200","0.06870","0.00056"
"0.82800","0.06918","0.00066"
"0.83400","0.06971","0.00069"
"0.84000","0.07019","0.00079"
"0.84600","0.07073","0.00086"
"0.85200","0.07121","0.00094"
"0.85800","0.07169","0.00104"
"0.86400","0.07223","0.00106"
"0.87000","0.07270","0.00110"
"0.87600","0.07318","0.00118"
"0.88200","0.07372","0.00122"
"0.88800","0.07420","0.00126"
"0.89400","0.07468","0.00133"
"0.90000","0.07516","0.00127"
"0.90600","0.07563","0.00111"
"0.91200","0.07617","0.00103"
"0.91800","0.07665","0.00105"
"0.92400","0.07713","0.00112"
"0.93000","0.07761","0.00117"
"0.93600","0.07814","0.00120"
"0.94200","0.07862","0.00124"
"0.94800","0.07916","0.00129"
"0.95400","0.07964","0.00136"
"0.96000","0.08012","0.00141"
"0.96600","0.08066","0.00138"
"0.97200","0.08113","0.00130"
"0.97800","0.08167","0.00129"
"0.98400","0.08215","0.00130"
"0.99000","0.08269","0.00123"
"0.99600","0.08317","0.00115"
"1.00200","0.08371","0.00115"
"1.00800","0.08418","0.00125"
"1.01400","0.08472","0.00134"
"1.02000","0.08520","0.00143"
"1.02600","0.08568","0.00153"
"1.03200","0.08622","0.00158"
"1.03800","0.08669","0.00168"
