End date,"1/8/2017"
Specimen label,"11AT_NL"
Maximum Load,"0.06823",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00002"
"0.00600","0.00000","-0.00008"
"0.01200","0.00000","-0.00009"
"0.01800","0.00012","-0.00009"
"0.02400","0.00024","-0.00010"
"0.03000","0.00030","-0.00009"
"0.03600","0.00048","-0.00011"
"0.04200","0.00060","-0.00018"
"0.04800","0.00084","-0.00023"
"0.05400","0.00102","-0.00020"
"0.06000","0.00132","-0.00014"
"0.06600","0.00155","-0.00001"
"0.07200","0.00185","0.00012"
"0.07800","0.00221","0.00021"
"0.08400","0.00263","0.00028"
"0.09000","0.00299","0.00027"
"0.09600","0.00347","0.00036"
"0.10200","0.00389","0.00046"
"0.10800","0.00442","0.00050"
"0.11400","0.00490","0.00048"
"0.12000","0.00544","0.00032"
"0.12600","0.00598","0.00011"
"0.13200","0.00658","-0.00012"
"0.13800","0.00717","-0.00029"
"0.14400","0.00777","-0.00035"
"0.15000","0.00843","-0.00029"
"0.15600","0.00909","-0.00015"
"0.16200","0.00975","-0.00010"
"0.16800","0.01040","-0.00018"
"0.17400","0.01106","-0.00022"
"0.18000","0.01178","-0.00012"
"0.18600","0.01244","0.00002"
"0.19200","0.01309","0.00013"
"0.19800","0.01375","0.00020"
"0.20400","0.01441","0.00019"
"0.21000","0.01507","0.00011"
"0.21600","0.01572","-0.00002"
"0.22200","0.01644","-0.00013"
"0.22800","0.01704","-0.00016"
"0.23400","0.01770","-0.00015"
"0.24000","0.01836","-0.00017"
"0.24600","0.01901","-0.00025"
"0.25200","0.01961","-0.00030"
"0.25800","0.02027","-0.00023"
"0.26400","0.02093","-0.00010"
"0.27000","0.02152","-0.00004"
"0.27600","0.02212","-0.00002"
"0.28200","0.02278","0.00001"
"0.28800","0.02338","-0.00001"
"0.29400","0.02398","-0.00009"
"0.30000","0.02457","-0.00018"
"0.30600","0.02511","-0.00018"
"0.31200","0.02571","-0.00016"
"0.31800","0.02625","-0.00021"
"0.32400","0.02679","-0.00026"
"0.33000","0.02738","-0.00028"
"0.33600","0.02792","-0.00025"
"0.34200","0.02846","-0.00018"
"0.34800","0.02900","-0.00017"
"0.35400","0.02948","-0.00017"
"0.36000","0.03001","-0.00004"
"0.36600","0.03055","0.00002"
"0.37200","0.03109","-0.00007"
"0.37800","0.03163","-0.00014"
"0.38400","0.03211","-0.00004"
"0.39000","0.03265","0.00006"
"0.39600","0.03318","-0.00005"
"0.40200","0.03366","-0.00019"
"0.40800","0.03420","-0.00026"
"0.41400","0.03474","-0.00025"
"0.42000","0.03522","-0.00028"
"0.42600","0.03575","-0.00023"
"0.43200","0.03623","-0.00007"
"0.43800","0.03677","-0.00002"
"0.44400","0.03725","-0.00002"
"0.45000","0.03773","0.00002"
"0.45600","0.03827","0.00007"
"0.46200","0.03874","0.00003"
"0.46800","0.03928","-0.00003"
"0.47400","0.03976","0.00001"
"0.48000","0.04024","0.00000"
"0.48600","0.04078","-0.00006"
"0.49200","0.04125","-0.00005"
"0.49800","0.04179","0.00014"
"0.50400","0.04227","0.00027"
"0.51000","0.04281","0.00033"
"0.51600","0.04329","0.00035"
"0.52200","0.04383","0.00034"
"0.52800","0.04430","0.00024"
"0.53400","0.04484","0.00023"
"0.54000","0.04532","0.00030"
"0.54600","0.04580","0.00032"
"0.55200","0.04634","0.00024"
"0.55800","0.04682","0.00018"
"0.56400","0.04735","0.00014"
"0.57000","0.04783","0.00007"
"0.57600","0.04837","0.00001"
"0.58200","0.04885","-0.00012"
"0.58800","0.04933","-0.00028"
"0.59400","0.04980","-0.00034"
"0.60000","0.05028","-0.00036"
"0.60600","0.05076","-0.00021"
"0.61200","0.05130","-0.00011"
"0.61800","0.05178","-0.00014"
"0.62400","0.05226","-0.00021"
"0.63000","0.05273","-0.00026"
"0.63600","0.05321","-0.00039"
"0.64200","0.05375","-0.00047"
"0.64800","0.05423","-0.00046"
"0.65400","0.05471","-0.00038"
"0.66000","0.05525","-0.00032"
"0.66600","0.05572","-0.00025"
"0.67200","0.05626","-0.00016"
"0.67800","0.05674","-0.00010"
"0.68400","0.05728","-0.00005"
"0.69000","0.05776","0.00004"
"0.69600","0.05829","0.00016"
"0.70200","0.05877","0.00020"
"0.70800","0.05925","0.00019"
"0.71400","0.05979","0.00021"
"0.72000","0.06027","0.00011"
"0.72600","0.06075","-0.00002"
"0.73200","0.06128","-0.00016"
"0.73800","0.06176","-0.00011"
"0.74400","0.06224","0.00004"
"0.75000","0.06272","0.00010"
"0.75600","0.06326","0.00021"
"0.76200","0.06374","0.00026"
"0.76800","0.06421","0.00018"
"0.77400","0.06475","0.00021"
"0.78000","0.06523","0.00035"
"0.78600","0.06571","0.00038"
"0.79200","0.06619","0.00031"
"0.79800","0.06673","0.00023"
"0.80400","0.06720","0.00011"
"0.81000","0.06774","0.00014"
"0.81600","0.06822","0.00029"
"0.82200","0.06876","0.00043"
"0.82800","0.06924","0.00051"
"0.83400","0.06971","0.00046"
"0.84000","0.07025","0.00044"
"0.84600","0.07073","0.00045"
"0.85200","0.07121","0.00044"
"0.85800","0.07175","0.00046"
"0.86400","0.07223","0.00043"
"0.87000","0.07270","0.00038"
"0.87600","0.07318","0.00029"
"0.88200","0.07372","0.00019"
"0.88800","0.07420","0.00026"
"0.89400","0.07468","0.00030"
"0.90000","0.07516","0.00028"
"0.90600","0.07569","0.00024"
"0.91200","0.07617","0.00020"
"0.91800","0.07665","0.00008"
"0.92400","0.07719","-0.00006"
"0.93000","0.07767","-0.00021"
"0.93600","0.07814","-0.00036"
"0.94200","0.07862","-0.00043"
"0.94800","0.07916","-0.00047"
"0.95400","0.07964","-0.00053"
"0.96000","0.08012","-0.00049"
"0.96600","0.08066","-0.00028"
"0.97200","0.08119","-0.00011"
"0.97800","0.08167","-0.00003"
"0.98400","0.08221","-0.00005"
"0.99000","0.08269","-0.00018"
"0.99600","0.08323","-0.00029"
"1.00200","0.08371","-0.00035"
"1.00800","0.08424","-0.00025"
"1.01400","0.08472","0.00001"
"1.02000","0.08520","0.00014"
"1.02600","0.08568","0.00017"
"1.03200","0.08622","0.00017"
"1.03800","0.08669","0.00010"
"1.04400","0.08717","-0.00002"
"1.05000","0.08771","-0.00005"
"1.05600","0.08819","-0.00004"
"1.06200","0.08873","-0.00001"
"1.06800","0.08921","-0.00005"
"1.07400","0.08974","-0.00011"
"1.08000","0.09022","-0.00019"
"1.08600","0.09070","-0.00024"
"1.09200","0.09124","-0.00012"
"1.09800","0.09172","0.00002"
"1.10400","0.09220","0.00003"
"1.11000","0.09273","-0.00012"
"1.11600","0.09327","-0.00027"
"1.12200","0.09375","-0.00037"
"1.12800","0.09429","-0.00044"
"1.13400","0.09477","-0.00045"
"1.14000","0.09530","-0.00043"
"1.14600","0.09578","-0.00041"
"1.15200","0.09626","-0.00039"
"1.15800","0.09674","-0.00027"
"1.16400","0.09728","-0.00007"
"1.17000","0.09776","0.00012"
"1.17600","0.09823","0.00028"
"1.18200","0.09871","0.00041"
"1.18800","0.09919","0.00055"
"1.19400","0.09973","0.00053"
"1.20000","0.10021","0.00047"
"1.20600","0.10069","0.00051"
"1.21200","0.10122","0.00057"
"1.21800","0.10170","0.00062"
"1.22400","0.10218","0.00058"
"1.23000","0.10272","0.00052"
"1.23600","0.10320","0.00038"
"1.24200","0.10368","0.00021"
"1.24800","0.10421","0.00006"
"1.25400","0.10469","0.00001"
"1.26000","0.10523","0.00005"
"1.26600","0.10571","0.00007"
"1.27200","0.10625","0.00011"
"1.27800","0.10672","0.00011"
"1.28400","0.10720","0.00010"
"1.29000","0.10774","0.00027"
"1.29600","0.10822","0.00054"
"1.30200","0.10876","0.00055"
"1.30800","0.10924","0.00048"
"1.31400","0.10971","0.00045"
"1.32000","0.11025","0.00042"
"1.32600","0.11073","0.00037"
"1.33200","0.11121","0.00031"
"1.33800","0.11169","0.00040"
"1.34400","0.11222","0.00041"
"1.35000","0.11270","0.00031"
"1.35600","0.11318","0.00021"
"1.36200","0.11372","0.00025"
"1.36800","0.11420","0.00032"
"1.37400","0.11468","0.00045"
"1.38000","0.11521","0.00053"
"1.38600","0.11569","0.00050"
"1.39200","0.11623","0.00035"
"1.39800","0.11671","0.00025"
"1.40400","0.11725","0.00024"
"1.41000","0.11773","0.00034"
"1.41600","0.11826","0.00048"
"1.42200","0.11874","0.00054"
"1.42800","0.11922","0.00046"
"1.43400","0.11970","0.00027"
"1.44000","0.12024","0.00003"
"1.44600","0.12072","-0.00003"
"1.45200","0.12119","0.00004"
"1.45800","0.12173","0.00011"
"1.46400","0.12221","0.00015"
"1.47000","0.12269","0.00007"
"1.47600","0.12317","-0.00009"
"1.48200","0.12370","-0.00018"
"1.48800","0.12418","-0.00015"
"1.49400","0.12466","-0.00008"
"1.50000","0.12514","-0.00013"
"1.50600","0.12562","-0.00020"
"1.51200","0.12616","-0.00032"
"1.51800","0.12663","-0.00041"
"1.52400","0.12717","-0.00031"
"1.53000","0.12765","-0.00024"
"1.53600","0.12819","-0.00021"
"1.54200","0.12867","-0.00020"
"1.54800","0.12921","-0.00014"
"1.55400","0.12968","-0.00018"
"1.56000","0.13022","-0.00022"
"1.56600","0.13070","-0.00015"
"1.57200","0.13124","-0.00001"
"1.57800","0.13172","0.00001"
"1.58400","0.13225","-0.00005"
"1.59000","0.13273","-0.00006"
"1.59600","0.13321","-0.00007"
"1.60200","0.13375","-0.00010"
"1.60800","0.13423","-0.00017"
"1.61400","0.13477","-0.00020"
"1.62000","0.13524","-0.00027"
"1.62600","0.13572","-0.00032"
"1.63200","0.13626","-0.00027"
"1.63800","0.13674","-0.00023"
"1.64400","0.13722","-0.00016"
"1.65000","0.13776","-0.00013"
"1.65600","0.13823","-0.00017"
"1.66200","0.13871","-0.00018"
"1.66800","0.13925","-0.00014"
"1.67400","0.13973","-0.00017"
"1.68000","0.14027","-0.00011"
"1.68600","0.14074","0.00001"
"1.69200","0.14122","0.00005"
