End date,"1/8/2017"
Specimen label,"10DG_59"
Maximum Load,"0.72436",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00017"
"0.00600","0.00000","-0.00020"
"0.01200","0.00000","-0.00018"
"0.01800","0.00012","-0.00011"
"0.02400","0.00018","-0.00012"
"0.03000","0.00030","-0.00007"
"0.03600","0.00048","-0.00006"
"0.04200","0.00066","-0.00008"
"0.04800","0.00084","-0.00011"
"0.05400","0.00108","0.00001"
"0.06000","0.00132","0.00013"
"0.06600","0.00161","0.00017"
"0.07200","0.00191","0.00023"
"0.07800","0.00227","0.00020"
"0.08400","0.00269","0.00008"
"0.09000","0.00311","-0.00004"
"0.09600","0.00353","-0.00005"
"0.10200","0.00401","-0.00005"
"0.10800","0.00454","-0.00009"
"0.11400","0.00502","-0.00018"
"0.12000","0.00562","-0.00022"
"0.12600","0.00622","-0.00019"
"0.13200","0.00682","-0.00009"
"0.13800","0.00741","0.00004"
"0.14400","0.00801","0.00010"
"0.15000","0.00867","0.00003"
"0.15600","0.00933","-0.00008"
"0.16200","0.00993","-0.00012"
"0.16800","0.01058","-0.00014"
"0.17400","0.01124","-0.00008"
"0.18000","0.01190","0.00006"
"0.18600","0.01256","0.00016"
"0.19200","0.01321","0.00019"
"0.19800","0.01387","0.00014"
"0.20400","0.01453","0.00007"
"0.21000","0.01519","0.00008"
"0.21600","0.01584","0.00005"
"0.22200","0.01656","0.00006"
"0.22800","0.01722","0.00003"
"0.23400","0.01782","-0.00002"
"0.24000","0.01847","-0.00005"
"0.24600","0.01913","-0.00005"
"0.25200","0.01973","0.00003"
"0.25800","0.02039","0.00006"
"0.26400","0.02099","0.00012"
"0.27000","0.02158","0.00025"
"0.27600","0.02218","0.00026"
"0.28200","0.02278","0.00017"
"0.28800","0.02338","0.00007"
"0.29400","0.02392","0.00002"
"0.30000","0.02451","-0.00003"
"0.30600","0.02511","-0.00024"
"0.31200","0.02571","-0.00048"
"0.31800","0.02625","-0.00058"
"0.32400","0.02685","-0.00053"
"0.33000","0.02738","-0.00027"
"0.33600","0.02798","-0.00002"
"0.34200","0.02852","0.00010"
"0.34800","0.02906","0.00012"
"0.35400","0.02960","0.00009"
"0.36000","0.03013","0.00009"
"0.36600","0.03061","0.00017"
"0.37200","0.03115","0.00026"
"0.37800","0.03169","0.00036"
"0.38400","0.03223","0.00038"
"0.39000","0.03270","0.00032"
"0.39600","0.03324","0.00022"
"0.40200","0.03372","0.00018"
"0.40800","0.03426","0.00013"
"0.41400","0.03474","0.00014"
"0.42000","0.03528","0.00005"
"0.42600","0.03575","-0.00004"
"0.43200","0.03623","-0.00015"
"0.43800","0.03677","-0.00028"
"0.44400","0.03725","-0.00024"
"0.45000","0.03779","-0.00013"
"0.45600","0.03827","0.00007"
"0.46200","0.03880","0.00024"
"0.46800","0.03928","0.00033"
"0.47400","0.03976","0.00025"
"0.48000","0.04030","0.00016"
"0.48600","0.04078","0.00025"
"0.49200","0.04125","0.00028"
"0.49800","0.04173","0.00042"
"0.50400","0.04227","0.00052"
"0.51000","0.04275","0.00052"
"0.51600","0.04323","0.00043"
"0.52200","0.04377","0.00027"
"0.52800","0.04424","0.00003"
"0.53400","0.04472","-0.00014"
"0.54000","0.04520","-0.00028"
"0.54600","0.04568","-0.00033"
"0.55200","0.04622","-0.00040"
"0.55800","0.04670","-0.00051"
"0.56400","0.04717","-0.00056"
"0.57000","0.04765","-0.00039"
"0.57600","0.04819","-0.00026"
"0.58200","0.04867","-0.00002"
"0.58800","0.04915","0.00023"
"0.59400","0.04969","0.00031"
"0.60000","0.05016","0.00035"
"0.60600","0.05070","0.00048"
"0.61200","0.05118","0.00052"
"0.61800","0.05172","0.00047"
"0.62400","0.05220","0.00040"
"0.63000","0.05267","0.00032"
"0.63600","0.05321","0.00021"
"0.64200","0.05369","0.00018"
"0.64800","0.05417","0.00015"
"0.65400","0.05471","0.00022"
"0.66000","0.05519","0.00036"
"0.66600","0.05572","0.00041"
"0.67200","0.05620","0.00042"
"0.67800","0.05668","0.00040"
"0.68400","0.05722","0.00038"
"0.69000","0.05770","0.00034"
"0.69600","0.05818","0.00024"
"0.70200","0.05871","0.00018"
"0.70800","0.05919","0.00012"
"0.71400","0.05967","0.00011"
"0.72000","0.06015","0.00016"
"0.72600","0.06069","0.00013"
"0.73200","0.06122","0.00009"
"0.73800","0.06170","0.00012"
"0.74400","0.06224","0.00005"
"0.75000","0.06272","-0.00003"
"0.75600","0.06320","-0.00007"
"0.76200","0.06374","-0.00001"
"0.76800","0.06421","0.00008"
"0.77400","0.06469","0.00007"
"0.78000","0.06517","0.00005"
"0.78600","0.06571","0.00007"
"0.79200","0.06619","0.00005"
"0.79800","0.06667","0.00004"
"0.80400","0.06720","0.00020"
"0.81000","0.06768","0.00043"
"0.81600","0.06816","0.00058"
"0.82200","0.06870","0.00064"
"0.82800","0.06918","0.00055"
"0.83400","0.06965","0.00040"
"0.84000","0.07019","0.00044"
"0.84600","0.07067","0.00049"
"0.85200","0.07121","0.00055"
"0.85800","0.07169","0.00058"
"0.86400","0.07217","0.00048"
"0.87000","0.07270","0.00033"
"0.87600","0.07324","0.00015"
"0.88200","0.07372","-0.00005"
"0.88800","0.07426","-0.00011"
"0.89400","0.07474","-0.00018"
"0.90000","0.07522","-0.00025"
"0.90600","0.07575","-0.00030"
"0.91200","0.07623","-0.00027"
"0.91800","0.07671","-0.00012"
"0.92400","0.07719","0.00005"
"0.93000","0.07773","0.00014"
"0.93600","0.07820","0.00008"
"0.94200","0.07868","0.00003"
"0.94800","0.07922","0.00008"
"0.95400","0.07970","0.00018"
"0.96000","0.08018","0.00020"
"0.96600","0.08072","0.00007"
"0.97200","0.08119","0.00004"
"0.97800","0.08167","0.00006"
"0.98400","0.08215","0.00004"
"0.99000","0.08269","-0.00005"
"0.99600","0.08317","-0.00009"
"1.00200","0.08371","-0.00009"
"1.00800","0.08418","-0.00020"
"1.01400","0.08472","-0.00044"
"1.02000","0.08520","-0.00064"
"1.02600","0.08568","-0.00064"
"1.03200","0.08622","-0.00059"
"1.03800","0.08669","-0.00049"
"1.04400","0.08717","-0.00026"
"1.05000","0.08765","-0.00012"
"1.05600","0.08813","-0.00010"
"1.06200","0.08867","-0.00015"
"1.06800","0.08915","-0.00013"
"1.07400","0.08962","-0.00013"
"1.08000","0.09010","-0.00012"
"1.08600","0.09064","-0.00013"
"1.09200","0.09112","-0.00011"
"1.09800","0.09160","-0.00011"
"1.10400","0.09214","-0.00020"
"1.11000","0.09261","-0.00021"
"1.11600","0.09309","-0.00023"
"1.12200","0.09363","-0.00028"
"1.12800","0.09411","-0.00021"
"1.13400","0.09459","-0.00010"
"1.14000","0.09513","-0.00004"
"1.14600","0.09560","0.00005"
"1.15200","0.09614","0.00014"
"1.15800","0.09668","0.00032"
"1.16400","0.09716","0.00054"
"1.17000","0.09770","0.00072"
"1.17600","0.09817","0.00073"
"1.18200","0.09871","0.00064"
"1.18800","0.09919","0.00054"
"1.19400","0.09967","0.00037"
"1.20000","0.10015","0.00020"
"1.20600","0.10063","0.00008"
"1.21200","0.10116","0.00000"
"1.21800","0.10164","-0.00008"
"1.22400","0.10212","-0.00015"
"1.23000","0.10266","-0.00016"
"1.23600","0.10314","-0.00004"
"1.24200","0.10368","0.00009"
"1.24800","0.10415","0.00007"
"1.25400","0.10469","0.00000"
"1.26000","0.10517","0.00000"
"1.26600","0.10571","0.00004"
"1.27200","0.10619","0.00008"
"1.27800","0.10672","0.00024"
"1.28400","0.10720","0.00038"
"1.29000","0.10768","0.00041"
"1.29600","0.10822","0.00035"
"1.30200","0.10870","0.00032"
"1.30800","0.10924","0.00026"
"1.31400","0.10971","0.00017"
"1.32000","0.11025","0.00018"
"1.32600","0.11073","0.00019"
"1.33200","0.11121","0.00019"
"1.33800","0.11169","0.00009"
"1.34400","0.11217","-0.00005"
"1.35000","0.11264","-0.00012"
"1.35600","0.11318","-0.00011"
"1.36200","0.11366","-0.00009"
"1.36800","0.11414","-0.00008"
"1.37400","0.11462","-0.00013"
"1.38000","0.11515","-0.00015"
"1.38600","0.11563","-0.00010"
"1.39200","0.11617","-0.00002"
"1.39800","0.11665","-0.00005"
"1.40400","0.11713","-0.00006"
"1.41000","0.11767","0.00006"
"1.41600","0.11814","0.00016"
"1.42200","0.11868","0.00026"
"1.42800","0.11916","0.00033"
"1.43400","0.11970","0.00038"
"1.44000","0.12018","0.00032"
"1.44600","0.12072","0.00026"
"1.45200","0.12125","0.00023"
"1.45800","0.12173","0.00014"
"1.46400","0.12221","0.00003"
"1.47000","0.12275","0.00006"
"1.47600","0.12323","0.00018"
"1.48200","0.12376","0.00030"
"1.48800","0.12424","0.00030"
"1.49400","0.12472","0.00024"
"1.50000","0.12520","0.00008"
"1.50600","0.12568","-0.00006"
"1.51200","0.12616","-0.00018"
"1.51800","0.12669","-0.00028"
"1.52400","0.12717","-0.00037"
"1.53000","0.12765","-0.00042"
"1.53600","0.12819","-0.00050"
"1.54200","0.12867","-0.00047"
"1.54800","0.12915","-0.00033"
"1.55400","0.12968","-0.00019"
"1.56000","0.13016","-0.00010"
"1.56600","0.13070","0.00004"
"1.57200","0.13118","0.00015"
"1.57800","0.13166","0.00024"
"1.58400","0.13219","0.00031"
"1.59000","0.13267","0.00031"
"1.59600","0.13315","0.00027"
"1.60200","0.13369","0.00027"
"1.60800","0.13417","0.00035"
"1.61400","0.13465","0.00031"
"1.62000","0.13518","0.00026"
"1.62600","0.13566","0.00017"
"1.63200","0.13614","0.00013"
"1.63800","0.13662","0.00018"
"1.64400","0.13716","0.00021"
"1.65000","0.13764","0.00029"
"1.65600","0.13811","0.00034"
"1.66200","0.13865","0.00033"
"1.66800","0.13913","0.00030"
"1.67400","0.13961","0.00019"
"1.68000","0.14009","-0.00003"
"1.68600","0.14062","-0.00026"
"1.69200","0.14110","-0.00039"
"1.69800","0.14158","-0.00045"
"1.70400","0.14212","-0.00040"
"1.71000","0.14266","-0.00026"
"1.71600","0.14314","-0.00013"
"1.72200","0.14367","-0.00004"
"1.72800","0.14415","-0.00002"
"1.73400","0.14469","-0.00007"
"1.74000","0.14517","-0.00004"
"1.74600","0.14571","-0.00006"
"1.75200","0.14619","-0.00001"
"1.75800","0.14666","0.00012"
"1.76400","0.14720","0.00019"
"1.77000","0.14768","0.00019"
"1.77600","0.14822","0.00010"
"1.78200","0.14870","0.00000"
"1.78800","0.14917","0.00002"
"1.79400","0.14971","0.00004"
"1.80000","0.15019","0.00000"
"1.80600","0.15073","-0.00003"
"1.81200","0.15121","-0.00001"
"1.81800","0.15169","0.00008"
"1.82400","0.15222","0.00010"
"1.83000","0.15270","0.00014"
"1.83600","0.15318","0.00018"
"1.84200","0.15372","0.00030"
"1.84800","0.15420","0.00042"
"1.85400","0.15474","0.00050"
"1.86000","0.15521","0.00056"
"1.86600","0.15569","0.00051"
"1.87200","0.15623","0.00046"
"1.87800","0.15671","0.00042"
"1.88400","0.15725","0.00033"
"1.89000","0.15772","0.00022"
"1.89600","0.15820","0.00020"
"1.90200","0.15874","0.00030"
"1.90800","0.15922","0.00035"
"1.91400","0.15970","0.00032"
"1.92000","0.16024","0.00032"
"1.92600","0.16071","0.00035"
"1.93200","0.16119","0.00029"
"1.93800","0.16167","0.00017"
"1.94400","0.16221","0.00009"
"1.95000","0.16269","0.00011"
"1.95600","0.16317","0.00008"
"1.96200","0.16370","0.00006"
"1.96800","0.16418","0.00007"
"1.97400","0.16466","0.00001"
"1.98000","0.16520","-0.00009"
"1.98600","0.16568","-0.00007"
"1.99200","0.16616","-0.00002"
"1.99800","0.16669","0.00004"
"2.00400","0.16717","0.00022"
"2.01000","0.16765","0.00034"
"2.01600","0.16819","0.00032"
"2.02200","0.16867","0.00030"
"2.02800","0.16920","0.00027"
"2.03400","0.16968","0.00035"
"2.04000","0.17022","0.00042"
"2.04600","0.17070","0.00041"
"2.05200","0.17118","0.00034"
"2.05800","0.17172","0.00020"
"2.06400","0.17219","0.00010"
"2.07000","0.17267","0.00010"
"2.07600","0.17315","0.00016"
