End date,"1/8/2017"
Specimen label,"11DG_Unk2"
Maximum Load,"0.18525",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","1.72068","-0.00531"
"0.00600","1.72068","-0.00526"
"0.01200","1.72080","-0.00521"
"0.01800","1.72086","-0.00515"
"0.02400","1.72092","-0.00507"
"0.03000","1.72098","-0.00510"
"0.03600","1.72116","-0.00518"
"0.04200","1.72128","-0.00520"
"0.04800","1.72152","-0.00531"
"0.05400","1.72176","-0.00544"
"0.06000","1.72200","-0.00531"
"0.06600","1.72230","-0.00513"
"0.07200","1.72266","-0.00499"
"0.07800","1.72301","-0.00489"
"0.08400","1.72337","-0.00488"
"0.09000","1.72379","-0.00485"
"0.09600","1.72421","-0.00490"
"0.10200","1.72463","-0.00497"
"0.10800","1.72511","-0.00506"
"0.11400","1.72565","-0.00521"
"0.12000","1.72612","-0.00531"
"0.12600","1.72666","-0.00539"
"0.13200","1.72726","-0.00539"
"0.13800","1.72780","-0.00532"
"0.14400","1.72840","-0.00516"
"0.15000","1.72905","-0.00501"
"0.15600","1.72965","-0.00497"
"0.16200","1.73031","-0.00504"
"0.16800","1.73097","-0.00503"
"0.17400","1.73162","-0.00496"
"0.18000","1.73234","-0.00483"
"0.18600","1.73300","-0.00466"
"0.19200","1.73366","-0.00454"
"0.19800","1.73431","-0.00461"
"0.20400","1.73497","-0.00468"
"0.21000","1.73563","-0.00479"
"0.21600","1.73629","-0.00485"
"0.22200","1.73695","-0.00482"
"0.22800","1.73760","-0.00480"
"0.23400","1.73826","-0.00488"
"0.24000","1.73892","-0.00494"
"0.24600","1.73958","-0.00511"
"0.25200","1.74017","-0.00524"
"0.25800","1.74083","-0.00519"
"0.26400","1.74149","-0.00525"
"0.27000","1.74209","-0.00528"
"0.27600","1.74269","-0.00517"
"0.28200","1.74334","-0.00504"
"0.28800","1.74394","-0.00488"
"0.29400","1.74454","-0.00482"
"0.30000","1.74514","-0.00479"
"0.30600","1.74568","-0.00484"
"0.31200","1.74627","-0.00494"
"0.31800","1.74687","-0.00504"
"0.32400","1.74747","-0.00506"
"0.33000","1.74801","-0.00509"
"0.33600","1.74860","-0.00499"
"0.34200","1.74914","-0.00475"
"0.34800","1.74968","-0.00460"
"0.35400","1.75022","-0.00455"
"0.36000","1.75076","-0.00455"
"0.36600","1.75130","-0.00462"
"0.37200","1.75183","-0.00476"
"0.37800","1.75237","-0.00490"
"0.38400","1.75291","-0.00504"
"0.39000","1.75339","-0.00514"
"0.39600","1.75393","-0.00520"
"0.40200","1.75440","-0.00515"
"0.40800","1.75494","-0.00503"
"0.41400","1.75548","-0.00499"
"0.42000","1.75596","-0.00499"
"0.42600","1.75650","-0.00485"
"0.43200","1.75698","-0.00471"
"0.43800","1.75751","-0.00466"
"0.44400","1.75799","-0.00475"
"0.45000","1.75847","-0.00487"
"0.45600","1.75901","-0.00494"
"0.46200","1.75949","-0.00495"
"0.46800","1.75996","-0.00500"
"0.47400","1.76050","-0.00504"
"0.48000","1.76098","-0.00513"
"0.48600","1.76152","-0.00530"
"0.49200","1.76200","-0.00533"
"0.49800","1.76248","-0.00530"
"0.50400","1.76295","-0.00537"
"0.51000","1.76343","-0.00535"
"0.51600","1.76397","-0.00520"
"0.52200","1.76445","-0.00497"
"0.52800","1.76493","-0.00489"
"0.53400","1.76547","-0.00478"
"0.54000","1.76594","-0.00466"
"0.54600","1.76642","-0.00468"
"0.55200","1.76696","-0.00471"
"0.55800","1.76744","-0.00463"
"0.56400","1.76798","-0.00459"
"0.57000","1.76845","-0.00459"
"0.57600","1.76899","-0.00449"
"0.58200","1.76947","-0.00445"
"0.58800","1.77001","-0.00451"
"0.59400","1.77049","-0.00458"
"0.60000","1.77097","-0.00473"
"0.60600","1.77150","-0.00480"
"0.61200","1.77198","-0.00477"
"0.61800","1.77246","-0.00469"
"0.62400","1.77300","-0.00454"
"0.63000","1.77348","-0.00448"
"0.63600","1.77402","-0.00440"
"0.64200","1.77449","-0.00430"
"0.64800","1.77497","-0.00434"
"0.65400","1.77551","-0.00448"
"0.66000","1.77599","-0.00454"
"0.66600","1.77647","-0.00458"
"0.67200","1.77700","-0.00451"
"0.67800","1.77748","-0.00445"
"0.68400","1.77796","-0.00450"
"0.69000","1.77850","-0.00462"
"0.69600","1.77898","-0.00469"
"0.70200","1.77952","-0.00474"
"0.70800","1.77999","-0.00469"
"0.71400","1.78047","-0.00464"
"0.72000","1.78101","-0.00458"
"0.72600","1.78149","-0.00449"
"0.73200","1.78197","-0.00451"
"0.73800","1.78245","-0.00457"
"0.74400","1.78298","-0.00465"
"0.75000","1.78346","-0.00467"
