End date,"1/8/2017"
Specimen label,"11DG_unk1"
Maximum Load,"0.74045",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00059"
"0.00600","0.00000","0.00058"
"0.01200","0.00000","0.00054"
"0.01800","0.00012","0.00044"
"0.02400","0.00018","0.00027"
"0.03000","0.00030","0.00025"
"0.03600","0.00048","0.00025"
"0.04200","0.00066","0.00022"
"0.04800","0.00084","0.00019"
"0.05400","0.00108","0.00020"
"0.06000","0.00132","0.00014"
"0.06600","0.00161","0.00004"
"0.07200","0.00191","0.00000"
"0.07800","0.00227","0.00011"
"0.08400","0.00269","0.00015"
"0.09000","0.00305","0.00013"
"0.09600","0.00347","0.00027"
"0.10200","0.00395","0.00037"
"0.10800","0.00442","0.00042"
"0.11400","0.00490","0.00045"
"0.12000","0.00544","0.00043"
"0.12600","0.00598","0.00035"
"0.13200","0.00658","0.00021"
"0.13800","0.00717","0.00009"
"0.14400","0.00777","0.00020"
"0.15000","0.00843","0.00029"
"0.15600","0.00909","0.00037"
"0.16200","0.00969","0.00049"
"0.16800","0.01034","0.00053"
"0.17400","0.01106","0.00049"
"0.18000","0.01166","0.00051"
"0.18600","0.01238","0.00058"
"0.19200","0.01297","0.00060"
"0.19800","0.01369","0.00062"
"0.20400","0.01435","0.00062"
"0.21000","0.01501","0.00061"
"0.21600","0.01566","0.00063"
"0.22200","0.01638","0.00062"
"0.22800","0.01704","0.00064"
"0.23400","0.01770","0.00068"
"0.24000","0.01830","0.00070"
"0.24600","0.01895","0.00084"
"0.25200","0.01961","0.00101"
"0.25800","0.02021","0.00116"
"0.26400","0.02081","0.00124"
"0.27000","0.02146","0.00124"
"0.27600","0.02206","0.00111"
"0.28200","0.02266","0.00098"
"0.28800","0.02326","0.00087"
"0.29400","0.02386","0.00085"
"0.30000","0.02445","0.00086"
"0.30600","0.02505","0.00084"
"0.31200","0.02559","0.00090"
"0.31800","0.02619","0.00101"
"0.32400","0.02673","0.00110"
"0.33000","0.02732","0.00109"
"0.33600","0.02786","0.00099"
"0.34200","0.02846","0.00086"
"0.34800","0.02900","0.00085"
"0.35400","0.02954","0.00087"
"0.36000","0.03001","0.00095"
"0.36600","0.03055","0.00098"
"0.37200","0.03109","0.00101"
"0.37800","0.03163","0.00111"
"0.38400","0.03211","0.00129"
"0.39000","0.03265","0.00151"
"0.39600","0.03318","0.00163"
"0.40200","0.03366","0.00176"
"0.40800","0.03420","0.00195"
"0.41400","0.03474","0.00198"
"0.42000","0.03522","0.00203"
"0.42600","0.03575","0.00209"
"0.43200","0.03623","0.00206"
"0.43800","0.03677","0.00196"
"0.44400","0.03725","0.00197"
"0.45000","0.03779","0.00202"
"0.45600","0.03827","0.00193"
"0.46200","0.03874","0.00186"
"0.46800","0.03928","0.00179"
"0.47400","0.03976","0.00170"
"0.48000","0.04030","0.00165"
"0.48600","0.04078","0.00167"
"0.49200","0.04131","0.00165"
"0.49800","0.04179","0.00164"
"0.50400","0.04227","0.00171"
"0.51000","0.04281","0.00181"
"0.51600","0.04329","0.00190"
"0.52200","0.04377","0.00191"
"0.52800","0.04424","0.00184"
"0.53400","0.04478","0.00187"
"0.54000","0.04526","0.00197"
"0.54600","0.04574","0.00204"
"0.55200","0.04628","0.00201"
"0.55800","0.04676","0.00187"
"0.56400","0.04729","0.00176"
"0.57000","0.04777","0.00171"
"0.57600","0.04825","0.00171"
"0.58200","0.04879","0.00175"
"0.58800","0.04927","0.00181"
"0.59400","0.04980","0.00180"
"0.60000","0.05028","0.00170"
"0.60600","0.05076","0.00159"
"0.61200","0.05130","0.00164"
"0.61800","0.05178","0.00168"
"0.62400","0.05226","0.00171"
"0.63000","0.05279","0.00177"
"0.63600","0.05327","0.00191"
"0.64200","0.05381","0.00196"
"0.64800","0.05429","0.00196"
"0.65400","0.05477","0.00201"
"0.66000","0.05525","0.00199"
"0.66600","0.05578","0.00201"
"0.67200","0.05626","0.00208"
"0.67800","0.05674","0.00211"
"0.68400","0.05728","0.00211"
"0.69000","0.05776","0.00213"
"0.69600","0.05824","0.00221"
"0.70200","0.05871","0.00223"
"0.70800","0.05925","0.00224"
"0.71400","0.05973","0.00224"
"0.72000","0.06027","0.00230"
"0.72600","0.06075","0.00237"
"0.73200","0.06128","0.00242"
"0.73800","0.06176","0.00234"
"0.74400","0.06224","0.00223"
"0.75000","0.06278","0.00201"
"0.75600","0.06326","0.00178"
"0.76200","0.06374","0.00162"
"0.76800","0.06427","0.00153"
"0.77400","0.06475","0.00149"
"0.78000","0.06529","0.00157"
"0.78600","0.06577","0.00172"
"0.79200","0.06625","0.00186"
"0.79800","0.06678","0.00197"
"0.80400","0.06726","0.00204"
"0.81000","0.06774","0.00214"
"0.81600","0.06828","0.00215"
"0.82200","0.06876","0.00219"
"0.82800","0.06924","0.00227"
"0.83400","0.06977","0.00235"
"0.84000","0.07025","0.00245"
"0.84600","0.07079","0.00249"
"0.85200","0.07127","0.00247"
"0.85800","0.07175","0.00239"
"0.86400","0.07229","0.00233"
"0.87000","0.07276","0.00236"
"0.87600","0.07324","0.00238"
"0.88200","0.07372","0.00234"
"0.88800","0.07420","0.00229"
"0.89400","0.07474","0.00239"
"0.90000","0.07522","0.00255"
"0.90600","0.07569","0.00272"
"0.91200","0.07623","0.00284"
"0.91800","0.07671","0.00291"
"0.92400","0.07725","0.00304"
"0.93000","0.07773","0.00302"
"0.93600","0.07820","0.00297"
"0.94200","0.07868","0.00286"
"0.94800","0.07922","0.00269"
"0.95400","0.07970","0.00261"
"0.96000","0.08018","0.00263"
"0.96600","0.08066","0.00258"
"0.97200","0.08119","0.00250"
"0.97800","0.08167","0.00254"
"0.98400","0.08215","0.00264"
"0.99000","0.08269","0.00274"
"0.99600","0.08317","0.00282"
"1.00200","0.08365","0.00297"
"1.00800","0.08418","0.00311"
"1.01400","0.08466","0.00317"
"1.02000","0.08514","0.00313"
"1.02600","0.08568","0.00309"
"1.03200","0.08616","0.00305"
"1.03800","0.08664","0.00308"
"1.04400","0.08717","0.00306"
"1.05000","0.08771","0.00307"
"1.05600","0.08819","0.00303"
"1.06200","0.08873","0.00294"
"1.06800","0.08921","0.00287"
"1.07400","0.08974","0.00281"
"1.08000","0.09022","0.00279"
"1.08600","0.09076","0.00271"
"1.09200","0.09124","0.00269"
"1.09800","0.09172","0.00270"
"1.10400","0.09220","0.00268"
"1.11000","0.09273","0.00257"
"1.11600","0.09321","0.00236"
"1.12200","0.09369","0.00225"
"1.12800","0.09423","0.00217"
"1.13400","0.09471","0.00214"
"1.14000","0.09524","0.00222"
"1.14600","0.09572","0.00235"
"1.15200","0.09620","0.00243"
"1.15800","0.09674","0.00241"
"1.16400","0.09722","0.00245"
"1.17000","0.09776","0.00257"
"1.17600","0.09823","0.00265"
"1.18200","0.09871","0.00270"
"1.18800","0.09925","0.00279"
"1.19400","0.09973","0.00288"
"1.20000","0.10027","0.00282"
"1.20600","0.10075","0.00266"
"1.21200","0.10128","0.00259"
"1.21800","0.10176","0.00266"
"1.22400","0.10230","0.00274"
"1.23000","0.10278","0.00281"
"1.23600","0.10326","0.00289"
"1.24200","0.10373","0.00294"
"1.24800","0.10421","0.00291"
"1.25400","0.10475","0.00286"
"1.26000","0.10523","0.00295"
"1.26600","0.10571","0.00307"
"1.27200","0.10619","0.00310"
"1.27800","0.10666","0.00316"
"1.28400","0.10720","0.00328"
"1.29000","0.10768","0.00334"
"1.29600","0.10822","0.00339"
"1.30200","0.10870","0.00342"
"1.30800","0.10918","0.00342"
"1.31400","0.10971","0.00334"
"1.32000","0.11019","0.00328"
"1.32600","0.11073","0.00315"
"1.33200","0.11121","0.00300"
"1.33800","0.11169","0.00291"
"1.34400","0.11222","0.00289"
"1.35000","0.11276","0.00284"
"1.35600","0.11324","0.00283"
"1.36200","0.11378","0.00290"
"1.36800","0.11426","0.00307"
"1.37400","0.11480","0.00312"
"1.38000","0.11527","0.00296"
"1.38600","0.11575","0.00287"
"1.39200","0.11623","0.00293"
"1.39800","0.11677","0.00291"
"1.40400","0.11725","0.00285"
"1.41000","0.11773","0.00291"
"1.41600","0.11820","0.00302"
"1.42200","0.11874","0.00303"
"1.42800","0.11922","0.00300"
"1.43400","0.11970","0.00304"
"1.44000","0.12024","0.00310"
"1.44600","0.12072","0.00316"
