End date,"1/8/2017"
Specimen label,"9BT_74_2"
Maximum Load,"0.16759",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","17.88723","0.05831"
"0.00600","17.88723","0.05822"
"0.01200","17.88723","0.05824"
"0.01800","17.88729","0.05830"
"0.02400","17.88741","0.05831"
"0.03000","17.88753","0.05834"
"0.03600","17.88765","0.05835"
"0.04200","17.88783","0.05839"
"0.04800","17.88801","0.05833"
"0.05400","17.88825","0.05823"
"0.06000","17.88849","0.05818"
"0.06600","17.88873","0.05812"
"0.07200","17.88903","0.05819"
"0.07800","17.88933","0.05836"
"0.08400","17.88969","0.05852"
"0.09000","17.89005","0.05872"
"0.09600","17.89040","0.05882"
"0.10200","17.89082","0.05876"
"0.10800","17.89124","0.05871"
"0.11400","17.89172","0.05874"
"0.12000","17.89220","0.05878"
"0.12600","17.89268","0.05897"
"0.13200","17.89321","0.05912"
"0.13800","17.89375","0.05924"
"0.14400","17.89435","0.05940"
"0.15000","17.89495","0.05959"
"0.15600","17.89555","0.05967"
"0.16200","17.89614","0.05969"
"0.16800","17.89680","0.05957"
"0.17400","17.89746","0.05956"
"0.18000","17.89812","0.05957"
"0.18600","17.89877","0.05956"
"0.19200","17.89949","0.05955"
"0.19800","17.90015","0.05962"
"0.20400","17.90081","0.05977"
"0.21000","17.90153","0.05996"
"0.21600","17.90218","0.06016"
"0.22200","17.90290","0.06023"
"0.22800","17.90356","0.06033"
"0.23400","17.90427","0.06049"
"0.24000","17.90493","0.06067"
"0.24600","17.90565","0.06080"
"0.25200","17.90631","0.06085"
"0.25800","17.90697","0.06081"
"0.26400","17.90762","0.06073"
"0.27000","17.90828","0.06072"
"0.27600","17.90894","0.06083"
"0.28200","17.90954","0.06097"
"0.28800","17.91019","0.06114"
"0.29400","17.91079","0.06131"
"0.30000","17.91145","0.06141"
"0.30600","17.91205","0.06149"
"0.31200","17.91265","0.06162"
"0.31800","17.91324","0.06168"
"0.32400","17.91378","0.06172"
"0.33000","17.91438","0.06176"
"0.33600","17.91498","0.06176"
"0.34200","17.91552","0.06173"
"0.34800","17.91611","0.06176"
"0.35400","17.91665","0.06187"
"0.36000","17.91719","0.06192"
"0.36600","17.91773","0.06196"
"0.37200","17.91826","0.06201"
"0.37800","17.91880","0.06212"
"0.38400","17.91934","0.06217"
"0.39000","17.91988","0.06219"
"0.39600","17.92042","0.06233"
"0.40200","17.92090","0.06250"
"0.40800","17.92143","0.06273"
"0.41400","17.92191","0.06286"
"0.42000","17.92245","0.06295"
"0.42600","17.92293","0.06295"
"0.43200","17.92347","0.06303"
"0.43800","17.92395","0.06320"
"0.44400","17.92448","0.06331"
"0.45000","17.92496","0.06329"
"0.45600","17.92550","0.06326"
"0.46200","17.92598","0.06327"
"0.46800","17.92652","0.06331"
"0.47400","17.92699","0.06331"
"0.48000","17.92747","0.06335"
"0.48600","17.92801","0.06341"
"0.49200","17.92849","0.06343"
"0.49800","17.92897","0.06343"
"0.50400","17.92945","0.06344"
"0.51000","17.92999","0.06363"
"0.51600","17.93046","0.06381"
"0.52200","17.93094","0.06401"
"0.52800","17.93148","0.06425"
"0.53400","17.93196","0.06431"
"0.54000","17.93244","0.06423"
"0.54600","17.93291","0.06418"
"0.55200","17.93345","0.06412"
"0.55800","17.93393","0.06415"
"0.56400","17.93441","0.06419"
"0.57000","17.93489","0.06427"
"0.57600","17.93542","0.06432"
"0.58200","17.93590","0.06434"
"0.58800","17.93638","0.06436"
"0.59400","17.93692","0.06436"
"0.60000","17.93740","0.06443"
"0.60600","17.93794","0.06451"
"0.61200","17.93842","0.06451"
"0.61800","17.93889","0.06456"
"0.62400","17.93943","0.06467"
"0.63000","17.93991","0.06486"
"0.63600","17.94039","0.06497"
"0.64200","17.94087","0.06500"
"0.64800","17.94140","0.06499"
"0.65400","17.94188","0.06496"
"0.66000","17.94236","0.06494"
"0.66600","17.94284","0.06502"
"0.67200","17.94338","0.06513"
"0.67800","17.94386","0.06517"
"0.68400","17.94439","0.06523"
"0.69000","17.94487","0.06529"
"0.69600","17.94541","0.06536"
"0.70200","17.94589","0.06553"
"0.70800","17.94637","0.06569"
"0.71400","17.94684","0.06586"
"0.72000","17.94738","0.06603"
"0.72600","17.94786","0.06610"
"0.73200","17.94840","0.06602"
"0.73800","17.94888","0.06590"
"0.74400","17.94942","0.06579"
"0.75000","17.94989","0.06584"
"0.75600","17.95037","0.06609"
"0.76200","17.95091","0.06629"
"0.76800","17.95139","0.06639"
"0.77400","17.95193","0.06642"
"0.78000","17.95240","0.06636"
"0.78600","17.95294","0.06630"
"0.79200","17.95342","0.06627"
"0.79800","17.95390","0.06622"
"0.80400","17.95444","0.06632"
"0.81000","17.95492","0.06642"
"0.81600","17.95545","0.06645"
"0.82200","17.95593","0.06641"
"0.82800","17.95641","0.06648"
"0.83400","17.95695","0.06660"
"0.84000","17.95749","0.06665"
"0.84600","17.95797","0.06664"
"0.85200","17.95844","0.06666"
"0.85800","17.95892","0.06668"
"0.86400","17.95946","0.06666"
"0.87000","17.95994","0.06671"
"0.87600","17.96042","0.06680"
"0.88200","17.96090","0.06687"
"0.88800","17.96143","0.06701"
"0.89400","17.96191","0.06721"
"0.90000","17.96239","0.06735"
"0.90600","17.96293","0.06743"
"0.91200","17.96341","0.06750"
"0.91800","17.96388","0.06757"
"0.92400","17.96442","0.06759"
"0.93000","17.96490","0.06753"
"0.93600","17.96538","0.06750"
"0.94200","17.96592","0.06748"
"0.94800","17.96639","0.06744"
"0.95400","17.96687","0.06747"
"0.96000","17.96741","0.06747"
"0.96600","17.96789","0.06748"
"0.97200","17.96843","0.06752"
"0.97800","17.96891","0.06754"
"0.98400","17.96939","0.06755"
"0.99000","17.96992","0.06759"
"0.99600","17.97040","0.06769"
"1.00200","17.97088","0.06781"
"1.00800","17.97136","0.06791"
"1.01400","17.97190","0.06797"
"1.02000","17.97237","0.06803"
"1.02600","17.97285","0.06813"
"1.03200","17.97333","0.06819"
"1.03800","17.97387","0.06821"
"1.04400","17.97435","0.06829"
"1.05000","17.97482","0.06829"
"1.05600","17.97536","0.06835"
"1.06200","17.97584","0.06838"
"1.06800","17.97632","0.06840"
"1.07400","17.97686","0.06849"
"1.08000","17.97734","0.06847"
"1.08600","17.97782","0.06846"
"1.09200","17.97835","0.06846"
"1.09800","17.97883","0.06854"
"1.10400","17.97931","0.06871"
"1.11000","17.97985","0.06892"
"1.11600","17.98033","0.06912"
"1.12200","17.98086","0.06926"
"1.12800","17.98134","0.06937"
"1.13400","17.98188","0.06944"
"1.14000","17.98236","0.06950"
"1.14600","17.98290","0.06946"
"1.15200","17.98338","0.06942"
"1.15800","17.98385","0.06936"
"1.16400","17.98439","0.06942"
"1.17000","17.98487","0.06950"
"1.17600","17.98535","0.06959"
"1.18200","17.98583","0.06961"
"1.18800","17.98637","0.06962"
"1.19400","17.98684","0.06964"
"1.20000","17.98732","0.06974"
"1.20600","17.98786","0.06978"
"1.21200","17.98834","0.06977"
"1.21800","17.98882","0.06971"
"1.22400","17.98936","0.06962"
"1.23000","17.98983","0.06969"
"1.23600","17.99037","0.06985"
"1.24200","17.99085","0.06991"
"1.24800","17.99139","0.06984"
"1.25400","17.99187","0.06984"
"1.26000","17.99240","0.06983"
"1.26600","17.99288","0.06991"
"1.27200","17.99342","0.06995"
"1.27800","17.99390","0.06992"
"1.28400","17.99438","0.07001"
"1.29000","17.99492","0.07011"
"1.29600","17.99539","0.07021"
"1.30200","17.99587","0.07035"
"1.30800","17.99635","0.07050"
"1.31400","17.99689","0.07063"
"1.32000","17.99737","0.07074"
"1.32600","17.99785","0.07080"
"1.33200","17.99838","0.07079"
"1.33800","17.99886","0.07072"
"1.34400","17.99940","0.07069"
"1.35000","17.99988","0.07073"
"1.35600","18.00036","0.07074"
"1.36200","18.00089","0.07073"
"1.36800","18.00137","0.07073"
"1.37400","18.00191","0.07079"
"1.38000","18.00239","0.07091"
"1.38600","18.00293","0.07106"
"1.39200","18.00341","0.07113"
"1.39800","18.00394","0.07108"
"1.40400","18.00442","0.07107"
"1.41000","18.00496","0.07111"
"1.41600","18.00544","0.07110"
"1.42200","18.00598","0.07110"
"1.42800","18.00645","0.07114"
"1.43400","18.00693","0.07120"
"1.44000","18.00741","0.07123"
"1.44600","18.00795","0.07120"
"1.45200","18.00843","0.07118"
"1.45800","18.00891","0.07118"
"1.46400","18.00938","0.07127"
"1.47000","18.00992","0.07146"
"1.47600","18.01040","0.07163"
"1.48200","18.01088","0.07169"
"1.48800","18.01142","0.07171"
"1.49400","18.01190","0.07174"
"1.50000","18.01237","0.07175"
"1.50600","18.01291","0.07176"
"1.51200","18.01339","0.07175"
"1.51800","18.01387","0.07165"
"1.52400","18.01441","0.07158"
"1.53000","18.01488","0.07159"
"1.53600","18.01542","0.07171"
"1.54200","18.01590","0.07178"
"1.54800","18.01638","0.07185"
"1.55400","18.01692","0.07202"
"1.56000","18.01740","0.07210"
"1.56600","18.01788","0.07211"
"1.57200","18.01835","0.07207"
"1.57800","18.01889","0.07208"
"1.58400","18.01937","0.07211"
"1.59000","18.01985","0.07203"
"1.59600","18.02033","0.07207"
"1.60200","18.02086","0.07221"
"1.60800","18.02134","0.07236"
"1.61400","18.02182","0.07245"
"1.62000","18.02230","0.07247"
"1.62600","18.02284","0.07253"
"1.63200","18.02332","0.07251"
"1.63800","18.02379","0.07244"
"1.64400","18.02427","0.07236"
"1.65000","18.02481","0.07232"
"1.65600","18.02529","0.07237"
"1.66200","18.02577","0.07248"
"1.66800","18.02631","0.07258"
"1.67400","18.02678","0.07262"
"1.68000","18.02732","0.07264"
"1.68600","18.02780","0.07263"
"1.69200","18.02834","0.07259"
"1.69800","18.02888","0.07255"
"1.70400","18.02935","0.07267"
"1.71000","18.02983","0.07283"
"1.71600","18.03037","0.07292"
"1.72200","18.03085","0.07298"
"1.72800","18.03139","0.07299"
"1.73400","18.03187","0.07299"
"1.74000","18.03240","0.07296"
"1.74600","18.03288","0.07289"
"1.75200","18.03336","0.07290"
"1.75800","18.03384","0.07290"
"1.76400","18.03438","0.07293"
"1.77000","18.03485","0.07299"
"1.77600","18.03533","0.07294"
"1.78200","18.03587","0.07286"
"1.78800","18.03635","0.07280"
"1.79400","18.03689","0.07275"
"1.80000","18.03736","0.07274"
"1.80600","18.03790","0.07283"
"1.81200","18.03838","0.07303"
"1.81800","18.03892","0.07321"
"1.82400","18.03940","0.07335"
"1.83000","18.03994","0.07337"
"1.83600","18.04041","0.07339"
"1.84200","18.04095","0.07355"
"1.84800","18.04143","0.07394"
"1.85400","18.04191","0.07439"
"1.86000","18.04245","0.07471"
"1.86600","18.04292","0.07488"
"1.87200","18.04340","0.07498"
"1.87800","18.04394","0.07501"
"1.88400","18.04442","0.07487"
"1.89000","18.04490","0.07446"
"1.89600","18.04538","0.07389"
"1.90200","18.04592","0.07343"
"1.90800","18.04639","0.07327"
"1.91400","18.04687","0.07331"
"1.92000","18.04741","0.07344"
"1.92600","18.04789","0.07356"
"1.93200","18.04837","0.07371"
"1.93800","18.04885","0.07393"
"1.94400","18.04938","0.07413"
"1.95000","18.04986","0.07421"
"1.95600","18.05034","0.07409"
"1.96200","18.05088","0.07393"
"1.96800","18.05136","0.07383"
"1.97400","18.05190","0.07382"
"1.98000","18.05243","0.07389"
"1.98600","18.05291","0.07399"
"1.99200","18.05345","0.07405"
"1.99800","18.05393","0.07418"
"2.00400","18.05447","0.07442"
"2.01000","18.05494","0.07463"
"2.01600","18.05542","0.07472"
"2.02200","18.05590","0.07469"
"2.02800","18.05644","0.07464"
"2.03400","18.05692","0.07462"
"2.04000","18.05739","0.07456"
"2.04600","18.05793","0.07442"
