End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00688"
"0.00600","0.00000","-0.00702"
"0.01200","0.00000","-0.00721"
"0.01800","0.00012","-0.00726"
"0.02400","0.00018","-0.00736"
"0.03000","0.00024","-0.00744"
"0.03600","0.00036","-0.00747"
"0.04200","0.00054","-0.00748"
"0.04800","0.00066","-0.00738"
"0.05400","0.00090","-0.00718"
"0.06000","0.00108","-0.00700"
"0.06600","0.00132","-0.00686"
"0.07200","0.00161","-0.00693"
"0.07800","0.00191","-0.00712"
"0.08400","0.00227","-0.00721"
"0.09000","0.00263","-0.00727"
"0.09600","0.00299","-0.00729"
"0.10200","0.00341","-0.00725"
"0.10800","0.00383","-0.00721"
"0.11400","0.00430","-0.00709"
"0.12000","0.00478","-0.00701"
"0.12600","0.00532","-0.00687"
"0.13200","0.00586","-0.00673"
"0.13800","0.00640","-0.00682"
"0.14400","0.00700","-0.00699"
"0.15000","0.00759","-0.00706"
"0.15600","0.00825","-0.00704"
"0.16200","0.00891","-0.00691"
"0.16800","0.00957","-0.00679"
"0.17400","0.01022","-0.00673"
"0.18000","0.01094","-0.00661"
"0.18600","0.01160","-0.00661"
"0.19200","0.01232","-0.00662"
"0.19800","0.01297","-0.00659"
"0.20400","0.01369","-0.00657"
"0.21000","0.01435","-0.00667"
"0.21600","0.01507","-0.00664"
"0.22200","0.01572","-0.00666"
"0.22800","0.01638","-0.00660"
"0.23400","0.01710","-0.00646"
"0.24000","0.01776","-0.00639"
"0.24600","0.01842","-0.00633"
"0.25200","0.01907","-0.00634"
"0.25800","0.01973","-0.00641"
"0.26400","0.02033","-0.00647"
"0.27000","0.02099","-0.00645"
"0.27600","0.02164","-0.00638"
"0.28200","0.02230","-0.00635"
"0.28800","0.02290","-0.00646"
"0.29400","0.02356","-0.00656"
"0.30000","0.02415","-0.00652"
"0.30600","0.02475","-0.00643"
"0.31200","0.02541","-0.00634"
"0.31800","0.02595","-0.00640"
"0.32400","0.02655","-0.00661"
"0.33000","0.02714","-0.00663"
"0.33600","0.02768","-0.00656"
"0.34200","0.02828","-0.00650"
"0.34800","0.02882","-0.00646"
"0.35400","0.02942","-0.00648"
"0.36000","0.02995","-0.00659"
