End date,"1/21/2017"
Specimen label,"14DT_NoLabel"
Maximum Load,"0.00887",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00004"
"0.00600","0.00000","0.00006"
"0.01200","0.00006","0.00007"
"0.01800","0.00012","0.00001"
"0.02400","0.00018","-0.00003"
"0.03000","0.00030","-0.00003"
"0.03600","0.00048","-0.00006"
"0.04200","0.00060","-0.00012"
"0.04800","0.00084","-0.00008"
"0.05400","0.00108","0.00000"
"0.06000","0.00132","0.00011"
"0.06600","0.00167","0.00015"
"0.07200","0.00197","0.00013"
"0.07800","0.00239","0.00005"
"0.08400","0.00275","-0.00001"
"0.09000","0.00317","-0.00006"
"0.09600","0.00365","-0.00016"
"0.10200","0.00407","-0.00015"
"0.10800","0.00460","0.00001"
"0.11400","0.00508","0.00018"
"0.12000","0.00562","0.00033"
"0.12600","0.00616","0.00034"
"0.13200","0.00676","0.00024"
"0.13800","0.00735","0.00022"
"0.14400","0.00795","0.00023"
"0.15000","0.00855","0.00023"
"0.15600","0.00921","0.00020"
"0.16200","0.00987","0.00020"
"0.16800","0.01052","0.00021"
"0.17400","0.01112","0.00014"
"0.18000","0.01178","0.00017"
"0.18600","0.01244","0.00016"
"0.19200","0.01309","0.00021"
"0.19800","0.01375","0.00024"
"0.20400","0.01441","0.00025"
"0.21000","0.01513","0.00027"
"0.21600","0.01578","0.00025"
"0.22200","0.01644","0.00019"
"0.22800","0.01710","0.00017"
"0.23400","0.01776","0.00017"
"0.24000","0.01836","0.00011"
"0.24600","0.01901","0.00004"
"0.25200","0.01967","0.00001"
"0.25800","0.02027","0.00010"
"0.26400","0.02093","0.00018"
"0.27000","0.02158","0.00032"
"0.27600","0.02218","0.00038"
"0.28200","0.02278","0.00040"
"0.28800","0.02338","0.00052"
"0.29400","0.02398","0.00053"
"0.30000","0.02451","0.00052"
"0.30600","0.02511","0.00048"
"0.31200","0.02571","0.00038"
"0.31800","0.02625","0.00021"
"0.32400","0.02679","0.00005"
"0.33000","0.02738","-0.00006"
"0.33600","0.02792","-0.00018"
"0.34200","0.02846","-0.00025"
"0.34800","0.02900","-0.00029"
"0.35400","0.02954","-0.00022"
"0.36000","0.03007","-0.00011"
"0.36600","0.03061","-0.00006"
"0.37200","0.03115","-0.00009"
"0.37800","0.03163","-0.00011"
"0.38400","0.03217","-0.00017"
"0.39000","0.03270","-0.00020"
"0.39600","0.03324","-0.00014"
"0.40200","0.03372","-0.00011"
"0.40800","0.03426","-0.00010"
"0.41400","0.03474","-0.00014"
"0.42000","0.03528","-0.00016"
"0.42600","0.03575","-0.00017"
"0.43200","0.03629","-0.00013"
"0.43800","0.03677","0.00008"
"0.44400","0.03731","0.00026"
"0.45000","0.03779","0.00037"
"0.45600","0.03833","0.00043"
"0.46200","0.03880","0.00034"
"0.46800","0.03934","0.00026"
"0.47400","0.03982","0.00021"
"0.48000","0.04036","0.00019"
"0.48600","0.04084","0.00015"
"0.49200","0.04131","0.00005"
"0.49800","0.04179","-0.00003"
"0.50400","0.04233","-0.00009"
"0.51000","0.04281","-0.00007"
"0.51600","0.04329","-0.00002"
"0.52200","0.04377","-0.00006"
"0.52800","0.04430","-0.00009"
"0.53400","0.04478","-0.00004"
"0.54000","0.04526","0.00001"
"0.54600","0.04580","0.00004"
"0.55200","0.04628","0.00007"
"0.55800","0.04676","0.00017"
"0.56400","0.04729","0.00028"
"0.57000","0.04777","0.00039"
"0.57600","0.04825","0.00039"
"0.58200","0.04873","0.00032"
"0.58800","0.04921","0.00029"
"0.59400","0.04974","0.00032"
"0.60000","0.05022","0.00034"
"0.60600","0.05070","0.00035"
"0.61200","0.05118","0.00034"
"0.61800","0.05172","0.00036"
"0.62400","0.05220","0.00041"
"0.63000","0.05267","0.00039"
"0.63600","0.05321","0.00035"
"0.64200","0.05369","0.00025"
"0.64800","0.05417","0.00023"
"0.65400","0.05471","0.00028"
"0.66000","0.05519","0.00035"
"0.66600","0.05566","0.00036"
"0.67200","0.05614","0.00043"
"0.67800","0.05668","0.00050"
"0.68400","0.05716","0.00058"
"0.69000","0.05770","0.00054"
"0.69600","0.05818","0.00050"
"0.70200","0.05871","0.00045"
"0.70800","0.05919","0.00040"
"0.71400","0.05967","0.00039"
"0.72000","0.06021","0.00027"
"0.72600","0.06069","0.00013"
"0.73200","0.06122","0.00006"
"0.73800","0.06170","0.00001"
"0.74400","0.06218","-0.00008"
"0.75000","0.06272","-0.00011"
"0.75600","0.06320","-0.00016"
"0.76200","0.06374","-0.00016"
"0.76800","0.06421","-0.00011"
"0.77400","0.06475","-0.00009"
"0.78000","0.06523","-0.00006"
"0.78600","0.06571","-0.00003"
"0.79200","0.06625","-0.00004"
"0.79800","0.06673","-0.00004"
"0.80400","0.06726","-0.00013"
"0.81000","0.06774","-0.00017"
"0.81600","0.06828","-0.00011"
"0.82200","0.06876","-0.00002"
"0.82800","0.06930","0.00007"
"0.83400","0.06977","0.00017"
"0.84000","0.07031","0.00027"
"0.84600","0.07079","0.00033"
"0.85200","0.07127","0.00025"
"0.85800","0.07181","0.00021"
"0.86400","0.07229","0.00020"
"0.87000","0.07276","0.00022"
"0.87600","0.07324","0.00021"
"0.88200","0.07378","0.00015"
"0.88800","0.07426","0.00014"
"0.89400","0.07474","0.00014"
"0.90000","0.07522","0.00009"
"0.90600","0.07575","0.00007"
"0.91200","0.07623","0.00013"
"0.91800","0.07671","0.00016"
"0.92400","0.07725","0.00022"
"0.93000","0.07773","0.00039"
"0.93600","0.07820","0.00043"
"0.94200","0.07874","0.00038"
"0.94800","0.07922","0.00038"
"0.95400","0.07976","0.00037"
"0.96000","0.08024","0.00031"
"0.96600","0.08072","0.00027"
"0.97200","0.08125","0.00026"
"0.97800","0.08173","0.00024"
"0.98400","0.08227","0.00025"
"0.99000","0.08275","0.00020"
"0.99600","0.08323","0.00013"
"1.00200","0.08377","0.00011"
"1.00800","0.08424","0.00019"
"1.01400","0.08472","0.00031"
"1.02000","0.08526","0.00044"
"1.02600","0.08574","0.00048"
"1.03200","0.08622","0.00040"
"1.03800","0.08669","0.00024"
"1.04400","0.08723","0.00013"
"1.05000","0.08771","0.00004"
"1.05600","0.08819","0.00004"
"1.06200","0.08873","0.00002"
"1.06800","0.08921","0.00010"
"1.07400","0.08968","0.00018"
"1.08000","0.09022","0.00019"
"1.08600","0.09070","0.00025"
"1.09200","0.09118","0.00032"
"1.09800","0.09172","0.00029"
"1.10400","0.09220","0.00022"
"1.11000","0.09273","0.00026"
"1.11600","0.09321","0.00026"
"1.12200","0.09375","0.00021"
"1.12800","0.09423","0.00031"
"1.13400","0.09477","0.00035"
"1.14000","0.09524","0.00032"
"1.14600","0.09572","0.00029"
"1.15200","0.09626","0.00028"
"1.15800","0.09674","0.00025"
"1.16400","0.09722","0.00029"
"1.17000","0.09776","0.00031"
"1.17600","0.09823","0.00027"
"1.18200","0.09871","0.00021"
"1.18800","0.09925","0.00013"
"1.19400","0.09973","0.00008"
"1.20000","0.10021","0.00013"
"1.20600","0.10069","0.00023"
"1.21200","0.10122","0.00024"
"1.21800","0.10170","0.00023"
"1.22400","0.10218","0.00025"
"1.23000","0.10266","0.00028"
"1.23600","0.10320","0.00027"
"1.24200","0.10368","0.00026"
"1.24800","0.10415","0.00019"
"1.25400","0.10469","0.00011"
"1.26000","0.10517","0.00004"
"1.26600","0.10571","0.00000"
"1.27200","0.10625","-0.00005"
"1.27800","0.10672","-0.00012"
"1.28400","0.10726","-0.00009"
"1.29000","0.10774","-0.00004"
"1.29600","0.10822","-0.00006"
"1.30200","0.10876","-0.00003"
"1.30800","0.10924","0.00008"
"1.31400","0.10977","0.00020"
"1.32000","0.11025","0.00032"
"1.32600","0.11073","0.00044"
"1.33200","0.11127","0.00045"
"1.33800","0.11175","0.00043"
"1.34400","0.11228","0.00038"
"1.35000","0.11276","0.00034"
"1.35600","0.11324","0.00032"
"1.36200","0.11378","0.00026"
"1.36800","0.11426","0.00012"
"1.37400","0.11474","0.00000"
"1.38000","0.11527","-0.00008"
"1.38600","0.11575","-0.00011"
"1.39200","0.11623","-0.00010"
"1.39800","0.11677","-0.00010"
"1.40400","0.11725","-0.00011"
"1.41000","0.11779","-0.00011"
"1.41600","0.11826","-0.00008"
"1.42200","0.11880","-0.00002"
"1.42800","0.11928","0.00007"
"1.43400","0.11976","0.00010"
"1.44000","0.12030","0.00011"
"1.44600","0.12077","0.00016"
"1.45200","0.12125","0.00016"
"1.45800","0.12173","0.00008"
"1.46400","0.12227","0.00010"
"1.47000","0.12275","0.00018"
"1.47600","0.12323","0.00018"
"1.48200","0.12376","0.00015"
"1.48800","0.12424","0.00014"
"1.49400","0.12478","0.00009"
"1.50000","0.12526","0.00006"
"1.50600","0.12580","0.00008"
"1.51200","0.12628","0.00014"
"1.51800","0.12675","0.00017"
"1.52400","0.12723","0.00007"
"1.53000","0.12777","-0.00006"
"1.53600","0.12825","-0.00020"
"1.54200","0.12873","-0.00028"
"1.54800","0.12921","-0.00027"
"1.55400","0.12974","-0.00022"
"1.56000","0.13022","-0.00015"
"1.56600","0.13070","-0.00010"
"1.57200","0.13124","0.00000"
"1.57800","0.13172","0.00011"
"1.58400","0.13225","0.00012"
"1.59000","0.13273","0.00008"
"1.59600","0.13321","0.00004"
"1.60200","0.13369","0.00010"
"1.60800","0.13423","0.00014"
"1.61400","0.13471","0.00017"
"1.62000","0.13518","0.00011"
"1.62600","0.13572","0.00005"
"1.63200","0.13620","0.00000"
"1.63800","0.13674","0.00008"
"1.64400","0.13722","0.00026"
"1.65000","0.13770","0.00034"
"1.65600","0.13823","0.00035"
"1.66200","0.13871","0.00041"
"1.66800","0.13919","0.00037"
"1.67400","0.13973","0.00030"
"1.68000","0.14021","0.00022"
