End date,"1/21/2017"
Specimen label,"19CG_NoLabel1"
Maximum Load,"0.03045",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00038"
"0.00600","0.00000","-0.00035"
"0.01200","0.00000","-0.00034"
"0.01800","0.00012","-0.00033"
"0.02400","0.00024","-0.00037"
"0.03000","0.00030","-0.00042"
"0.03600","0.00048","-0.00037"
"0.04200","0.00060","-0.00027"
"0.04800","0.00084","-0.00026"
"0.05400","0.00102","-0.00036"
"0.06000","0.00132","-0.00048"
"0.06600","0.00161","-0.00053"
"0.07200","0.00191","-0.00067"
"0.07800","0.00227","-0.00081"
"0.08400","0.00263","-0.00084"
"0.09000","0.00305","-0.00074"
"0.09600","0.00353","-0.00060"
"0.10200","0.00395","-0.00046"
"0.10800","0.00448","-0.00033"
"0.11400","0.00496","-0.00020"
"0.12000","0.00556","-0.00004"
"0.12600","0.00610","0.00010"
"0.13200","0.00670","0.00021"
"0.13800","0.00729","0.00032"
"0.14400","0.00789","0.00038"
"0.15000","0.00855","0.00037"
"0.15600","0.00921","0.00042"
"0.16200","0.00987","0.00043"
"0.16800","0.01052","0.00050"
"0.17400","0.01118","0.00061"
"0.18000","0.01184","0.00066"
"0.18600","0.01250","0.00074"
"0.19200","0.01315","0.00084"
"0.19800","0.01381","0.00098"
"0.20400","0.01447","0.00102"
"0.21000","0.01513","0.00106"
"0.21600","0.01584","0.00110"
"0.22200","0.01650","0.00114"
"0.22800","0.01716","0.00110"
"0.23400","0.01782","0.00115"
"0.24000","0.01842","0.00118"
"0.24600","0.01907","0.00114"
"0.25200","0.01967","0.00103"
"0.25800","0.02033","0.00095"
"0.26400","0.02093","0.00093"
"0.27000","0.02152","0.00097"
"0.27600","0.02218","0.00112"
"0.28200","0.02278","0.00124"
"0.28800","0.02332","0.00132"
"0.29400","0.02392","0.00143"
"0.30000","0.02451","0.00152"
"0.30600","0.02505","0.00155"
"0.31200","0.02565","0.00154"
"0.31800","0.02619","0.00158"
"0.32400","0.02679","0.00157"
"0.33000","0.02732","0.00155"
"0.33600","0.02786","0.00160"
"0.34200","0.02840","0.00168"
"0.34800","0.02894","0.00173"
"0.35400","0.02948","0.00181"
"0.36000","0.03001","0.00194"
"0.36600","0.03049","0.00195"
"0.37200","0.03103","0.00196"
"0.37800","0.03157","0.00198"
"0.38400","0.03211","0.00199"
"0.39000","0.03265","0.00206"
"0.39600","0.03312","0.00216"
"0.40200","0.03366","0.00224"
"0.40800","0.03420","0.00233"
"0.41400","0.03468","0.00240"
"0.42000","0.03522","0.00236"
"0.42600","0.03575","0.00232"
"0.43200","0.03623","0.00236"
"0.43800","0.03677","0.00248"
"0.44400","0.03725","0.00252"
"0.45000","0.03779","0.00253"
"0.45600","0.03827","0.00259"
"0.46200","0.03880","0.00261"
"0.46800","0.03928","0.00257"
"0.47400","0.03976","0.00256"
"0.48000","0.04030","0.00256"
"0.48600","0.04078","0.00260"
"0.49200","0.04131","0.00266"
"0.49800","0.04179","0.00275"
"0.50400","0.04227","0.00277"
"0.51000","0.04281","0.00275"
"0.51600","0.04329","0.00267"
"0.52200","0.04377","0.00267"
"0.52800","0.04430","0.00271"
"0.53400","0.04478","0.00275"
"0.54000","0.04526","0.00291"
"0.54600","0.04580","0.00310"
"0.55200","0.04628","0.00328"
"0.55800","0.04676","0.00345"
"0.56400","0.04729","0.00353"
"0.57000","0.04777","0.00362"
"0.57600","0.04825","0.00367"
"0.58200","0.04873","0.00358"
"0.58800","0.04927","0.00339"
"0.59400","0.04974","0.00328"
"0.60000","0.05028","0.00322"
"0.60600","0.05076","0.00315"
"0.61200","0.05124","0.00306"
"0.61800","0.05172","0.00300"
"0.62400","0.05226","0.00291"
"0.63000","0.05273","0.00282"
"0.63600","0.05321","0.00285"
"0.64200","0.05369","0.00277"
"0.64800","0.05423","0.00276"
"0.65400","0.05471","0.00297"
"0.66000","0.05519","0.00313"
"0.66600","0.05566","0.00325"
"0.67200","0.05620","0.00342"
"0.67800","0.05668","0.00348"
"0.68400","0.05716","0.00360"
"0.69000","0.05770","0.00371"
"0.69600","0.05818","0.00377"
"0.70200","0.05865","0.00390"
"0.70800","0.05919","0.00394"
"0.71400","0.05967","0.00399"
"0.72000","0.06021","0.00409"
"0.72600","0.06069","0.00409"
"0.73200","0.06122","0.00410"
"0.73800","0.06170","0.00408"
"0.74400","0.06218","0.00413"
"0.75000","0.06272","0.00420"
"0.75600","0.06320","0.00417"
"0.76200","0.06374","0.00416"
"0.76800","0.06421","0.00413"
"0.77400","0.06475","0.00409"
"0.78000","0.06523","0.00398"
"0.78600","0.06571","0.00389"
"0.79200","0.06625","0.00391"
"0.79800","0.06673","0.00398"
"0.80400","0.06720","0.00406"
"0.81000","0.06774","0.00418"
"0.81600","0.06822","0.00440"
"0.82200","0.06870","0.00467"
"0.82800","0.06918","0.00489"
"0.83400","0.06971","0.00494"
"0.84000","0.07019","0.00497"
"0.84600","0.07073","0.00492"
"0.85200","0.07121","0.00490"
"0.85800","0.07169","0.00486"
"0.86400","0.07223","0.00470"
"0.87000","0.07270","0.00477"
"0.87600","0.07318","0.00490"
"0.88200","0.07372","0.00506"
"0.88800","0.07420","0.00516"
"0.89400","0.07468","0.00521"
"0.90000","0.07522","0.00521"
"0.90600","0.07569","0.00521"
"0.91200","0.07623","0.00515"
"0.91800","0.07671","0.00515"
"0.92400","0.07719","0.00514"
"0.93000","0.07773","0.00508"
"0.93600","0.07820","0.00506"
"0.94200","0.07868","0.00512"
"0.94800","0.07922","0.00517"
"0.95400","0.07970","0.00516"
"0.96000","0.08018","0.00518"
"0.96600","0.08066","0.00520"
"0.97200","0.08119","0.00524"
"0.97800","0.08167","0.00523"
"0.98400","0.08215","0.00521"
"0.99000","0.08263","0.00517"
"0.99600","0.08317","0.00507"
"1.00200","0.08365","0.00497"
"1.00800","0.08418","0.00494"
"1.01400","0.08466","0.00492"
"1.02000","0.08520","0.00497"
"1.02600","0.08568","0.00505"
"1.03200","0.08622","0.00509"
"1.03800","0.08669","0.00503"
"1.04400","0.08723","0.00505"
"1.05000","0.08771","0.00516"
"1.05600","0.08825","0.00527"
"1.06200","0.08873","0.00533"
"1.06800","0.08927","0.00540"
"1.07400","0.08974","0.00553"
"1.08000","0.09028","0.00560"
"1.08600","0.09076","0.00572"
"1.09200","0.09124","0.00575"
"1.09800","0.09178","0.00569"
"1.10400","0.09226","0.00576"
"1.11000","0.09279","0.00599"
"1.11600","0.09327","0.00616"
"1.12200","0.09375","0.00633"
"1.12800","0.09429","0.00652"
"1.13400","0.09477","0.00664"
"1.14000","0.09524","0.00675"
"1.14600","0.09578","0.00671"
"1.15200","0.09626","0.00681"
"1.15800","0.09680","0.00700"
"1.16400","0.09728","0.00710"
"1.17000","0.09776","0.00711"
"1.17600","0.09823","0.00711"
"1.18200","0.09877","0.00706"
"1.18800","0.09925","0.00698"
"1.19400","0.09973","0.00691"
"1.20000","0.10021","0.00679"
"1.20600","0.10075","0.00661"
"1.21200","0.10122","0.00638"
"1.21800","0.10170","0.00627"
"1.22400","0.10224","0.00623"
"1.23000","0.10272","0.00617"
"1.23600","0.10320","0.00612"
"1.24200","0.10373","0.00604"
"1.24800","0.10421","0.00606"
"1.25400","0.10469","0.00617"
"1.26000","0.10523","0.00633"
"1.26600","0.10571","0.00646"
"1.27200","0.10625","0.00657"
"1.27800","0.10672","0.00660"
"1.28400","0.10726","0.00660"
"1.29000","0.10774","0.00658"
"1.29600","0.10822","0.00655"
"1.30200","0.10876","0.00655"
"1.30800","0.10924","0.00656"
"1.31400","0.10971","0.00649"
"1.32000","0.11025","0.00652"
"1.32600","0.11073","0.00665"
"1.33200","0.11121","0.00679"
"1.33800","0.11169","0.00691"
"1.34400","0.11222","0.00690"
"1.35000","0.11270","0.00687"
"1.35600","0.11318","0.00684"
"1.36200","0.11372","0.00678"
"1.36800","0.11420","0.00689"
"1.37400","0.11468","0.00702"
"1.38000","0.11515","0.00705"
"1.38600","0.11569","0.00708"
"1.39200","0.11617","0.00720"
"1.39800","0.11665","0.00729"
"1.40400","0.11719","0.00731"
"1.41000","0.11767","0.00735"
"1.41600","0.11820","0.00735"
"1.42200","0.11868","0.00731"
"1.42800","0.11916","0.00717"
"1.43400","0.11970","0.00713"
"1.44000","0.12018","0.00721"
"1.44600","0.12066","0.00725"
"1.45200","0.12113","0.00717"
"1.45800","0.12167","0.00713"
"1.46400","0.12215","0.00720"
"1.47000","0.12263","0.00722"
"1.47600","0.12317","0.00743"
"1.48200","0.12364","0.00773"
"1.48800","0.12412","0.00792"
"1.49400","0.12466","0.00795"
"1.50000","0.12514","0.00795"
"1.50600","0.12562","0.00792"
"1.51200","0.12616","0.00795"
"1.51800","0.12663","0.00803"
"1.52400","0.12711","0.00821"
"1.53000","0.12765","0.00827"
"1.53600","0.12813","0.00821"
"1.54200","0.12867","0.00806"
"1.54800","0.12915","0.00807"
"1.55400","0.12968","0.00811"
"1.56000","0.13016","0.00822"
"1.56600","0.13070","0.00831"
"1.57200","0.13124","0.00842"
"1.57800","0.13172","0.00839"
"1.58400","0.13219","0.00823"
