End date,"1/22/2017"
Specimen label,"18BG_46 run 2"
Maximum Load,"0.06005",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","29.39702","0.04281"
"0.00600","29.39702","0.04282"
"0.01200","29.39702","0.04283"
"0.01800","29.39708","0.04275"
"0.02400","29.39720","0.04267"
"0.03000","29.39732","0.04270"
"0.03600","29.39744","0.04264"
"0.04200","29.39762","0.04245"
"0.04800","29.39779","0.04233"
"0.05400","29.39798","0.04228"
"0.06000","29.39821","0.04223"
"0.06600","29.39845","0.04217"
"0.07200","29.39875","0.04207"
"0.07800","29.39905","0.04213"
"0.08400","29.39941","0.04227"
"0.09000","29.39971","0.04243"
"0.09600","29.40013","0.04263"
"0.10200","29.40049","0.04280"
"0.10800","29.40091","0.04296"
"0.11400","29.40138","0.04317"
"0.12000","29.40180","0.04342"
"0.12600","29.40234","0.04356"
"0.13200","29.40282","0.04354"
"0.13800","29.40336","0.04346"
"0.14400","29.40396","0.04350"
"0.15000","29.40455","0.04349"
"0.15600","29.40515","0.04348"
"0.16200","29.40575","0.04331"
"0.16800","29.40641","0.04304"
"0.17400","29.40706","0.04283"
"0.18000","29.40772","0.04273"
"0.18600","29.40844","0.04275"
"0.19200","29.40910","0.04288"
"0.19800","29.40981","0.04308"
"0.20400","29.41047","0.04318"
"0.21000","29.41119","0.04312"
"0.21600","29.41191","0.04302"
"0.22200","29.41256","0.04299"
"0.22800","29.41322","0.04309"
"0.23400","29.41394","0.04327"
"0.24000","29.41460","0.04347"
"0.24600","29.41525","0.04351"
"0.25200","29.41591","0.04350"
"0.25800","29.41657","0.04348"
"0.26400","29.41723","0.04344"
"0.27000","29.41789","0.04328"
"0.27600","29.41854","0.04327"
"0.28200","29.41920","0.04333"
"0.28800","29.41980","0.04343"
"0.29400","29.42046","0.04353"
"0.30000","29.42105","0.04364"
"0.30600","29.42171","0.04374"
"0.31200","29.42231","0.04375"
"0.31800","29.42291","0.04376"
"0.32400","29.42351","0.04385"
"0.33000","29.42410","0.04395"
"0.33600","29.42470","0.04396"
"0.34200","29.42524","0.04391"
"0.34800","29.42584","0.04377"
"0.35400","29.42638","0.04364"
"0.36000","29.42692","0.04360"
"0.36600","29.42745","0.04358"
"0.37200","29.42799","0.04366"
"0.37800","29.42853","0.04381"
"0.38400","29.42907","0.04385"
"0.39000","29.42961","0.04393"
"0.39600","29.43014","0.04400"
"0.40200","29.43062","0.04399"
"0.40800","29.43116","0.04402"
"0.41400","29.43170","0.04414"
"0.42000","29.43218","0.04424"
