End date,"1/22/2017"
Specimen label,"14BT_14"
Maximum Load,"0.55606",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00004"
"0.00600","0.00000","0.00006"
"0.01200","0.00000","0.00009"
"0.01800","0.00000","0.00006"
"0.02400","0.00018","-0.00001"
"0.03000","0.00024","-0.00008"
"0.03600","0.00036","-0.00014"
"0.04200","0.00048","-0.00003"
"0.04800","0.00060","0.00008"
"0.05400","0.00084","0.00006"
"0.06000","0.00102","-0.00007"
"0.06600","0.00126","-0.00014"
"0.07200","0.00149","-0.00022"
"0.07800","0.00173","-0.00037"
"0.08400","0.00209","-0.00040"
"0.09000","0.00239","-0.00033"
"0.09600","0.00281","-0.00025"
"0.10200","0.00317","-0.00014"
"0.10800","0.00359","-0.00001"
"0.11400","0.00407","0.00003"
"0.12000","0.00454","0.00008"
"0.12600","0.00508","0.00018"
"0.13200","0.00562","0.00026"
"0.13800","0.00616","0.00036"
"0.14400","0.00676","0.00038"
"0.15000","0.00735","0.00034"
"0.15600","0.00801","0.00033"
"0.16200","0.00867","0.00031"
"0.16800","0.00933","0.00024"
"0.17400","0.00998","0.00016"
"0.18000","0.01064","0.00012"
"0.18600","0.01136","0.00004"
"0.19200","0.01202","0.00001"
"0.19800","0.01274","0.00008"
"0.20400","0.01345","0.00022"
"0.21000","0.01417","0.00031"
"0.21600","0.01489","0.00034"
"0.22200","0.01555","0.00044"
"0.22800","0.01626","0.00066"
"0.23400","0.01698","0.00092"
"0.24000","0.01764","0.00114"
"0.24600","0.01830","0.00118"
"0.25200","0.01901","0.00113"
"0.25800","0.01967","0.00107"
"0.26400","0.02033","0.00090"
"0.27000","0.02099","0.00074"
"0.27600","0.02164","0.00059"
"0.28200","0.02224","0.00049"
"0.28800","0.02290","0.00036"
"0.29400","0.02350","0.00029"
"0.30000","0.02415","0.00037"
"0.30600","0.02475","0.00047"
"0.31200","0.02535","0.00063"
"0.31800","0.02595","0.00073"
"0.32400","0.02655","0.00071"
"0.33000","0.02714","0.00066"
"0.33600","0.02774","0.00066"
"0.34200","0.02828","0.00071"
"0.34800","0.02882","0.00076"
"0.35400","0.02942","0.00088"
"0.36000","0.02995","0.00091"
"0.36600","0.03049","0.00092"
"0.37200","0.03103","0.00092"
"0.37800","0.03157","0.00089"
"0.38400","0.03211","0.00097"
"0.39000","0.03265","0.00103"
"0.39600","0.03318","0.00092"
"0.40200","0.03372","0.00081"
"0.40800","0.03426","0.00077"
"0.41400","0.03474","0.00080"
"0.42000","0.03528","0.00089"
"0.42600","0.03575","0.00096"
"0.43200","0.03629","0.00108"
"0.43800","0.03683","0.00128"
"0.44400","0.03731","0.00143"
"0.45000","0.03785","0.00150"
"0.45600","0.03833","0.00146"
"0.46200","0.03886","0.00128"
"0.46800","0.03934","0.00122"
"0.47400","0.03988","0.00131"
"0.48000","0.04036","0.00142"
"0.48600","0.04090","0.00143"
"0.49200","0.04137","0.00136"
"0.49800","0.04185","0.00122"
"0.50400","0.04233","0.00114"
"0.51000","0.04287","0.00117"
"0.51600","0.04335","0.00122"
"0.52200","0.04383","0.00129"
"0.52800","0.04430","0.00131"
"0.53400","0.04484","0.00133"
"0.54000","0.04532","0.00134"
"0.54600","0.04580","0.00125"
"0.55200","0.04628","0.00132"
"0.55800","0.04682","0.00137"
"0.56400","0.04729","0.00142"
"0.57000","0.04777","0.00150"
"0.57600","0.04825","0.00142"
"0.58200","0.04873","0.00133"
"0.58800","0.04927","0.00120"
"0.59400","0.04974","0.00100"
"0.60000","0.05022","0.00088"
"0.60600","0.05076","0.00083"
"0.61200","0.05124","0.00075"
"0.61800","0.05172","0.00081"
"0.62400","0.05226","0.00096"
"0.63000","0.05273","0.00108"
"0.63600","0.05321","0.00121"
"0.64200","0.05369","0.00129"
"0.64800","0.05417","0.00124"
"0.65400","0.05471","0.00118"
"0.66000","0.05519","0.00108"
"0.66600","0.05566","0.00116"
"0.67200","0.05614","0.00131"
"0.67800","0.05668","0.00151"
"0.68400","0.05716","0.00167"
"0.69000","0.05770","0.00177"
"0.69600","0.05818","0.00183"
"0.70200","0.05865","0.00194"
"0.70800","0.05919","0.00206"
"0.71400","0.05967","0.00213"
"0.72000","0.06015","0.00218"
"0.72600","0.06063","0.00209"
"0.73200","0.06116","0.00203"
"0.73800","0.06164","0.00216"
"0.74400","0.06212","0.00228"
"0.75000","0.06266","0.00236"
"0.75600","0.06314","0.00242"
"0.76200","0.06368","0.00229"
"0.76800","0.06415","0.00217"
"0.77400","0.06463","0.00208"
"0.78000","0.06517","0.00189"
