End date,"1/22/2017"
Specimen label,"3CT_17_run2"
Maximum Load,"0.29793",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","10.69796","0.03585"
"0.00600","10.69796","0.03596"
"0.01200","10.69796","0.03595"
"0.01800","10.69802","0.03599"
"0.02400","10.69814","0.03605"
"0.03000","10.69826","0.03615"
"0.03600","10.69838","0.03618"
"0.04200","10.69856","0.03625"
"0.04800","10.69874","0.03641"
"0.05400","10.69898","0.03649"
"0.06000","10.69922","0.03653"
"0.06600","10.69940","0.03656"
"0.07200","10.69964","0.03663"
"0.07800","10.69999","0.03669"
"0.08400","10.70041","0.03672"
"0.09000","10.70083","0.03672"
"0.09600","10.70125","0.03665"
"0.10200","10.70173","0.03655"
"0.10800","10.70215","0.03653"
"0.11400","10.70269","0.03657"
"0.12000","10.70322","0.03665"
"0.12600","10.70376","0.03678"
"0.13200","10.70430","0.03693"
"0.13800","10.70484","0.03708"
"0.14400","10.70549","0.03722"
"0.15000","10.70609","0.03729"
"0.15600","10.70669","0.03733"
"0.16200","10.70735","0.03737"
"0.16800","10.70801","0.03735"
"0.17400","10.70866","0.03738"
"0.18000","10.70932","0.03738"
"0.18600","10.70998","0.03732"
"0.19200","10.71064","0.03726"
"0.19800","10.71136","0.03727"
"0.20400","10.71201","0.03732"
"0.21000","10.71267","0.03735"
"0.21600","10.71333","0.03734"
"0.22200","10.71405","0.03727"
"0.22800","10.71470","0.03719"
"0.23400","10.71536","0.03713"
"0.24000","10.71602","0.03712"
"0.24600","10.71667","0.03719"
"0.25200","10.71733","0.03720"
"0.25800","10.71793","0.03721"
"0.26400","10.71859","0.03726"
"0.27000","10.71919","0.03727"
"0.27600","10.71984","0.03730"
"0.28200","10.72044","0.03731"
"0.28800","10.72104","0.03734"
"0.29400","10.72164","0.03745"
"0.30000","10.72224","0.03754"
"0.30600","10.72283","0.03749"
"0.31200","10.72337","0.03745"
"0.31800","10.72397","0.03739"
"0.32400","10.72457","0.03738"
"0.33000","10.72511","0.03744"
"0.33600","10.72570","0.03747"
"0.34200","10.72630","0.03746"
"0.34800","10.72684","0.03740"
"0.35400","10.72738","0.03723"
"0.36000","10.72792","0.03705"
"0.36600","10.72846","0.03694"
"0.37200","10.72899","0.03685"
"0.37800","10.72953","0.03678"
"0.38400","10.73007","0.03673"
"0.39000","10.73061","0.03665"
"0.39600","10.73108","0.03661"
"0.40200","10.73162","0.03666"
"0.40800","10.73216","0.03676"
"0.41400","10.73270","0.03682"
"0.42000","10.73318","0.03685"
"0.42600","10.73372","0.03694"
"0.43200","10.73419","0.03693"
"0.43800","10.73473","0.03694"
"0.44400","10.73521","0.03703"
"0.45000","10.73575","0.03711"
"0.45600","10.73623","0.03712"
"0.46200","10.73676","0.03706"
"0.46800","10.73724","0.03701"
