End date,"2/12/2017"
Specimen label,"10BG_Unk2"
Maximum Load,"0.64592",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00043"
"0.00600","0.00000","-0.00042"
"0.01200","0.00000","-0.00040"
"0.01800","0.00012","-0.00036"
"0.02400","0.00018","-0.00038"
"0.03000","0.00030","-0.00029"
"0.03600","0.00042","-0.00026"
"0.04200","0.00060","-0.00021"
"0.04800","0.00078","-0.00028"
"0.05400","0.00102","-0.00031"
"0.06000","0.00126","-0.00041"
"0.06600","0.00155","-0.00045"
"0.07200","0.00191","-0.00060"
"0.07800","0.00221","-0.00078"
"0.08400","0.00263","-0.00077"
"0.09000","0.00305","-0.00055"
"0.09600","0.00347","-0.00028"
"0.10200","0.00395","0.00002"
"0.10800","0.00442","0.00032"
"0.11400","0.00490","0.00047"
"0.12000","0.00544","0.00049"
"0.12600","0.00604","0.00043"
"0.13200","0.00658","0.00021"
"0.13800","0.00717","0.00018"
"0.14400","0.00777","0.00020"
"0.15000","0.00837","0.00026"
"0.15600","0.00903","0.00035"
"0.16200","0.00969","0.00043"
"0.16800","0.01040","0.00054"
"0.17400","0.01106","0.00051"
"0.18000","0.01172","0.00048"
"0.18600","0.01244","0.00063"
"0.19200","0.01309","0.00072"
"0.19800","0.01375","0.00073"
"0.20400","0.01441","0.00072"
"0.21000","0.01507","0.00077"
"0.21600","0.01572","0.00078"
"0.22200","0.01638","0.00076"
"0.22800","0.01704","0.00067"
"0.23400","0.01770","0.00059"
"0.24000","0.01836","0.00061"
"0.24600","0.01901","0.00072"
"0.25200","0.01961","0.00095"
"0.25800","0.02027","0.00110"
"0.26400","0.02087","0.00114"
"0.27000","0.02152","0.00125"
"0.27600","0.02212","0.00138"
"0.28200","0.02272","0.00146"
"0.28800","0.02332","0.00154"
"0.29400","0.02392","0.00158"
"0.30000","0.02451","0.00151"
"0.30600","0.02511","0.00136"
"0.31200","0.02565","0.00127"
"0.31800","0.02625","0.00125"
"0.32400","0.02679","0.00125"
"0.33000","0.02738","0.00126"
"0.33600","0.02792","0.00127"
"0.34200","0.02846","0.00119"
"0.34800","0.02900","0.00110"
"0.35400","0.02954","0.00102"
"0.36000","0.03007","0.00102"
"0.36600","0.03061","0.00111"
"0.37200","0.03115","0.00121"
"0.37800","0.03169","0.00131"
"0.38400","0.03217","0.00154"
"0.39000","0.03270","0.00190"
"0.39600","0.03324","0.00214"
"0.40200","0.03378","0.00214"
"0.40800","0.03426","0.00208"
"0.41400","0.03480","0.00199"
"0.42000","0.03528","0.00197"
"0.42600","0.03581","0.00194"
"0.43200","0.03629","0.00184"
"0.43800","0.03683","0.00190"
"0.44400","0.03731","0.00181"
