End date,"2/12/2017"
Specimen label,"9CG_76"
Maximum Load,"0.71948",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","14.42925","0.01766"
"0.00600","14.42925","0.01758"
"0.01200","14.42925","0.01757"
"0.01800","14.42943","0.01764"
"0.02400","14.42949","0.01769"
"0.03000","14.42955","0.01779"
"0.03600","14.42967","0.01802"
"0.04200","14.42985","0.01815"
"0.04800","14.43003","0.01813"
"0.05400","14.43026","0.01804"
"0.06000","14.43050","0.01792"
"0.06600","14.43080","0.01787"
"0.07200","14.43116","0.01791"
"0.07800","14.43146","0.01814"
"0.08400","14.43188","0.01836"
"0.09000","14.43230","0.01850"
"0.09600","14.43278","0.01853"
"0.10200","14.43319","0.01869"
"0.10800","14.43373","0.01885"
"0.11400","14.43427","0.01912"
"0.12000","14.43481","0.01925"
"0.12600","14.43535","0.01923"
"0.13200","14.43594","0.01919"
"0.13800","14.43654","0.01904"
"0.14400","14.43720","0.01891"
"0.15000","14.43780","0.01881"
"0.15600","14.43846","0.01878"
"0.16200","14.43911","0.01884"
"0.16800","14.43977","0.01895"
"0.17400","14.44043","0.01891"
"0.18000","14.44109","0.01881"
"0.18600","14.44174","0.01861"
"0.19200","14.44240","0.01842"
"0.19800","14.44306","0.01830"
"0.20400","14.44378","0.01830"
"0.21000","14.44443","0.01848"
"0.21600","14.44509","0.01858"
"0.22200","14.44575","0.01855"
"0.22800","14.44641","0.01860"
"0.23400","14.44707","0.01873"
"0.24000","14.44766","0.01879"
"0.24600","14.44832","0.01880"
"0.25200","14.44892","0.01879"
"0.25800","14.44952","0.01864"
"0.26400","14.45017","0.01840"
"0.27000","14.45077","0.01833"
"0.27600","14.45137","0.01840"
"0.28200","14.45197","0.01841"
"0.28800","14.45257","0.01847"
"0.29400","14.45316","0.01858"
"0.30000","14.45376","0.01869"
"0.30600","14.45436","0.01852"
"0.31200","14.45490","0.01839"
"0.31800","14.45550","0.01832"
"0.32400","14.45603","0.01825"
"0.33000","14.45663","0.01828"
"0.33600","14.45717","0.01853"
"0.34200","14.45771","0.01872"
"0.34800","14.45824","0.01870"
"0.35400","14.45872","0.01851"
"0.36000","14.45926","0.01841"
"0.36600","14.45980","0.01855"
"0.37200","14.46034","0.01859"
"0.37800","14.46082","0.01875"
"0.38400","14.46135","0.01900"
"0.39000","14.46189","0.01913"
"0.39600","14.46243","0.01913"
"0.40200","14.46291","0.01904"
