End date,"2/12/2017"
Specimen label,"14AG_Unk"
Maximum Load,"0.65532",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00054"
"0.00600","0.00000","-0.00055"
"0.01200","0.00006","-0.00047"
"0.01800","0.00012","-0.00025"
"0.02400","0.00018","-0.00022"
"0.03000","0.00030","-0.00021"
"0.03600","0.00042","-0.00006"
"0.04200","0.00060","0.00011"
"0.04800","0.00084","0.00029"
"0.05400","0.00108","0.00042"
"0.06000","0.00132","0.00051"
"0.06600","0.00161","0.00055"
"0.07200","0.00197","0.00050"
"0.07800","0.00233","0.00049"
"0.08400","0.00269","0.00047"
"0.09000","0.00317","0.00043"
"0.09600","0.00359","0.00043"
"0.10200","0.00407","0.00045"
"0.10800","0.00454","0.00046"
"0.11400","0.00508","0.00038"
"0.12000","0.00562","0.00033"
"0.12600","0.00622","0.00038"
"0.13200","0.00682","0.00030"
"0.13800","0.00741","0.00024"
"0.14400","0.00801","0.00015"
"0.15000","0.00867","-0.00001"
"0.15600","0.00927","-0.00007"
"0.16200","0.00998","-0.00003"
"0.16800","0.01064","0.00008"
"0.17400","0.01130","0.00016"
"0.18000","0.01196","0.00018"
"0.18600","0.01262","0.00032"
"0.19200","0.01327","0.00047"
"0.19800","0.01393","0.00056"
"0.20400","0.01459","0.00066"
"0.21000","0.01525","0.00077"
"0.21600","0.01590","0.00078"
"0.22200","0.01656","0.00081"
"0.22800","0.01716","0.00088"
"0.23400","0.01782","0.00089"
"0.24000","0.01847","0.00090"
"0.24600","0.01907","0.00089"
"0.25200","0.01973","0.00084"
"0.25800","0.02033","0.00084"
"0.26400","0.02093","0.00075"
"0.27000","0.02152","0.00066"
"0.27600","0.02212","0.00063"
"0.28200","0.02272","0.00050"
"0.28800","0.02332","0.00036"
"0.29400","0.02392","0.00037"
"0.30000","0.02445","0.00053"
"0.30600","0.02505","0.00062"
"0.31200","0.02565","0.00075"
"0.31800","0.02619","0.00091"
"0.32400","0.02673","0.00086"
"0.33000","0.02726","0.00090"
"0.33600","0.02786","0.00090"
"0.34200","0.02840","0.00084"
"0.34800","0.02894","0.00083"
"0.35400","0.02942","0.00088"
"0.36000","0.03001","0.00091"
"0.36600","0.03055","0.00090"
"0.37200","0.03109","0.00088"
"0.37800","0.03163","0.00100"
"0.38400","0.03217","0.00105"
"0.39000","0.03265","0.00102"
"0.39600","0.03318","0.00092"
"0.40200","0.03372","0.00089"
"0.40800","0.03420","0.00092"
"0.41400","0.03474","0.00092"
"0.42000","0.03528","0.00089"
"0.42600","0.03575","0.00093"
"0.43200","0.03629","0.00087"
"0.43800","0.03677","0.00092"
"0.44400","0.03731","0.00095"
"0.45000","0.03779","0.00094"
"0.45600","0.03833","0.00087"
"0.46200","0.03880","0.00079"
"0.46800","0.03934","0.00072"
"0.47400","0.03982","0.00063"
"0.48000","0.04030","0.00064"
"0.48600","0.04084","0.00083"
"0.49200","0.04131","0.00095"
"0.49800","0.04179","0.00103"
"0.50400","0.04233","0.00116"
"0.51000","0.04281","0.00125"
"0.51600","0.04329","0.00129"
"0.52200","0.04383","0.00122"
"0.52800","0.04430","0.00118"
"0.53400","0.04478","0.00117"
"0.54000","0.04526","0.00113"
"0.54600","0.04574","0.00101"
"0.55200","0.04622","0.00085"
"0.55800","0.04670","0.00078"
"0.56400","0.04717","0.00078"
"0.57000","0.04771","0.00088"
"0.57600","0.04819","0.00096"
"0.58200","0.04867","0.00088"
"0.58800","0.04921","0.00081"
"0.59400","0.04969","0.00084"
"0.60000","0.05022","0.00091"
"0.60600","0.05070","0.00094"
"0.61200","0.05118","0.00096"
"0.61800","0.05172","0.00092"
"0.62400","0.05220","0.00090"
"0.63000","0.05273","0.00079"
"0.63600","0.05321","0.00079"
"0.64200","0.05375","0.00096"
"0.64800","0.05423","0.00113"
"0.65400","0.05477","0.00122"
"0.66000","0.05525","0.00129"
"0.66600","0.05572","0.00131"
"0.67200","0.05620","0.00124"
"0.67800","0.05674","0.00119"
"0.68400","0.05722","0.00129"
"0.69000","0.05776","0.00140"
"0.69600","0.05824","0.00150"
"0.70200","0.05871","0.00148"
"0.70800","0.05919","0.00131"
"0.71400","0.05973","0.00106"
"0.72000","0.06021","0.00087"
"0.72600","0.06069","0.00079"
"0.73200","0.06122","0.00084"
"0.73800","0.06170","0.00086"
"0.74400","0.06218","0.00096"
"0.75000","0.06272","0.00104"
"0.75600","0.06320","0.00103"
"0.76200","0.06368","0.00111"
"0.76800","0.06421","0.00137"
"0.77400","0.06469","0.00153"
"0.78000","0.06517","0.00148"
"0.78600","0.06571","0.00136"
"0.79200","0.06619","0.00118"
"0.79800","0.06673","0.00108"
"0.80400","0.06720","0.00103"
"0.81000","0.06768","0.00103"
"0.81600","0.06822","0.00110"
"0.82200","0.06870","0.00119"
"0.82800","0.06918","0.00122"
"0.83400","0.06965","0.00121"
"0.84000","0.07019","0.00104"
"0.84600","0.07067","0.00085"
"0.85200","0.07115","0.00081"
"0.85800","0.07169","0.00090"
"0.86400","0.07217","0.00103"
"0.87000","0.07264","0.00111"
"0.87600","0.07318","0.00109"
"0.88200","0.07366","0.00104"
"0.88800","0.07414","0.00099"
"0.89400","0.07468","0.00097"
"0.90000","0.07516","0.00099"
"0.90600","0.07563","0.00104"
"0.91200","0.07617","0.00123"
"0.91800","0.07665","0.00151"
"0.92400","0.07719","0.00171"
"0.93000","0.07767","0.00176"
"0.93600","0.07820","0.00170"
"0.94200","0.07868","0.00153"
"0.94800","0.07922","0.00144"
"0.95400","0.07970","0.00151"
"0.96000","0.08024","0.00149"
"0.96600","0.08072","0.00141"
"0.97200","0.08119","0.00133"
"0.97800","0.08173","0.00131"
"0.98400","0.08221","0.00126"
"0.99000","0.08269","0.00122"
"0.99600","0.08323","0.00121"
"1.00200","0.08371","0.00121"
"1.00800","0.08424","0.00124"
"1.01400","0.08472","0.00131"
"1.02000","0.08520","0.00133"
"1.02600","0.08574","0.00138"
"1.03200","0.08622","0.00149"
"1.03800","0.08669","0.00156"
"1.04400","0.08723","0.00154"
"1.05000","0.08771","0.00152"
"1.05600","0.08825","0.00149"
"1.06200","0.08873","0.00151"
"1.06800","0.08921","0.00149"
"1.07400","0.08974","0.00148"
"1.08000","0.09022","0.00153"
"1.08600","0.09070","0.00166"
"1.09200","0.09124","0.00179"
"1.09800","0.09172","0.00189"
"1.10400","0.09226","0.00191"
"1.11000","0.09273","0.00185"
"1.11600","0.09321","0.00186"
"1.12200","0.09375","0.00180"
"1.12800","0.09423","0.00173"
"1.13400","0.09471","0.00169"
"1.14000","0.09518","0.00163"
"1.14600","0.09572","0.00148"
"1.15200","0.09620","0.00144"
"1.15800","0.09668","0.00150"
"1.16400","0.09722","0.00151"
"1.17000","0.09770","0.00156"
"1.17600","0.09817","0.00155"
"1.18200","0.09871","0.00145"
"1.18800","0.09919","0.00142"
"1.19400","0.09967","0.00142"
"1.20000","0.10021","0.00147"
"1.20600","0.10069","0.00152"
"1.21200","0.10116","0.00151"
"1.21800","0.10170","0.00149"
"1.22400","0.10218","0.00148"
"1.23000","0.10272","0.00152"
"1.23600","0.10320","0.00153"
"1.24200","0.10373","0.00154"
"1.24800","0.10421","0.00144"
"1.25400","0.10475","0.00133"
"1.26000","0.10523","0.00130"
"1.26600","0.10571","0.00139"
"1.27200","0.10625","0.00141"
"1.27800","0.10672","0.00146"
"1.28400","0.10720","0.00152"
"1.29000","0.10768","0.00148"
"1.29600","0.10822","0.00143"
"1.30200","0.10870","0.00150"
"1.30800","0.10918","0.00162"
"1.31400","0.10971","0.00170"
"1.32000","0.11019","0.00172"
"1.32600","0.11067","0.00167"
"1.33200","0.11115","0.00165"
"1.33800","0.11169","0.00157"
"1.34400","0.11217","0.00158"
"1.35000","0.11270","0.00167"
"1.35600","0.11318","0.00171"
"1.36200","0.11372","0.00169"
"1.36800","0.11420","0.00169"
"1.37400","0.11474","0.00168"
"1.38000","0.11521","0.00160"
"1.38600","0.11569","0.00159"
"1.39200","0.11623","0.00153"
"1.39800","0.11671","0.00137"
"1.40400","0.11719","0.00131"
"1.41000","0.11773","0.00138"
"1.41600","0.11820","0.00155"
"1.42200","0.11868","0.00182"
"1.42800","0.11922","0.00211"
"1.43400","0.11970","0.00222"
"1.44000","0.12018","0.00222"
"1.44600","0.12066","0.00211"
"1.45200","0.12119","0.00204"
"1.45800","0.12167","0.00200"
"1.46400","0.12215","0.00189"
"1.47000","0.12269","0.00176"
"1.47600","0.12317","0.00170"
"1.48200","0.12364","0.00171"
"1.48800","0.12418","0.00176"
"1.49400","0.12466","0.00176"
"1.50000","0.12520","0.00181"
"1.50600","0.12568","0.00175"
"1.51200","0.12622","0.00167"
"1.51800","0.12669","0.00162"
"1.52400","0.12723","0.00164"
"1.53000","0.12771","0.00161"
"1.53600","0.12825","0.00153"
"1.54200","0.12873","0.00154"
"1.54800","0.12921","0.00163"
"1.55400","0.12974","0.00165"
"1.56000","0.13022","0.00157"
"1.56600","0.13070","0.00148"
"1.57200","0.13124","0.00140"
"1.57800","0.13172","0.00134"
"1.58400","0.13219","0.00126"
"1.59000","0.13273","0.00133"
"1.59600","0.13321","0.00155"
"1.60200","0.13369","0.00174"
"1.60800","0.13423","0.00191"
"1.61400","0.13471","0.00207"
"1.62000","0.13518","0.00205"
"1.62600","0.13572","0.00203"
"1.63200","0.13620","0.00213"
"1.63800","0.13668","0.00226"
"1.64400","0.13722","0.00232"
"1.65000","0.13770","0.00229"
"1.65600","0.13823","0.00220"
"1.66200","0.13871","0.00203"
"1.66800","0.13925","0.00187"
"1.67400","0.13973","0.00168"
"1.68000","0.14027","0.00153"
"1.68600","0.14074","0.00150"
"1.69200","0.14122","0.00164"
"1.69800","0.14176","0.00172"
"1.70400","0.14224","0.00181"
"1.71000","0.14272","0.00197"
"1.71600","0.14320","0.00220"
"1.72200","0.14373","0.00230"
"1.72800","0.14421","0.00235"
"1.73400","0.14469","0.00241"
"1.74000","0.14517","0.00254"
"1.74600","0.14565","0.00261"
"1.75200","0.14619","0.00252"
"1.75800","0.14666","0.00241"
"1.76400","0.14714","0.00214"
"1.77000","0.14768","0.00194"
"1.77600","0.14816","0.00181"
"1.78200","0.14864","0.00179"
"1.78800","0.14917","0.00190"
"1.79400","0.14965","0.00204"
"1.80000","0.15019","0.00218"
"1.80600","0.15067","0.00231"
"1.81200","0.15121","0.00225"
"1.81800","0.15169","0.00226"
"1.82400","0.15222","0.00224"
"1.83000","0.15270","0.00213"
"1.83600","0.15318","0.00199"
"1.84200","0.15366","0.00196"
"1.84800","0.15420","0.00206"
"1.85400","0.15468","0.00207"
"1.86000","0.15515","0.00213"
"1.86600","0.15563","0.00237"
"1.87200","0.15611","0.00245"
"1.87800","0.15665","0.00244"
"1.88400","0.15713","0.00246"
"1.89000","0.15766","0.00244"
"1.89600","0.15814","0.00241"
"1.90200","0.15862","0.00241"
"1.90800","0.15916","0.00248"
"1.91400","0.15964","0.00237"
"1.92000","0.16012","0.00224"
"1.92600","0.16065","0.00221"
"1.93200","0.16113","0.00231"
"1.93800","0.16161","0.00242"
"1.94400","0.16215","0.00247"
"1.95000","0.16263","0.00255"
"1.95600","0.16317","0.00262"
"1.96200","0.16364","0.00267"
"1.96800","0.16418","0.00271"
"1.97400","0.16466","0.00271"
"1.98000","0.16514","0.00264"
"1.98600","0.16562","0.00259"
"1.99200","0.16616","0.00255"
"1.99800","0.16663","0.00255"
"2.00400","0.16711","0.00251"
"2.01000","0.16765","0.00238"
"2.01600","0.16813","0.00228"
"2.02200","0.16861","0.00223"
"2.02800","0.16914","0.00219"
"2.03400","0.16962","0.00228"
"2.04000","0.17016","0.00235"
"2.04600","0.17064","0.00239"
"2.05200","0.17118","0.00241"
"2.05800","0.17166","0.00238"
"2.06400","0.17213","0.00238"
"2.07000","0.17267","0.00241"
"2.07600","0.17315","0.00244"
"2.08200","0.17369","0.00240"
"2.08800","0.17417","0.00242"
"2.09400","0.17465","0.00242"
"2.10000","0.17518","0.00241"
"2.10600","0.17572","0.00243"
"2.11200","0.17620","0.00245"
"2.11800","0.17674","0.00247"
"2.12400","0.17722","0.00242"
"2.13000","0.17775","0.00244"
"2.13600","0.17823","0.00238"
"2.14200","0.17871","0.00241"
"2.14800","0.17919","0.00239"
"2.15400","0.17967","0.00226"
"2.16000","0.18021","0.00210"
"2.16600","0.18068","0.00198"
"2.17200","0.18116","0.00185"
"2.17800","0.18164","0.00182"
"2.18400","0.18218","0.00185"
"2.19000","0.18266","0.00193"
"2.19600","0.18314","0.00200"
"2.20200","0.18367","0.00207"
"2.20800","0.18415","0.00217"
"2.21400","0.18469","0.00231"
"2.22000","0.18517","0.00251"
"2.22600","0.18565","0.00261"
"2.23200","0.18618","0.00267"
"2.23800","0.18666","0.00276"
"2.24400","0.18714","0.00287"
"2.25000","0.18768","0.00300"
"2.25600","0.18822","0.00307"
"2.26200","0.18870","0.00309"
"2.26800","0.18917","0.00301"
"2.27400","0.18971","0.00281"
"2.28000","0.19019","0.00264"
"2.28600","0.19067","0.00242"
"2.29200","0.19115","0.00238"
"2.29800","0.19163","0.00247"
"2.30400","0.19216","0.00252"
"2.31000","0.19264","0.00267"
"2.31600","0.19312","0.00294"
"2.32200","0.19366","0.00305"
"2.32800","0.19414","0.00309"
"2.33400","0.19461","0.00302"
"2.34000","0.19515","0.00289"
"2.34600","0.19563","0.00271"
"2.35200","0.19617","0.00267"
"2.35800","0.19665","0.00279"
"2.36400","0.19713","0.00286"
"2.37000","0.19766","0.00281"
"2.37600","0.19814","0.00270"
"2.38200","0.19862","0.00261"
"2.38800","0.19916","0.00256"
"2.39400","0.19964","0.00260"
"2.40000","0.20018","0.00278"
"2.40600","0.20065","0.00283"
"2.41200","0.20119","0.00285"
"2.41800","0.20167","0.00277"
"2.42400","0.20215","0.00259"
"2.43000","0.20263","0.00241"
"2.43600","0.20316","0.00222"
"2.44200","0.20364","0.00207"
"2.44800","0.20412","0.00207"
"2.45400","0.20460","0.00215"
"2.46000","0.20514","0.00231"
"2.46600","0.20562","0.00266"
"2.47200","0.20609","0.00283"
"2.47800","0.20663","0.00294"
"2.48400","0.20711","0.00293"
"2.49000","0.20765","0.00281"
"2.49600","0.20813","0.00263"
"2.50200","0.20861","0.00258"
"2.50800","0.20914","0.00266"
"2.51400","0.20962","0.00273"
"2.52000","0.21016","0.00276"
"2.52600","0.21064","0.00280"
"2.53200","0.21118","0.00289"
"2.53800","0.21171","0.00290"
"2.54400","0.21219","0.00294"
"2.55000","0.21273","0.00304"
"2.55600","0.21321","0.00309"
"2.56200","0.21375","0.00303"
"2.56800","0.21423","0.00291"
"2.57400","0.21470","0.00287"
"2.58000","0.21518","0.00293"
"2.58600","0.21572","0.00294"
"2.59200","0.21620","0.00301"
"2.59800","0.21668","0.00304"
"2.60400","0.21722","0.00305"
"2.61000","0.21769","0.00295"
"2.61600","0.21817","0.00282"
"2.62200","0.21871","0.00267"
"2.62800","0.21919","0.00247"
"2.63400","0.21967","0.00237"
"2.64000","0.22020","0.00242"
"2.64600","0.22068","0.00252"
"2.65200","0.22122","0.00260"
"2.65800","0.22170","0.00266"
"2.66400","0.22224","0.00268"
"2.67000","0.22272","0.00268"
"2.67600","0.22319","0.00267"
"2.68200","0.22373","0.00268"
"2.68800","0.22421","0.00263"
"2.69400","0.22475","0.00267"
"2.70000","0.22523","0.00268"
"2.70600","0.22571","0.00277"
"2.71200","0.22624","0.00284"
"2.71800","0.22672","0.00288"
"2.72400","0.22720","0.00288"
"2.73000","0.22768","0.00284"
"2.73600","0.22816","0.00296"
"2.74200","0.22864","0.00307"
"2.74800","0.22917","0.00329"
"2.75400","0.22965","0.00335"
"2.76000","0.23019","0.00334"
"2.76600","0.23067","0.00322"
"2.77200","0.23115","0.00321"
"2.77800","0.23168","0.00322"
"2.78400","0.23216","0.00316"
"2.79000","0.23270","0.00317"
"2.79600","0.23318","0.00322"
"2.80200","0.23372","0.00323"
"2.80800","0.23420","0.00327"
"2.81400","0.23473","0.00324"
"2.82000","0.23521","0.00321"
"2.82600","0.23569","0.00310"
"2.83200","0.23623","0.00300"
"2.83800","0.23671","0.00295"
"2.84400","0.23719","0.00300"
"2.85000","0.23772","0.00307"
"2.85600","0.23820","0.00309"
"2.86200","0.23868","0.00301"
"2.86800","0.23922","0.00285"
"2.87400","0.23970","0.00272"
"2.88000","0.24017","0.00266"
"2.88600","0.24065","0.00264"
"2.89200","0.24119","0.00266"
"2.89800","0.24167","0.00268"
"2.90400","0.24215","0.00281"
"2.91000","0.24263","0.00286"
"2.91600","0.24310","0.00294"
"2.92200","0.24364","0.00298"
"2.92800","0.24412","0.00303"
"2.93400","0.24466","0.00302"
"2.94000","0.24514","0.00294"
"2.94600","0.24562","0.00297"
"2.95200","0.24615","0.00290"
"2.95800","0.24663","0.00293"
"2.96400","0.24717","0.00306"
"2.97000","0.24765","0.00318"
"2.97600","0.24819","0.00322"
"2.98200","0.24866","0.00320"
"2.98800","0.24920","0.00315"
"2.99400","0.24968","0.00315"
"3.00000","0.25016","0.00317"
"3.00600","0.25070","0.00310"
"3.01200","0.25118","0.00298"
"3.01800","0.25165","0.00288"
"3.02400","0.25213","0.00291"
"3.03000","0.25267","0.00296"
"3.03600","0.25315","0.00302"
"3.04200","0.25363","0.00307"
"3.04800","0.25417","0.00331"
"3.05400","0.25464","0.00350"
"3.06000","0.25512","0.00356"
"3.06600","0.25560","0.00351"
"3.07200","0.25614","0.00347"
"3.07800","0.25662","0.00338"
"3.08400","0.25715","0.00336"
"3.09000","0.25763","0.00335"
"3.09600","0.25817","0.00329"
"3.10200","0.25865","0.00334"
"3.10800","0.25913","0.00341"
"3.11400","0.25967","0.00338"
"3.12000","0.26014","0.00335"
"3.12600","0.26068","0.00333"
"3.13200","0.26116","0.00341"
"3.13800","0.26164","0.00356"
"3.14400","0.26218","0.00361"
"3.15000","0.26266","0.00351"
"3.15600","0.26319","0.00344"
"3.16200","0.26367","0.00341"
"3.16800","0.26421","0.00334"
"3.17400","0.26469","0.00337"
"3.18000","0.26523","0.00334"
"3.18600","0.26570","0.00317"
"3.19200","0.26618","0.00301"
"3.19800","0.26672","0.00304"
"3.20400","0.26720","0.00308"
"3.21000","0.26768","0.00312"
"3.21600","0.26822","0.00311"
"3.22200","0.26869","0.00306"
"3.22800","0.26917","0.00303"
"3.23400","0.26965","0.00291"
"3.24000","0.27019","0.00285"
"3.24600","0.27067","0.00291"
"3.25200","0.27121","0.00297"
"3.25800","0.27168","0.00305"
"3.26400","0.27216","0.00319"
"3.27000","0.27270","0.00321"
"3.27600","0.27318","0.00319"
"3.28200","0.27366","0.00312"
"3.28800","0.27419","0.00305"
"3.29400","0.27467","0.00305"
"3.30000","0.27521","0.00309"
"3.30600","0.27569","0.00312"
"3.31200","0.27617","0.00311"
"3.31800","0.27671","0.00309"
"3.32400","0.27718","0.00309"
"3.33000","0.27772","0.00311"
"3.33600","0.27820","0.00319"
"3.34200","0.27874","0.00318"
"3.34800","0.27922","0.00321"
"3.35400","0.27970","0.00321"
"3.36000","0.28023","0.00320"
"3.36600","0.28071","0.00321"
"3.37200","0.28119","0.00318"
"3.37800","0.28173","0.00310"
"3.38400","0.28221","0.00303"
"3.39000","0.28268","0.00300"
"3.39600","0.28322","0.00307"
"3.40200","0.28370","0.00312"
"3.40800","0.28418","0.00305"
"3.41400","0.28472","0.00289"
"3.42000","0.28520","0.00281"
"3.42600","0.28567","0.00284"
"3.43200","0.28615","0.00295"
"3.43800","0.28669","0.00305"
"3.44400","0.28717","0.00311"
"3.45000","0.28771","0.00315"
"3.45600","0.28819","0.00321"
"3.46200","0.28866","0.00335"
"3.46800","0.28920","0.00339"
"3.47400","0.28968","0.00338"
"3.48000","0.29016","0.00347"
"3.48600","0.29070","0.00354"
"3.49200","0.29118","0.00351"
"3.49800","0.29165","0.00339"
"3.50400","0.29219","0.00325"
"3.51000","0.29267","0.00314"
"3.51600","0.29315","0.00311"
"3.52200","0.29363","0.00305"
"3.52800","0.29410","0.00305"
"3.53400","0.29458","0.00302"
"3.54000","0.29512","0.00300"
"3.54600","0.29560","0.00298"
"3.55200","0.29608","0.00307"
"3.55800","0.29662","0.00315"
"3.56400","0.29709","0.00331"
"3.57000","0.29763","0.00343"
"3.57600","0.29811","0.00351"
"3.58200","0.29859","0.00365"
"3.58800","0.29913","0.00361"
"3.59400","0.29967","0.00361"
"3.60000","0.30014","0.00370"
"3.60600","0.30068","0.00379"
"3.61200","0.30116","0.00377"
"3.61800","0.30170","0.00376"
"3.62400","0.30218","0.00375"
"3.63000","0.30265","0.00368"
"3.63600","0.30319","0.00355"
"3.64200","0.30367","0.00347"
"3.64800","0.30415","0.00334"
"3.65400","0.30469","0.00317"
"3.66000","0.30517","0.00300"
"3.66600","0.30570","0.00288"
"3.67200","0.30618","0.00282"
"3.67800","0.30672","0.00285"
"3.68400","0.30720","0.00295"
"3.69000","0.30768","0.00306"
"3.69600","0.30822","0.00322"
"3.70200","0.30869","0.00338"
"3.70800","0.30923","0.00349"
"3.71400","0.30971","0.00366"
"3.72000","0.31019","0.00370"
"3.72600","0.31073","0.00357"
"3.73200","0.31120","0.00349"
"3.73800","0.31174","0.00348"
"3.74400","0.31222","0.00331"
"3.75000","0.31276","0.00311"
"3.75600","0.31324","0.00301"
"3.76200","0.31378","0.00301"
"3.76800","0.31425","0.00303"
"3.77400","0.31473","0.00313"
"3.78000","0.31521","0.00336"
"3.78600","0.31569","0.00350"
"3.79200","0.31623","0.00351"
"3.79800","0.31671","0.00352"
"3.80400","0.31718","0.00356"
"3.81000","0.31772","0.00362"
"3.81600","0.31820","0.00374"
"3.82200","0.31868","0.00385"
"3.82800","0.31922","0.00388"
"3.83400","0.31969","0.00384"
"3.84000","0.32017","0.00367"
"3.84600","0.32071","0.00354"
"3.85200","0.32119","0.00346"
"3.85800","0.32167","0.00341"
"3.86400","0.32215","0.00347"
"3.87000","0.32268","0.00343"
"3.87600","0.32316","0.00331"
"3.88200","0.32370","0.00332"
"3.88800","0.32418","0.00341"
"3.89400","0.32472","0.00360"
"3.90000","0.32520","0.00382"
"3.90600","0.32567","0.00388"
"3.91200","0.32621","0.00388"
"3.91800","0.32669","0.00392"
