End date,"2/25/2017"
Specimen label,"1BG_5.2"
Maximum Load,"0.02768",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00047"
"0.00600","0.00000","-0.00055"
"0.01200","0.00000","-0.00065"
"0.01800","0.00012","-0.00075"
"0.02400","0.00018","-0.00062"
"0.03000","0.00030","-0.00038"
"0.03600","0.00048","-0.00027"
"0.04200","0.00060","-0.00008"
"0.04800","0.00078","0.00023"
"0.05400","0.00102","0.00042"
"0.06000","0.00132","0.00048"
"0.06600","0.00149","0.00049"
"0.07200","0.00179","0.00050"
"0.07800","0.00215","0.00040"
"0.08400","0.00257","0.00028"
"0.09000","0.00299","0.00016"
"0.09600","0.00335","0.00003"
"0.10200","0.00383","-0.00014"
"0.10800","0.00430","-0.00032"
"0.11400","0.00478","-0.00031"
"0.12000","0.00532","-0.00008"
"0.12600","0.00586","0.00011"
"0.13200","0.00640","0.00030"
"0.13800","0.00694","0.00038"
"0.14400","0.00753","0.00036"
"0.15000","0.00813","0.00030"
"0.15600","0.00873","0.00026"
"0.16200","0.00939","0.00023"
"0.16800","0.01004","0.00022"
"0.17400","0.01064","0.00018"
"0.18000","0.01130","0.00011"
"0.18600","0.01196","0.00008"
"0.19200","0.01262","0.00012"
"0.19800","0.01327","0.00007"
"0.20400","0.01393","-0.00007"
"0.21000","0.01459","-0.00010"
"0.21600","0.01525","-0.00013"
"0.22200","0.01590","-0.00009"
"0.22800","0.01656","-0.00007"
"0.23400","0.01722","-0.00007"
"0.24000","0.01794","-0.00004"
"0.24600","0.01853","-0.00005"
"0.25200","0.01919","-0.00009"
"0.25800","0.01985","0.00003"
"0.26400","0.02051","0.00008"
"0.27000","0.02117","0.00002"
"0.27600","0.02182","0.00001"
"0.28200","0.02242","0.00006"
"0.28800","0.02302","0.00015"
"0.29400","0.02368","0.00019"
"0.30000","0.02427","0.00022"
"0.30600","0.02487","0.00037"
"0.31200","0.02541","0.00053"
"0.31800","0.02601","0.00053"
"0.32400","0.02661","0.00051"
"0.33000","0.02720","0.00047"
"0.33600","0.02774","0.00036"
"0.34200","0.02834","0.00032"
"0.34800","0.02888","0.00038"
"0.35400","0.02942","0.00037"
"0.36000","0.02995","0.00034"
"0.36600","0.03049","0.00037"
"0.37200","0.03103","0.00049"
"0.37800","0.03163","0.00050"
"0.38400","0.03211","0.00053"
"0.39000","0.03265","0.00057"
"0.39600","0.03318","0.00044"
"0.40200","0.03372","0.00029"
"0.40800","0.03426","0.00028"
"0.41400","0.03474","0.00034"
"0.42000","0.03528","0.00042"
"0.42600","0.03575","0.00040"
"0.43200","0.03629","0.00043"
"0.43800","0.03677","0.00048"
"0.44400","0.03725","0.00056"
"0.45000","0.03779","0.00071"
"0.45600","0.03827","0.00081"
"0.46200","0.03880","0.00085"
"0.46800","0.03928","0.00076"
"0.47400","0.03976","0.00053"
"0.48000","0.04030","0.00022"
"0.48600","0.04078","0.00001"
"0.49200","0.04125","0.00008"
"0.49800","0.04179","0.00028"
"0.50400","0.04227","0.00048"
"0.51000","0.04275","0.00050"
"0.51600","0.04329","0.00038"
"0.52200","0.04377","0.00023"
"0.52800","0.04424","0.00023"
