End date,"2/25/2017"
Specimen label,"6BG_41"
Maximum Load,"1.72377",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00115"
"0.00600","0.00000","-0.00110"
"0.01200","0.00000","-0.00109"
"0.01800","0.00012","-0.00097"
"0.02400","0.00018","-0.00083"
"0.03000","0.00030","-0.00069"
"0.03600","0.00042","-0.00060"
"0.04200","0.00060","-0.00048"
"0.04800","0.00078","-0.00034"
"0.05400","0.00102","-0.00021"
"0.06000","0.00126","0.00000"
"0.06600","0.00155","0.00025"
"0.07200","0.00185","0.00045"
"0.07800","0.00221","0.00047"
"0.08400","0.00263","0.00034"
"0.09000","0.00305","0.00026"
"0.09600","0.00347","0.00018"
"0.10200","0.00395","0.00006"
"0.10800","0.00448","0.00009"
"0.11400","0.00502","0.00016"
"0.12000","0.00556","0.00010"
"0.12600","0.00610","-0.00008"
"0.13200","0.00670","-0.00022"
"0.13800","0.00735","-0.00032"
"0.14400","0.00795","-0.00032"
"0.15000","0.00861","-0.00030"
"0.15600","0.00927","-0.00017"
"0.16200","0.00993","-0.00010"
"0.16800","0.01058","-0.00014"
"0.17400","0.01124","-0.00013"
"0.18000","0.01190","0.00006"
"0.18600","0.01256","0.00019"
"0.19200","0.01321","0.00023"
"0.19800","0.01387","0.00024"
"0.20400","0.01453","0.00010"
"0.21000","0.01519","0.00002"
"0.21600","0.01584","0.00010"
"0.22200","0.01644","0.00028"
"0.22800","0.01710","0.00033"
"0.23400","0.01776","0.00028"
"0.24000","0.01842","0.00008"
"0.24600","0.01907","-0.00009"
"0.25200","0.01973","-0.00004"
"0.25800","0.02033","0.00015"
"0.26400","0.02099","0.00030"
"0.27000","0.02158","0.00046"
"0.27600","0.02218","0.00057"
"0.28200","0.02278","0.00055"
"0.28800","0.02338","0.00061"
"0.29400","0.02398","0.00065"
"0.30000","0.02457","0.00059"
"0.30600","0.02511","0.00056"
"0.31200","0.02571","0.00063"
"0.31800","0.02625","0.00078"
"0.32400","0.02685","0.00081"
"0.33000","0.02744","0.00072"
"0.33600","0.02798","0.00064"
"0.34200","0.02852","0.00047"
"0.34800","0.02906","0.00036"
"0.35400","0.02960","0.00033"
"0.36000","0.03013","0.00027"
"0.36600","0.03067","0.00030"
"0.37200","0.03121","0.00038"
"0.37800","0.03175","0.00032"
"0.38400","0.03223","0.00031"
"0.39000","0.03276","0.00027"
"0.39600","0.03330","0.00021"
"0.40200","0.03384","0.00014"
"0.40800","0.03432","0.00008"
"0.41400","0.03480","0.00022"
"0.42000","0.03534","0.00039"
"0.42600","0.03581","0.00053"
"0.43200","0.03629","0.00054"
"0.43800","0.03683","0.00058"
"0.44400","0.03731","0.00055"
"0.45000","0.03779","0.00055"
"0.45600","0.03833","0.00052"
"0.46200","0.03880","0.00040"
"0.46800","0.03934","0.00019"
"0.47400","0.03982","0.00002"
"0.48000","0.04030","-0.00012"
"0.48600","0.04078","-0.00012"
"0.49200","0.04131","-0.00004"
"0.49800","0.04179","-0.00002"
"0.50400","0.04227","0.00010"
"0.51000","0.04275","0.00025"
"0.51600","0.04329","0.00048"
"0.52200","0.04377","0.00057"
"0.52800","0.04424","0.00047"
"0.53400","0.04478","0.00040"
"0.54000","0.04526","0.00039"
"0.54600","0.04580","0.00024"
"0.55200","0.04628","0.00002"
"0.55800","0.04676","-0.00011"
"0.56400","0.04729","-0.00014"
"0.57000","0.04777","-0.00012"
"0.57600","0.04825","-0.00014"
"0.58200","0.04873","-0.00009"
"0.58800","0.04927","0.00001"
"0.59400","0.04974","0.00012"
"0.60000","0.05022","0.00024"
"0.60600","0.05076","0.00034"
"0.61200","0.05124","0.00029"
"0.61800","0.05172","0.00019"
"0.62400","0.05226","0.00022"
"0.63000","0.05273","0.00029"
"0.63600","0.05321","0.00032"
"0.64200","0.05375","0.00038"
"0.64800","0.05423","0.00045"
"0.65400","0.05471","0.00039"
"0.66000","0.05519","0.00025"
"0.66600","0.05572","0.00022"
"0.67200","0.05620","0.00017"
"0.67800","0.05674","0.00008"
"0.68400","0.05722","-0.00004"
"0.69000","0.05770","-0.00006"
"0.69600","0.05824","-0.00005"
"0.70200","0.05871","-0.00004"
"0.70800","0.05919","0.00000"
"0.71400","0.05973","0.00019"
"0.72000","0.06021","0.00037"
"0.72600","0.06069","0.00042"
"0.73200","0.06116","0.00052"
"0.73800","0.06170","0.00064"
"0.74400","0.06218","0.00062"
"0.75000","0.06272","0.00048"
"0.75600","0.06320","0.00030"
"0.76200","0.06368","0.00013"
"0.76800","0.06421","0.00009"
"0.77400","0.06469","0.00017"
"0.78000","0.06523","0.00032"
"0.78600","0.06571","0.00048"
"0.79200","0.06619","0.00052"
"0.79800","0.06673","0.00044"
"0.80400","0.06720","0.00033"
"0.81000","0.06774","0.00029"
"0.81600","0.06822","0.00032"
"0.82200","0.06876","0.00048"
"0.82800","0.06924","0.00062"
"0.83400","0.06977","0.00069"
