End date,"2/25/2017"
Specimen label,"1DG_unk"
Maximum Load,"0.41180",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00015"
"0.00600","0.00000","-0.00025"
"0.01200","0.00006","-0.00027"
"0.01800","0.00012","-0.00027"
"0.02400","0.00018","-0.00028"
"0.03000","0.00030","-0.00036"
"0.03600","0.00042","-0.00045"
"0.04200","0.00060","-0.00068"
"0.04800","0.00078","-0.00086"
"0.05400","0.00102","-0.00089"
"0.06000","0.00132","-0.00075"
"0.06600","0.00155","-0.00054"
"0.07200","0.00191","-0.00033"
"0.07800","0.00227","-0.00017"
"0.08400","0.00263","-0.00006"
"0.09000","0.00305","0.00005"
"0.09600","0.00347","-0.00001"
"0.10200","0.00395","-0.00007"
"0.10800","0.00448","0.00000"
"0.11400","0.00496","0.00011"
"0.12000","0.00550","0.00012"
"0.12600","0.00610","0.00003"
"0.13200","0.00664","0.00002"
"0.13800","0.00723","0.00007"
"0.14400","0.00789","0.00014"
"0.15000","0.00849","0.00023"
"0.15600","0.00915","0.00032"
"0.16200","0.00975","0.00037"
"0.16800","0.01040","0.00048"
"0.17400","0.01106","0.00064"
"0.18000","0.01172","0.00076"
"0.18600","0.01238","0.00084"
"0.19200","0.01303","0.00084"
"0.19800","0.01375","0.00071"
"0.20400","0.01441","0.00050"
"0.21000","0.01507","0.00030"
"0.21600","0.01572","0.00027"
"0.22200","0.01638","0.00025"
"0.22800","0.01704","0.00016"
"0.23400","0.01770","0.00007"
"0.24000","0.01830","0.00002"
"0.24600","0.01895","-0.00002"
"0.25200","0.01955","-0.00005"
"0.25800","0.02021","0.00009"
"0.26400","0.02081","0.00026"
"0.27000","0.02140","0.00041"
"0.27600","0.02200","0.00052"
"0.28200","0.02260","0.00054"
"0.28800","0.02320","0.00055"
"0.29400","0.02380","0.00056"
"0.30000","0.02439","0.00059"
"0.30600","0.02499","0.00057"
"0.31200","0.02559","0.00063"
"0.31800","0.02613","0.00067"
"0.32400","0.02673","0.00068"
"0.33000","0.02732","0.00053"
"0.33600","0.02786","0.00045"
"0.34200","0.02840","0.00048"
"0.34800","0.02894","0.00064"
"0.35400","0.02948","0.00066"
"0.36000","0.03007","0.00065"
"0.36600","0.03055","0.00059"
"0.37200","0.03109","0.00039"
"0.37800","0.03163","0.00022"
"0.38400","0.03217","0.00030"
"0.39000","0.03270","0.00049"
"0.39600","0.03324","0.00063"
"0.40200","0.03372","0.00059"
"0.40800","0.03426","0.00061"
"0.41400","0.03474","0.00063"
"0.42000","0.03528","0.00055"
"0.42600","0.03581","0.00048"
"0.43200","0.03629","0.00041"
"0.43800","0.03683","0.00044"
"0.44400","0.03731","0.00051"
"0.45000","0.03785","0.00060"
"0.45600","0.03833","0.00070"
"0.46200","0.03886","0.00086"
"0.46800","0.03934","0.00099"
"0.47400","0.03982","0.00118"
"0.48000","0.04030","0.00140"
"0.48600","0.04084","0.00146"
"0.49200","0.04131","0.00146"
"0.49800","0.04179","0.00144"
"0.50400","0.04227","0.00145"
"0.51000","0.04275","0.00144"
"0.51600","0.04323","0.00135"
"0.52200","0.04371","0.00136"
"0.52800","0.04424","0.00134"
"0.53400","0.04472","0.00124"
"0.54000","0.04520","0.00118"
"0.54600","0.04574","0.00109"
"0.55200","0.04622","0.00106"
"0.55800","0.04670","0.00105"
"0.56400","0.04723","0.00106"
"0.57000","0.04771","0.00098"
"0.57600","0.04819","0.00094"
"0.58200","0.04873","0.00089"
"0.58800","0.04921","0.00092"
"0.59400","0.04974","0.00087"
"0.60000","0.05022","0.00087"
"0.60600","0.05076","0.00096"
"0.61200","0.05124","0.00095"
"0.61800","0.05172","0.00087"
"0.62400","0.05226","0.00087"
"0.63000","0.05273","0.00086"
"0.63600","0.05321","0.00086"
"0.64200","0.05369","0.00085"
"0.64800","0.05423","0.00092"
"0.65400","0.05471","0.00111"
"0.66000","0.05519","0.00127"
"0.66600","0.05572","0.00132"
"0.67200","0.05620","0.00139"
"0.67800","0.05668","0.00138"
"0.68400","0.05722","0.00127"
"0.69000","0.05770","0.00113"
"0.69600","0.05818","0.00104"
"0.70200","0.05871","0.00100"
"0.70800","0.05919","0.00109"
"0.71400","0.05973","0.00106"
"0.72000","0.06021","0.00107"
"0.72600","0.06069","0.00107"
"0.73200","0.06122","0.00105"
"0.73800","0.06170","0.00114"
"0.74400","0.06224","0.00112"
"0.75000","0.06272","0.00101"
"0.75600","0.06326","0.00089"
"0.76200","0.06374","0.00088"
"0.76800","0.06421","0.00091"
"0.77400","0.06469","0.00095"
"0.78000","0.06523","0.00104"
"0.78600","0.06571","0.00112"
"0.79200","0.06619","0.00119"
"0.79800","0.06667","0.00139"
"0.80400","0.06714","0.00148"
"0.81000","0.06768","0.00159"
"0.81600","0.06816","0.00177"
"0.82200","0.06864","0.00194"
