End date,"2/26/2017"
Specimen label,"1AT_2.2"
Maximum Load,"0.00830",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00010"
"0.00600","0.00000","0.00007"
"0.01200","0.00000","0.00032"
"0.01800","0.00012","0.00041"
"0.02400","0.00018","0.00045"
"0.03000","0.00030","0.00052"
"0.03600","0.00042","0.00061"
"0.04200","0.00060","0.00059"
"0.04800","0.00072","0.00040"
"0.05400","0.00096","0.00013"
"0.06000","0.00120","-0.00003"
"0.06600","0.00149","-0.00005"
"0.07200","0.00179","-0.00002"
"0.07800","0.00215","0.00010"
"0.08400","0.00251","0.00013"
"0.09000","0.00293","0.00005"
"0.09600","0.00335","0.00001"
"0.10200","0.00383","0.00000"
"0.10800","0.00430","-0.00007"
"0.11400","0.00484","0.00000"
"0.12000","0.00532","0.00001"
"0.12600","0.00592","0.00004"
"0.13200","0.00646","0.00009"
"0.13800","0.00706","0.00004"
"0.14400","0.00765","0.00004"
"0.15000","0.00831","0.00005"
"0.15600","0.00891","-0.00002"
"0.16200","0.00957","-0.00002"
"0.16800","0.01022","0.00010"
"0.17400","0.01088","0.00018"
"0.18000","0.01160","0.00012"
"0.18600","0.01226","-0.00002"
"0.19200","0.01291","-0.00002"
"0.19800","0.01363","0.00004"
"0.20400","0.01429","0.00006"
"0.21000","0.01501","0.00010"
"0.21600","0.01566","0.00011"
"0.22200","0.01632","0.00012"
"0.22800","0.01698","-0.00008"
"0.23400","0.01764","-0.00031"
"0.24000","0.01830","-0.00054"
"0.24600","0.01895","-0.00067"
"0.25200","0.01961","-0.00072"
"0.25800","0.02021","-0.00065"
"0.26400","0.02081","-0.00060"
"0.27000","0.02146","-0.00073"
"0.27600","0.02206","-0.00086"
"0.28200","0.02266","-0.00077"
"0.28800","0.02326","-0.00065"
"0.29400","0.02386","-0.00049"
"0.30000","0.02445","-0.00039"
"0.30600","0.02505","-0.00030"
"0.31200","0.02565","-0.00021"
"0.31800","0.02625","-0.00006"
"0.32400","0.02679","0.00000"
"0.33000","0.02738","-0.00004"
"0.33600","0.02792","-0.00003"
"0.34200","0.02852","0.00004"
"0.34800","0.02906","0.00010"
"0.35400","0.02960","0.00019"
"0.36000","0.03013","0.00027"
"0.36600","0.03061","0.00031"
"0.37200","0.03115","0.00034"
"0.37800","0.03169","0.00029"
"0.38400","0.03217","0.00017"
"0.39000","0.03270","0.00010"
"0.39600","0.03318","0.00010"
"0.40200","0.03372","0.00014"
"0.40800","0.03426","0.00027"
"0.41400","0.03474","0.00024"
"0.42000","0.03522","0.00018"
"0.42600","0.03575","0.00017"
"0.43200","0.03623","0.00024"
"0.43800","0.03677","0.00018"
"0.44400","0.03725","0.00008"
"0.45000","0.03779","0.00013"
"0.45600","0.03827","0.00010"
"0.46200","0.03880","0.00018"
"0.46800","0.03928","0.00022"
"0.47400","0.03976","0.00020"
"0.48000","0.04030","0.00012"
"0.48600","0.04078","0.00007"
"0.49200","0.04125","0.00015"
"0.49800","0.04173","0.00020"
"0.50400","0.04227","0.00009"
"0.51000","0.04275","-0.00003"
"0.51600","0.04323","-0.00009"
"0.52200","0.04377","-0.00009"
"0.52800","0.04424","-0.00011"
"0.53400","0.04472","-0.00005"
"0.54000","0.04526","0.00007"
"0.54600","0.04574","0.00016"
"0.55200","0.04622","0.00019"
"0.55800","0.04676","0.00024"
"0.56400","0.04723","0.00028"
"0.57000","0.04777","0.00026"
"0.57600","0.04825","0.00011"
"0.58200","0.04873","0.00007"
"0.58800","0.04927","0.00000"
"0.59400","0.04974","0.00002"
"0.60000","0.05028","0.00011"
"0.60600","0.05082","0.00011"
"0.61200","0.05130","0.00003"
"0.61800","0.05184","-0.00005"
"0.62400","0.05232","0.00000"
"0.63000","0.05279","0.00008"
"0.63600","0.05333","0.00018"
"0.64200","0.05381","0.00025"
"0.64800","0.05429","0.00019"
"0.65400","0.05477","0.00020"
"0.66000","0.05525","0.00027"
"0.66600","0.05578","0.00016"
"0.67200","0.05626","0.00003"
"0.67800","0.05680","-0.00009"
"0.68400","0.05728","-0.00014"
"0.69000","0.05776","-0.00003"
"0.69600","0.05829","0.00017"
"0.70200","0.05877","0.00023"
"0.70800","0.05925","0.00019"
"0.71400","0.05979","0.00022"
"0.72000","0.06027","0.00028"
"0.72600","0.06075","0.00039"
"0.73200","0.06128","0.00053"
"0.73800","0.06176","0.00062"
"0.74400","0.06224","0.00056"
"0.75000","0.06278","0.00039"
"0.75600","0.06326","0.00026"
"0.76200","0.06374","0.00022"
"0.76800","0.06427","0.00024"
"0.77400","0.06475","0.00023"
"0.78000","0.06523","0.00016"
"0.78600","0.06577","0.00013"
"0.79200","0.06625","0.00022"
"0.79800","0.06678","0.00031"
"0.80400","0.06726","0.00035"
"0.81000","0.06774","0.00036"
"0.81600","0.06828","0.00035"
"0.82200","0.06876","0.00027"
"0.82800","0.06930","0.00027"
"0.83400","0.06977","0.00029"
"0.84000","0.07025","0.00024"
"0.84600","0.07079","0.00024"
"0.85200","0.07127","0.00024"
"0.85800","0.07175","0.00023"
"0.86400","0.07229","0.00020"
"0.87000","0.07276","0.00015"
"0.87600","0.07324","0.00019"
"0.88200","0.07378","0.00035"
"0.88800","0.07426","0.00052"
"0.89400","0.07480","0.00057"
"0.90000","0.07528","0.00051"
"0.90600","0.07575","0.00035"
"0.91200","0.07629","0.00026"
"0.91800","0.07677","0.00030"
"0.92400","0.07725","0.00024"
"0.93000","0.07779","0.00009"
"0.93600","0.07826","-0.00012"
"0.94200","0.07874","-0.00014"
"0.94800","0.07928","-0.00007"
"0.95400","0.07976","-0.00010"
"0.96000","0.08024","-0.00010"
"0.96600","0.08072","0.00000"
"0.97200","0.08125","0.00003"
"0.97800","0.08173","-0.00002"
"0.98400","0.08221","0.00000"
"0.99000","0.08269","0.00006"
"0.99600","0.08323","0.00006"
"1.00200","0.08371","0.00003"
"1.00800","0.08418","-0.00001"
"1.01400","0.08466","0.00001"
"1.02000","0.08520","0.00005"
"1.02600","0.08568","0.00014"
"1.03200","0.08622","0.00020"
"1.03800","0.08669","0.00024"
"1.04400","0.08717","0.00025"
"1.05000","0.08771","0.00026"
"1.05600","0.08819","0.00029"
"1.06200","0.08873","0.00039"
"1.06800","0.08921","0.00042"
"1.07400","0.08968","0.00041"
"1.08000","0.09022","0.00044"
"1.08600","0.09070","0.00040"
"1.09200","0.09124","0.00039"
"1.09800","0.09172","0.00041"
"1.10400","0.09220","0.00044"
"1.11000","0.09273","0.00039"
"1.11600","0.09321","0.00040"
"1.12200","0.09369","0.00037"
"1.12800","0.09417","0.00034"
"1.13400","0.09471","0.00022"
"1.14000","0.09518","0.00009"
"1.14600","0.09572","0.00003"
"1.15200","0.09620","-0.00009"
"1.15800","0.09668","-0.00011"
"1.16400","0.09722","-0.00003"
"1.17000","0.09770","0.00008"
"1.17600","0.09823","0.00019"
"1.18200","0.09871","0.00017"
"1.18800","0.09925","0.00010"
"1.19400","0.09973","0.00005"
"1.20000","0.10027","0.00006"
"1.20600","0.10075","0.00017"
"1.21200","0.10128","0.00025"
"1.21800","0.10176","0.00031"
"1.22400","0.10224","0.00032"
"1.23000","0.10278","0.00037"
"1.23600","0.10326","0.00041"
"1.24200","0.10373","0.00035"
"1.24800","0.10427","0.00034"
"1.25400","0.10475","0.00030"
"1.26000","0.10523","0.00020"
"1.26600","0.10571","0.00018"
"1.27200","0.10619","0.00026"
"1.27800","0.10672","0.00019"
"1.28400","0.10720","0.00005"
"1.29000","0.10768","0.00006"
"1.29600","0.10822","0.00010"
"1.30200","0.10870","0.00010"
"1.30800","0.10924","0.00013"
"1.31400","0.10971","0.00021"
"1.32000","0.11019","0.00034"
"1.32600","0.11073","0.00044"
"1.33200","0.11127","0.00049"
"1.33800","0.11175","0.00055"
"1.34400","0.11222","0.00062"
"1.35000","0.11276","0.00060"
"1.35600","0.11324","0.00058"
"1.36200","0.11378","0.00063"
"1.36800","0.11426","0.00065"
"1.37400","0.11480","0.00070"
"1.38000","0.11527","0.00068"
"1.38600","0.11575","0.00052"
"1.39200","0.11629","0.00039"
"1.39800","0.11677","0.00033"
"1.40400","0.11725","0.00027"
"1.41000","0.11773","0.00036"
"1.41600","0.11826","0.00054"
"1.42200","0.11874","0.00060"
"1.42800","0.11922","0.00062"
"1.43400","0.11970","0.00064"
"1.44000","0.12024","0.00059"
"1.44600","0.12072","0.00052"
"1.45200","0.12119","0.00044"
"1.45800","0.12173","0.00043"
"1.46400","0.12221","0.00033"
"1.47000","0.12275","0.00017"
"1.47600","0.12323","0.00013"
"1.48200","0.12370","0.00021"
"1.48800","0.12424","0.00021"
"1.49400","0.12472","0.00008"
"1.50000","0.12520","0.00012"
"1.50600","0.12574","0.00020"
"1.51200","0.12622","0.00028"
"1.51800","0.12669","0.00027"
"1.52400","0.12717","0.00030"
"1.53000","0.12771","0.00028"
"1.53600","0.12819","0.00019"
"1.54200","0.12867","0.00015"
"1.54800","0.12915","0.00031"
"1.55400","0.12968","0.00051"
"1.56000","0.13016","0.00065"
"1.56600","0.13064","0.00080"
"1.57200","0.13118","0.00079"
"1.57800","0.13166","0.00065"
"1.58400","0.13213","0.00056"
"1.59000","0.13261","0.00054"
"1.59600","0.13315","0.00050"
"1.60200","0.13363","0.00052"
"1.60800","0.13417","0.00064"
"1.61400","0.13465","0.00078"
"1.62000","0.13518","0.00080"
"1.62600","0.13566","0.00067"
"1.63200","0.13620","0.00062"
"1.63800","0.13668","0.00054"
"1.64400","0.13722","0.00037"
"1.65000","0.13770","0.00024"
"1.65600","0.13823","0.00025"
