End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00004"
"0.00600","0.00000","0.00013"
"0.01200","0.00000","0.00025"
"0.01800","0.00012","0.00038"
"0.02400","0.00018","0.00043"
"0.03000","0.00030","0.00041"
"0.03600","0.00048","0.00040"
"0.04200","0.00060","0.00041"
"0.04800","0.00078","0.00031"
"0.05400","0.00102","0.00033"
"0.06000","0.00126","0.00043"
"0.06600","0.00155","0.00047"
"0.07200","0.00185","0.00047"
"0.07800","0.00221","0.00050"
"0.08400","0.00263","0.00037"
"0.09000","0.00305","0.00013"
"0.09600","0.00347","-0.00004"
"0.10200","0.00395","-0.00016"
"0.10800","0.00442","-0.00018"
"0.11400","0.00496","-0.00020"
"0.12000","0.00556","-0.00021"
"0.12600","0.00610","-0.00021"
"0.13200","0.00670","-0.00024"
"0.13800","0.00729","-0.00024"
"0.14400","0.00795","-0.00020"
"0.15000","0.00855","-0.00021"
"0.15600","0.00921","-0.00021"
"0.16200","0.00987","-0.00019"
"0.16800","0.01052","-0.00009"
"0.17400","0.01118","0.00018"
"0.18000","0.01184","0.00043"
"0.18600","0.01250","0.00056"
"0.19200","0.01315","0.00060"
"0.19800","0.01387","0.00058"
"0.20400","0.01453","0.00054"
"0.21000","0.01519","0.00052"
"0.21600","0.01584","0.00044"
"0.22200","0.01650","0.00030"
"0.22800","0.01716","0.00013"
"0.23400","0.01782","0.00002"
"0.24000","0.01847","-0.00011"
"0.24600","0.01913","-0.00021"
"0.25200","0.01979","-0.00032"
"0.25800","0.02039","-0.00034"
"0.26400","0.02099","-0.00030"
"0.27000","0.02158","-0.00022"
"0.27600","0.02218","-0.00006"
"0.28200","0.02284","0.00007"
"0.28800","0.02338","0.00022"
"0.29400","0.02398","0.00031"
"0.30000","0.02457","0.00048"
"0.30600","0.02517","0.00073"
"0.31200","0.02571","0.00091"
"0.31800","0.02631","0.00102"
"0.32400","0.02685","0.00101"
"0.33000","0.02738","0.00088"
"0.33600","0.02798","0.00081"
"0.34200","0.02852","0.00089"
"0.34800","0.02906","0.00094"
"0.35400","0.02960","0.00100"
"0.36000","0.03013","0.00101"
"0.36600","0.03067","0.00098"
