End date,"2/26/2017"
Specimen label,"4CT_32_pl"
Maximum Load,"0.14378",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00022"
"0.00600","0.00000","0.00012"
"0.01200","0.00000","-0.00001"
"0.01800","0.00012","-0.00010"
"0.02400","0.00018","-0.00011"
"0.03000","0.00030","0.00008"
"0.03600","0.00048","0.00029"
"0.04200","0.00060","0.00043"
"0.04800","0.00084","0.00051"
"0.05400","0.00108","0.00060"
"0.06000","0.00132","0.00075"
"0.06600","0.00167","0.00086"
"0.07200","0.00197","0.00082"
"0.07800","0.00239","0.00081"
"0.08400","0.00275","0.00072"
"0.09000","0.00317","0.00067"
"0.09600","0.00365","0.00065"
"0.10200","0.00413","0.00062"
"0.10800","0.00466","0.00070"
"0.11400","0.00514","0.00092"
"0.12000","0.00574","0.00097"
"0.12600","0.00628","0.00105"
"0.13200","0.00688","0.00100"
"0.13800","0.00747","0.00076"
"0.14400","0.00807","0.00061"
"0.15000","0.00873","0.00072"
"0.15600","0.00933","0.00090"
"0.16200","0.00998","0.00095"
"0.16800","0.01064","0.00082"
"0.17400","0.01136","0.00060"
"0.18000","0.01202","0.00043"
"0.18600","0.01268","0.00037"
"0.19200","0.01333","0.00031"
"0.19800","0.01399","0.00030"
"0.20400","0.01465","0.00022"
"0.21000","0.01525","0.00021"
"0.21600","0.01590","0.00035"
"0.22200","0.01656","0.00049"
"0.22800","0.01722","0.00052"
"0.23400","0.01782","0.00065"
"0.24000","0.01847","0.00075"
"0.24600","0.01913","0.00075"
"0.25200","0.01973","0.00061"
"0.25800","0.02039","0.00049"
"0.26400","0.02099","0.00050"
"0.27000","0.02164","0.00040"
"0.27600","0.02224","0.00028"
"0.28200","0.02284","-0.00001"
"0.28800","0.02344","-0.00033"
"0.29400","0.02404","-0.00060"
"0.30000","0.02463","-0.00074"
"0.30600","0.02517","-0.00082"
"0.31200","0.02571","-0.00072"
"0.31800","0.02631","-0.00053"
"0.32400","0.02685","-0.00035"
"0.33000","0.02738","-0.00010"
"0.33600","0.02792","-0.00004"
"0.34200","0.02846","-0.00002"
"0.34800","0.02900","0.00005"
"0.35400","0.02960","0.00026"
"0.36000","0.03007","0.00044"
"0.36600","0.03061","0.00056"
"0.37200","0.03115","0.00059"
"0.37800","0.03169","0.00059"
"0.38400","0.03223","0.00063"
"0.39000","0.03270","0.00061"
"0.39600","0.03324","0.00060"
"0.40200","0.03378","0.00057"
"0.40800","0.03426","0.00045"
"0.41400","0.03480","0.00028"
"0.42000","0.03528","-0.00004"
"0.42600","0.03575","-0.00023"
"0.43200","0.03629","-0.00025"
"0.43800","0.03677","-0.00021"
"0.44400","0.03725","-0.00010"
"0.45000","0.03773","0.00002"
"0.45600","0.03827","0.00005"
"0.46200","0.03874","0.00010"
"0.46800","0.03922","0.00012"
"0.47400","0.03970","0.00019"
"0.48000","0.04024","0.00029"
"0.48600","0.04072","0.00032"
"0.49200","0.04119","0.00017"
"0.49800","0.04173","0.00008"
"0.50400","0.04221","-0.00003"
"0.51000","0.04275","-0.00004"
"0.51600","0.04323","-0.00004"
"0.52200","0.04371","-0.00004"
"0.52800","0.04424","-0.00003"
"0.53400","0.04472","-0.00013"
"0.54000","0.04526","-0.00028"
"0.54600","0.04574","-0.00029"
"0.55200","0.04628","-0.00010"
"0.55800","0.04676","0.00016"
"0.56400","0.04729","0.00042"
"0.57000","0.04777","0.00058"
"0.57600","0.04825","0.00068"
"0.58200","0.04873","0.00075"
"0.58800","0.04927","0.00071"
"0.59400","0.04974","0.00064"
"0.60000","0.05022","0.00051"
"0.60600","0.05070","0.00041"
"0.61200","0.05124","0.00031"
"0.61800","0.05172","0.00025"
"0.62400","0.05226","0.00027"
"0.63000","0.05273","0.00036"
"0.63600","0.05327","0.00024"
"0.64200","0.05375","0.00018"
"0.64800","0.05429","0.00020"
"0.65400","0.05477","0.00017"
"0.66000","0.05531","0.00014"
"0.66600","0.05578","0.00013"
"0.67200","0.05632","0.00017"
"0.67800","0.05680","0.00026"
"0.68400","0.05728","0.00039"
"0.69000","0.05782","0.00055"
"0.69600","0.05829","0.00061"
"0.70200","0.05877","0.00050"
"0.70800","0.05931","0.00039"
"0.71400","0.05979","0.00035"
"0.72000","0.06027","0.00030"
"0.72600","0.06075","0.00020"
"0.73200","0.06128","0.00024"
"0.73800","0.06176","0.00032"
"0.74400","0.06224","0.00032"
"0.75000","0.06272","0.00034"
"0.75600","0.06320","0.00031"
"0.76200","0.06374","0.00030"
"0.76800","0.06421","0.00031"
"0.77400","0.06475","0.00041"
"0.78000","0.06523","0.00049"
"0.78600","0.06571","0.00042"
"0.79200","0.06625","0.00026"
"0.79800","0.06673","0.00017"
"0.80400","0.06726","0.00008"
"0.81000","0.06774","0.00008"
"0.81600","0.06822","0.00005"
"0.82200","0.06876","-0.00007"
"0.82800","0.06924","-0.00015"
"0.83400","0.06977","-0.00006"
"0.84000","0.07025","0.00013"
"0.84600","0.07073","0.00030"
"0.85200","0.07127","0.00047"
"0.85800","0.07175","0.00067"
"0.86400","0.07229","0.00076"
"0.87000","0.07276","0.00078"
"0.87600","0.07324","0.00079"
"0.88200","0.07378","0.00077"
"0.88800","0.07426","0.00065"
"0.89400","0.07474","0.00061"
"0.90000","0.07522","0.00070"
"0.90600","0.07575","0.00079"
"0.91200","0.07623","0.00088"
"0.91800","0.07671","0.00101"
"0.92400","0.07719","0.00100"
"0.93000","0.07773","0.00082"
"0.93600","0.07820","0.00057"
"0.94200","0.07868","0.00041"
"0.94800","0.07922","0.00033"
"0.95400","0.07970","0.00035"
"0.96000","0.08018","0.00047"
"0.96600","0.08072","0.00048"
"0.97200","0.08119","0.00047"
"0.97800","0.08173","0.00055"
"0.98400","0.08221","0.00066"
"0.99000","0.08269","0.00073"
"0.99600","0.08323","0.00068"
"1.00200","0.08371","0.00059"
"1.00800","0.08418","0.00045"
"1.01400","0.08472","0.00035"
"1.02000","0.08520","0.00029"
"1.02600","0.08568","0.00014"
"1.03200","0.08616","-0.00003"
