"Ptime","Pload","Vtime","Vload"
161.448,0.42354,161.508,0.33212
229.422,1.14352,229.488,0.63786
290.358,2.05197,290.43,1.83677
293.814,1.95661,293.976,1.23045
297.438,0.72332,297.462,0.71198
309.822,1.01857,309.954,0.86169
312.384,0.91543,312.462,0.26671
312.474,0.27963,312.486,0.26598
312.498,0.27492,312.51,0.25979
312.612,0.26536,312.66,0.23912
335.454,0.82311,335.562,0.62521
345.378,0.9065,345.462,0.76714
345.702,0.753,345.804,0.64976
350.07,0.73487,350.136,0.39606
356.706,0.55163,356.79,0.38989
372.594,0.66096,372.708,0.47848
382.776,0.63183,382.842,0.31672
403.128,0.58922,403.332,0.47112
418.11,0.61796,418.176,0.5557
448.482,0.60178,448.626,0.25798
453.12,0.29426,453.312,-0.02495
453.324,-0.01811,453.342,-0.03143
