"Ptime","Pload","Vtime","Vload"
34.77,0.04901,34.8,0.02459
44.286,0.02967,44.346,-0.00889
127.116,0.01542,127.182,-0.01415
174.546,0.11665,174.672,-0.01998
221.058,0.19019,221.142,0.0158
227.658,0.05027,227.748,0.00358
241.95,0.04237,242.016,-0.01665
381.99,0.00265,382.02,-0.02606
383.298,-0.03662,383.346,-0.06446
482.652,0.10194,482.916,0.02957
525.534,0.15879,525.63,0.01026
525.648,0.02741,525.666,0.01597
525.684,0.02434,525.702,0.0091
537.846,0.07167,537.948,0.0349
538.2,0.03861,538.254,-0.01408
