"Ptime","Pload","Vtime","Vload","yDelta"
152.916,0.31616,153.072,0.18302,0.13314
199.008,0.61028,199.08,0.55168,0.0586000000000001
237.972,1.03592,238.056,0.96047,0.0754499999999999
239.544,0.94635,239.652,0.77737,0.16898
239.892,0.77786,239.994,0.66097,0.11689
240.966,0.6597,241.062,0.52504,0.13466
241.17,0.5251,241.242,0.46157,0.06353
242.124,0.45327,242.214,0.39799,0.05528
264.048,0.57809,264.126,0.44061,0.13748
275.682,0.5242,275.772,0.40334,0.12086
286.812,0.42412,286.89,0.26569,0.15843
301.218,0.3271,301.29,0.06272,0.26438
488.286,0.56087,488.478,0.34302,0.21785
