End date,"11/4/2016"
Specimen label,"63G_"
Maximum Load,"2.39940",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.29327","-0.00271"
"0.00600","0.29327","-0.00274"
"0.01200","0.29327","-0.00278"
"0.01800","0.29333","-0.00283"
"0.02400","0.29345","-0.00291"
"0.03000","0.29351","-0.00296"
"0.03600","0.29369","-0.00291"
"0.04200","0.29387","-0.00287"
"0.04800","0.29404","-0.00288"
"0.05400","0.29422","-0.00289"
"0.06000","0.29446","-0.00286"
"0.06600","0.29470","-0.00289"
"0.07200","0.29500","-0.00293"
"0.07800","0.29530","-0.00293"
"0.08400","0.29566","-0.00288"
"0.09000","0.29602","-0.00278"
"0.09600","0.29638","-0.00270"
"0.10200","0.29680","-0.00266"
"0.10800","0.29721","-0.00264"
"0.11400","0.29769","-0.00261"
"0.12000","0.29817","-0.00259"
"0.12600","0.29865","-0.00256"
"0.13200","0.29919","-0.00257"
"0.13800","0.29978","-0.00258"
"0.14400","0.30038","-0.00256"
"0.15000","0.30098","-0.00260"
"0.15600","0.30164","-0.00267"
"0.16200","0.30230","-0.00266"
"0.16800","0.30295","-0.00267"
"0.17400","0.30361","-0.00258"
"0.18000","0.30427","-0.00248"
"0.18600","0.30493","-0.00244"
"0.19200","0.30564","-0.00246"
"0.19800","0.30630","-0.00247"
"0.20400","0.30696","-0.00241"
"0.21000","0.30768","-0.00236"
"0.21600","0.30833","-0.00233"
"0.22200","0.30899","-0.00231"
"0.22800","0.30971","-0.00230"
"0.23400","0.31037","-0.00237"
"0.24000","0.31103","-0.00239"
"0.24600","0.31174","-0.00238"
"0.25200","0.31240","-0.00227"
"0.25800","0.31306","-0.00221"
"0.26400","0.31372","-0.00221"
"0.27000","0.31437","-0.00211"
"0.27600","0.31503","-0.00204"
"0.28200","0.31563","-0.00203"
"0.28800","0.31629","-0.00204"
"0.29400","0.31688","-0.00207"
"0.30000","0.31748","-0.00208"
"0.30600","0.31808","-0.00206"
"0.31200","0.31868","-0.00201"
"0.31800","0.31928","-0.00199"
"0.32400","0.31981","-0.00210"
"0.33000","0.32041","-0.00222"
"0.33600","0.32095","-0.00224"
"0.34200","0.32155","-0.00212"
"0.34800","0.32209","-0.00206"
"0.35400","0.32262","-0.00201"
"0.36000","0.32322","-0.00200"
"0.36600","0.32376","-0.00196"
"0.37200","0.32430","-0.00191"
"0.37800","0.32484","-0.00190"
"0.38400","0.32537","-0.00197"
"0.39000","0.32591","-0.00209"
"0.39600","0.32645","-0.00219"
"0.40200","0.32699","-0.00211"
"0.40800","0.32747","-0.00200"
"0.41400","0.32801","-0.00197"
"0.42000","0.32854","-0.00198"
"0.42600","0.32902","-0.00194"
"0.43200","0.32956","-0.00192"
"0.43800","0.33004","-0.00196"
"0.44400","0.33052","-0.00196"
"0.45000","0.33105","-0.00198"
"0.45600","0.33153","-0.00198"
"0.46200","0.33201","-0.00188"
"0.46800","0.33249","-0.00184"
"0.47400","0.33303","-0.00185"
"0.48000","0.33351","-0.00194"
"0.48600","0.33398","-0.00205"
"0.49200","0.33452","-0.00209"
"0.49800","0.33500","-0.00212"
"0.50400","0.33548","-0.00214"
"0.51000","0.33602","-0.00209"
"0.51600","0.33650","-0.00204"
"0.52200","0.33703","-0.00197"
"0.52800","0.33751","-0.00184"
"0.53400","0.33805","-0.00167"
"0.54000","0.33853","-0.00156"
"0.54600","0.33907","-0.00155"
"0.55200","0.33954","-0.00160"
"0.55800","0.34002","-0.00163"
"0.56400","0.34050","-0.00167"
"0.57000","0.34098","-0.00167"
"0.57600","0.34152","-0.00173"
"0.58200","0.34200","-0.00182"
"0.58800","0.34247","-0.00184"
"0.59400","0.34301","-0.00172"
"0.60000","0.34349","-0.00149"
"0.60600","0.34397","-0.00125"
"0.61200","0.34451","-0.00113"
"0.61800","0.34499","-0.00105"
"0.62400","0.34552","-0.00100"
"0.63000","0.34600","-0.00101"
"0.63600","0.34648","-0.00110"
"0.64200","0.34702","-0.00122"
"0.64800","0.34750","-0.00138"
"0.65400","0.34803","-0.00149"
"0.66000","0.34851","-0.00150"
"0.66600","0.34905","-0.00142"
"0.67200","0.34953","-0.00121"
"0.67800","0.35007","-0.00104"
"0.68400","0.35055","-0.00094"
"0.69000","0.35102","-0.00093"
"0.69600","0.35156","-0.00106"
"0.70200","0.35204","-0.00125"
"0.70800","0.35252","-0.00139"
"0.71400","0.35300","-0.00149"
"0.72000","0.35348","-0.00151"
"0.72600","0.35401","-0.00147"
"0.73200","0.35449","-0.00146"
"0.73800","0.35497","-0.00142"
"0.74400","0.35545","-0.00134"
"0.75000","0.35599","-0.00128"
"0.75600","0.35647","-0.00123"
"0.76200","0.35694","-0.00112"
"0.76800","0.35748","-0.00106"
"0.77400","0.35796","-0.00108"
"0.78000","0.35850","-0.00109"
"0.78600","0.35898","-0.00112"
"0.79200","0.35945","-0.00118"
"0.79800","0.35999","-0.00120"
"0.80400","0.36053","-0.00124"
"0.81000","0.36101","-0.00128"
"0.81600","0.36149","-0.00126"
"0.82200","0.36203","-0.00122"
"0.82800","0.36250","-0.00124"
"0.83400","0.36298","-0.00127"
"0.84000","0.36352","-0.00134"
"0.84600","0.36400","-0.00139"
"0.85200","0.36448","-0.00142"
"0.85800","0.36496","-0.00148"
"0.86400","0.36549","-0.00148"
"0.87000","0.36597","-0.00153"
"0.87600","0.36645","-0.00154"
"0.88200","0.36693","-0.00151"
"0.88800","0.36747","-0.00148"
"0.89400","0.36794","-0.00149"
"0.90000","0.36842","-0.00156"
"0.90600","0.36890","-0.00160"
"0.91200","0.36944","-0.00164"
"0.91800","0.36992","-0.00157"
"0.92400","0.37040","-0.00149"
"0.93000","0.37093","-0.00147"
"0.93600","0.37141","-0.00150"
"0.94200","0.37195","-0.00151"
"0.94800","0.37243","-0.00150"
"0.95400","0.37297","-0.00140"
"0.96000","0.37345","-0.00124"
"0.96600","0.37398","-0.00110"
"0.97200","0.37446","-0.00095"
"0.97800","0.37494","-0.00084"
"0.98400","0.37548","-0.00080"
"0.99000","0.37596","-0.00087"
"0.99600","0.37643","-0.00098"
"1.00200","0.37691","-0.00109"
"1.00800","0.37739","-0.00118"
"1.01400","0.37793","-0.00125"
"1.02000","0.37841","-0.00125"
"1.02600","0.37889","-0.00129"
"1.03200","0.37942","-0.00144"
"1.03800","0.37990","-0.00155"
"1.04400","0.38038","-0.00169"
"1.05000","0.38092","-0.00167"
"1.05600","0.38140","-0.00164"
"1.06200","0.38194","-0.00161"
"1.06800","0.38241","-0.00158"
"1.07400","0.38295","-0.00155"
"1.08000","0.38343","-0.00153"
"1.08600","0.38397","-0.00149"
"1.09200","0.38445","-0.00143"
"1.09800","0.38498","-0.00132"
"1.10400","0.38546","-0.00121"
"1.11000","0.38600","-0.00108"
"1.11600","0.38648","-0.00087"
"1.12200","0.38702","-0.00073"
"1.12800","0.38750","-0.00075"
"1.13400","0.38797","-0.00082"
"1.14000","0.38851","-0.00086"
"1.14600","0.38899","-0.00080"
"1.15200","0.38947","-0.00078"
"1.15800","0.39001","-0.00074"
"1.16400","0.39049","-0.00073"
"1.17000","0.39096","-0.00070"
"1.17600","0.39144","-0.00076"
"1.18200","0.39198","-0.00087"
"1.18800","0.39246","-0.00092"
"1.19400","0.39294","-0.00092"
"1.20000","0.39347","-0.00088"
"1.20600","0.39395","-0.00078"
"1.21200","0.39449","-0.00069"
"1.21800","0.39497","-0.00062"
"1.22400","0.39551","-0.00059"
"1.23000","0.39599","-0.00067"
"1.23600","0.39652","-0.00074"
"1.24200","0.39700","-0.00080"
"1.24800","0.39754","-0.00084"
"1.25400","0.39802","-0.00092"
"1.26000","0.39850","-0.00095"
"1.26600","0.39904","-0.00092"
"1.27200","0.39951","-0.00083"
"1.27800","0.39999","-0.00078"
"1.28400","0.40053","-0.00081"
"1.29000","0.40101","-0.00084"
"1.29600","0.40149","-0.00080"
"1.30200","0.40197","-0.00077"
"1.30800","0.40250","-0.00068"
"1.31400","0.40298","-0.00068"
"1.32000","0.40346","-0.00068"
"1.32600","0.40400","-0.00071"
"1.33200","0.40448","-0.00073"
"1.33800","0.40495","-0.00073"
"1.34400","0.40549","-0.00074"
"1.35000","0.40597","-0.00076"
"1.35600","0.40645","-0.00081"
"1.36200","0.40699","-0.00084"
"1.36800","0.40747","-0.00085"
"1.37400","0.40794","-0.00075"
"1.38000","0.40848","-0.00065"
"1.38600","0.40896","-0.00060"
"1.39200","0.40950","-0.00063"
"1.39800","0.40998","-0.00070"
"1.40400","0.41046","-0.00076"
"1.41000","0.41099","-0.00083"
"1.41600","0.41147","-0.00082"
"1.42200","0.41195","-0.00075"
"1.42800","0.41249","-0.00072"
"1.43400","0.41297","-0.00071"
"1.44000","0.41344","-0.00065"
"1.44600","0.41392","-0.00068"
"1.45200","0.41440","-0.00069"
"1.45800","0.41494","-0.00069"
"1.46400","0.41542","-0.00071"
"1.47000","0.41590","-0.00074"
"1.47600","0.41637","-0.00075"
"1.48200","0.41691","-0.00081"
"1.48800","0.41739","-0.00087"
"1.49400","0.41787","-0.00086"
"1.50000","0.41841","-0.00087"
"1.50600","0.41889","-0.00091"
"1.51200","0.41942","-0.00089"
"1.51800","0.41990","-0.00081"
"1.52400","0.42038","-0.00070"
"1.53000","0.42092","-0.00071"
"1.53600","0.42140","-0.00070"
"1.54200","0.42187","-0.00064"
"1.54800","0.42241","-0.00059"
"1.55400","0.42289","-0.00063"
"1.56000","0.42337","-0.00069"
"1.56600","0.42391","-0.00067"
"1.57200","0.42439","-0.00070"
"1.57800","0.42486","-0.00075"
"1.58400","0.42540","-0.00078"
"1.59000","0.42588","-0.00068"
"1.59600","0.42636","-0.00060"
"1.60200","0.42690","-0.00058"
"1.60800","0.42738","-0.00058"
"1.61400","0.42785","-0.00063"
"1.62000","0.42839","-0.00063"
"1.62600","0.42887","-0.00062"
"1.63200","0.42941","-0.00060"
"1.63800","0.42989","-0.00060"
"1.64400","0.43042","-0.00059"
"1.65000","0.43090","-0.00057"
"1.65600","0.43144","-0.00055"
"1.66200","0.43192","-0.00053"
"1.66800","0.43246","-0.00055"
"1.67400","0.43294","-0.00050"
"1.68000","0.43347","-0.00047"
"1.68600","0.43395","-0.00045"
"1.69200","0.43449","-0.00028"
"1.69800","0.43497","-0.00016"
"1.70400","0.43551","-0.00016"
"1.71000","0.43599","-0.00016"
"1.71600","0.43652","-0.00013"
"1.72200","0.43700","-0.00013"
"1.72800","0.43748","-0.00023"
"1.73400","0.43802","-0.00026"
"1.74000","0.43850","-0.00019"
"1.74600","0.43903","-0.00011"
"1.75200","0.43951","-0.00004"
"1.75800","0.43999","0.00002"
"1.76400","0.44047","0.00001"
"1.77000","0.44101","-0.00011"
"1.77600","0.44149","-0.00016"
"1.78200","0.44196","-0.00020"
"1.78800","0.44250","-0.00023"
"1.79400","0.44298","-0.00037"
"1.80000","0.44346","-0.00049"
"1.80600","0.44400","-0.00047"
"1.81200","0.44448","-0.00041"
"1.81800","0.44495","-0.00029"
"1.82400","0.44549","-0.00020"
"1.83000","0.44597","-0.00016"
"1.83600","0.44645","-0.00008"
"1.84200","0.44699","-0.00008"
"1.84800","0.44746","-0.00002"
"1.85400","0.44794","-0.00001"
"1.86000","0.44842","-0.00002"
"1.86600","0.44896","-0.00005"
"1.87200","0.44944","-0.00016"
"1.87800","0.44998","-0.00026"
"1.88400","0.45045","-0.00030"
"1.89000","0.45093","-0.00022"
"1.89600","0.45147","-0.00008"
"1.90200","0.45195","0.00003"
"1.90800","0.45249","0.00018"
"1.91400","0.45297","0.00024"
"1.92000","0.45344","0.00035"
"1.92600","0.45392","0.00045"
"1.93200","0.45446","0.00050"
"1.93800","0.45494","0.00048"
"1.94400","0.45542","0.00046"
"1.95000","0.45596","0.00031"
"1.95600","0.45643","0.00008"
"1.96200","0.45697","-0.00004"
"1.96800","0.45745","-0.00010"
"1.97400","0.45799","-0.00014"
"1.98000","0.45847","-0.00016"
"1.98600","0.45894","-0.00011"
"1.99200","0.45942","0.00000"
"1.99800","0.45996","0.00005"
"2.00400","0.46044","0.00017"
"2.01000","0.46092","0.00019"
"2.01600","0.46146","0.00018"
"2.02200","0.46193","0.00022"
"2.02800","0.46241","0.00020"
"2.03400","0.46295","0.00008"
"2.04000","0.46343","0.00003"
"2.04600","0.46391","0.00000"
"2.05200","0.46439","-0.00003"
"2.05800","0.46492","-0.00010"
"2.06400","0.46540","-0.00014"
"2.07000","0.46588","-0.00006"
"2.07600","0.46636","0.00006"
"2.08200","0.46690","0.00022"
"2.08800","0.46737","0.00039"
"2.09400","0.46791","0.00053"
"2.10000","0.46839","0.00054"
"2.10600","0.46893","0.00055"
"2.11200","0.46941","0.00049"
"2.11800","0.46995","0.00047"
"2.12400","0.47042","0.00052"
"2.13000","0.47096","0.00053"
"2.13600","0.47144","0.00047"
"2.14200","0.47192","0.00043"
"2.14800","0.47246","0.00029"
"2.15400","0.47294","0.00006"
"2.16000","0.47341","-0.00009"
"2.16600","0.47395","-0.00010"
"2.17200","0.47443","-0.00008"
"2.17800","0.47497","0.00001"
"2.18400","0.47545","0.00012"
"2.19000","0.47592","0.00020"
"2.19600","0.47646","0.00028"
"2.20200","0.47694","0.00026"
"2.20800","0.47742","0.00018"
"2.21400","0.47796","0.00010"
"2.22000","0.47844","0.00014"
"2.22600","0.47897","0.00022"
"2.23200","0.47945","0.00030"
"2.23800","0.47993","0.00036"
"2.24400","0.48047","0.00038"
"2.25000","0.48095","0.00033"
"2.25600","0.48149","0.00034"
"2.26200","0.48196","0.00033"
"2.26800","0.48250","0.00031"
"2.27400","0.48298","0.00030"
"2.28000","0.48352","0.00033"
"2.28600","0.48400","0.00039"
"2.29200","0.48453","0.00042"
"2.29800","0.48501","0.00029"
"2.30400","0.48549","0.00008"
"2.31000","0.48597","-0.00012"
"2.31600","0.48645","-0.00011"
"2.32200","0.48699","-0.00016"
"2.32800","0.48746","-0.00029"
"2.33400","0.48794","-0.00042"
"2.34000","0.48842","-0.00051"
"2.34600","0.48896","-0.00052"
"2.35200","0.48944","-0.00050"
"2.35800","0.48998","-0.00054"
"2.36400","0.49045","-0.00059"
"2.37000","0.49093","-0.00051"
"2.37600","0.49147","-0.00042"
"2.38200","0.49195","-0.00036"
"2.38800","0.49249","-0.00032"
"2.39400","0.49296","-0.00028"
"2.40000","0.49350","-0.00021"
"2.40600","0.49398","-0.00020"
"2.41200","0.49452","-0.00028"
"2.41800","0.49500","-0.00035"
"2.42400","0.49548","-0.00040"
"2.43000","0.49595","-0.00040"
"2.43600","0.49649","-0.00034"
"2.44200","0.49697","-0.00030"
"2.44800","0.49745","-0.00037"
"2.45400","0.49799","-0.00043"
"2.46000","0.49847","-0.00049"
"2.46600","0.49894","-0.00053"
"2.47200","0.49942","-0.00054"
"2.47800","0.49996","-0.00056"
"2.48400","0.50044","-0.00061"
"2.49000","0.50092","-0.00060"
"2.49600","0.50140","-0.00056"
"2.50200","0.50187","-0.00054"
"2.50800","0.50241","-0.00061"
"2.51400","0.50289","-0.00068"
"2.52000","0.50343","-0.00076"
"2.52600","0.50391","-0.00070"
"2.53200","0.50444","-0.00065"
"2.53800","0.50492","-0.00062"
"2.54400","0.50546","-0.00059"
"2.55000","0.50594","-0.00053"
"2.55600","0.50642","-0.00042"
"2.56200","0.50696","-0.00030"
"2.56800","0.50743","-0.00024"
"2.57400","0.50791","-0.00019"
"2.58000","0.50839","-0.00012"
"2.58600","0.50887","0.00001"
"2.59200","0.50935","0.00011"
"2.59800","0.50989","0.00018"
"2.60400","0.51036","0.00018"
"2.61000","0.51084","0.00004"
"2.61600","0.51138","-0.00008"
"2.62200","0.51186","-0.00012"
"2.62800","0.51234","-0.00012"
"2.63400","0.51287","-0.00013"
"2.64000","0.51335","-0.00014"
"2.64600","0.51389","-0.00007"
"2.65200","0.51437","-0.00006"
"2.65800","0.51485","-0.00015"
"2.66400","0.51539","-0.00025"
"2.67000","0.51592","-0.00024"
"2.67600","0.51640","-0.00014"
"2.68200","0.51694","-0.00007"
"2.68800","0.51742","0.00003"
"2.69400","0.51796","0.00005"
"2.70000","0.51844","-0.00002"
"2.70600","0.51891","-0.00016"
"2.71200","0.51945","-0.00026"
"2.71800","0.51993","-0.00032"
"2.72400","0.52041","-0.00032"
"2.73000","0.52089","-0.00028"
"2.73600","0.52136","-0.00019"
"2.74200","0.52190","-0.00007"
"2.74800","0.52238","0.00004"
"2.75400","0.52292","0.00009"
"2.76000","0.52340","0.00012"
"2.76600","0.52394","0.00014"
"2.77200","0.52441","0.00017"
"2.77800","0.52489","0.00016"
"2.78400","0.52543","0.00023"
"2.79000","0.52591","0.00015"
"2.79600","0.52645","0.00000"
"2.80200","0.52693","-0.00016"
"2.80800","0.52746","-0.00026"
"2.81400","0.52794","-0.00034"
"2.82000","0.52848","-0.00032"
"2.82600","0.52896","-0.00035"
"2.83200","0.52950","-0.00031"
"2.83800","0.53003","-0.00022"
"2.84400","0.53051","-0.00005"
"2.85000","0.53099","0.00003"
"2.85600","0.53147","0.00003"
"2.86200","0.53201","-0.00003"
"2.86800","0.53249","-0.00011"
"2.87400","0.53296","-0.00003"
"2.88000","0.53344","0.00019"
"2.88600","0.53398","0.00029"
"2.89200","0.53446","0.00032"
"2.89800","0.53500","0.00029"
"2.90400","0.53548","0.00020"
"2.91000","0.53595","0.00000"
"2.91600","0.53649","-0.00009"
"2.92200","0.53697","-0.00004"
"2.92800","0.53751","-0.00005"
"2.93400","0.53799","-0.00014"
"2.94000","0.53846","-0.00018"
"2.94600","0.53900","-0.00020"
"2.95200","0.53948","-0.00024"
"2.95800","0.54002","-0.00032"
"2.96400","0.54050","-0.00028"
"2.97000","0.54098","-0.00015"
"2.97600","0.54151","0.00003"
"2.98200","0.54199","0.00012"
"2.98800","0.54247","0.00015"
"2.99400","0.54301","0.00022"
"3.00000","0.54349","0.00039"
"3.00600","0.54397","0.00049"
"3.01200","0.54444","0.00040"
"3.01800","0.54492","0.00028"
"3.02400","0.54546","0.00027"
"3.03000","0.54594","0.00026"
"3.03600","0.54642","0.00018"
"3.04200","0.54695","0.00007"
"3.04800","0.54743","-0.00003"
"3.05400","0.54791","-0.00014"
"3.06000","0.54845","-0.00019"
"3.06600","0.54893","-0.00018"
"3.07200","0.54941","-0.00018"
"3.07800","0.54988","-0.00017"
"3.08400","0.55042","-0.00026"
"3.09000","0.55090","-0.00027"
"3.09600","0.55138","-0.00016"
"3.10200","0.55192","-0.00001"
"3.10800","0.55240","0.00011"
"3.11400","0.55287","0.00015"
"3.12000","0.55341","0.00012"
"3.12600","0.55389","0.00005"
"3.13200","0.55437","0.00002"
"3.13800","0.55491","0.00004"
"3.14400","0.55538","0.00001"
"3.15000","0.55586","-0.00003"
"3.15600","0.55640","0.00005"
"3.16200","0.55688","0.00011"
"3.16800","0.55736","0.00018"
"3.17400","0.55790","0.00021"
"3.18000","0.55837","0.00017"
"3.18600","0.55891","0.00009"
