"","V1","V2","V3"
"1","End date","11/14/2016",""
"2","Specimen label","20AG64U",""
"3","Maximum Load","0.26425","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","-0.00018"
"7","0.00600","0.00000","-0.00013"
"8","0.01200","0.00000","-0.00017"
"9","0.01800","0.00012","-0.00033"
"10","0.02400","0.00018","-0.00046"
"11","0.03000","0.00030","-0.00047"
"12","0.03600","0.00042","-0.00039"
"13","0.04200","0.00060","-0.00028"
"14","0.04800","0.00078","-0.00014"
"15","0.05400","0.00102","-0.00007"
"16","0.06000","0.00126","-0.00005"
"17","0.06600","0.00155","0.00000"
"18","0.07200","0.00185","0.00010"
"19","0.07800","0.00221","0.00022"
"20","0.08400","0.00257","0.00027"
"21","0.09000","0.00299","0.00026"
"22","0.09600","0.00341","0.00015"
"23","0.10200","0.00389","0.00005"
"24","0.10800","0.00442","-0.00019"
"25","0.11400","0.00490","-0.00041"
"26","0.12000","0.00544","-0.00050"
"27","0.12600","0.00604","-0.00048"
"28","0.13200","0.00658","-0.00037"
"29","0.13800","0.00717","-0.00013"
"30","0.14400","0.00783","0.00007"
"31","0.15000","0.00843","0.00013"
"32","0.15600","0.00909","0.00010"
"33","0.16200","0.00975","-0.00008"
"34","0.16800","0.01040","-0.00016"
"35","0.17400","0.01112","-0.00008"
"36","0.18000","0.01178","0.00006"
"37","0.18600","0.01244","0.00018"
"38","0.19200","0.01309","0.00023"
"39","0.19800","0.01375","0.00020"
"40","0.20400","0.01447","0.00015"
"41","0.21000","0.01513","0.00029"
"42","0.21600","0.01578","0.00048"
"43","0.22200","0.01650","0.00058"
"44","0.22800","0.01716","0.00056"
"45","0.23400","0.01782","0.00046"
"46","0.24000","0.01847","0.00038"
"47","0.24600","0.01907","0.00033"
"48","0.25200","0.01973","0.00035"
"49","0.25800","0.02033","0.00062"
"50","0.26400","0.02099","0.00077"
"51","0.27000","0.02158","0.00078"
"52","0.27600","0.02218","0.00081"
"53","0.28200","0.02278","0.00086"
"54","0.28800","0.02344","0.00083"
"55","0.29400","0.02398","0.00073"
"56","0.30000","0.02457","0.00061"
"57","0.30600","0.02517","0.00051"
"58","0.31200","0.02571","0.00053"
"59","0.31800","0.02631","0.00051"
"60","0.32400","0.02685","0.00039"
"61","0.33000","0.02744","0.00027"
"62","0.33600","0.02804","0.00022"
"63","0.34200","0.02858","0.00018"
"64","0.34800","0.02912","0.00025"
"65","0.35400","0.02966","0.00026"
"66","0.36000","0.03019","0.00034"
"67","0.36600","0.03073","0.00042"
"68","0.37200","0.03121","0.00044"
"69","0.37800","0.03175","0.00047"
"70","0.38400","0.03223","0.00052"
"71","0.39000","0.03276","0.00055"
"72","0.39600","0.03330","0.00053"
"73","0.40200","0.03378","0.00041"
"74","0.40800","0.03432","0.00021"
"75","0.41400","0.03480","0.00009"
"76","0.42000","0.03534","0.00007"
"77","0.42600","0.03581","0.00012"
"78","0.43200","0.03635","0.00019"
"79","0.43800","0.03683","0.00034"
"80","0.44400","0.03737","0.00052"
"81","0.45000","0.03785","0.00078"
"82","0.45600","0.03833","0.00101"
"83","0.46200","0.03886","0.00107"
"84","0.46800","0.03934","0.00112"
"85","0.47400","0.03988","0.00120"
"86","0.48000","0.04036","0.00131"
"87","0.48600","0.04084","0.00150"
"88","0.49200","0.04131","0.00155"
"89","0.49800","0.04179","0.00158"
"90","0.50400","0.04227","0.00140"
"91","0.51000","0.04281","0.00117"
"92","0.51600","0.04329","0.00111"
"93","0.52200","0.04377","0.00119"
"94","0.52800","0.04424","0.00123"
"95","0.53400","0.04472","0.00124"
"96","0.54000","0.04526","0.00116"
"97","0.54600","0.04574","0.00096"
"98","0.55200","0.04622","0.00080"
"99","0.55800","0.04676","0.00068"
"100","0.56400","0.04723","0.00071"
"101","0.57000","0.04771","0.00079"
"102","0.57600","0.04819","0.00089"
"103","0.58200","0.04873","0.00095"
"104","0.58800","0.04921","0.00101"
"105","0.59400","0.04969","0.00119"
